SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
NHPC, EQ, 14-Oct-2021,29.3,29.65,31.2,29.55,30.9,30.9,30.7,14468309,24855,6905313,47.73,21.199310909999998,,,
NHPC, EQ, 18-Oct-2021,30.9,31.6,37.05,31.15,35.55,35.5,35.43,99121664,139542,30033940,30.3,106.41024942,,,
NHPC, EQ, 19-Oct-2021,35.5,36.2,36.65,33.5,34.45,34.05,35.18,32946758,63826,14217684,43.15,50.017812312000004,,,
NHPC, EQ, 20-Oct-2021,34.05,34.25,34.25,32.05,32.25,32.3,32.95,11853827,28785,4380303,36.95,14.433098385000003,,,
NHPC, EQ, 21-Oct-2021,32.3,32.8,33.15,30.75,31.1,31.1,31.82,12293127,28060,5781950,47.03,18.3981649,,,
NHPC, EQ, 22-Oct-2021,31.1,31.5,32.75,31.0,32.75,32.4,31.97,17399594,45703,5760242,33.11,18.415493673999997,42.0917271854,4.180064308681663,43.750862474438016
NHPC, EQ, 25-Oct-2021,32.4,32.9,33.15,31.5,32.25,32.4,32.32,11105504,26484,4369110,39.34,14.120963519999998,41.534963738200005,0.0,33.99777500470729
NHPC, EQ, 26-Oct-2021,32.4,32.3,32.8,31.3,31.7,31.5,31.98,12705415,18951,7938018,62.48,25.385781564000002,23.0771065582,-2.7777777777777732,110.00417881668818
NHPC, EQ, 27-Oct-2021,31.5,31.85,32.15,31.4,31.7,31.6,31.7,5069463,14669,1738671,34.3,5.511587069999999,18.1507004086,0.317460317460322,30.365699096595467
NHPC, EQ, 28-Oct-2021,31.6,31.95,32.15,30.9,31.2,31.1,31.52,6233438,18988,2309951,37.06,7.280965552,16.3663981456,-1.582278481012658,44.487281118463066
NHPC, EQ, 29-Oct-2021,31.1,31.15,31.15,30.1,30.9,30.7,30.61,6302140,15512,2371249,37.63,7.258393189,14.142958275999998,-1.2861736334405212,51.321605051449424
NHPC, EQ, 01-Nov-2021,30.7,31.0,32.1,30.85,32.05,31.95,31.58,4458450,18842,1760981,39.5,5.561177998,11.911538179,4.071661237785016,46.68732043191816
NHPC, EQ, 02-Nov-2021,31.95,32.0,32.25,31.5,31.7,31.6,31.87,3700476,15285,1482082,40.05,4.723395334,10.199581074600001,-1.095461658841934,46.30969938326842
NHPC, EQ, 03-Nov-2021,31.6,31.85,31.85,30.2,30.35,30.4,30.88,7219594,19284,3969223,54.98,12.256960624,6.067103828599999,-3.797468354430389,202.02325475659987
NHPC, EQ, 08-Nov-2021,30.95,31.2,32.15,30.85,32.0,31.95,31.6,6713458,22055,3549465,52.87,11.2163094,7.416178539399999,5.098684210526319,151.24109189673646
NHPC, EQ, 09-Nov-2021,31.95,32.0,32.85,31.9,32.75,32.6,32.28,5772115,17964,3116277,53.99,10.059342156,8.203247309,2.034428794992182,122.62634267972913
NHPC, EQ, 10-Nov-2021,32.6,32.7,33.2,32.1,32.25,32.25,32.6,4463155,15189,1626126,36.43,5.30117076,8.763437102400001,-1.073619631901845,60.49191313928861
NHPC, EQ, 11-Nov-2021,32.25,32.35,32.4,31.75,32.05,32.05,32.04,4698113,16604,2034233,43.3,6.517682532,8.7114356548,-0.6201550387596988,74.81754776445783
NHPC, EQ, 12-Nov-2021,32.05,32.35,33.1,32.1,32.25,32.3,32.56,10547305,20743,5952403,56.44,19.381024168,9.0702930944,0.7800312012480499,213.6758312690672
NHPC, EQ, 15-Nov-2021,32.3,32.3,32.65,31.7,31.95,31.8,32.14,4777578,17369,2582551,54.06,8.300318914,10.4951058032,-1.5479876160990602,79.08752012265755
NHPC, EQ, 16-Nov-2021,31.8,32.0,34.7,31.8,33.95,33.9,33.55,22872229,53858,9075486,39.68,30.448255529999994,9.911907706,6.603773584905653,307.18865059214255
NHPC, EQ, 17-Nov-2021,33.9,34.0,34.85,32.85,33.2,33.15,33.95,14367451,33477,4876222,33.94,16.55477369,13.989690380799999,-2.2123893805309733,118.3355259435936
NHPC, EQ, 18-Nov-2021,33.15,33.25,33.55,32.05,32.55,32.6,32.52,11326550,32224,5078075,44.83,16.513899900000002,16.2404109668,-1.6591251885369447,101.6840025400779
NHPC, EQ, 22-Nov-2021,32.6,32.9,32.9,31.2,31.45,31.35,31.75,8147305,21702,3574737,43.88,11.349789975,18.2396544404,-3.834355828220859,62.22590461944682
NHPC, EQ, 23-Nov-2021,31.35,31.3,31.95,30.7,31.65,31.6,31.48,5476269,15952,1962527,35.84,6.178034996,16.633407601799995,0.7974481658692184,37.1423291240181
NHPC, EQ, 24-Nov-2021,31.6,31.9,32.15,31.15,31.25,31.25,31.64,7554572,41157,3246193,42.97,10.270954652,16.2089508182,-1.1075949367088653,63.36594371344133
NHPC, EQ, 25-Nov-2021,31.25,31.35,31.4,30.9,31.15,31.1,31.11,4193270,40721,2253266,53.74,7.0099105260000005,12.173490642600001,-0.47999999999999543,57.58340587595697
NHPC, EQ, 26-Nov-2021,31.1,30.95,31.2,30.5,30.65,30.65,30.85,5018226,14994,3135629,62.48,9.673415465,10.2645180098,-1.4469453376205879,94.24130247289109
NHPC, EQ, 29-Nov-2021,30.65,30.0,30.85,29.1,30.35,30.3,30.04,7389085,28721,3188101,43.15,9.577055404,8.8964211228,-1.141924959216959,107.6506526816233
NHPC, EQ, 30-Nov-2021,30.3,30.35,31.3,30.3,31.2,31.1,30.91,5416702,14913,2789518,51.5,8.622400138,8.5418742086,2.6402640264026425,100.94271968227918
NHPC, EQ, 01-Dec-2021,31.1,31.35,31.8,31.1,31.8,31.55,31.33,5763012,26849,2700729,46.86,8.461383956999999,9.030747237,1.4469453376205765,93.69528052266534
NHPC, EQ, 02-Dec-2021,31.55,31.8,32.4,31.8,32.3,32.25,32.14,6183580,17424,2732473,44.19,8.782168222,8.668833097999999,2.218700475435814,101.30738615819179
NHPC, EQ, 03-Dec-2021,32.25,32.5,33.7,32.35,32.5,32.55,32.92,11495189,25139,4778993,41.57,15.732444956,9.023284637199998,0.930232558139526,174.35385880592048
NHPC, EQ, 06-Dec-2021,32.55,32.7,33.65,32.45,33.55,33.4,33.16,18407697,28187,12158369,66.05,40.317151603999996,10.235090535400001,2.6113671274961643,393.9110403035076
NHPC, EQ, 07-Dec-2021,33.4,33.7,34.5,33.3,33.5,33.55,33.87,6480043,22411,2709290,41.81,9.17636523,16.383109775399998,0.44910179640718134,56.01113192672822
NHPC, EQ, 08-Dec-2021,33.55,34.1,34.9,33.6,33.8,33.7,33.92,6583659,20392,2389682,36.3,8.105801344,16.4939027938,0.44709388971685754,49.144228902858224
NHPC, EQ, 09-Dec-2021,33.7,34.3,34.3,32.8,32.85,32.9,33.32,7198862,23046,3852735,53.52,12.83731302,16.4227862712,-2.3738872403560958,78.16769218090779
NHPC, EQ, 10-Dec-2021,32.9,32.9,33.0,31.9,32.2,32.1,32.14,12527829,21779,8331900,66.51,26.7787266,17.233815230799998,-2.4316109422492316,155.38478416631443
NHPC, EQ, 13-Dec-2021,32.1,32.35,32.6,31.5,31.8,31.85,32.1,5282213,16104,2907029,55.03,9.331563090000001,19.4430715596,-0.778816199376947,47.994284552188205
NHPC, EQ, 14-Dec-2021,31.85,31.6,32.0,31.5,31.65,31.65,31.73,2628857,10053,1183592,45.02,3.7555374160000006,13.2459538568,-0.6279434850863511,28.3523365444312
