SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
NMDC, EQ, 14-Oct-2021,151.6,152.8,154.4,152.3,153.25,153.55,153.38,9832276,50861,4531275,46.09,69.50069595,,,
NMDC, EQ, 18-Oct-2021,153.55,155.6,159.6,155.25,157.55,157.55,157.58,23800882,105994,8157498,34.27,128.54585348400002,,,
NMDC, EQ, 19-Oct-2021,157.55,158.95,158.95,151.5,152.3,152.35,155.23,14926631,57374,5219732,34.97,81.025899836,,,
NMDC, EQ, 20-Oct-2021,152.35,152.5,152.85,148.15,149.4,149.15,149.94,12128714,67869,4861484,40.08,72.893091096,,,
NMDC, EQ, 21-Oct-2021,149.15,150.0,150.3,144.2,146.15,145.95,146.86,14743150,61194,6977967,47.33,102.47842336200002,,,
NMDC, EQ, 22-Oct-2021,145.95,146.6,147.0,141.0,142.25,142.5,143.42,9951415,59187,4017796,40.37,57.62323023199999,90.8887927456,-2.3638232271325723,63.39970912947304
NMDC, EQ, 25-Oct-2021,142.5,143.0,143.95,138.8,140.0,140.5,141.27,8351888,55308,2852246,34.15,40.293679242,88.51329960199999,-1.4035087719298245,45.52273999859966
NMDC, EQ, 26-Oct-2021,140.5,140.8,143.3,139.75,142.95,142.55,141.38,10074890,53235,4756322,47.21,67.244880436,70.8628647536,1.4590747330960936,94.8943860367765
NMDC, EQ, 27-Oct-2021,142.55,143.0,143.95,140.0,140.4,140.3,141.95,9398554,41476,3875599,41.24,55.014127804999994,68.10666087360002,-1.578393546124167,80.77642788434656
NMDC, EQ, 28-Oct-2021,140.3,140.3,142.25,133.1,134.9,134.55,137.96,27413882,79283,17528737,63.94,241.826455652,64.53086821539999,-4.098360655737705,374.7453929254422
NMDC, EQ, 29-Oct-2021,134.55,133.7,144.8,133.6,142.95,143.15,141.62,38951500,129510,16105473,41.35,228.085708626,92.4004746734,6.3916759568933434,246.8447369260763
NMDC, EQ, 01-Nov-2021,143.15,144.0,146.65,143.4,145.8,145.65,145.1,13789878,58433,5214317,37.81,75.65973967,126.49297035219999,1.7464198393293748,59.81339473595823
NMDC, EQ, 02-Nov-2021,145.65,145.5,145.5,141.6,142.1,141.85,142.55,11077501,51128,3948421,35.64,56.28474135500001,133.56618243780002,-2.608994164092009,42.139964119443974
NMDC, EQ, 03-Nov-2021,141.85,142.45,143.35,141.0,141.7,141.9,142.05,7969183,28631,3995221,50.13,56.752114305000006,131.3741546216,0.035248501938675625,43.198842625069155
NMDC, EQ, 08-Nov-2021,142.35,144.0,146.1,141.65,145.2,145.25,144.27,7561559,31714,3469269,45.88,50.05114386300001,131.7217519216,2.3608174770965427,37.997629953168364
NMDC, EQ, 09-Nov-2021,145.25,146.0,148.5,144.8,147.55,147.8,146.8,10674592,47402,4598040,43.07,67.4992272,93.36668956380001,1.7555938037865828,72.29476327729917
NMDC, EQ, 10-Nov-2021,147.8,146.65,147.05,144.0,144.4,144.25,144.82,7895109,34918,3483002,44.12,50.440834964,61.24939327860001,-2.4018944519621184,82.35319937711705
NMDC, EQ, 11-Nov-2021,144.25,145.1,145.8,142.8,144.75,144.65,144.41,7541905,46115,2703362,35.84,39.039250642,56.2056123374,0.27729636048527256,69.45792247160118
NMDC, EQ, 12-Nov-2021,144.65,147.0,147.65,142.25,142.9,143.05,143.87,11385732,62663,3383121,29.71,48.672961827,52.756514194800005,-1.1061182163843721,92.25962437032562
NMDC, EQ, 15-Nov-2021,143.05,143.8,143.95,140.0,140.3,140.2,141.55,5969923,37283,2818336,47.21,39.89354608,51.1406836992,-1.992310380985685,78.0074555018592
NMDC, EQ, 16-Nov-2021,140.2,141.0,141.9,138.5,138.8,139.45,140.48,5535853,32204,2212185,39.96,31.076774879999995,49.109164142599994,-0.5349500713266763,63.281009609044204
NMDC, EQ, 17-Nov-2021,139.45,139.0,140.55,137.35,138.15,138.2,139.1,8126177,42909,3846626,47.34,53.506567659999995,41.82467367859999,-0.8963786303334529,127.93062791396544
NMDC, EQ, 18-Nov-2021,138.2,138.25,139.25,135.3,135.85,135.8,136.8,8122655,49118,3640512,44.82,49.80220416,42.437820217799995,-1.7366136034732111,117.35335110145716
NMDC, EQ, 22-Nov-2021,135.8,136.45,137.2,133.15,136.2,135.6,135.14,8155718,49471,2633879,32.29,35.594240805999995,44.5904109214,-0.14727540500737632,79.82487730095681
NMDC, EQ, 23-Nov-2021,135.6,136.3,143.6,136.15,141.9,142.25,140.9,25553102,110500,6642019,25.99,93.58604771,41.974666717199995,4.904129793510329,222.9584056986715
NMDC, EQ, 24-Nov-2021,142.25,143.25,144.75,141.5,142.1,143.0,143.43,10436743,39169,3752442,35.95,53.82127560600001,52.713167043199995,0.5272407732864675,102.10214757518152
NMDC, EQ, 25-Nov-2021,143.0,142.8,143.65,141.35,143.2,143.0,142.67,6664853,29974,2437374,36.57,34.774014858,57.262067188399996,0.0,60.727837057626225
NMDC, EQ, 26-Nov-2021,143.0,140.5,142.75,135.5,135.8,135.9,138.52,10098003,50933,3832390,37.95,53.086266280000004,53.515556628,-4.9650349650349614,99.19782139054611
NMDC, EQ, 29-Nov-2021,135.9,136.0,138.0,130.8,135.15,134.95,135.33,9892425,43079,3358625,33.95,45.45227212500001,54.172369052,-0.6990434142752149,83.90305412224158
NMDC, EQ, 30-Nov-2021,134.95,135.5,137.7,132.4,132.65,132.85,134.98,7521233,50110,3106522,41.3,41.93183395599999,56.143975315800006,-1.5561319007039605,74.68625746598951
NMDC, EQ, 01-Dec-2021,132.85,132.85,138.5,132.75,137.55,137.6,135.66,11464138,48116,5187900,45.25,70.3790514,45.813132565000004,3.575461046292812,153.62200194484777
NMDC, EQ, 02-Dec-2021,137.6,137.75,142.3,135.8,142.3,141.6,139.48,25288901,60094,16037488,63.42,223.69088262399998,49.1246877238,2.9069767441860463,455.3532917739564
NMDC, EQ, 03-Dec-2021,141.6,143.5,147.5,142.6,145.85,145.95,145.37,29920870,109083,9532665,31.86,138.576351105,86.90806127699999,3.072033898305081,159.45166543678715
NMDC, EQ, 06-Dec-2021,145.95,145.0,145.0,141.5,143.4,142.95,143.61,23988384,95079,9315799,38.83,133.78418943900002,104.00607824199999,-2.0554984583761566,128.63112589219327
NMDC, EQ, 07-Dec-2021,142.95,144.9,146.3,144.05,145.55,145.3,145.37,13172576,47247,4875474,37.01,70.874765538,121.67246170479999,1.6439314445610513,58.25045745351595
NMDC, EQ, 08-Dec-2021,145.3,146.0,147.5,146.0,147.0,146.95,146.85,10506147,44847,4896678,46.61,71.90771643,127.46104802119999,1.1355815554025994,56.41544420538573
NMDC, EQ, 09-Dec-2021,146.95,147.2,148.2,146.25,147.2,147.05,147.18,11384949,41863,5667398,49.78,83.412763764,127.76678102719998,0.06805035726439111,65.28517279169964
NMDC, EQ, 10-Dec-2021,147.05,147.0,148.45,146.6,148.15,147.9,147.55,10477407,39175,5517289,52.66,81.407599195,99.7111572552,0.5780346820809209,81.64342029111747
NMDC, EQ, 13-Dec-2021,147.9,149.4,150.1,146.7,147.65,147.5,148.03,14981099,55756,6890328,45.99,101.997525384,88.2774068732,-0.2704530087897266,115.54204976875604
NMDC, EQ, 14-Dec-2021,147.5,138.8,140.35,137.5,138.6,138.65,138.75,16673360,80415,6695193,40.16,92.895802875,81.9200740622,-5.9999999999999964,113.39809434799386
NMDC, EQ, 15-Dec-2021,138.65,139.0,141.4,137.65,137.9,137.85,139.23,9044645,45246,2585483,28.59,35.997679809,86.3242815296,-0.5769924269744041,41.70052640016082
NMDC, EQ, 16-Dec-2021,137.85,138.9,139.0,135.25,136.7,136.45,136.73,6137597,32751,2421566,39.45,33.110071917999996,79.14227420540001,-1.0155966630395399,41.83613909308262
NMDC, EQ, 17-Dec-2021,136.45,136.5,136.9,134.2,135.1,134.95,135.35,6104584,35465,2213360,36.26,29.9578276,69.08173583620001,-1.099303774276292,43.36577133937852
NMDC, EQ, 20-Dec-2021,134.95,133.7,133.7,127.9,130.4,130.5,130.56,11466406,52717,4923627,42.94,64.282874112,58.7917815172,-3.2975175991107735,109.33989828696302
NMDC, EQ, 21-Dec-2021,130.5,125.0,134.8,125.0,133.45,133.3,133.26,9059473,37471,3281013,36.22,43.722779238,51.248851262799995,2.1455938697318095,85.31465225199507
NMDC, EQ, 22-Dec-2021,133.3,134.4,134.7,132.85,134.25,133.95,133.72,4563582,28592,1772817,38.85,23.706108924000002,41.414246535400004,0.48762190547635204,57.241434789201186
NMDC, EQ, 23-Dec-2021,133.95,134.75,137.0,134.5,134.8,134.95,135.52,4780545,21856,1536704,32.14,20.825412608,38.9559323584,0.7465472191116089,53.458899189995776
NMDC, EQ, 24-Dec-2021,134.95,135.9,135.9,131.8,132.6,132.6,132.9,3530507,23459,1401263,39.69,18.62278527,36.4990004964,-1.7413856984068135,51.022726695863405
NMDC, EQ, 27-Dec-2021,132.6,132.5,134.05,130.5,132.0,132.5,132.52,4469638,24952,1297963,29.04,17.200605676000002,34.2319920304,-0.07541478129712996,50.247165460674516
NMDC, EQ, 28-Dec-2021,132.5,133.25,133.45,132.4,132.75,132.7,132.9,3055856,16765,1236171,40.45,16.42871259,24.815538343200007,0.1509433962264065,66.2033293930205
NMDC, EQ, 29-Dec-2021,132.7,131.7,133.45,130.7,131.5,131.4,131.7,4708795,27015,1805199,38.34,23.77447083,19.356725013600002,-0.979653353428774,122.822795763726
NMDC, EQ, 30-Dec-2021,131.4,132.0,132.1,129.8,131.6,131.4,131.08,12168630,41892,6148417,50.53,80.59345003600001,19.3703973948,0.0,416.0650315704694
NMDC, EQ, 31-Dec-2021,131.4,131.6,134.4,131.15,133.5,133.3,133.06,4296127,20433,1847902,43.01,24.588184012,31.324004880400004,1.4459665144596694,78.49629734729506
NMDC, EQ, 03-Jan-2022,133.3,134.4,135.6,133.6,134.8,135.3,134.68,3891035,23568,1521002,39.09,20.484854936,32.5170846288,1.5003750937734432,62.99720645268674
NMDC, EQ, 04-Jan-2022,135.3,136.0,136.5,134.35,135.85,135.8,135.49,3950622,21801,1517016,38.4,20.554049784,33.1739344808,0.3695491500369549,61.958432443085755
NMDC, EQ, 05-Jan-2022,135.8,135.8,138.9,135.25,138.45,138.6,137.57,4986657,26965,2219050,44.5,30.52747085,33.999001919600005,2.06185567010308,89.78931476338808
NMDC, EQ, 06-Jan-2022,138.6,138.3,139.75,137.65,138.6,138.65,138.73,5541434,33288,2119260,38.24,29.400493979999997,35.349601923600005,0.036075036075044274,83.17065081395363
NMDC, EQ, 07-Jan-2022,138.65,139.5,139.65,136.9,138.55,138.65,138.42,3356602,20103,1053394,31.38,14.581079747999999,25.1110107124,0.0,58.06647894423364
NMDC, EQ, 10-Jan-2022,138.65,140.05,141.2,139.3,140.2,139.95,140.17,5261751,43633,2676159,50.86,37.511720702999995,23.1095898596,0.937612693833381,162.32101448315913
NMDC, EQ, 11-Jan-2022,139.95,140.0,140.4,136.1,136.5,136.45,137.69,5432123,31104,2791428,51.39,38.435172132,26.514963013,-2.5008931761343343,144.95653685489077
