SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ORIENTCEM, EQ, 14-Oct-2021,158.55,159.85,163.3,158.2,163.0,162.25,161.45,1257115,14371,737972,58.7,11.91455794,,,
ORIENTCEM, EQ, 18-Oct-2021,162.25,165.9,166.0,160.0,160.15,160.35,162.54,745479,9893,447321,60.0,7.270755534,,,
ORIENTCEM, EQ, 19-Oct-2021,160.35,161.5,161.9,154.1,157.0,156.05,158.68,638750,9025,347343,54.38,5.511638724,,,
ORIENTCEM, EQ, 20-Oct-2021,156.05,155.8,157.0,152.3,154.45,153.9,154.3,493330,8483,246511,49.97,3.8036647300000004,,,
ORIENTCEM, EQ, 21-Oct-2021,153.9,154.75,155.05,149.5,153.0,153.15,152.55,934718,12238,609457,65.2,9.297266535,,,
ORIENTCEM, EQ, 22-Oct-2021,153.15,153.7,155.85,151.15,152.3,152.9,153.34,522086,10331,247668,47.44,3.7977411119999998,7.559576692600001,-0.1632386549134835,50.23748374320447
ORIENTCEM, EQ, 25-Oct-2021,152.9,152.9,153.55,145.0,146.5,146.65,147.81,442135,8431,274748,62.14,4.061050188,5.936213327000001,-4.08763897972531,68.41145970157281
ORIENTCEM, EQ, 26-Oct-2021,146.65,148.9,158.7,148.0,156.3,155.8,154.48,1129725,13960,450649,39.89,6.961625752,5.2942722578,6.2393453801568395,131.49353514533567
ORIENTCEM, EQ, 27-Oct-2021,155.8,158.0,162.95,157.0,161.0,161.1,160.71,1607276,24115,958238,59.62,15.399842898000001,5.5842696634,3.4017971758664842,275.77183456831415
ORIENTCEM, EQ, 28-Oct-2021,161.1,162.2,163.5,158.15,160.85,160.5,160.98,784343,10450,387874,49.45,6.243995652,7.903505297,-0.3724394785847265,79.00286540416549
