SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ORIENTELEC, EQ, 14-Oct-2021,335.5,338.1,339.45,333.75,337.15,337.2,336.64,175594,9730,114489,65.2,3.854157696,,,
ORIENTELEC, EQ, 18-Oct-2021,337.2,339.5,342.45,333.0,337.05,336.95,338.11,274675,17148,151323,55.09,5.116381953,,,
ORIENTELEC, EQ, 19-Oct-2021,336.95,339.0,339.0,321.6,328.0,325.55,330.21,179806,12206,111183,61.83,3.671373843,,,
ORIENTELEC, EQ, 20-Oct-2021,325.55,325.2,335.2,321.0,324.1,325.3,327.37,291096,10186,142450,48.94,4.66338565,,,
ORIENTELEC, EQ, 21-Oct-2021,325.3,327.95,336.0,322.15,332.0,332.85,328.57,248786,9388,162654,65.38,5.3443224780000005,,,
ORIENTELEC, EQ, 22-Oct-2021,332.85,334.0,334.0,322.1,323.85,324.45,326.46,196225,12012,103855,52.93,3.3904503299999997,4.529924324000001,-2.523659305993701,74.84562848074631
ORIENTELEC, EQ, 25-Oct-2021,324.45,329.95,340.0,310.0,335.95,337.8,328.17,670334,28940,197549,29.47,6.482965533000001,4.437182850800001,4.114655570966258,146.10544011796034
ORIENTELEC, EQ, 26-Oct-2021,337.8,338.5,349.4,336.05,341.5,340.45,344.38,867870,34977,387749,44.68,13.353300062,4.7104995668,0.784487862640609,283.4794881654419
ORIENTELEC, EQ, 27-Oct-2021,340.45,345.55,353.05,337.15,339.0,340.1,347.13,975306,21751,498410,51.1,17.301306330000003,6.646884810600001,-0.1028051108826453,260.2919536443456
ORIENTELEC, EQ, 28-Oct-2021,340.1,342.95,350.0,337.15,347.0,345.9,343.68,360450,14560,125405,34.79,4.30991904,9.174468946600001,1.7053807703616446,46.97731351085152
ORIENTELEC, EQ, 29-Oct-2021,345.9,348.65,348.95,335.25,345.5,345.95,342.71,319349,20056,131855,41.29,4.518802705,8.967588259,0.0144550448106422,50.39039008581672
ORIENTELEC, EQ, 01-Nov-2021,345.95,348.0,359.95,346.0,358.0,357.15,355.33,571064,15855,204501,35.81,7.266534033,9.193258734,3.2374620609914695,79.04198329723633
ORIENTELEC, EQ, 02-Nov-2021,357.15,358.0,392.0,358.0,378.95,384.05,378.65,3059816,67420,991698,32.41,37.55064477,9.349972434,7.531849363012749,401.6123580584238
ORIENTELEC, EQ, 03-Nov-2021,384.05,379.9,382.5,372.6,377.35,376.3,376.49,641268,22025,222640,34.72,8.382173360000001,14.189441375600001,-2.0179664106236164,59.07331471423455
ORIENTELEC, EQ, 08-Nov-2021,384.0,387.0,395.0,377.05,391.5,392.35,390.17,699046,26312,293717,42.02,11.459956189,12.4056147816,4.265213925059796,92.3771726814974
ORIENTELEC, EQ, 09-Nov-2021,392.35,389.45,393.0,383.6,385.45,384.65,386.67,223986,9815,102714,45.86,3.9716422380000003,13.835622211399999,-1.9625334522747662,28.70591706911111
ORIENTELEC, EQ, 10-Nov-2021,384.65,384.45,385.0,375.0,375.05,376.3,379.42,257736,7179,181589,70.46,6.889849838000001,13.726190118,-2.170804627583509,50.19491773587571
ORIENTELEC, EQ, 11-Nov-2021,376.3,371.5,377.85,368.15,372.95,371.7,372.92,174331,8351,96251,55.21,3.5893922920000003,13.650853279,-1.2224289131012551,26.29427053854426
ORIENTELEC, EQ, 12-Nov-2021,371.7,371.4,379.45,362.35,366.05,365.4,369.74,252084,8565,149306,59.23,5.520440044000001,6.8586027834,-1.6949152542372912,80.48928066458699
ORIENTELEC, EQ, 15-Nov-2021,365.4,367.95,375.0,359.45,370.3,372.4,371.74,670096,12110,430774,64.29,16.013592676,6.2862561202,1.9157088122605366,254.73974285811502
ORIENTELEC, EQ, 16-Nov-2021,372.4,374.2,380.4,370.15,376.85,377.3,376.77,271261,12837,154962,57.13,5.838503274,7.1969834176,1.3157894736842197,81.12431188492279
ORIENTELEC, EQ, 17-Nov-2021,377.3,380.0,384.8,375.35,382.9,380.55,381.37,203170,8904,92978,45.76,3.545901986,7.5703556247999995,0.8613835144447388,46.839305334400045
ORIENTELEC, EQ, 18-Nov-2021,380.55,380.55,381.55,371.05,377.55,376.7,375.73,160310,8435,85702,53.46,3.220081246,6.9015660544,-1.0116936013664493,46.65725460885911
ORIENTELEC, EQ, 22-Nov-2021,376.7,378.0,378.0,365.0,367.4,367.45,371.52,229707,13517,120053,52.26,4.460209055999999,6.8277038452,-2.4555349084151845,65.32516871152235
ORIENTELEC, EQ, 23-Nov-2021,367.45,366.2,380.0,358.0,371.2,371.45,369.6,116231,7274,51644,44.43,1.9087622400000002,6.6156576476,1.0885834807456796,28.852191901019136
ORIENTELEC, EQ, 24-Nov-2021,371.45,371.45,380.0,367.15,378.9,377.15,374.11,103918,5357,48237,46.42,1.804594407,3.7946915603999996,1.5345268542199457,47.55575988921158
ORIENTELEC, EQ, 25-Nov-2021,377.15,372.2,377.05,369.0,370.4,372.2,371.91,152306,7514,73098,47.99,2.718587718,2.987909787,-1.3124751425162373,90.98627173511782
ORIENTELEC, EQ, 26-Nov-2021,372.2,363.1,370.9,348.15,359.0,359.05,360.38,730355,27449,512292,70.14,18.461979096,2.8224469333999997,-3.5330467490596393,654.1125318434305
ORIENTELEC, EQ, 29-Nov-2021,359.05,351.0,357.95,333.95,350.05,350.75,349.96,321695,13599,193721,60.22,6.779460115999999,5.8708265034,-2.3116557582509434,115.47709870277683
ORIENTELEC, EQ, 30-Nov-2021,350.75,345.0,408.0,345.0,400.0,388.85,384.24,1532718,26235,1140973,74.44,43.840746552,6.3346767154,10.862437633642202,692.0755157942058
ORIENTELEC, EQ, 01-Dec-2021,388.85,393.3,403.95,370.25,373.75,376.35,384.89,529950,28353,144813,27.33,5.573707557,14.721073577799999,-3.2146071750032146,37.86209971401397
ORIENTELEC, EQ, 02-Dec-2021,376.35,376.7,379.1,370.4,374.8,374.4,374.04,115086,7069,40802,35.45,1.526158008,15.4748962078,-0.5181347150259188,9.862153435515463
ORIENTELEC, EQ, 03-Dec-2021,374.4,377.0,384.95,373.0,373.8,374.8,378.3,163803,8036,54472,33.25,2.06067576,15.2364102658,0.10683760683761595,13.524680184186433
ORIENTELEC, EQ, 06-Dec-2021,374.8,376.9,383.65,366.3,370.3,370.2,376.95,139329,7942,45187,32.43,1.7033239649999998,11.9561495986,-1.2273212379936025,14.246425665328324
ORIENTELEC, EQ, 07-Dec-2021,370.2,375.25,376.1,369.0,371.0,371.2,373.3,173157,9337,119433,68.97,4.45843389,10.9409223684,0.2701242571582928,40.75007334735345
ORIENTELEC, EQ, 08-Dec-2021,371.2,367.2,380.0,367.2,375.3,375.7,375.0,109489,6498,45050,41.15,1.689375,3.064459836,1.2122844827586208,55.127986347020276
ORIENTELEC, EQ, 09-Dec-2021,375.7,377.0,378.95,371.2,372.0,373.0,374.61,43692,2813,17358,39.73,0.650248038,2.2875933246,-0.7186585041256291,28.42498406545665
ORIENTELEC, EQ, 10-Dec-2021,373.0,371.0,383.35,371.0,378.0,378.1,378.78,120377,4763,48241,40.07,1.827272598,2.1124113305999996,1.3672922252010784,86.50174194440578
ORIENTELEC, EQ, 13-Dec-2021,378.1,380.0,387.0,373.65,379.7,375.45,380.26,129152,5361,57710,44.68,2.19448046,2.0657306982000003,-0.7008727849775281,106.23264987600693
ORIENTELEC, EQ, 14-Dec-2021,375.45,377.35,392.0,375.7,391.15,389.7,386.86,392854,16557,110140,28.04,4.260876039999999,2.1639619972,3.79544546544147,196.9016112812168
ORIENTELEC, EQ, 15-Dec-2021,389.7,393.85,405.0,376.75,379.85,380.5,388.85,341965,16909,86461,25.28,3.3620359850000003,2.1244504271999998,-2.3607903515524735,158.25438626172718
ORIENTELEC, EQ, 16-Dec-2021,380.5,380.0,391.95,371.45,385.6,384.6,383.95,380538,13759,90463,23.77,3.473326885,2.4589826242,1.0775295663600586,141.25056642602365
ORIENTELEC, EQ, 17-Dec-2021,384.6,385.0,387.25,373.0,375.2,378.4,380.2,200350,12833,77900,38.88,2.961758,3.0235983936,-1.612064482579315,97.95474181588084
ORIENTELEC, EQ, 20-Dec-2021,378.4,377.75,377.75,353.15,360.7,363.35,362.76,201529,14533,82096,40.74,2.978114496,3.250495474,-3.9772727272727155,91.62032434197445
ORIENTELEC, EQ, 21-Dec-2021,363.35,362.2,372.95,362.2,367.2,366.85,367.55,83828,5508,26823,32.0,0.9858793650000001,3.4072222812,0.9632585661208201,28.93498819961873
ORIENTELEC, EQ, 22-Dec-2021,366.85,367.0,370.35,362.3,368.0,367.25,366.04,142346,10497,71652,50.34,2.622749808,2.7522229462000003,0.10903639089545517,95.29568858588422
ORIENTELEC, EQ, 23-Dec-2021,367.25,368.0,379.0,368.0,371.7,370.4,373.37,79291,4979,30192,38.08,1.127278704,2.6043657108000002,0.857726344452002,43.28419389509342
ORIENTELEC, EQ, 24-Dec-2021,370.4,373.4,375.95,368.0,370.65,369.9,371.53,62224,4552,15441,24.82,0.573679473,2.1351560746000002,-0.1349892008639309,26.86826878018615
ORIENTELEC, EQ, 27-Dec-2021,369.9,370.0,371.75,363.0,363.0,365.9,366.57,53345,3472,24659,46.23,0.9039249629999999,1.6575403692000001,-1.0813733441470668,54.534114510663336
