SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
PEL, EQ, 14-Oct-2021,2797.05,2801.0,2855.0,2801.0,2831.0,2835.75,2830.49,672686,40297,207216,30.8,58.652281583999994,,,
PEL, EQ, 18-Oct-2021,2835.75,2860.0,2877.9,2802.05,2813.4,2816.75,2844.5,481899,38108,188481,39.11,53.61342045,,,
PEL, EQ, 19-Oct-2021,2816.75,2816.75,2847.0,2728.05,2735.9,2746.7,2793.83,475052,30069,135756,28.58,37.927918548,,,
PEL, EQ, 20-Oct-2021,2746.7,2746.7,2772.7,2610.0,2665.5,2662.1,2694.69,659611,48339,151382,22.95,40.792756157999996,,,
PEL, EQ, 21-Oct-2021,2662.1,2688.7,2730.0,2660.0,2693.0,2683.2,2686.93,534027,37107,129130,24.18,34.69632709,,,
PEL, EQ, 22-Oct-2021,2683.2,2689.0,2709.7,2575.05,2600.0,2588.15,2629.61,461012,37113,118227,25.65,31.089090147000004,45.136540765999996,-3.542412045319012,68.87787504180756
PEL, EQ, 25-Oct-2021,2588.15,2607.8,2619.45,2510.0,2602.5,2601.25,2573.37,600208,40148,159454,26.57,41.03341399799999,39.6239024786,0.5061530436798449,103.55722538980415
PEL, EQ, 26-Oct-2021,2601.25,2603.0,2703.3,2595.2,2667.25,2673.2,2657.7,557597,36750,199873,35.85,53.120247209999995,37.107901188199996,2.765977895242665,143.1507725014957
PEL, EQ, 27-Oct-2021,2673.2,2673.0,2719.0,2667.4,2675.0,2676.35,2689.61,384103,19376,126322,32.89,33.975691442,40.146366920599995,0.11783630106240053,84.62955442318322
PEL, EQ, 28-Oct-2021,2676.35,2672.2,2710.0,2581.15,2588.95,2596.95,2640.19,399294,24431,127109,31.83,33.559191071,38.7829539774,-2.9667270723186463,86.53077609961313
