SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
PETRONET, EQ, 14-Oct-2021,233.2,233.45,235.8,229.8,230.45,230.5,231.71,6716578,34204,4919847,73.25,113.99777483700001,,,
PETRONET, EQ, 18-Oct-2021,230.5,243.2,243.55,233.0,234.5,234.35,235.58,5188190,45536,2449258,47.21,57.699619964,,,
PETRONET, EQ, 19-Oct-2021,234.35,234.55,235.8,230.0,230.85,230.75,232.41,2947552,21957,1301324,44.15,30.244071083999998,,,
PETRONET, EQ, 20-Oct-2021,230.75,230.85,233.0,227.8,231.0,230.95,229.61,5231637,36763,3488467,66.68,80.098690787,,,
PETRONET, EQ, 21-Oct-2021,230.95,233.2,234.3,229.2,232.95,233.0,232.43,4224152,22467,3092332,73.21,71.875072676,,,
PETRONET, EQ, 22-Oct-2021,233.0,232.75,232.75,228.0,230.05,229.75,229.72,2846395,22808,1841377,64.69,42.300112444,70.7830458696,-1.3948497854077253,59.76023202212482
PETRONET, EQ, 25-Oct-2021,229.75,229.7,231.75,227.0,229.2,229.05,229.14,3293327,21987,1754405,53.27,40.200436169999996,56.443513390999996,-0.3046789989118558,71.222419999833
PETRONET, EQ, 26-Oct-2021,229.05,228.6,232.55,228.3,231.75,232.05,231.06,1231027,12605,514378,41.78,11.885218068,52.9436766322,1.309757694826457,22.44879620009519
PETRONET, EQ, 27-Oct-2021,232.05,232.1,234.4,231.55,231.95,232.0,232.94,1784721,22681,907091,50.83,21.129777754,49.271906029,-0.02154708037061468,42.8840275461713
PETRONET, EQ, 28-Oct-2021,232.0,231.85,234.6,228.95,231.25,231.8,231.6,4318634,51234,2819832,65.29,65.30730912,37.4781234224,-0.08620689655171923,174.25448009749334
PETRONET, EQ, 29-Oct-2021,231.8,231.8,233.1,227.5,230.0,229.55,230.57,2046287,25232,978318,47.81,22.557078126,36.1645707112,-0.9706643658326143,62.37341597701913
PETRONET, EQ, 01-Nov-2021,229.55,229.9,232.65,227.05,231.85,232.05,229.85,1727300,29620,821681,47.57,18.886337785,32.2159638476,1.0890873448050533,58.624158738019496
PETRONET, EQ, 02-Nov-2021,232.05,232.0,232.85,229.75,230.6,230.85,231.07,2505326,24378,1102453,44.0,25.474381470999997,27.9531441706,-0.5171299288946422,91.13243689342443
