SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
PFC, EQ, 14-Oct-2021,142.7,143.55,153.0,142.65,148.75,148.95,148.62,32341697,148055,12786862,39.54,190.03834304400002,,,
PFC, EQ, 18-Oct-2021,148.95,151.2,153.75,149.6,150.6,150.8,151.38,13822669,82788,6125896,44.32,92.73381364800001,,,
PFC, EQ, 19-Oct-2021,150.8,151.85,151.85,143.25,143.9,144.15,147.39,6537785,43300,2525371,38.63,37.221443169,,,
PFC, EQ, 20-Oct-2021,144.15,144.25,144.3,138.75,140.6,140.45,141.04,8055405,48841,3410566,42.34,48.102622864,,,
PFC, EQ, 21-Oct-2021,140.45,141.25,142.7,139.05,141.7,142.0,141.24,5865843,33238,3001188,51.16,42.388779312,,,
PFC, EQ, 22-Oct-2021,142.0,142.75,142.75,135.75,137.3,137.1,137.77,6992311,50503,2346800,33.56,32.3318636,82.0970004074,-3.4507042253521165,39.38251512181399
PFC, EQ, 25-Oct-2021,137.1,137.3,138.0,135.1,136.35,136.45,136.72,4906111,39579,2245381,45.77,30.698849032,50.5557045186,-0.4741064916119663,60.72281916416683
PFC, EQ, 26-Oct-2021,136.45,136.45,140.0,135.75,137.9,137.2,138.3,6902462,27655,3461633,50.15,47.87438439,38.1487115954,0.549651887138146,125.49410553559225
PFC, EQ, 27-Oct-2021,137.2,138.8,141.7,138.05,139.9,139.95,140.38,6344489,35505,2378934,37.5,33.395475492,40.2792998396,2.0043731778425657,82.90977158239411
PFC, EQ, 28-Oct-2021,139.95,140.5,140.5,133.55,134.7,134.2,135.63,11612368,50287,6613529,56.95,89.69929382699999,37.337870365200004,-4.108610217934977,240.2367702004836
PFC, EQ, 29-Oct-2021,134.2,134.5,135.85,131.0,133.0,133.1,133.62,7012332,33683,3464114,49.4,46.287491268000004,46.7999732682,-0.8196721311475369,98.90495236554287
PFC, EQ, 01-Nov-2021,133.1,134.25,135.55,133.2,135.25,135.15,134.37,3628815,28613,1546098,42.61,20.774918826,49.5910988018,1.540195341848243,41.89243498925242
PFC, EQ, 02-Nov-2021,135.15,135.8,137.65,135.1,135.65,135.7,135.92,5035723,23508,2437460,48.4,33.12995632,47.606312760600005,0.40695523492414565,69.59151927308905
PFC, EQ, 03-Nov-2021,135.7,136.5,138.5,135.0,135.85,135.8,136.86,4768828,22290,1823259,38.23,24.953122674000003,44.6574271466,0.07369196757555103,55.876758399190074
PFC, EQ, 08-Nov-2021,137.05,137.0,140.7,136.9,140.2,140.35,139.22,3172209,17832,1284009,40.48,17.875973297999998,42.968956583,3.350515463917513,41.6020651175699
PFC, EQ, 09-Nov-2021,140.35,141.35,141.75,138.4,139.5,139.05,140.18,3714156,16845,1391777,37.47,19.509929986000003,28.604292477199998,-0.9262557890986697,68.20630155963843
PFC, EQ, 10-Nov-2021,139.05,139.0,140.9,138.15,140.5,140.25,139.77,5184711,18944,2843340,54.84,39.74136318,23.2487802208,0.8629989212513403,170.9395624310843
PFC, EQ, 11-Nov-2021,140.25,140.55,140.6,136.0,139.75,139.5,138.8,5877540,28638,1895169,32.24,26.304945720000003,27.042069091600002,-0.53475935828877,97.27416060840932
PFC, EQ, 12-Nov-2021,139.5,140.5,142.3,136.5,137.75,138.1,138.56,4692840,27272,1824202,38.87,25.276142912,25.677066971600006,-1.003584229390685,98.43859090275598
PFC, EQ, 15-Nov-2021,138.1,138.45,138.7,134.8,135.2,135.05,135.86,3148972,18462,1560041,49.54,21.194717026000003,25.741671019200005,-2.2085445329471276,82.33621278972699
PFC, EQ, 16-Nov-2021,135.05,135.1,135.9,132.6,133.1,133.05,134.13,2348516,16638,1082156,46.08,14.514958428,26.4054197648,-1.4809329877823028,54.96961819690254
PFC, EQ, 17-Nov-2021,133.05,132.75,134.0,131.55,132.0,131.85,132.41,3476936,19710,1678115,48.26,22.219920715,25.4064254532,-0.9019165727170365,87.45787854308858
PFC, EQ, 18-Nov-2021,131.85,131.75,132.9,129.15,129.55,129.45,130.44,3110565,22445,1335731,42.94,17.423275164,21.902136960200004,-1.8202502844141113,79.55057168924257
PFC, EQ, 22-Nov-2021,129.45,128.6,129.9,125.75,126.1,126.05,127.43,5476536,33062,2351553,42.94,29.965839879,20.125802849000003,-2.6264967168790974,148.89264345789277
PFC, EQ, 23-Nov-2021,126.05,126.3,127.95,125.1,126.55,126.5,126.22,6532390,26130,3582476,54.84,45.21801207199999,21.063742242400004,0.35700119000396896,214.6722626570076
PFC, EQ, 24-Nov-2021,126.5,125.0,126.4,123.7,124.0,124.1,125.31,6664120,47441,2937407,44.08,36.808647117,25.868401251599998,-1.8972332015810323,142.29192890195844
PFC, EQ, 25-Nov-2021,124.1,124.5,124.9,122.3,123.9,123.75,123.35,5662771,35238,2592123,45.77,31.973837205000002,30.327138989399998,-0.2820306204673605,105.42978424761915
PFC, EQ, 26-Nov-2021,123.75,123.0,123.55,118.7,119.1,119.05,120.71,5564597,33761,2424792,43.58,29.269664232,32.277922287399996,-3.7979797979798002,90.68013725104512
PFC, EQ, 29-Nov-2021,119.05,119.5,119.7,115.3,116.55,116.45,117.4,4166434,28800,1075571,25.82,12.62720354,34.647200100999996,-2.1839563208735777,36.44509081019667
PFC, EQ, 30-Nov-2021,116.45,116.7,119.85,115.8,116.95,116.3,117.65,5231194,28117,2119211,40.51,24.932517415,31.1794728332,-0.1288106483469349,79.96452521304907
PFC, EQ, 01-Dec-2021,116.3,117.35,119.8,117.3,119.65,119.5,118.68,3949104,21018,1523132,38.57,18.076530576000003,27.1223739018,2.7515047291487558,66.64803988562498
PFC, EQ, 02-Dec-2021,119.5,119.5,121.9,118.6,121.6,121.55,120.63,3360962,18465,1291292,38.42,15.576855396000001,23.375950593600002,1.7154811715481149,66.63624366259877
PFC, EQ, 03-Dec-2021,121.55,122.25,122.95,121.0,121.25,121.2,121.99,2825330,15080,1313694,46.5,16.025753106,20.0965542318,-0.2879473467708715,79.74378553235498
PFC, EQ, 06-Dec-2021,121.2,121.25,122.45,120.1,120.5,120.55,121.16,3072305,15466,1505733,49.01,18.243461028,17.4477720066,-0.536303630363041,104.56040473877704
PFC, EQ, 07-Dec-2021,120.55,121.6,123.6,120.8,122.7,122.65,122.51,2677431,14912,868053,32.42,10.634517303,18.5710235042,1.7420157610949882,57.26403448143239
PFC, EQ, 08-Dec-2021,122.65,124.0,124.0,122.8,123.25,123.3,123.31,2610358,17526,1124311,43.07,13.863878941,15.7114234818,0.5299633102323615,88.24075652381094
PFC, EQ, 09-Dec-2021,123.3,123.9,124.85,123.05,124.45,124.5,124.18,3286202,21548,1592009,48.45,19.769567762,14.8688931548,0.9732360097323624,132.95924287153787
PFC, EQ, 10-Dec-2021,124.5,123.5,124.15,122.35,123.35,123.15,123.12,4366995,26583,2525701,57.84,31.096430712,15.707435628000002,-1.0843373493975859,197.97267643464122
PFC, EQ, 13-Dec-2021,123.15,124.4,125.8,122.85,123.05,123.25,123.9,4354668,24989,1713196,39.34,21.22649844,18.721571149200003,0.08120178643929704,113.37989889223073
