SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
PHOENIXLTD, EQ, 14-Oct-2021,980.3,980.4,985.75,970.1,972.0,977.65,979.39,299567,8509,252722,84.36,24.751339958,,,
PHOENIXLTD, EQ, 18-Oct-2021,977.65,983.0,992.85,975.0,976.0,979.8,982.62,119702,12607,79124,66.1,7.774882487999999,,,
PHOENIXLTD, EQ, 19-Oct-2021,979.8,973.0,987.2,945.1,953.0,962.35,957.62,270669,20189,155976,57.63,14.936573712000001,,,
PHOENIXLTD, EQ, 20-Oct-2021,962.35,961.05,968.7,936.75,939.1,940.25,949.06,201781,17444,134112,66.46,12.728033472,,,
PHOENIXLTD, EQ, 21-Oct-2021,940.25,949.7,955.0,895.1,907.0,908.65,930.88,144993,8296,84446,58.24,7.8609092480000005,,,
PHOENIXLTD, EQ, 22-Oct-2021,908.65,912.7,939.0,890.05,922.0,920.8,905.49,241495,9972,165287,68.44,14.966572563,13.610347775600001,1.3371485170307573,109.9646593148147
PHOENIXLTD, EQ, 25-Oct-2021,920.8,937.9,974.0,912.5,942.0,959.4,945.31,260002,16551,135905,52.27,12.847235555,11.6533942966,4.192006950477848,110.24457963074599
PHOENIXLTD, EQ, 26-Oct-2021,959.4,951.1,975.0,940.25,959.95,951.95,957.15,74032,9183,29097,39.3,2.785019355,12.66786491,-0.7765269960391841,21.984915175417672
PHOENIXLTD, EQ, 27-Oct-2021,951.95,956.75,979.85,942.25,960.0,957.5,963.85,204484,11898,122872,60.09,11.84301772,10.237554038599999,0.5830138137507175,115.68210214419099
PHOENIXLTD, EQ, 28-Oct-2021,957.5,965.95,966.55,926.95,953.0,953.65,960.91,359642,7747,306242,85.15,29.427100021999998,10.0605508882,-0.4020887728459554,292.49988742182086
PHOENIXLTD, EQ, 29-Oct-2021,953.65,949.95,968.25,923.75,955.2,964.05,952.46,118489,7554,71260,60.14,6.787229960000001,14.373789042999999,1.0905468463272665,47.219490558095856
PHOENIXLTD, EQ, 01-Nov-2021,964.05,953.7,978.0,940.2,965.0,961.4,961.29,119652,11363,67870,56.72,6.52427523,12.7379205224,-0.2748820081945934,51.219311806247134
PHOENIXLTD, EQ, 02-Nov-2021,961.4,981.9,1065.0,980.0,1018.8,1010.8,1022.85,1294594,83326,456740,35.28,46.7176509,11.473328457400001,5.1383399209486145,407.18481191801254
PHOENIXLTD, EQ, 03-Nov-2021,1010.8,1024.9,1056.95,1005.0,1020.0,1019.8,1031.02,368782,32171,120091,32.56,12.381622281999999,20.259854766400004,0.890383854372774,61.114072261437556
PHOENIXLTD, EQ, 08-Nov-2021,1024.3,1070.0,1128.0,1039.5,1099.8,1100.6,1075.76,1536541,50524,846612,55.1,91.075132512,20.3675756788,7.923122180819764,447.15745235598837
PHOENIXLTD, EQ, 09-Nov-2021,1100.6,1100.0,1109.6,1074.0,1080.1,1089.5,1091.57,225660,21743,72697,32.22,7.935386428999999,32.6971821768,-1.0085407959294848,24.269328121584994
PHOENIXLTD, EQ, 10-Nov-2021,1089.5,1082.0,1094.75,1053.95,1067.2,1068.25,1073.99,100440,9640,29715,29.58,3.191361285,32.9268134706,-1.950435979807251,9.692287071293833
PHOENIXLTD, EQ, 11-Nov-2021,1068.25,1062.0,1110.0,1021.65,1091.3,1087.4,1062.61,144464,16423,55014,38.08,5.845842653999999,32.2602306816,1.7926515328808883,18.120895388805277
PHOENIXLTD, EQ, 12-Nov-2021,1087.4,1091.95,1151.0,1072.3,1082.0,1082.8,1112.52,363118,42395,128481,35.38,14.293768212,24.085869032399998,-0.42302740481884643,59.345038340830506
PHOENIXLTD, EQ, 15-Nov-2021,1082.8,1090.0,1130.0,1082.8,1122.0,1121.15,1108.02,136045,16191,53623,39.42,5.941535646,24.4682982184,3.5417436276320777,24.282586361204327
PHOENIXLTD, EQ, 16-Nov-2021,1121.15,1150.0,1195.0,1050.1,1067.0,1072.85,1116.28,717570,52711,282754,39.4,31.563263512,7.4415788452000005,-4.3080765285644365,424.1474043154038
