SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
PNB, EQ, 14-Oct-2021,41.45,41.8,42.7,41.7,42.45,42.55,42.33,128521477,137579,51737305,40.26,219.004012065,,,
PNB, EQ, 18-Oct-2021,42.55,42.95,48.2,42.75,45.85,46.0,45.54,405179433,430004,108907456,26.88,495.96455462399996,,,
PNB, EQ, 19-Oct-2021,46.0,46.9,47.5,43.9,44.0,44.15,45.48,150882735,204001,39870838,26.43,181.33257122399996,,,
PNB, EQ, 20-Oct-2021,44.15,43.9,44.5,42.65,43.45,43.1,43.56,115424264,130143,27601864,23.91,120.23371958400001,,,
PNB, EQ, 21-Oct-2021,43.1,43.9,44.9,43.45,44.8,44.65,44.32,122750629,156660,31374896,25.56,139.053539072,,,
PNB, EQ, 22-Oct-2021,44.65,45.2,46.25,43.65,43.85,43.95,44.95,102347062,147740,28161181,27.52,126.584508595,231.1176793138,-1.567749160134369,54.77058655609375
PNB, EQ, 25-Oct-2021,43.95,44.25,45.65,43.15,44.95,44.9,44.68,153458794,163527,45729313,29.8,204.318570484,212.6337786198,2.161547212741742,96.08942276726971
PNB, EQ, 26-Oct-2021,44.9,45.35,47.6,45.2,45.95,45.85,46.35,214146592,232802,55623717,25.97,257.81592829500005,154.3045817918,2.115812917594661,167.08248407222658
PNB, EQ, 27-Oct-2021,45.85,46.2,47.1,45.75,46.2,46.3,46.49,111681059,136663,23884062,21.39,111.03700423800001,169.601253206,0.981461286804789,65.46944797815435
PNB, EQ, 28-Oct-2021,46.3,45.0,45.0,41.0,41.4,41.35,42.19,321343621,367192,90140165,28.05,380.301356135,167.76191013680003,-10.691144708423318,226.69112185530463
PNB, EQ, 29-Oct-2021,41.35,41.5,43.1,40.6,42.2,42.1,42.04,146781564,163877,20280058,13.82,85.257363832,216.01147354940002,1.8137847642079805,39.46890525354541
PNB, EQ, 01-Nov-2021,42.1,42.55,42.65,41.8,42.1,42.1,42.15,42645900,72900,10173660,23.86,42.8819769,207.7460445968,0.0,20.641537114810863
PNB, EQ, 02-Nov-2021,42.1,42.35,42.45,41.8,42.05,42.1,42.17,52725424,64563,16338911,30.99,68.901187687,175.45872588000003,0.0,39.2691713344157
PNB, EQ, 03-Nov-2021,42.1,42.2,42.65,41.15,41.25,41.35,42.01,64044920,75961,15689046,24.5,65.90968224599999,137.6757777584,-1.7814726840855106,47.873114152048906
PNB, EQ, 08-Nov-2021,41.9,42.25,42.6,41.9,42.45,42.4,42.29,55791255,77825,16359763,29.32,69.185437727,128.65031335999998,2.539298669891166,53.777900667369195
PNB, EQ, 09-Nov-2021,42.4,42.6,43.25,42.5,42.85,42.9,42.96,55276093,77017,15156092,27.42,65.11057123200001,66.42712967840001,1.179245283018868,98.01804104320934
PNB, EQ, 10-Nov-2021,42.9,42.8,42.9,42.05,42.25,42.25,42.48,41151809,56557,12132634,29.48,51.539429231999996,62.3977711584,-1.5151515151515118,82.59818944680647
PNB, EQ, 11-Nov-2021,42.25,42.4,42.45,41.65,41.9,41.85,42.01,35549697,49398,11038357,31.05,46.372137757,64.1292616248,-0.9467455621301742,72.31041896023798
PNB, EQ, 12-Nov-2021,41.85,42.2,42.25,41.55,41.8,41.75,41.76,28798008,55906,8449011,29.34,35.283069936,59.6234516388,-0.2389486260454036,59.17649677470118
PNB, EQ, 15-Nov-2021,41.75,42.05,42.1,41.45,41.7,41.6,41.67,29300908,47414,8906494,30.4,37.113360498,53.4981291768,-0.3592814371257451,69.37319317344387
PNB, EQ, 16-Nov-2021,41.6,41.85,41.85,40.95,41.0,41.1,41.38,37098708,46515,12613404,34.0,52.19426575200001,47.083713731,-1.2019230769230769,110.8541820855461
PNB, EQ, 17-Nov-2021,41.1,40.9,41.4,40.5,40.65,40.65,40.88,37455760,54168,11713420,31.27,47.884460960000006,44.500452635,-1.094890510948912,107.60443574081413
PNB, EQ, 18-Nov-2021,40.65,40.85,42.2,40.8,41.6,41.65,41.64,123654620,132114,29088684,23.52,121.125280176,43.7694589806,2.4600246002460024,276.73469811378413
PNB, EQ, 22-Nov-2021,41.65,41.65,41.8,39.35,39.95,39.9,40.34,66795201,99223,17553284,26.28,70.809947656,58.7200874644,-4.201680672268908,120.58896829629158
PNB, EQ, 23-Nov-2021,39.9,39.6,40.85,39.45,40.75,40.65,40.38,54899992,67463,8597857,15.66,34.718146566,65.8254630084,1.8796992481203008,52.74273051686641
PNB, EQ, 24-Nov-2021,40.65,40.75,41.15,40.2,40.35,40.45,40.85,40887058,54775,9449555,23.11,38.601432175,65.346420222,-0.49200492004919,59.071992075250904
PNB, EQ, 25-Nov-2021,40.45,40.45,40.55,39.85,40.05,39.95,40.05,44234204,51135,10384882,23.48,41.591452409999995,62.62785350660001,-1.2360939431396787,66.41047087078739
PNB, EQ, 26-Nov-2021,39.95,39.75,39.75,38.25,38.4,38.5,39.02,55545650,100903,17424636,31.37,67.99092967200001,61.3692517966,-3.629536921151446,110.78989507212285
PNB, EQ, 29-Nov-2021,38.5,38.2,38.45,37.1,37.6,37.6,37.9,47437170,77040,9602537,20.24,36.39361523,50.7423816958,-2.337662337662334,71.72232365476913
PNB, EQ, 30-Nov-2021,37.6,37.75,38.5,37.05,37.1,37.3,37.83,52315588,71097,11891018,22.73,44.983721093999996,43.8591152106,-0.7978723404255433,102.56413262784699
PNB, EQ, 01-Dec-2021,37.3,37.4,38.55,37.15,38.5,38.35,37.72,40315749,52199,8774711,21.76,33.098209892,45.9122301162,2.815013404825749,72.09018121801361
PNB, EQ, 02-Dec-2021,38.35,38.3,38.6,37.95,38.5,38.5,38.29,32390148,48029,5793812,17.89,22.184506148,44.8115856596,0.3911342894393705,49.50618421878452
PNB, EQ, 03-Dec-2021,38.5,38.55,39.1,38.35,38.5,38.5,38.66,29288326,44758,5727413,19.56,22.142178658,40.9301964072,0.0,54.09741609279203
PNB, EQ, 06-Dec-2021,38.5,38.5,38.9,37.85,38.05,38.0,38.33,40915598,54952,5947161,14.54,22.795468113,31.7604462044,-1.2987012987012987,71.77313557339751
PNB, EQ, 07-Dec-2021,38.0,38.3,38.85,38.2,38.45,38.5,38.51,31500355,42480,5291210,16.8,20.37644971,29.040816781,1.3157894736842104,70.16486438264134
PNB, EQ, 08-Dec-2021,38.5,38.75,39.45,38.55,39.4,39.35,39.0,41296620,51998,9482767,22.96,36.9827913,24.1193625042,2.207792207792212,153.33237474066755
PNB, EQ, 09-Dec-2021,39.35,39.5,39.9,39.15,39.55,39.5,39.54,35479922,52238,8098000,22.82,32.019492,24.8962787858,0.3811944091486622,128.61155787772927
PNB, EQ, 10-Dec-2021,39.5,39.5,41.05,39.25,40.8,40.75,40.14,52245056,68155,12062084,23.09,48.417205175999996,26.8632759562,3.1645569620253164,180.23566915272443
PNB, EQ, 13-Dec-2021,40.75,41.25,41.4,40.15,40.25,40.25,40.69,46056603,74368,12162647,26.41,49.48981064299999,32.1182812598,-1.2269938650306749,154.08611140392063
PNB, EQ, 14-Dec-2021,40.25,40.1,40.45,39.55,40.1,40.15,39.97,40950927,50016,7822337,19.1,31.265880989,37.4571497658,-0.24844720496894762,83.47106275968468
PNB, EQ, 15-Dec-2021,40.15,40.05,40.45,39.65,39.7,39.75,40.1,30984077,45698,5531248,17.85,22.18030448,39.6350360216,-0.9962640099626366,55.961358198116294
PNB, EQ, 16-Dec-2021,39.75,39.8,40.2,39.1,39.4,39.4,39.51,34881495,42649,5073428,14.54,20.045114028,36.674538657599996,-0.8805031446540916,54.656758507979454
PNB, EQ, 17-Dec-2021,39.4,39.25,39.4,37.9,38.0,38.0,38.33,47068060,66038,13370586,28.41,51.249456138,34.2796630632,-3.5532994923857837,149.50396695414858
PNB, EQ, 20-Dec-2021,38.0,37.5,37.65,35.95,36.65,36.75,36.68,55096010,99364,17185065,31.19,63.03481842000001,34.8461132556,-3.289473684210526,180.89483311275725
PNB, EQ, 21-Dec-2021,36.75,36.9,37.6,36.6,37.15,36.95,37.16,60527831,63454,12645114,20.89,46.989243624,37.555114810999996,0.5442176870748378,125.12075614860514
PNB, EQ, 22-Dec-2021,36.95,37.25,38.0,37.0,37.55,37.45,37.45,37841483,48163,7298855,19.29,27.334211975,40.699787338,1.3531799729364005,67.16057690424093
PNB, EQ, 23-Dec-2021,37.45,37.75,38.25,37.6,37.95,38.0,37.9,35679028,41761,5318499,14.91,20.15711121,41.73056883699999,1.4686248331108067,48.30298692724241
PNB, EQ, 24-Dec-2021,38.0,38.0,38.15,36.25,36.95,36.85,37.04,57414841,71815,13679578,23.83,50.669156912,41.7529682734,-3.0263157894736805,121.35462221563857
