SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
POWERGRID, EQ, 14-Oct-2021,199.4,200.2,205.95,198.25,204.95,204.65,203.22,14389092,89060,7224792,50.21,146.822223024,,,
POWERGRID, EQ, 18-Oct-2021,204.65,209.8,209.95,202.15,202.8,203.8,206.14,28909774,97054,18371344,63.55,378.706885216,,,
POWERGRID, EQ, 19-Oct-2021,203.8,204.0,204.8,197.0,197.6,198.65,201.39,12130633,65716,7815881,64.43,157.404027459,,,
POWERGRID, EQ, 20-Oct-2021,198.65,200.0,200.25,193.35,194.2,194.35,195.4,16432451,87405,11315668,68.86,221.10815272000002,,,
POWERGRID, EQ, 21-Oct-2021,194.35,196.25,197.35,193.5,195.05,194.05,194.8,12709911,84012,9306896,73.23,181.29833408000002,,,
POWERGRID, EQ, 22-Oct-2021,194.05,195.9,197.0,191.25,193.6,194.45,194.01,5779403,58706,3106018,53.74,60.25985521799999,217.06792449980003,0.20613244009274784,27.760828946450587
POWERGRID, EQ, 25-Oct-2021,194.45,194.45,195.0,190.5,192.1,192.65,192.5,5896815,60229,2849104,48.32,54.845252,199.7554509386,-0.9256878374903487,27.456197937175748
POWERGRID, EQ, 26-Oct-2021,192.65,192.6,192.95,189.7,191.2,190.4,190.92,6394388,42087,3911211,61.17,74.672840412,134.9831242954,-1.1679211004412147,55.320130425033234
POWERGRID, EQ, 27-Oct-2021,190.4,190.15,191.85,188.55,189.75,190.25,190.14,7397010,55919,4522049,61.13,85.98223968599999,118.436886886,-0.078781512605045,72.59751750209473
POWERGRID, EQ, 28-Oct-2021,190.25,190.7,191.1,185.25,186.4,185.9,187.9,8321429,67850,4769005,57.31,89.60960395,91.4117042792,-2.2864651773981572,98.0285890702838
POWERGRID, EQ, 29-Oct-2021,185.9,186.9,188.65,181.3,185.7,185.05,186.08,9741027,77538,5430023,55.74,101.041867984,73.0739582532,-0.45723507261968493,138.27342927543583
POWERGRID, EQ, 01-Nov-2021,185.05,184.6,188.5,184.55,188.25,187.75,186.8,4106365,82929,2488957,60.61,46.493716760000005,81.2303608064,1.459065117535795,57.23687091678761
POWERGRID, EQ, 02-Nov-2021,187.75,188.65,191.25,185.15,185.55,185.5,187.68,8210168,43655,4414075,53.76,82.8433596,79.5600537584,-1.1984021304926764,104.12682707778254
POWERGRID, EQ, 03-Nov-2021,185.5,185.5,187.3,183.0,183.9,183.95,184.55,10468296,50720,7086864,67.7,130.78807512,81.194157596,-0.835579514824804,161.08064790913383
POWERGRID, EQ, 08-Nov-2021,185.05,187.6,190.35,184.6,188.65,189.15,188.31,8960493,58367,5572450,62.19,104.93480595,90.1553246828,2.826855123674921,116.39335371393726
POWERGRID, EQ, 09-Nov-2021,189.15,190.35,190.35,185.3,187.1,186.55,186.86,7785863,59512,4703329,60.41,87.886405694,93.22036508279999,-1.3745704467353923,94.27811789402212
POWERGRID, EQ, 10-Nov-2021,186.55,185.95,186.5,183.55,184.55,184.4,184.91,10393389,65093,6031632,58.03,111.53090731199998,90.5892726248,-1.152506030554814,123.11712422500116
POWERGRID, EQ, 11-Nov-2021,184.4,185.0,185.25,180.7,182.3,182.15,182.3,6638516,74792,3936957,59.3,71.77072611,103.5967107352,-1.2201735357917571,69.2789622379524
POWERGRID, EQ, 12-Nov-2021,182.15,183.7,183.7,180.3,182.0,182.0,181.78,7193005,70263,5076152,70.57,92.27429105600001,101.38218403719999,-0.0823497117760119,91.0162785821836
POWERGRID, EQ, 15-Nov-2021,182.0,182.2,188.75,182.0,187.7,188.3,185.6,18616006,95425,13317745,71.54,247.1773472,93.6794272244,3.461538461538468,263.85446039065823
POWERGRID, EQ, 16-Nov-2021,188.3,189.0,191.35,186.5,187.8,187.6,188.84,17404748,67303,12455223,71.56,235.20443113200002,122.12793547439999,-0.3717472118959198,192.58855905355307
POWERGRID, EQ, 17-Nov-2021,187.6,187.0,193.8,187.0,190.65,191.05,191.41,13769624,94920,6133498,44.54,117.40128521800001,151.591540562,1.8390191897654677,77.44580257101063
POWERGRID, EQ, 18-Nov-2021,191.05,191.85,194.45,191.05,192.0,192.5,192.66,8057200,79224,2640059,32.77,50.863376694,152.76561614320002,0.7589636220884526,33.295042417347034
POWERGRID, EQ, 22-Nov-2021,192.5,194.4,197.0,192.0,193.8,194.2,194.36,18821791,144811,7890033,41.92,153.350681388,148.58414626,0.8831168831168771,103.20797019599874
POWERGRID, EQ, 23-Nov-2021,194.2,193.25,202.4,193.15,202.0,201.85,199.23,14753654,101632,8302018,56.27,165.401104614,160.79942432640001,3.939237899073124,102.86175171763003
POWERGRID, EQ, 24-Nov-2021,201.85,202.2,207.45,202.0,202.85,203.3,204.8,13590359,113202,6984381,51.39,143.04012288,144.4441758092,0.7183552142680293,99.02796154892764
POWERGRID, EQ, 25-Nov-2021,203.3,202.6,205.0,201.25,204.85,204.25,203.53,13903091,60247,10436646,75.07,212.417056038,126.01131415879999,0.4672897196261626,168.5698283967669
POWERGRID, EQ, 26-Nov-2021,204.25,204.05,204.95,200.8,202.5,202.0,203.0,9610903,78146,6082435,63.29,123.4734305,145.01446832279998,-1.101591187270502,85.14559404179592
POWERGRID, EQ, 29-Nov-2021,202.0,199.0,204.0,198.5,199.5,200.25,201.48,12049611,87772,6542900,54.3,131.8263492,159.53647908399998,-0.8663366336633664,82.63085029637021
POWERGRID, EQ, 30-Nov-2021,200.25,200.3,209.5,200.3,206.5,206.75,206.65,28304736,185274,14650181,51.76,302.745990365,155.2316126464,3.245942571785269,195.02856744432657
POWERGRID, EQ, 01-Dec-2021,206.75,207.0,208.75,204.7,207.3,207.2,206.47,15249613,84247,10262409,67.3,211.887958623,182.7005897966,0.2176541717049522,115.97551976098939
POWERGRID, EQ, 02-Dec-2021,207.2,209.0,216.0,206.5,215.0,214.5,213.5,25319133,211262,10294804,40.66,219.7940654,196.47015694520002,3.5231660231660284,111.8714764712615
POWERGRID, EQ, 03-Dec-2021,214.5,213.15,216.45,205.5,205.8,206.1,212.37,35710637,127172,26074158,73.02,553.736893446,197.94555881760002,-3.9160839160839185,279.742014296087
POWERGRID, EQ, 06-Dec-2021,206.1,207.35,208.0,201.35,202.35,202.0,203.36,8491835,76192,4438678,52.27,90.26495580800001,283.9982514068,-1.9893255701115935,31.783630836058986
POWERGRID, EQ, 07-Dec-2021,202.0,202.6,206.95,202.15,205.5,205.8,205.27,6036827,60032,2906261,48.14,59.656819547000005,275.68597272840003,1.8811881188118866,21.639410578851844
POWERGRID, EQ, 08-Dec-2021,205.8,205.15,207.65,203.55,205.1,204.8,205.66,6591337,56641,4027349,61.1,82.82645953400001,227.0681385648,-0.4859086491739553,36.47647796714696
POWERGRID, EQ, 09-Dec-2021,204.8,205.5,206.45,202.1,203.5,203.2,203.41,4316567,38548,2514644,58.26,51.150373603999995,201.255838747,-0.7812500000000111,25.41559734239634
POWERGRID, EQ, 10-Dec-2021,203.2,204.25,204.25,201.85,202.0,202.65,202.66,4623302,40283,2958754,64.0,59.962108564,167.5271003878,-0.2706692913385743,35.79248278349995
POWERGRID, EQ, 13-Dec-2021,202.65,205.5,209.65,203.7,204.6,204.4,207.33,16236095,75652,9669700,59.56,200.48189010000002,68.77214341140001,0.8635578583765112,291.5161287044707
POWERGRID, EQ, 14-Dec-2021,204.4,204.1,213.15,203.2,212.3,212.25,209.7,36031527,153457,21826499,60.58,457.70168403,90.8155302698,3.840508806262228,503.99054288427703
POWERGRID, EQ, 15-Dec-2021,212.25,213.1,215.65,207.8,208.15,209.85,212.14,11405480,91786,4929022,43.22,104.56427270799999,170.42450316640003,-1.1307420494699674,61.35518705658478
POWERGRID, EQ, 16-Dec-2021,209.85,211.4,211.8,206.3,209.0,208.2,208.1,10058053,88328,5674398,56.42,118.08422238,174.7720658012,-0.7862759113652636,67.56470025039278
POWERGRID, EQ, 17-Dec-2021,208.2,208.2,210.5,205.05,209.8,209.95,208.67,11407061,71000,6664319,58.42,139.064344573,188.1588355564,0.8405379442843421,73.90795343826197
POWERGRID, EQ, 20-Dec-2021,209.95,210.75,212.65,207.5,209.7,209.85,210.13,16904435,125610,7749030,45.84,162.83036739,203.9792827582,-0.04763038818766102,79.82691437493752
POWERGRID, EQ, 21-Dec-2021,209.85,211.45,211.75,204.8,206.2,206.6,206.98,13174884,98168,6762790,51.33,139.97622742000001,196.4489782162,-1.5487252799618776,71.25322243516612
POWERGRID, EQ, 22-Dec-2021,206.6,199.8,203.0,198.0,201.45,201.55,200.67,11062674,91685,3973330,35.92,79.73281311,132.90388689419999,-2.444336882865432,59.99283766130363
POWERGRID, EQ, 23-Dec-2021,201.55,202.5,209.6,202.05,208.95,208.35,207.38,11949367,77324,5053772,42.29,104.805123736,127.9375949746,3.3738526420243033,81.9189416190037
POWERGRID, EQ, 24-Dec-2021,208.35,208.2,208.7,204.85,205.15,205.4,206.08,6731977,59820,3451321,51.27,71.124823168,125.2817752458,-1.4158867290616697,56.77188324355614
POWERGRID, EQ, 27-Dec-2021,205.4,205.4,207.25,205.0,206.9,206.1,206.16,6486141,44884,3768669,58.1,77.69488010399999,111.6938709648,0.3407984420642593,69.56055818719481
POWERGRID, EQ, 28-Dec-2021,206.1,206.65,208.65,203.3,205.4,205.6,205.07,11802155,80147,6192341,52.47,126.986336887,94.6667735076,-0.24260067928190202,134.14034532063707
POWERGRID, EQ, 29-Dec-2021,205.6,203.0,205.9,202.7,204.9,204.6,204.25,12879708,58173,8082662,62.76,165.08837135,92.06879540099999,-0.48638132295719844,179.30979832088354
POWERGRID, EQ, 30-Dec-2021,204.6,204.6,211.4,201.65,204.05,205.35,205.16,65610905,113111,30148258,45.95,618.521661128,109.139907049,0.36656891495601174,566.723646603717
POWERGRID, EQ, 31-Dec-2021,205.35,204.0,206.2,203.55,204.5,204.4,204.88,7381668,54609,4069799,55.13,83.382041912,211.8832145274,-0.46262478694910575,39.35283033060522
POWERGRID, EQ, 03-Jan-2022,204.4,205.4,206.95,204.15,205.15,205.0,205.5,5557541,48334,2951641,53.11,60.65622255,214.33465827619997,0.2935420743639894,28.299773372086207
POWERGRID, EQ, 04-Jan-2022,205.0,206.3,213.0,205.5,210.4,210.6,210.26,11088068,78872,3043332,27.45,63.989098631999994,210.9269267654,2.731707317073168,30.337093330511955
POWERGRID, EQ, 05-Jan-2022,210.6,210.0,211.35,208.05,208.4,208.65,209.39,7173831,50863,4172403,58.16,87.36594641699999,198.3274791144,-0.9259259259259205,44.05135728398243
POWERGRID, EQ, 06-Jan-2022,208.65,207.75,208.7,204.65,206.5,205.95,206.16,4211949,60426,2212771,52.54,45.618486936000004,182.7829941278,-1.2940330697340126,24.957730424365423
POWERGRID, EQ, 07-Jan-2022,205.95,206.95,208.5,204.5,205.1,205.2,205.6,8931187,52329,5960908,66.74,122.55626848,68.2023592894,-0.36416605972323385,179.69505711666443
POWERGRID, EQ, 10-Jan-2022,205.2,207.25,207.25,203.45,204.2,204.0,204.95,8314283,57137,5566455,66.95,114.084495225,76.037204603,-0.5847953216374214,150.03772932033704
POWERGRID, EQ, 11-Jan-2022,204.0,204.55,205.8,203.5,204.2,203.85,204.22,5406592,69082,3688757,68.23,75.331795454,86.722859138,-0.07352941176470867,86.86498139334444
POWERGRID, EQ, 12-Jan-2022,203.85,206.0,206.7,204.35,204.7,204.95,205.42,8263605,66894,5193061,62.84,106.67585906199999,88.99139850239999,0.5396124601422586,119.87210096391851
POWERGRID, EQ, 13-Jan-2022,204.95,207.6,211.5,206.55,208.0,208.0,209.28,15392106,104552,7205295,46.81,150.79241376,92.8533810314,1.4881678458160583,162.39840928248685
POWERGRID, EQ, 14-Jan-2022,208.0,207.95,209.65,206.55,207.75,207.75,207.95,10637741,69808,5964098,56.07,124.02341790999999,113.88816639619999,-0.1201923076923077,108.89930168735967
