SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
POWERINDIA, EQ, 14-Oct-2021,2461.75,2485.25,2749.0,2432.6,2620.0,2618.4,2653.13,259377,36619,61432,23.68,16.298708216,,,
POWERINDIA, EQ, 18-Oct-2021,2618.4,2649.0,2798.0,2601.9,2667.95,2664.6,2702.77,105957,18896,26222,24.75,7.087203494,,,
POWERINDIA, EQ, 19-Oct-2021,2664.6,2682.8,2702.85,2500.0,2564.0,2551.5,2597.82,47197,8023,22748,48.2,5.909520936000001,,,
POWERINDIA, EQ, 20-Oct-2021,2551.5,2562.0,2589.6,2425.0,2532.0,2494.6,2514.87,41164,7857,16218,39.4,4.078616166,,,
POWERINDIA, EQ, 21-Oct-2021,2494.6,2530.0,2559.95,2438.15,2514.95,2480.4,2471.64,28221,5437,11622,41.18,2.8725400079999996,,,
POWERINDIA, EQ, 22-Oct-2021,2480.4,2495.25,2565.5,2347.7,2445.15,2438.9,2462.58,32108,5455,13289,41.39,3.272522562,7.249317764,-1.673117239154975,45.142490211303695
POWERINDIA, EQ, 25-Oct-2021,2438.9,2400.0,2400.0,2240.0,2294.0,2280.45,2297.71,66132,11494,32714,49.47,7.516728494,4.6440806332,-6.49678133584814,161.8561150782734
POWERINDIA, EQ, 26-Oct-2021,2280.45,2300.0,2370.0,2294.0,2338.95,2342.85,2343.92,45123,7237,28028,62.11,6.5695389760000005,4.7299856332,2.7363020456488893,138.89130930732824
POWERINDIA, EQ, 27-Oct-2021,2342.85,2362.0,2380.65,2279.5,2290.0,2290.75,2316.35,25498,4492,14724,57.75,3.41059374,4.8619892412,-2.223787267644105,70.14811367945813
POWERINDIA, EQ, 28-Oct-2021,2290.75,2307.25,2314.75,2222.0,2259.9,2249.2,2266.69,27648,5145,17103,61.86,3.876719907,4.728384756,-1.8138164356651831,81.98824983691748
POWERINDIA, EQ, 29-Oct-2021,2249.2,2243.0,2279.0,2190.0,2200.0,2212.6,2229.96,37661,9242,18371,48.78,4.096659516000001,4.9292207357999995,-1.627245242752975,83.10967870127496
POWERINDIA, EQ, 01-Nov-2021,2212.6,2205.1,2257.7,2160.0,2185.4,2170.5,2191.92,40225,7802,21407,53.22,4.692243144000001,5.094048126600001,-1.9027388592605943,92.11226567527184
