SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
PSB, EQ, 14-Oct-2021,18.25,18.45,19.0,18.15,18.6,18.55,18.58,1614412,3352,1051721,65.15,1.954097618,,,
PSB, EQ, 18-Oct-2021,18.55,18.65,19.5,18.6,19.3,19.2,19.13,2448782,4859,1252498,51.15,2.3960286739999996,,,
PSB, EQ, 19-Oct-2021,19.2,19.35,19.95,17.8,18.15,18.3,18.92,1204884,3432,678608,56.32,1.2839263360000002,,,
PSB, EQ, 20-Oct-2021,18.3,18.3,18.95,17.95,18.25,18.15,18.33,744164,2263,354234,47.6,0.649310922,,,
PSB, EQ, 21-Oct-2021,18.15,18.75,18.9,18.15,18.6,18.5,18.54,1336456,3075,529976,39.66,0.9825755039999999,,,
PSB, EQ, 22-Oct-2021,18.5,18.7,19.0,17.85,18.15,18.0,18.28,1411905,3327,599654,42.47,1.096167512,1.4531878107999998,-2.7027027027027026,75.43192310404426
PSB, EQ, 25-Oct-2021,18.0,18.25,18.6,18.05,18.15,18.1,18.26,1061325,2192,478520,45.09,0.8737775200000001,1.2816017895999998,0.5555555555555635,68.17855024006438
PSB, EQ, 26-Oct-2021,18.1,18.1,18.7,18.0,18.45,18.45,18.47,1017192,2011,470731,46.28,0.869440157,0.9771515587999999,1.9337016574585517,88.97700148661934
PSB, EQ, 27-Oct-2021,18.45,18.75,18.9,18.4,18.4,18.5,18.68,978622,1998,481147,49.17,0.8987825959999999,0.894254323,0.27100271002710413,100.5063741805361
PSB, EQ, 28-Oct-2021,18.5,18.65,18.65,17.8,17.9,17.85,18.07,616411,2009,379537,61.57,0.685823359,0.9441486577999999,-3.513513513513506,72.6393405672011
PSB, EQ, 29-Oct-2021,17.85,17.75,18.2,17.6,17.85,17.8,17.94,739849,2055,333658,45.1,0.598582452,0.8847982288,-0.2801120448179311,67.65185920543968
PSB, EQ, 01-Nov-2021,17.8,18.25,19.15,18.05,18.15,18.2,18.45,3500779,5237,630879,18.02,1.163971755,0.7852812168,2.2471910112359472,148.223557382813
PSB, EQ, 02-Nov-2021,18.2,18.4,18.65,18.05,18.2,18.2,18.37,640661,1692,342943,53.53,0.629986291,0.8433200637999999,0.0,74.7031071644711
PSB, EQ, 03-Nov-2021,18.2,18.35,18.4,17.55,17.75,17.7,17.82,1268837,2108,651998,51.39,1.161860436,0.7954292905999999,-2.7472527472527473,146.06709228969902
PSB, EQ, 08-Nov-2021,18.1,18.3,18.3,17.9,17.95,17.95,17.99,538931,1367,370529,68.75,0.6665816709999999,0.8480448586000001,1.4124293785310735,78.60217112812053
PSB, EQ, 09-Nov-2021,17.95,18.1,18.35,17.95,18.1,18.05,18.11,667735,1494,275002,41.18,0.498028622,0.844196521,0.5571030640668604,58.994394031623834
PSB, EQ, 10-Nov-2021,18.05,18.0,18.15,17.9,18.0,17.95,18.02,370287,1036,191087,51.61,0.34433877399999996,0.8240857549999999,-0.5540166204986229,41.78433760209821
PSB, EQ, 11-Nov-2021,17.95,18.0,18.1,17.5,17.75,17.75,17.79,399719,1201,255207,63.85,0.45401325299999995,0.6601591588,-1.1142061281337008,68.773302157207
