SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
RAILTEL, EQ, 14-Oct-2021,133.45,134.55,137.2,133.35,134.55,134.35,135.22,1372834,13290,614039,44.73,8.303035358,,,
RAILTEL, EQ, 18-Oct-2021,134.35,135.6,141.9,134.65,139.05,139.35,137.86,3281998,26485,1525416,46.48,21.029384976000003,,,
RAILTEL, EQ, 19-Oct-2021,139.35,140.8,141.95,132.6,133.8,134.0,138.2,2658728,21905,1239132,46.61,17.124804239999996,,,
RAILTEL, EQ, 20-Oct-2021,134.0,133.8,133.8,128.3,129.0,128.9,129.88,2023640,17337,1217544,60.17,15.813461472,,,
RAILTEL, EQ, 21-Oct-2021,128.9,129.25,133.1,128.7,132.65,131.9,130.81,1559456,13413,656585,42.1,8.588788385,,,
RAILTEL, EQ, 22-Oct-2021,131.9,132.65,138.8,130.2,137.45,137.0,135.29,4842628,35640,1227676,25.35,16.609228604,14.171894886199999,3.8665655799848326,117.19836152731682
RAILTEL, EQ, 25-Oct-2021,137.0,137.0,137.35,130.0,130.8,131.0,132.16,1724445,18609,722281,41.88,9.545665695999999,15.8331335354,-4.37956204379562,60.28917570017097
RAILTEL, EQ, 26-Oct-2021,131.0,131.45,133.35,130.45,131.5,131.7,131.92,633430,7437,242226,38.24,3.195445392,13.5363896794,0.5343511450381593,23.60633424186144
RAILTEL, EQ, 27-Oct-2021,131.7,132.4,132.4,130.5,130.7,130.65,131.13,549863,6768,316555,57.57,4.150985715,10.7505179098,-0.7972665148063652,38.61196037091411
RAILTEL, EQ, 28-Oct-2021,130.65,130.6,131.2,128.0,128.7,128.6,129.41,877628,11514,427370,48.7,5.53059517,8.418022758399998,-1.569077688480682,65.69945613987854
RAILTEL, EQ, 29-Oct-2021,128.6,125.8,126.6,124.3,125.35,125.15,125.53,1570127,24252,765674,48.77,9.611505722,7.806384115399998,-2.682737169517876,123.1236585327509
RAILTEL, EQ, 01-Nov-2021,125.15,127.8,127.8,122.65,123.05,122.95,123.92,1679788,23247,1113772,66.3,13.801862624000002,6.406839539000001,-1.7578905313623674,215.42388474043537
RAILTEL, EQ, 02-Nov-2021,122.95,123.9,125.5,121.65,122.2,122.05,122.42,2397879,19214,1529868,63.8,18.728644056,7.2580789245999995,-0.7320048800325382,258.03858363295706
RAILTEL, EQ, 03-Nov-2021,122.05,123.4,124.0,120.0,120.55,120.4,121.97,2541960,26760,1279259,50.33,15.603122023,10.364718657400001,-1.3519049569848351,150.54071932632715
RAILTEL, EQ, 08-Nov-2021,123.5,124.8,125.0,122.4,123.75,123.75,123.8,1004155,10746,465929,46.4,5.768201019999999,12.655145919,2.782392026578068,45.57988550206933
RAILTEL, EQ, 09-Nov-2021,123.75,124.4,126.9,123.7,124.95,124.95,124.9,1240989,13325,420064,33.85,5.24659936,12.702667089,0.9696969696969719,41.30313203707704
RAILTEL, EQ, 10-Nov-2021,124.95,124.95,127.5,124.6,125.55,125.65,125.85,1133791,12703,349164,30.8,4.39422894,11.8296858166,0.5602240896358566,37.14577891691596
RAILTEL, EQ, 11-Nov-2021,125.65,125.0,127.5,124.4,126.65,126.85,126.05,1086567,10142,501567,46.16,6.322252035,9.948159079799998,0.9550338241145949,63.5519796606138
