SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
RALLIS, EQ, 14-Oct-2021,314.75,317.75,319.8,311.5,313.0,313.75,315.54,568884,11419,253332,44.53,7.993637928,,,
RALLIS, EQ, 18-Oct-2021,313.75,315.8,323.5,310.5,319.85,319.15,318.19,1006345,16875,398943,39.64,12.693967317,,,
RALLIS, EQ, 19-Oct-2021,319.15,321.5,324.75,286.0,305.0,304.1,313.92,921123,18374,391627,42.52,12.293954784,,,
RALLIS, EQ, 20-Oct-2021,304.1,287.0,295.0,279.9,283.4,282.45,286.14,2185846,41894,910694,41.66,26.058598116,,,
RALLIS, EQ, 21-Oct-2021,282.45,282.5,289.0,275.65,277.4,276.65,281.58,951318,20801,392886,41.3,11.062883988,,,
RALLIS, EQ, 22-Oct-2021,276.65,279.35,281.0,274.75,276.0,275.55,277.81,416930,10651,225255,54.03,6.2578091549999995,14.0206084266,-0.3976143141152959,44.632935779931195
RALLIS, EQ, 25-Oct-2021,275.55,277.0,278.0,261.5,262.8,262.45,265.76,694880,16177,311726,44.86,8.284430175999999,13.673442672000002,-4.754128107421528,60.58774205390546
RALLIS, EQ, 26-Oct-2021,262.45,263.8,266.4,260.2,263.95,262.0,262.69,576822,13860,300571,52.11,7.895699598999999,12.7915352438,-0.17146123071060723,61.7259730635305
RALLIS, EQ, 27-Oct-2021,262.0,264.5,270.5,264.05,265.1,265.4,267.72,469983,12702,167007,35.53,4.471111404000001,11.911884206799998,1.2977099236641134,37.53487967459951
RALLIS, EQ, 28-Oct-2021,265.4,266.5,266.5,260.5,262.85,261.75,262.95,323833,7460,183294,56.6,4.8197157299999995,7.594386864399999,-1.3752825923134806,63.46418501002695
RALLIS, EQ, 29-Oct-2021,261.75,263.65,268.5,258.05,264.7,265.35,264.39,328125,9683,106786,32.54,2.823315054,6.3457532128,1.3753581661891203,44.491409598234924
RALLIS, EQ, 01-Nov-2021,265.35,269.85,270.95,261.1,263.0,262.15,264.24,430775,11892,205336,47.67,5.425798464,5.6588543926,-1.2059543998492728,95.88157050118193
RALLIS, EQ, 02-Nov-2021,262.15,264.2,266.95,263.5,264.5,264.85,265.46,222771,5669,106506,47.81,2.8273082759999997,5.0871280502,1.0299446881556535,55.577690360847996
RALLIS, EQ, 03-Nov-2021,264.85,269.0,269.0,265.0,267.8,267.45,267.24,204052,5235,82982,40.67,2.217610968,4.073449785599999,0.9816877477817503,54.44061139134323
RALLIS, EQ, 08-Nov-2021,269.5,271.95,274.2,267.0,272.0,271.3,270.79,283440,6936,122360,43.17,3.3133864400000004,3.6227496984,1.4395214058702648,91.46054008267171
RALLIS, EQ, 09-Nov-2021,271.3,271.8,273.5,268.85,269.5,270.0,271.33,203903,4474,109762,53.83,2.9781723459999996,3.3214838404000004,-0.4791743457427244,89.66391194729833
RALLIS, EQ, 10-Nov-2021,270.0,269.0,273.0,268.0,268.85,268.4,269.88,220049,5181,124331,56.5,3.355445028,3.3524552988,-0.592592592592601,100.08918028529928
RALLIS, EQ, 11-Nov-2021,268.4,268.4,271.0,267.05,271.0,269.15,268.91,148345,3721,74969,50.54,2.0159913790000004,2.9383846115999996,0.27943368107302535,68.60883258921845
RALLIS, EQ, 12-Nov-2021,269.15,272.0,272.0,265.0,265.7,266.15,267.06,226395,6010,131037,57.88,3.499474122,2.7761212322000004,-1.1146201003158092,126.05624284018613
RALLIS, EQ, 15-Nov-2021,266.15,267.5,267.5,263.7,265.45,265.1,265.12,190937,3569,107627,56.37,2.853407024,3.032493863,-0.3945143715949482,94.09440391009292
RALLIS, EQ, 16-Nov-2021,265.1,266.75,271.85,265.1,267.75,267.8,269.14,217711,5283,83872,38.52,2.257331008,2.9404979798,1.0184835910976946,76.76696340235316
RALLIS, EQ, 17-Nov-2021,267.8,268.6,272.4,266.35,267.5,268.5,269.41,180784,4372,79502,43.98,2.141863382,2.7963297122000004,0.2613890963405484,76.59552350552032
RALLIS, EQ, 18-Nov-2021,268.5,269.7,269.7,262.5,263.0,263.85,264.83,216370,4266,125205,57.87,3.315804015,2.553613383,-1.731843575418986,129.84753436342714
RALLIS, EQ, 22-Nov-2021,263.85,263.85,265.15,258.1,260.1,260.15,261.15,210105,5161,110604,52.64,2.88842346,2.8135759102,-1.402311919651334,102.66022855572001
RALLIS, EQ, 23-Nov-2021,260.15,260.0,263.8,258.1,260.7,260.5,261.31,168543,4691,71544,42.45,1.869516264,2.6913657778,0.13453776667308198,69.46347759271117
RALLIS, EQ, 24-Nov-2021,260.5,263.8,269.65,260.65,263.0,263.6,264.16,220437,5844,87695,39.78,2.31655112,2.4945876258,1.1900191938579743,92.86308871419561
RALLIS, EQ, 25-Nov-2021,263.6,263.6,267.95,262.05,266.1,265.5,265.42,108131,3720,45601,42.17,1.210341742,2.5064316482,0.7207890743550748,48.28943741071933
RALLIS, EQ, 26-Nov-2021,265.5,260.05,265.8,259.0,260.8,259.95,261.85,192857,6406,89469,46.39,2.342745765,2.3201273202,-2.090395480225993,100.9748794647205
RALLIS, EQ, 29-Nov-2021,259.95,258.0,259.0,246.0,255.0,255.2,254.29,202457,7425,86492,42.72,2.199405068,2.1255156702,-1.8272744758607424,103.47630454274879
RALLIS, EQ, 30-Nov-2021,255.2,255.75,259.8,247.25,248.9,249.0,252.68,318055,12177,168452,52.96,4.256445136,1.9877119918,-2.429467084639494,214.1379210649888
RALLIS, EQ, 01-Dec-2021,249.0,252.0,253.95,244.35,246.95,245.35,247.89,225153,7087,119957,53.28,2.973614073,2.4650977662000004,-1.4658634538152633,120.628646610795
RALLIS, EQ, 02-Dec-2021,245.35,249.5,254.4,247.0,252.6,252.9,251.29,273333,6657,106567,38.99,2.677922143,2.5965103568,3.0772366007744085,103.13543082879646
RALLIS, EQ, 03-Dec-2021,252.9,253.0,257.85,251.55,255.85,255.3,255.02,177223,4915,64442,36.36,1.643399884,2.8900264370000004,0.9489916963226593,56.86452770674083
RALLIS, EQ, 06-Dec-2021,255.3,252.7,256.4,251.6,252.95,252.4,253.45,111662,3958,46206,41.38,1.17109107,2.7501572607999996,-1.1359185272228771,42.58269469504222
RALLIS, EQ, 07-Dec-2021,252.4,252.0,255.95,252.0,255.95,254.5,253.98,90657,2852,35076,38.69,0.8908602480000001,2.5444944612000002,0.8320126782884287,35.011286586957816
RALLIS, EQ, 08-Dec-2021,254.5,257.5,259.75,256.25,257.6,257.45,258.05,82436,2988,32480,39.4,0.8381464,1.8713774836,1.1591355599214102,44.787671506426584
RALLIS, EQ, 09-Dec-2021,257.45,260.0,260.0,254.4,257.2,257.55,256.67,155722,3396,92958,59.69,2.3859529860000004,1.4442839490000001,0.03884249368810361,165.1997162782289
RALLIS, EQ, 10-Dec-2021,257.55,258.0,264.15,257.1,263.0,262.2,262.46,456098,5880,335593,73.58,8.807973877999999,1.3858901176000002,1.8054746651135614,635.5463370539873
RALLIS, EQ, 13-Dec-2021,262.2,269.3,269.3,263.0,265.5,264.55,266.28,188787,5181,89768,47.55,2.390342304,2.8188049164,0.8962623951182391,84.79984869094078
RALLIS, EQ, 14-Dec-2021,264.55,264.5,267.9,262.5,262.9,263.35,264.81,152659,3791,62932,41.22,1.6665022919999999,3.0626551631999996,-0.4536004536004493,54.413644475036605
RALLIS, EQ, 15-Dec-2021,263.35,263.4,267.3,262.1,265.1,264.65,264.4,209852,4506,113687,54.17,3.0058842799999996,3.2177835719999996,0.4936396430605484,93.41474380552279
RALLIS, EQ, 16-Dec-2021,264.65,268.95,268.95,260.0,260.8,261.75,262.6,112704,3681,52056,46.19,1.36699056,3.6513311479999997,-1.0957868883430861,37.438142545596364
RALLIS, EQ, 17-Dec-2021,261.75,259.0,263.65,258.2,259.05,260.45,259.76,252826,7170,165700,65.54,4.3042232,3.4475386628000004,-0.49665711556829467,124.84916402661088
RALLIS, EQ, 20-Dec-2021,260.45,257.0,257.0,250.55,253.7,253.3,252.64,201599,6640,118779,58.92,3.000832656,2.5467885271999995,-2.7452486081781444,117.82810484462122
RALLIS, EQ, 21-Dec-2021,253.3,254.5,256.8,242.35,252.35,252.55,253.98,97558,3468,38884,39.86,0.987575832,2.6688865976000002,-0.2960915909988156,37.003289419943094
RALLIS, EQ, 22-Dec-2021,252.55,253.35,259.6,253.35,259.6,258.05,257.51,101299,3479,41587,41.05,1.070906837,2.5331013056,2.1777865769154623,42.2765104037693
RALLIS, EQ, 23-Dec-2021,258.05,262.0,264.0,259.25,261.0,262.85,261.66,114849,2886,48470,42.2,1.2682660200000002,2.146105817,1.8601046308854916,59.096154996349846
RALLIS, EQ, 24-Dec-2021,262.85,264.2,264.2,252.1,260.0,257.3,258.56,116897,3542,38263,32.73,0.9893281279999999,2.1263609089999997,-2.111470420391863,46.52682072044243
RALLIS, EQ, 27-Dec-2021,257.3,258.6,262.7,255.25,262.0,260.5,258.82,107063,5374,47095,43.99,1.21891279,1.4633818946000001,1.243684415079669,83.29423744395696
RALLIS, EQ, 28-Dec-2021,260.5,260.9,273.55,260.9,266.8,265.75,269.06,970382,15880,185770,19.14,4.99832762,1.1069979214,2.015355086372361,451.5209580230021
RALLIS, EQ, 29-Dec-2021,265.75,265.75,271.9,264.05,267.2,267.4,267.22,227642,4151,71576,31.44,1.9126538720000001,1.909148279,0.6208842897459934,100.18362078202938
RALLIS, EQ, 30-Dec-2021,267.4,267.4,275.95,267.4,270.75,270.75,273.21,805406,13309,233345,28.97,6.375218745,2.077497686,1.252804786836209,306.8700768218328
RALLIS, EQ, 31-Dec-2021,270.75,271.9,276.8,271.9,274.5,274.0,274.29,355848,6997,162019,45.53,4.444019151000001,3.098888231,1.2003693444136658,143.40688723600502
RALLIS, EQ, 03-Jan-2022,274.0,275.35,277.75,273.1,276.95,276.9,276.28,332963,7370,142843,42.9,3.9464664039999997,3.7898264355999998,1.0583941605839333,104.13316997656123
RALLIS, EQ, 04-Jan-2022,276.9,278.0,278.0,273.0,274.45,274.55,275.15,253223,8895,114263,45.12,3.143946445,4.3353371584,-0.8486818345973153,72.5190759133554
RALLIS, EQ, 05-Jan-2022,274.55,275.0,276.0,270.5,271.1,271.15,272.99,155963,4395,81340,52.15,2.2205006600000003,3.9644609234,-1.2383900928792693,56.010153786448605
RALLIS, EQ, 06-Jan-2022,271.15,271.5,272.4,268.1,270.5,271.15,270.56,137978,5023,52499,38.05,1.420412944,4.026030281,0.0,35.28073175960298
RALLIS, EQ, 07-Jan-2022,271.15,270.05,276.5,269.45,275.1,275.1,272.5,693816,7990,482209,69.5,13.14019525,3.0350691208000007,1.4567582518901148,432.9455022934184
RALLIS, EQ, 10-Jan-2022,275.1,276.9,280.85,275.75,279.25,279.1,278.66,539100,9615,198468,36.81,5.530509288,4.7743043406,1.4540167211922936,115.83906038350639
RALLIS, EQ, 11-Jan-2022,279.1,280.5,287.25,277.2,282.4,282.9,283.45,851064,17026,378477,44.47,10.727930565,5.0911129174,1.3615191687567016,210.7187709063559
RALLIS, EQ, 12-Jan-2022,282.9,285.0,285.0,280.05,281.55,281.3,282.47,251011,6606,123522,49.21,3.4891259340000005,6.6079097414,-0.5655708731000233,52.80226381029183
RALLIS, EQ, 13-Jan-2022,281.3,283.0,283.85,279.0,281.05,281.9,281.08,193127,4719,75898,39.3,2.133340984,6.861634796200001,0.2132954141485837,31.090855858161564
RALLIS, EQ, 14-Jan-2022,281.9,281.0,284.35,280.1,282.55,282.55,282.71,300255,6899,136560,45.48,3.8606877599999994,7.0042204042,0.23057821922668822,55.11944994884773
RALLIS, EQ, 17-Jan-2022,282.55,283.0,289.4,281.45,286.25,287.0,286.1,660689,16119,315000,47.68,9.01215,5.148318906199999,1.5749424880552074,175.05034486396872
RALLIS, EQ, 18-Jan-2022,287.0,289.0,299.05,285.0,287.35,286.85,292.86,1536586,23733,553794,36.04,16.218411084,5.8446470486,-0.052264808362361415,277.491710776357
RALLIS, EQ, 19-Jan-2022,286.85,286.75,298.5,284.2,297.6,295.25,291.75,723139,19706,322591,44.61,9.411592425,6.9427431524,2.9283597699145814,135.5601412641422
RALLIS, EQ, 20-Jan-2022,295.25,279.85,283.4,275.0,277.0,277.3,278.35,1645114,37675,702139,42.68,19.544039065,8.1272364506,-6.07959356477561,240.47582697753484
RALLIS, EQ, 21-Jan-2022,277.3,273.9,276.85,266.6,269.5,268.15,271.51,400875,9976,189978,47.39,5.158092678,11.6093760668,-3.299675441759839,44.43040391077428
RALLIS, EQ, 24-Jan-2022,268.15,270.0,271.45,256.0,260.1,260.8,261.38,378152,10281,160994,42.57,4.208061172,11.8688570504,-2.741003169867599,35.45464533047166
RALLIS, EQ, 25-Jan-2022,260.8,258.0,264.1,251.65,262.0,262.4,260.34,238602,6514,84033,35.22,2.1877151219999997,10.908039284800001,0.6134969325153243,20.055988660111538
RALLIS, EQ, 27-Jan-2022,262.4,261.0,264.9,252.4,255.4,254.95,258.07,320143,12520,156905,49.01,4.0492473350000004,8.101900092400001,-2.8391768292682884,49.97898380403879
RALLIS, EQ, 28-Jan-2022,254.95,258.9,261.55,255.65,256.05,256.6,258.41,286260,8516,120166,41.98,3.1052096060000003,7.0294310744,0.647185722690737,44.174408613360605
RALLIS, EQ, 31-Jan-2022,256.6,258.6,261.9,256.55,259.25,259.1,258.47,265568,7011,123095,46.35,3.1816364650000004,3.7416651826,0.9742790335151987,85.03263412759856
RALLIS, EQ, 01-Feb-2022,259.1,260.85,266.0,258.2,260.2,259.4,262.68,347917,7641,124998,35.93,3.283447464,3.3463739400000003,0.11578541103819164,98.11956233438752
RALLIS, EQ, 02-Feb-2022,259.4,260.7,262.4,256.2,258.0,257.9,259.05,274805,8656,137175,49.92,3.553518375,3.1614511984000004,-0.5782575173477256,112.4014938708661
RALLIS, EQ, 03-Feb-2022,257.9,258.3,258.9,252.35,252.95,253.0,255.36,339007,8250,183339,54.08,4.681744704,3.4346118490000004,-1.899961225281108,136.31073640426374
RALLIS, EQ, 04-Feb-2022,253.0,253.3,254.9,250.5,251.0,251.65,252.12,270722,6373,177057,65.4,4.463961084,3.5611113228,-0.5335968379446618,125.35303390881123
RALLIS, EQ, 07-Feb-2022,251.65,251.7,255.0,247.1,254.4,253.3,249.18,526752,8866,368277,69.91,9.176726286,3.8328616184,0.6556725610967636,239.42232200469468
RALLIS, EQ, 08-Feb-2022,253.3,253.95,255.0,249.0,249.2,249.8,251.39,223976,4897,94536,42.21,2.376540504,5.0318795826,-1.3817607579944728,47.2296775983663
RALLIS, EQ, 09-Feb-2022,249.8,250.0,254.0,249.05,249.45,249.65,250.67,183788,4114,78207,42.55,1.9604148689999998,4.850498190600001,-0.06004803843074687,40.41677353470982
RALLIS, EQ, 10-Feb-2022,249.65,250.0,254.0,248.5,252.0,253.3,251.05,237760,5931,116906,49.17,2.93492513,4.5318774894,1.4620468656118588,64.7617932493707
RALLIS, EQ, 11-Feb-2022,253.3,252.0,252.65,248.0,249.0,248.6,250.48,322071,5250,198686,61.69,4.976686928,4.1825135746,-1.8555073035925846,118.98794443185882
RALLIS, EQ, 14-Feb-2022,248.6,248.1,249.8,243.0,244.65,243.85,246.57,278011,6314,127763,45.96,3.150252291,4.285058743399999,-1.9106999195494772,73.51713196119263
RALLIS, EQ, 15-Feb-2022,243.85,244.0,247.7,241.8,245.35,246.1,244.98,150842,5051,52023,34.49,1.2744594539999998,3.0797639444,0.9226983801517326,41.38172525583906
RALLIS, EQ, 16-Feb-2022,246.1,247.4,248.7,245.95,248.0,248.15,247.36,155657,5769,69015,44.34,1.7071550400000002,2.8593477344000005,0.8329947175944784,59.70435213114176
RALLIS, EQ, 17-Feb-2022,248.15,247.5,249.75,244.6,246.2,245.95,246.93,131109,3889,57364,43.75,1.4164892519999999,2.8086957686000003,-0.8865605480556183,50.43227777944963
RALLIS, EQ, 18-Feb-2022,245.95,246.0,250.5,245.15,247.4,247.3,248.3,230875,5420,54892,23.78,1.3629683600000002,2.5050085930000003,0.548892051229934,54.40972792702912
RALLIS, EQ, 21-Feb-2022,247.3,247.35,247.35,240.85,241.6,242.7,243.73,147896,3903,58135,39.31,1.416924355,1.7822648794,-1.8600889607763942,79.50133402600672
RALLIS, EQ, 22-Feb-2022,242.7,238.0,241.0,237.25,240.55,239.45,239.39,166046,4963,85223,51.32,2.040153397,1.4355992922,-1.3391017717346518,142.11161903497072
RALLIS, EQ, 23-Feb-2022,239.45,239.0,243.65,238.0,239.0,239.25,240.9,127848,3345,50935,39.84,1.22702415,1.5887380808,-0.08352474420546613,77.23262662541198
RALLIS, EQ, 24-Feb-2022,239.25,235.0,236.35,227.3,228.5,228.4,232.01,380013,9536,208253,54.8,4.831677853,1.4927119028,-4.535005224660395,323.6845531905275
RALLIS, EQ, 25-Feb-2022,228.4,230.0,249.5,228.4,236.75,236.45,233.87,279922,6097,120273,42.97,2.812824651,2.175749623,3.5245183887915856,129.28071416239422
RALLIS, EQ, 28-Feb-2022,236.45,235.0,236.3,231.6,233.8,233.9,234.35,192736,4071,93244,48.38,2.18517314,2.4657208812,-1.0784521040389017,88.62208032794591
RALLIS, EQ, 02-Mar-2022,233.9,232.0,241.45,232.0,240.9,240.4,238.19,232496,4787,79824,34.33,1.9013278559999998,2.6193706382000004,2.7789653698161607,72.5872019893515
RALLIS, EQ, 03-Mar-2022,240.4,241.0,252.35,241.0,244.0,243.7,247.65,450527,10174,155262,34.46,3.8450634300000006,2.59160553,1.3727121464226217,148.36607598996753
RALLIS, EQ, 04-Mar-2022,243.7,243.0,247.0,241.15,241.25,242.15,243.84,160579,6242,61211,38.12,1.492569024,3.1152133859999998,-0.6360279031596155,47.912256370870644
RALLIS, EQ, 08-Mar-2022,240.0,244.0,244.9,237.5,241.0,241.05,240.84,292679,7162,134245,45.87,3.23315658,2.4473916202000003,-0.45426388602105894,132.1062208971602
RALLIS, EQ, 09-Mar-2022,241.05,241.05,252.0,240.1,250.0,249.9,248.11,302648,6405,141229,46.66,3.5040327190000005,2.5314580060000003,3.6714374611076517,138.41954757672562
RALLIS, EQ, 10-Mar-2022,249.9,255.0,255.0,249.0,250.9,250.55,251.84,225287,7187,112655,50.01,2.83710352,2.7952299218,0.2601040416166489,101.49803770607303
RALLIS, EQ, 11-Mar-2022,250.55,250.0,254.6,248.7,251.5,251.95,251.92,173390,4192,72161,41.62,1.8178799119999998,2.9823850546000004,0.5587707044502005,60.95389692206646
