SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
RITES, EQ, 14-Oct-2021,289.8,289.9,291.8,283.4,283.55,284.1,286.02,272022,7360,160876,59.14,4.601375352,,,
RITES, EQ, 18-Oct-2021,284.1,287.4,291.9,281.45,287.0,286.8,288.68,302023,7779,146343,48.45,4.224629724000001,,,
RITES, EQ, 19-Oct-2021,286.8,290.0,302.2,281.1,285.65,287.35,292.94,1014410,27659,285029,28.1,8.349639526,,,
RITES, EQ, 20-Oct-2021,287.35,282.0,286.65,280.0,285.8,284.1,283.79,192278,8929,90902,47.28,2.5797078580000004,,,
RITES, EQ, 21-Oct-2021,284.1,284.1,290.0,281.65,284.2,285.25,285.97,274042,25105,134474,49.07,3.845552978,,,
RITES, EQ, 22-Oct-2021,285.25,286.4,317.0,284.9,313.7,309.0,306.81,2692723,44515,749101,27.82,22.983167781,4.7201810876,8.326029798422436,486.9128398776307
RITES, EQ, 25-Oct-2021,309.0,316.5,317.9,278.15,283.8,284.9,300.59,1893149,46846,636537,33.62,19.133665682999997,8.3965395734,-7.799352750809069,227.87560894269956
RITES, EQ, 26-Oct-2021,284.9,284.5,291.4,281.1,283.45,283.05,285.49,455258,12813,117265,25.76,3.347798485,11.3783467652,-0.6493506493506375,29.422538740329518
RITES, EQ, 27-Oct-2021,283.05,280.2,286.9,280.2,282.9,282.1,283.5,184165,5546,86246,46.83,2.4450741,10.377978556999999,-0.33562974739444923,23.560215378849332
RITES, EQ, 28-Oct-2021,282.1,281.3,291.6,278.25,283.5,284.15,286.82,659832,18914,262659,39.81,7.533585437999999,10.3510518054,0.726692662176517,72.78086883953023
RITES, EQ, 29-Oct-2021,284.15,278.0,284.75,275.0,282.6,283.25,281.24,285007,10788,80135,28.12,2.25371674,11.088658297399999,-0.31673411930317696,20.324521502555797
RITES, EQ, 01-Nov-2021,283.25,283.9,285.5,279.3,280.95,281.8,282.04,144831,4717,73501,50.75,2.0730222040000004,6.9427680891999985,-0.5119152691968186,29.858727489756475
RITES, EQ, 02-Nov-2021,281.8,282.0,286.2,281.35,281.6,282.0,283.19,94197,2890,38843,41.24,1.099994917,3.5306393934,0.07097232079488595,31.15568582439417
RITES, EQ, 03-Nov-2021,282.0,282.0,286.0,280.5,281.0,281.2,283.3,149378,4732,71537,47.89,2.02664321,3.0810786798,-0.2836879432624154,65.77706772913551
RITES, EQ, 08-Nov-2021,283.2,284.95,296.0,281.4,288.9,289.05,287.35,440130,7091,282599,64.21,8.120482265000001,2.9973925018,2.791607396870563,270.9182150860614
RITES, EQ, 09-Nov-2021,289.05,286.35,290.6,285.0,285.5,285.5,287.71,184260,4756,58974,32.01,1.6967409539999998,3.1147718672000004,-1.2281612177823946,54.4740040793187
RITES, EQ, 10-Nov-2021,285.5,285.7,289.2,284.5,285.8,285.85,285.81,132807,2449,85205,64.16,2.435244105,3.0033767100000004,0.12259194395797643,81.08353830179365
RITES, EQ, 11-Nov-2021,285.85,286.0,292.45,285.25,285.5,286.3,287.71,135985,3840,58772,43.22,1.6909292119999997,3.0758210902000003,0.15742522301906195,54.97488840906705
RITES, EQ, 12-Nov-2021,286.3,292.0,298.0,289.3,293.5,294.05,294.29,761332,17685,321763,42.26,9.469163327,3.1940079492000004,2.706950750960531,296.4664921817659
RITES, EQ, 15-Nov-2021,294.05,297.0,297.0,287.85,291.15,291.5,291.3,158067,4995,70640,44.69,2.0577432,4.6825119726,-0.867199455874855,43.945284326895646
RITES, EQ, 16-Nov-2021,291.5,292.5,294.45,286.1,286.3,286.75,289.58,143286,4264,74551,52.03,2.1588478579999997,3.4699641596,-1.6295025728987993,62.21527827678949
RITES, EQ, 17-Nov-2021,286.75,288.0,292.75,285.55,288.85,287.85,288.8,154589,4020,59244,38.32,1.7109667199999998,3.5623855403999998,0.3836094158674883,48.02867911393682
RITES, EQ, 18-Nov-2021,287.85,289.9,291.95,280.3,284.9,285.05,283.52,211761,7838,112049,52.91,3.1768132479999998,3.4175300634,-0.9727288518325555,92.9564097188799
RITES, EQ, 22-Nov-2021,285.05,287.0,288.95,278.0,279.0,281.2,282.33,168745,8550,92271,54.68,2.605087143,3.7147068705999997,-1.3506402385546474,70.12900973742852
RITES, EQ, 23-Nov-2021,281.2,279.9,290.35,276.25,284.95,283.8,283.81,233915,8277,60942,26.05,1.7295949019999999,2.3418916338,0.9246088193456696,73.85460868629198
RITES, EQ, 24-Nov-2021,283.8,282.0,289.0,281.05,281.1,281.95,284.57,114047,3423,41884,36.73,1.191892988,2.2762619742,-0.6518675123326366,52.361854721001286
RITES, EQ, 25-Nov-2021,281.95,283.0,284.75,281.0,281.8,281.6,282.12,113063,4056,72709,64.31,2.051266308,2.0828710002,-0.12413548501506151,98.48263804157986
RITES, EQ, 26-Nov-2021,281.6,280.0,284.0,269.0,272.7,274.4,278.66,225988,15949,115853,51.27,3.228359698,2.1509309178,-2.5568181818181976,150.09127774786967
RITES, EQ, 29-Nov-2021,274.4,273.0,276.45,262.0,275.0,273.65,268.72,226150,19761,98087,43.37,2.6357938640000005,2.1612402078,-0.27332361516034986,121.95746934965015
RITES, EQ, 30-Nov-2021,273.65,276.8,285.95,274.45,275.95,277.65,278.49,179445,8008,83684,46.63,2.330515716,2.167381552,1.4617211766855474,107.52678566676292
RITES, EQ, 01-Dec-2021,277.65,278.8,279.65,274.8,276.2,276.35,277.36,104568,2917,60045,57.42,1.6654081200000002,2.2875657148000004,-0.4682153790743579,72.80263509918906
RITES, EQ, 02-Dec-2021,276.35,276.2,276.5,273.0,274.9,274.5,274.68,167731,6123,86856,51.78,2.385760608,2.3822687412000003,-0.6694409263615063,100.14657736717987
RITES, EQ, 03-Dec-2021,274.5,274.6,277.85,272.05,272.55,272.7,274.8,153527,4714,48790,31.78,1.3407492,2.4491676012,-0.655737704918037,54.74305634874001
RITES, EQ, 06-Dec-2021,272.7,274.9,274.9,254.0,264.1,264.45,266.55,224000,6746,131333,58.63,3.500681115,2.0716455016,-3.0253025302530254,168.98070216628804
RITES, EQ, 07-Dec-2021,264.45,265.2,270.9,265.2,270.3,270.15,268.76,102422,3254,49401,48.23,1.327701276,2.2446229518000003,2.155416903006235,59.15030294666168
RITES, EQ, 08-Dec-2021,270.15,271.2,273.85,269.6,271.0,270.2,271.87,159362,6284,103210,64.76,2.80597027,2.0440600638,0.018508236165097676,137.27435507856725
RITES, EQ, 09-Dec-2021,270.2,271.5,272.65,266.7,268.3,268.05,269.32,99024,3495,55358,55.9,1.4909016560000001,2.2721724938000003,-0.7957068837897769,65.6156898328878
RITES, EQ, 10-Dec-2021,268.05,269.4,271.5,267.95,268.8,268.95,269.82,79063,3315,41351,52.3,1.115732682,2.0932007034,0.3357582540570704,53.30270910895969
RITES, EQ, 13-Dec-2021,268.95,271.8,277.0,270.0,274.0,272.2,273.68,221892,5907,69879,31.49,1.912448472,2.0481973998000003,1.2084030488938464,93.37227320895653
RITES, EQ, 14-Dec-2021,272.2,272.95,273.0,253.4,267.85,267.65,268.36,77806,2484,40318,51.82,1.081973848,1.7305508712000002,-1.6715650257163892,62.52193252485764
RITES, EQ, 15-Dec-2021,267.65,268.4,273.8,265.1,266.0,266.5,268.37,208936,13282,95882,45.89,2.573185234,1.6814053856000002,-0.4296656080702325,153.03776567135074
RITES, EQ, 16-Dec-2021,266.5,267.8,269.9,265.05,267.0,267.2,266.76,124181,4794,54743,44.08,1.460324268,1.6348483784000003,0.26266416510318524,89.32475251492103
RITES, EQ, 17-Dec-2021,267.2,268.55,269.15,260.65,267.0,266.45,266.33,253048,8054,108593,42.91,2.892157369,1.6287329008,-0.280688622754491,177.57100428065473
RITES, EQ, 20-Dec-2021,266.45,268.0,268.0,258.45,261.05,261.2,260.94,177682,9185,90393,50.87,2.3587149419999998,1.9840178382000002,-1.970350910114468,118.88577292933734
RITES, EQ, 21-Dec-2021,261.2,264.0,264.8,259.5,262.85,262.65,261.7,147414,7828,92524,62.76,2.4213530800000003,2.0732711322,0.5551301684532881,116.78902206247584
RITES, EQ, 22-Dec-2021,262.65,264.0,264.75,262.0,263.0,262.55,263.35,45229,1777,19720,43.6,0.5193262,2.3411469786,-0.038073481819899446,22.18255430979202
RITES, EQ, 23-Dec-2021,262.55,263.0,267.9,262.0,262.85,262.7,264.71,76495,2035,32660,42.7,0.8645428599999999,1.9303751718000002,0.0571319748619224,44.78626085901463
RITES, EQ, 24-Dec-2021,262.7,263.65,263.65,258.25,258.45,259.3,259.9,89090,4125,54529,61.21,1.41720871,1.8112188902,-1.294251998477342,78.24613124720159
RITES, EQ, 27-Dec-2021,259.3,259.95,261.75,256.0,257.4,257.3,259.22,174109,3724,110756,63.61,2.8710170320000006,1.5162291584,-0.7713073659853451,189.35244821631315
RITES, EQ, 28-Dec-2021,257.3,258.0,263.05,258.0,259.7,259.3,259.81,103972,3185,36043,34.67,0.936433183,1.6186895764000002,0.7773027594247959,57.85131359668401
RITES, EQ, 29-Dec-2021,259.3,259.5,262.6,258.65,259.1,259.3,260.34,157740,2210,130531,82.75,3.398244054,1.321705597,0.0,257.110513998981
RITES, EQ, 30-Dec-2021,259.3,260.0,261.95,254.5,255.5,255.35,257.68,182286,5240,106230,58.28,2.7373346400000003,1.8974891677999999,-1.5233320478210632,144.26088361672916
RITES, EQ, 31-Dec-2021,255.35,256.65,266.0,256.65,265.05,264.25,262.29,181643,4245,92043,50.67,2.4141958470000002,2.2720475238000004,3.4854121793616626,106.25639744375843
RITES, EQ, 03-Jan-2022,264.25,267.7,272.2,264.1,270.5,271.55,269.39,172702,5982,92687,53.67,2.496895093,2.4714449512,2.7625354777672704,101.02976769875627
RITES, EQ, 04-Jan-2022,271.55,272.5,272.5,265.0,267.4,266.4,266.99,115367,3640,60717,52.63,1.621083183,2.3966205634,-1.896519977904634,67.64037694395093
RITES, EQ, 05-Jan-2022,266.4,266.5,272.5,266.5,269.6,269.95,271.0,160122,5140,75178,46.95,2.0373238,2.5335505634,1.332582582582587,80.41378093776551
RITES, EQ, 06-Jan-2022,269.95,270.0,275.9,268.0,272.2,271.65,272.96,152910,5005,59475,38.9,1.6234296,2.2613665126,0.6297462493054228,71.78976034864274
RITES, EQ, 07-Jan-2022,271.65,272.8,274.95,269.05,272.3,273.05,272.35,70199,3045,29996,42.73,0.8169410600000001,2.0385855046,0.5153690410454755,40.073916848550134
RITES, EQ, 10-Jan-2022,273.05,275.0,275.0,270.05,272.25,271.9,271.67,163252,6592,90414,55.38,2.4562771380000004,1.7191345472,-0.421168284197046,142.8787026588817
RITES, EQ, 11-Jan-2022,271.9,270.5,278.45,270.5,272.35,272.1,274.28,195225,5512,56860,29.13,1.55955608,1.7110109562000002,0.07355645457890603,91.14822288827608
RITES, EQ, 12-Jan-2022,272.1,278.4,278.85,274.9,278.1,277.95,277.16,260233,11898,100549,38.64,2.7868160840000002,1.6987055356000003,2.1499448732083666,164.05527771566767
RITES, EQ, 13-Jan-2022,277.95,280.45,280.45,274.9,275.35,275.55,277.44,92824,3346,36784,39.63,1.0205352959999998,1.8486039924,-0.863464651915804,55.205728224954356
RITES, EQ, 14-Jan-2022,275.55,276.9,277.75,274.0,274.2,275.55,276.07,88976,6474,51143,57.48,1.411904801,1.7280251316000002,0.0,81.70626544607597
RITES, EQ, 17-Jan-2022,275.55,274.8,277.4,273.45,274.25,274.8,275.26,83843,2322,40730,48.58,1.12113398,1.8470178798000003,-0.2721829069134458,60.699682025893495
RITES, EQ, 18-Jan-2022,274.8,276.1,276.1,266.8,268.0,267.75,270.68,245062,4723,148238,60.49,4.012506184,1.5799892482,-2.5655021834061174,253.9578157617997
RITES, EQ, 19-Jan-2022,267.75,269.8,275.0,268.0,273.7,273.35,271.09,204807,4933,74729,36.49,2.025828461,2.0705792690000004,2.0915032679738648,97.83873002738925
RITES, EQ, 20-Jan-2022,273.35,276.0,280.5,273.8,275.9,276.7,277.04,278086,7969,117727,42.33,3.2615088080000003,1.9183817444,1.225535028351917,170.0135448807704
RITES, EQ, 21-Jan-2022,276.7,277.8,277.8,269.5,270.9,270.7,273.07,107976,3876,45576,42.21,1.244543832,2.3665764468000003,-2.168413444163354,52.58836382331226
RITES, EQ, 24-Jan-2022,270.7,270.0,270.0,261.05,263.0,262.7,264.34,173371,10412,88777,51.21,2.3467312179999995,2.333104253,-2.9553010712966383,100.5840701281341
RITES, EQ, 25-Jan-2022,262.7,263.0,272.0,257.5,270.05,268.55,265.05,116781,4830,66362,56.83,1.7589248100000001,2.5782237006,2.2268747620860387,68.22235051173666
RITES, EQ, 27-Jan-2022,268.55,268.55,272.0,265.0,267.35,267.1,266.99,98936,3580,54086,54.67,1.4440421140000002,2.1275074257999997,-0.5399366970768902,67.87483307876126
