SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ROSSARI, EQ, 14-Oct-2021,1570.9,1570.0,1572.3,1491.3,1529.95,1527.45,1537.12,98799,11009,39615,40.1,6.08930088,,,
ROSSARI, EQ, 18-Oct-2021,1527.45,1530.0,1538.9,1491.6,1507.05,1507.6,1519.1,59457,6518,33971,57.14,5.160534609999999,,,
ROSSARI, EQ, 19-Oct-2021,1507.6,1521.65,1543.95,1441.25,1460.0,1456.6,1485.69,106219,14583,55607,52.35,8.261476383,,,
ROSSARI, EQ, 20-Oct-2021,1456.6,1460.0,1482.3,1421.0,1450.0,1444.7,1444.35,50289,6271,26227,52.15,3.7880967449999994,,,
ROSSARI, EQ, 21-Oct-2021,1444.7,1450.0,1450.65,1413.0,1431.9,1427.8,1427.88,34630,5303,15742,45.46,2.247768696,,,
ROSSARI, EQ, 22-Oct-2021,1427.8,1440.5,1457.25,1425.0,1428.5,1434.25,1442.26,38728,6946,16460,42.5,2.37395996,5.1094354628,0.4517439417285366,46.46227508467357
ROSSARI, EQ, 25-Oct-2021,1434.25,1435.0,1437.55,1364.0,1372.0,1378.35,1389.05,45820,8409,17377,37.92,2.413752185,4.3663672788,-3.8975074080529954,55.280557746927926
ROSSARI, EQ, 26-Oct-2021,1378.35,1391.0,1447.9,1385.25,1442.0,1436.9,1425.04,70299,9981,26089,37.11,3.717786856,3.8170107937999993,4.2478325534153285,97.4004805550676
ROSSARI, EQ, 27-Oct-2021,1436.9,1451.0,1474.45,1419.05,1448.65,1448.05,1449.74,40690,5835,14619,35.93,2.119374906,2.9082728884,0.7759760595726817,72.87400417111421
ROSSARI, EQ, 28-Oct-2021,1448.05,1463.0,1463.0,1405.0,1435.0,1430.1,1436.8,31976,5202,12646,39.55,1.8169772800000001,2.5745285206,-1.2395980801767927,70.57514669041419
ROSSARI, EQ, 29-Oct-2021,1430.1,1440.0,1440.0,1391.9,1413.0,1414.8,1414.2,46470,6411,23336,50.22,3.30017712,2.4883702374000003,-1.0698552548772782,132.62403923654963
ROSSARI, EQ, 01-Nov-2021,1414.8,1405.0,1407.0,1302.0,1347.0,1336.75,1334.36,319342,29875,138707,43.44,18.508507251999998,2.6736136694000003,-5.516680802940342,692.2655828638693
ROSSARI, EQ, 02-Nov-2021,1336.75,1341.0,1363.9,1340.35,1351.5,1351.25,1354.55,75938,10215,27970,36.83,3.78867635,5.8925646828,1.0847204039648402,64.29588055365589
ROSSARI, EQ, 03-Nov-2021,1351.25,1390.95,1391.85,1340.95,1354.0,1351.05,1358.37,52270,7901,22670,43.37,3.07942479,5.906742581599999,-0.01480111008325961,52.13406115906706
ROSSARI, EQ, 08-Nov-2021,1363.0,1370.0,1399.05,1360.5,1390.0,1390.8,1378.8,57612,8385,23374,40.57,3.22280712,6.098752558399999,2.9421561008104806,52.84371007249883
ROSSARI, EQ, 09-Nov-2021,1390.8,1410.0,1411.9,1381.0,1389.0,1389.55,1392.14,50289,6038,19700,39.17,2.7425158000000005,6.379918526399999,-0.0898763301696865,42.98669001259992
ROSSARI, EQ, 10-Nov-2021,1389.55,1381.0,1392.55,1355.05,1389.0,1388.95,1379.8,41633,5662,24161,58.03,3.33373478,6.268386262399999,-0.043179446583419746,53.183301737433155
ROSSARI, EQ, 11-Nov-2021,1388.95,1388.0,1410.35,1375.85,1384.0,1388.75,1395.57,88310,13807,30214,34.21,4.216575197999999,3.2334317680000004,-0.014399366427880447,130.40557217658903
ROSSARI, EQ, 12-Nov-2021,1388.75,1400.0,1430.0,1381.4,1421.0,1421.6,1404.51,107711,10470,64788,60.15,9.099539388,3.3190115375999993,2.3654365436543587,274.1641384766002
ROSSARI, EQ, 15-Nov-2021,1421.6,1429.3,1438.9,1402.8,1422.9,1423.75,1421.37,70972,8998,36886,51.97,5.242865381999999,4.5230344572,0.1512380416432253,115.91477870910612
ROSSARI, EQ, 16-Nov-2021,1423.75,1423.0,1434.85,1403.25,1428.0,1428.8,1426.87,79756,12190,41257,51.73,5.886837559,4.927046109599999,0.3546971027216825,119.48005819409555
ROSSARI, EQ, 17-Nov-2021,1428.8,1438.0,1459.8,1420.45,1433.0,1445.05,1436.26,86738,14873,43930,50.65,6.30949018,5.555910461399999,1.1373180291153415,113.56356845265125
