SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SANDHAR, EQ, 14-Oct-2021,300.1,298.0,305.0,295.35,298.15,299.35,300.87,76489,4971,36952,48.31,1.111774824,,,
SANDHAR, EQ, 18-Oct-2021,299.35,305.0,308.0,295.4,298.5,298.1,300.94,62922,3732,36996,58.8,1.113357624,,,
SANDHAR, EQ, 19-Oct-2021,298.1,304.95,304.95,280.05,285.1,286.35,289.19,94382,5648,45359,48.06,1.3117369209999998,,,
SANDHAR, EQ, 20-Oct-2021,286.35,288.45,288.45,277.0,278.0,277.8,281.01,46521,4038,24649,52.98,0.692661549,,,
SANDHAR, EQ, 21-Oct-2021,277.8,278.05,284.6,276.8,278.5,279.15,280.03,49869,3458,26890,53.92,0.7530006699999999,,,
SANDHAR, EQ, 22-Oct-2021,279.15,284.4,284.4,274.0,275.05,275.15,277.87,36821,2641,21983,59.7,0.610841621,0.9965063176,-1.432921368439907,61.298318958093475
SANDHAR, EQ, 25-Oct-2021,275.15,282.0,282.0,267.35,277.75,276.75,275.44,32821,2752,17159,52.28,0.472627496,0.8963196769999999,0.5815009994548511,52.72979140454594
SANDHAR, EQ, 26-Oct-2021,276.75,274.0,282.85,274.0,278.1,279.05,278.96,26210,2255,11650,44.45,0.32498839999999996,0.7681736513999999,0.8310749774164449,42.30663202359351
SANDHAR, EQ, 27-Oct-2021,279.05,281.95,287.45,279.1,280.05,280.5,282.97,42013,2827,13883,33.04,0.392847251,0.5708239472,0.5196201397598955,68.82108799516743
SANDHAR, EQ, 28-Oct-2021,280.5,280.5,282.4,274.8,275.7,275.8,278.54,24047,2015,10184,42.35,0.28366513600000004,0.5108610876,-1.6755793226381421,55.52686295459392
SANDHAR, EQ, 29-Oct-2021,275.8,280.0,280.0,269.7,270.3,270.85,272.7,27481,1393,16495,60.02,0.44981865,0.41699398080000005,-1.794778825235674,107.87173693419412
SANDHAR, EQ, 01-Nov-2021,270.85,277.75,292.0,271.05,288.9,287.6,286.35,211781,7804,39135,18.48,1.120630725,0.38478938659999995,6.1842348163189955,291.2322335347906
SANDHAR, EQ, 02-Nov-2021,287.6,288.0,291.1,282.8,285.0,283.9,286.57,33617,2381,15402,45.82,0.44137511399999996,0.5143900324,-1.2865090403338126,85.80553397208477
SANDHAR, EQ, 03-Nov-2021,283.9,287.95,287.95,280.0,285.6,283.7,282.8,27702,1321,13711,49.49,0.38774708,0.5376673752,-0.07044734061288786,72.11653484754714
SANDHAR, EQ, 08-Nov-2021,284.85,286.15,290.5,283.0,288.0,288.75,287.13,24303,1076,15727,64.71,0.45156935099999995,0.536647341,1.7800493479027184,84.14638748764432
SANDHAR, EQ, 09-Nov-2021,288.75,290.0,290.0,284.05,285.95,285.55,286.17,21833,1522,13673,62.63,0.39128024100000003,0.570228184,-1.1082251082251042,68.61818689060098
SANDHAR, EQ, 10-Nov-2021,285.55,288.9,288.9,279.05,280.0,280.95,283.72,32747,1819,22430,68.49,0.6363839600000001,0.5585205022,-1.6109262826125101,113.94102051639959
SANDHAR, EQ, 11-Nov-2021,280.95,279.6,283.95,278.5,280.1,279.6,281.29,30104,2184,19558,64.97,0.550146982,0.4616711492,-0.48051254671648547,119.16425424315858
SANDHAR, EQ, 12-Nov-2021,279.6,283.85,293.25,272.55,278.9,280.05,286.15,167431,6930,53655,32.05,1.5353378249999998,0.4834255228,0.16094420600857962,317.59552456132747
SANDHAR, EQ, 15-Nov-2021,280.05,285.4,289.95,276.25,281.6,282.1,283.16,104359,5840,61552,58.98,1.742906432,0.7129436718000001,0.7320121406891666,244.46621815151371
SANDHAR, EQ, 16-Nov-2021,282.1,280.05,291.95,278.0,286.25,288.25,286.09,358864,10742,102371,28.53,2.9287319389999995,0.9712110879999999,2.180077986529591,301.55462341673757
SANDHAR, EQ, 17-Nov-2021,288.25,289.85,295.9,285.15,287.45,287.65,291.85,120638,6906,57310,47.51,1.6725923500000002,1.4787014276,-0.20815264527320826,113.112242862624
SANDHAR, EQ, 18-Nov-2021,287.65,287.65,289.0,276.0,277.0,276.7,279.47,64040,4182,34644,54.1,0.9681958680000001,1.6859431055999998,-3.8067095428472064,57.42755285063045
SANDHAR, EQ, 22-Nov-2021,276.7,276.0,280.0,266.7,268.45,268.95,270.92,48337,3227,27624,57.15,0.748389408,1.7695528828,-2.8008673653776657,42.29257092423302
SANDHAR, EQ, 23-Nov-2021,268.95,269.95,273.4,264.7,267.5,267.75,270.22,55371,3058,34638,62.56,0.9359880360000001,1.6121631994,-0.4461795872838775,58.057896145275336
SANDHAR, EQ, 24-Nov-2021,267.75,269.95,274.95,267.1,272.0,269.95,271.96,34475,1922,17166,49.79,0.4668465359999999,1.4507795202000002,0.8216619981325821,32.17901338555164
SANDHAR, EQ, 25-Nov-2021,269.95,274.85,274.85,268.05,269.0,269.4,270.11,23519,1462,14325,60.91,0.386932575,0.9584024396000002,-0.20374143359881883,40.37266173503175
SANDHAR, EQ, 26-Nov-2021,269.4,267.95,270.0,251.1,252.3,257.4,262.7,49489,3009,30888,62.41,0.8114277599999999,0.7012704846,-4.4543429844098,115.70824351217819
SANDHAR, EQ, 29-Nov-2021,257.4,256.45,256.45,237.25,243.0,242.4,245.84,65525,5044,36853,56.24,0.905994152,0.669916863,-5.827505827505817,135.2397890005047
SANDHAR, EQ, 30-Nov-2021,242.4,243.1,256.05,243.1,250.0,249.6,251.16,40379,2851,21758,53.88,0.546473928,0.7014378118,2.970297029702966,77.90768031133962
SANDHAR, EQ, 01-Dec-2021,249.6,253.0,253.85,242.0,245.0,243.45,246.99,37365,3300,20861,55.83,0.5152458390000001,0.6235349902,-2.46394230769231,82.63302735179849
SANDHAR, EQ, 02-Dec-2021,243.45,246.8,252.6,244.0,247.0,247.2,247.98,40456,3848,20526,50.74,0.5090037479999999,0.6332148508,1.5403573629081948,80.38405090419587
SANDHAR, EQ, 03-Dec-2021,247.2,249.7,252.45,247.0,247.0,248.5,249.88,30644,2017,15791,51.53,0.39458550800000003,0.6576290854000001,0.525889967637545,60.00122512221233
SANDHAR, EQ, 06-Dec-2021,248.5,247.25,249.45,245.0,246.0,246.9,246.89,18984,1422,11073,58.33,0.27338129699999997,0.574260635,-0.6438631790744445,47.60578739651899
SANDHAR, EQ, 07-Dec-2021,246.9,249.9,258.95,246.35,254.5,253.2,253.28,41195,2730,16143,39.19,0.408869904,0.447738064,2.551640340218705,91.31899583145561
SANDHAR, EQ, 08-Dec-2021,253.2,261.75,263.95,258.3,263.95,262.15,260.19,31417,1880,17211,54.78,0.447813009,0.4202172592,3.5347551342811965,106.56701960612853
SANDHAR, EQ, 09-Dec-2021,262.15,267.75,270.0,261.0,268.05,267.3,265.28,32989,1647,20023,60.7,0.531170144,0.40673069319999994,1.9645241274079857,130.59504799624503
SANDHAR, EQ, 10-Dec-2021,267.3,268.45,272.0,263.2,269.7,269.3,268.97,43479,1860,26006,59.81,0.699483382,0.41116397239999997,0.7482229704451926,170.12273179409533
SANDHAR, EQ, 13-Dec-2021,269.3,266.35,273.55,266.0,267.0,268.55,270.34,32589,1624,18955,58.16,0.5124294699999999,0.47214354719999996,-0.2784998143334571,108.53255816772496
SANDHAR, EQ, 14-Dec-2021,268.55,269.45,269.45,256.95,261.7,261.4,263.19,21346,1547,11254,52.72,0.296194026,0.5199531817999999,-2.6624464717929746,56.96551850584329
SANDHAR, EQ, 15-Dec-2021,261.4,278.7,287.65,266.05,267.05,267.85,275.86,273127,15248,90554,33.15,2.498022644,0.49741800620000004,2.467482785003843,502.19787238574634
SANDHAR, EQ, 16-Dec-2021,267.85,267.6,270.9,261.25,264.7,262.1,264.73,42464,2295,22320,52.56,0.59087736,0.9074599332000002,-2.14672391263767,65.11332769441108
SANDHAR, EQ, 17-Dec-2021,262.1,266.65,266.7,254.7,256.5,255.25,257.54,29337,2193,17687,60.29,0.45551099800000006,0.9194013764000001,-2.6135062953071433,49.54430237896694
SANDHAR, EQ, 20-Dec-2021,255.25,251.0,259.95,245.05,251.0,249.55,248.45,31419,2119,17156,54.6,0.42624082,0.8706068996,-2.23310479921645,48.95904456946484
SANDHAR, EQ, 21-Dec-2021,249.55,251.5,264.0,246.05,259.0,257.9,254.61,93048,3423,17571,18.88,0.44737523100000004,0.8533691696,3.3460228411139914,52.42458327967231
SANDHAR, EQ, 22-Dec-2021,257.9,263.0,263.0,256.0,257.5,257.9,259.43,27053,1843,14407,53.25,0.37376080100000003,0.8836054106000001,0.0,42.299514751296385
