SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SBILIFE, EQ, 14-Oct-2021,1191.75,1192.95,1198.9,1173.8,1183.05,1185.55,1186.95,2080766,102143,1472929,70.79,174.829307655,,,
SBILIFE, EQ, 18-Oct-2021,1185.55,1220.0,1220.0,1185.55,1195.0,1192.5,1196.16,934860,39485,484294,51.8,57.92931110400001,,,
SBILIFE, EQ, 19-Oct-2021,1192.5,1193.5,1215.9,1186.55,1197.6,1193.45,1201.13,1313098,51507,676936,51.55,81.30881376800001,,,
SBILIFE, EQ, 20-Oct-2021,1193.45,1199.0,1203.0,1155.9,1169.15,1168.75,1173.95,2063277,56433,1258595,61.0,147.752760025,,,
SBILIFE, EQ, 21-Oct-2021,1168.75,1170.0,1184.45,1138.05,1159.0,1158.3,1156.02,1985866,69423,1188370,59.84,137.37794874000002,,,
SBILIFE, EQ, 22-Oct-2021,1158.3,1168.0,1171.8,1141.7,1165.1,1167.2,1157.53,1112991,54626,566376,50.89,65.55972112799999,119.83962825839998,0.7683674350341096,54.70621202749324
SBILIFE, EQ, 25-Oct-2021,1167.2,1157.6,1166.95,1126.3,1133.0,1129.7,1143.05,1843700,74416,1180071,64.01,134.888015655,97.985710953,-3.2128169979437975,137.66090416969126
SBILIFE, EQ, 26-Oct-2021,1129.7,1135.0,1178.3,1134.0,1173.0,1172.05,1162.77,1572647,65871,682970,43.43,79.41370269,113.37745186319998,3.748782862706905,70.04364746688762
SBILIFE, EQ, 27-Oct-2021,1172.05,1175.4,1202.05,1175.3,1189.95,1186.0,1189.34,1916766,65192,788404,41.13,93.768041336,112.9984296476,1.1902222601424892,82.98172074464006
SBILIFE, EQ, 28-Oct-2021,1186.0,1210.0,1221.75,1158.1,1173.9,1167.1,1180.66,3565017,105398,1381633,38.76,163.12388177800003,102.2014859098,-1.593591905564932,159.61008817618202
SBILIFE, EQ, 29-Oct-2021,1167.1,1167.1,1180.0,1142.1,1145.0,1145.55,1156.88,1518940,74754,733775,48.31,84.88896220000001,107.3506725174,-1.8464570302459051,79.0763208178698
SBILIFE, EQ, 01-Nov-2021,1145.55,1148.0,1173.05,1138.55,1161.2,1163.35,1159.23,972538,36315,505336,51.96,58.580065127999994,111.2165207318,1.5538387674042997,52.672089310603894
SBILIFE, EQ, 02-Nov-2021,1163.35,1163.35,1172.25,1155.3,1169.9,1166.05,1164.38,1159884,53508,768678,66.27,89.503328964,95.9549306264,0.23208836549620027,93.27642506718152
SBILIFE, EQ, 03-Nov-2021,1166.05,1170.0,1198.4,1167.0,1179.2,1178.8,1181.29,1941052,105696,882518,45.47,104.25096882199999,97.97285588119999,1.0934351014107457,106.40801259117394
SBILIFE, EQ, 08-Nov-2021,1181.75,1183.0,1202.1,1177.35,1200.0,1200.65,1194.42,1361707,86527,929951,68.29,111.07520734200001,100.0694413784,1.8535799117746978,110.9981287114246
SBILIFE, EQ, 09-Nov-2021,1200.65,1212.0,1212.0,1192.4,1206.0,1207.25,1203.82,1521269,55422,998997,65.67,120.261256854,89.65970649120001,0.5497022446174912,134.13077240644714
SBILIFE, EQ, 10-Nov-2021,1207.25,1197.1,1204.8,1181.05,1182.9,1183.75,1191.79,842679,44553,527204,62.56,62.831645515999995,96.734165422,-1.9465727893973908,64.95289977630836
SBILIFE, EQ, 11-Nov-2021,1183.75,1178.0,1192.1,1150.1,1154.1,1153.2,1162.98,1271079,90472,801936,63.09,93.263552928,97.5844814996,-2.5807814149947164,95.57211504821316
SBILIFE, EQ, 12-Nov-2021,1153.2,1154.0,1177.0,1147.6,1175.0,1174.9,1166.75,1281030,65258,646376,50.46,75.4159198,98.33652629240001,1.8817204301075308,76.69166549136946
SBILIFE, EQ, 15-Nov-2021,1174.9,1177.2,1179.5,1155.5,1157.75,1159.9,1163.53,662558,34655,369979,55.84,43.048166587,92.569516488,-1.2767044003744998,46.50360963328617
SBILIFE, EQ, 16-Nov-2021,1159.9,1169.9,1174.15,1150.65,1151.5,1153.0,1159.65,694696,34171,425788,61.29,49.37650542000001,78.964108337,-0.5948788688680137,62.53031467065119
SBILIFE, EQ, 17-Nov-2021,1153.0,1150.0,1196.95,1150.0,1180.05,1187.2,1184.84,2862829,105853,1153377,40.29,136.65672046799997,64.7871580502,2.966175195143109,210.93180281516933
SBILIFE, EQ, 18-Nov-2021,1187.2,1190.0,1205.0,1178.5,1180.05,1182.05,1189.36,1527355,64646,678619,44.43,80.712229384,79.5521730406,-0.4337938005390912,101.45823338201956
SBILIFE, EQ, 22-Nov-2021,1182.05,1182.05,1189.65,1137.15,1154.55,1150.65,1158.0,772737,51834,325063,42.07,37.6422954,77.0419083318,-2.656402013451196,48.85950544979255
