SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SHK, EQ, 14-Oct-2021,156.15,157.4,157.85,154.6,155.0,155.25,156.25,144921,2739,94290,65.06,1.47328125,,,
SHK, EQ, 18-Oct-2021,155.25,153.0,156.65,153.0,153.7,154.0,155.14,236792,3781,146793,61.99,2.277346602,,,
SHK, EQ, 19-Oct-2021,154.0,154.8,156.9,151.0,151.5,151.7,153.28,226080,4067,138215,61.14,2.11855952,,,
SHK, EQ, 20-Oct-2021,151.7,153.2,153.9,148.3,151.2,149.85,150.54,131930,3256,65599,49.72,0.9875273459999999,,,
SHK, EQ, 21-Oct-2021,149.85,150.0,153.3,147.6,148.9,148.3,149.54,111705,2702,57968,51.89,0.8668534719999998,,,
SHK, EQ, 22-Oct-2021,148.3,149.05,151.5,146.35,149.1,149.45,148.75,114803,3536,61536,53.6,0.915348,1.544713638,0.7754551584625605,59.256808348318614
SHK, EQ, 25-Oct-2021,149.45,146.6,160.9,142.0,156.9,156.45,154.92,982686,19388,235453,23.96,3.6476378759999997,1.433126988,4.683840749414521,254.52300504719824
SHK, EQ, 26-Oct-2021,156.45,157.4,159.25,152.7,156.8,155.7,156.23,315447,6742,147635,46.8,2.306501605,1.7071852428,-0.4793863854266539,135.10552617108175
SHK, EQ, 27-Oct-2021,155.7,156.9,156.95,153.85,155.1,154.9,155.45,127872,2645,74301,58.11,1.155009045,1.7447736597999999,-0.5138086062941446,66.19821651436418
SHK, EQ, 28-Oct-2021,154.9,155.1,159.05,153.0,156.0,156.95,155.9,207010,4777,106215,51.31,1.65589185,1.7782699995999998,1.3234344738540884,93.11813449996191
SHK, EQ, 29-Oct-2021,156.95,157.0,161.05,153.3,158.3,158.8,158.67,478104,7496,267934,56.04,4.251308777999999,1.9360776752,1.1787193373686033,219.58358553774616
