SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SJVN, EQ, 14-Oct-2021,28.2,28.4,28.95,28.2,28.4,28.35,28.48,6995135,12550,2739859,39.17,7.803118432000001,,,
SJVN, EQ, 18-Oct-2021,28.35,28.75,33.75,28.5,32.65,32.55,31.42,52983314,75060,15013147,28.34,47.171307874,,,
SJVN, EQ, 19-Oct-2021,32.55,33.2,33.65,30.7,30.95,31.05,32.12,15985580,33262,6460078,40.41,20.749770536,,,
SJVN, EQ, 20-Oct-2021,31.05,31.15,31.15,29.4,30.0,30.0,30.25,5844162,14126,2658236,45.49,8.0411639,,,
SJVN, EQ, 21-Oct-2021,30.0,30.05,30.5,29.05,29.2,29.2,29.62,5298862,10967,3288895,62.07,9.74170699,,,
SJVN, EQ, 22-Oct-2021,29.2,29.35,30.2,28.95,29.1,29.1,29.48,6802595,15335,3043321,44.74,8.971710308,18.701413546399998,-0.34246575342465024,47.9734341243261
SJVN, EQ, 25-Oct-2021,29.1,29.15,29.35,28.65,28.8,28.75,28.88,3598668,10113,1668978,46.38,4.820008464,18.9351319216,-1.2027491408934756,25.45537302806768
SJVN, EQ, 26-Oct-2021,28.75,28.8,29.2,28.7,28.95,28.8,28.93,2577567,7102,1272324,49.36,3.680833332,10.4648720396,0.17391304347826333,35.17322828288202
SJVN, EQ, 27-Oct-2021,28.8,28.95,29.6,28.8,28.9,29.0,29.17,3503229,8378,1590680,45.41,4.64001356,7.051084598800001,0.694444444444442,65.80567138266456
SJVN, EQ, 28-Oct-2021,29.0,29.0,29.0,28.4,28.5,28.5,28.65,2451857,9033,1319183,53.8,3.7794592949999997,6.370854530800001,-1.7241379310344827,59.324212736739504
SJVN, EQ, 29-Oct-2021,28.5,28.5,28.6,28.1,28.4,28.35,28.36,2302929,6371,865982,37.6,2.455924952,5.178404991799999,-0.5263157894736793,47.42628195146876
SJVN, EQ, 01-Nov-2021,28.35,28.65,28.9,28.35,28.7,28.6,28.62,2309534,6571,858544,37.17,2.457152928,3.8752479205999997,0.8818342151675485,63.40634143530003
SJVN, EQ, 02-Nov-2021,28.6,28.6,28.9,28.5,28.6,28.6,28.66,1599085,7101,826676,51.7,2.369253416,3.4026768134000003,0.0,69.62910514068511
SJVN, EQ, 03-Nov-2021,28.6,28.75,28.9,28.55,28.6,28.65,28.72,1234776,5263,588699,47.68,1.690743528,3.1403608301999997,0.17482517482516488,53.83914841060866
SJVN, EQ, 08-Nov-2021,29.4,30.45,30.6,29.85,30.0,29.9,30.09,5588691,18060,2226479,39.84,6.699475311,2.5505068238,4.363001745200698,262.6723147134518
SJVN, EQ, 09-Nov-2021,29.9,30.15,30.9,30.05,30.65,30.6,30.48,3968763,16553,1896652,47.79,5.780995296,3.134510027,2.341137123745829,184.43058871095454
SJVN, EQ, 10-Nov-2021,30.6,30.75,30.95,30.1,30.3,30.25,30.57,2316488,10326,1210884,52.27,3.7016723880000004,3.7995240958000003,-1.1437908496732072,97.42463252415835
SJVN, EQ, 11-Nov-2021,30.25,30.3,30.5,29.85,30.0,29.9,30.06,2059217,11334,1018094,49.44,3.0603905639999995,4.048427987799999,-1.1570247933884343,75.59454122001266
SJVN, EQ, 12-Nov-2021,29.9,30.1,30.4,29.45,29.5,29.7,29.95,6377687,13383,2097256,32.88,6.28128172,4.186655417399999,-0.6688963210702318,150.0310174535646
SJVN, EQ, 15-Nov-2021,29.7,29.75,29.75,28.65,28.7,28.75,29.04,3446215,14218,1823949,52.93,5.296747896,5.1047630557999994,-3.1986531986531967,103.7608962081378
SJVN, EQ, 16-Nov-2021,28.75,28.85,29.55,28.7,29.25,29.25,29.17,3669481,10415,1294169,35.27,3.7750909730000006,4.8242175728,1.7391304347826086,78.25291699704412
SJVN, EQ, 17-Nov-2021,29.25,29.25,29.45,28.6,28.75,28.65,28.97,2452973,10562,1269186,51.74,3.6768318420000003,4.4230367082,-2.051282051282056,83.1291278949463
SJVN, EQ, 18-Nov-2021,28.65,28.75,28.9,28.35,28.5,28.5,28.55,1843971,6914,872239,47.3,2.490242345,4.418068599,-0.5235602094240789,56.36495425995987
SJVN, EQ, 22-Nov-2021,28.5,28.85,28.9,27.7,28.0,27.95,28.17,3243139,11145,1692667,52.19,4.768242939,4.3040389552,-1.9298245614035112,110.78531092845161
SJVN, EQ, 23-Nov-2021,27.95,27.9,28.45,27.75,28.35,28.3,28.23,2076029,7422,850088,40.95,2.399798424,4.001431199000001,1.2522361359570713,59.973502095943445
SJVN, EQ, 24-Nov-2021,28.3,28.7,28.7,28.35,28.6,28.5,28.57,1654838,7860,833041,50.34,2.3799981370000003,3.4220413046000004,0.7067137809187254,69.54907685657513
SJVN, EQ, 25-Nov-2021,28.5,28.85,29.1,28.6,28.8,28.8,28.8,1750334,9240,622646,35.57,1.79322048,3.1430227374000004,1.052631578947371,57.05400914418468
SJVN, EQ, 26-Nov-2021,28.8,28.55,28.7,28.0,28.05,28.1,28.26,2101861,8591,1170200,55.67,3.3069852,2.766300465,-2.430555555555553,119.54540881733178
SJVN, EQ, 29-Nov-2021,28.1,28.0,28.1,27.25,27.55,27.55,27.61,2661725,9089,1156043,43.43,3.191834723,2.9296490360000003,-1.9572953736654828,108.94938894653316
SJVN, EQ, 30-Nov-2021,27.55,27.6,28.35,27.0,27.8,27.85,28.04,2084423,8367,783161,37.57,2.195983444,2.6143673927999997,1.0889292196007285,83.99674238776713
