SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SPANDANA, EQ, 14-Oct-2021,553.4,558.0,558.1,550.2,551.0,551.45,553.99,36913,3366,20846,56.47,1.154847554,,,
SPANDANA, EQ, 18-Oct-2021,551.45,556.95,556.95,543.3,547.0,546.1,549.37,59734,4555,36434,60.99,2.001574658,,,
SPANDANA, EQ, 19-Oct-2021,546.1,550.95,555.0,538.0,541.0,542.9,544.65,61542,6902,31893,51.82,1.7370522449999999,,,
SPANDANA, EQ, 20-Oct-2021,542.9,544.0,544.0,530.0,531.5,531.7,533.65,55519,5295,30094,54.2,1.60596631,,,
SPANDANA, EQ, 21-Oct-2021,531.7,535.0,551.65,531.0,536.0,535.95,541.68,124956,10303,45069,36.07,2.4412975919999997,,,
SPANDANA, EQ, 22-Oct-2021,535.95,539.85,539.85,506.95,521.05,522.3,522.66,143007,13459,40861,28.57,2.1356410259999996,1.7881476717999998,-2.546879373075863,119.43314636034523
SPANDANA, EQ, 25-Oct-2021,522.3,525.0,531.85,504.5,511.0,517.2,512.94,52136,6181,24170,46.36,1.23977598,1.9843063661999998,-0.976450315910379,62.47906074978757
SPANDANA, EQ, 26-Oct-2021,517.2,522.5,522.9,509.0,512.7,514.75,516.28,42516,5980,15422,36.27,0.7962070159999999,1.8319466305999996,-0.47370456303171793,43.46234779444563
SPANDANA, EQ, 27-Oct-2021,514.75,519.25,525.0,502.1,511.2,509.35,514.86,53282,5947,21497,40.35,1.106794542,1.6437775847999998,-1.0490529383195681,67.33237831167195
SPANDANA, EQ, 28-Oct-2021,509.35,515.0,525.0,510.0,516.0,518.4,517.52,83100,9386,34728,41.79,1.797243456,1.5439432311999999,1.776774320212026,116.4060581814998
SPANDANA, EQ, 29-Oct-2021,518.4,519.85,522.35,505.0,511.9,510.3,512.75,35484,3087,16801,47.35,0.861471275,1.415132404,-1.5624999999999933,60.87566594934675
SPANDANA, EQ, 01-Nov-2021,510.3,512.9,520.3,505.0,520.0,512.15,514.19,22504,1651,9395,41.75,0.4830815050000001,1.1602984537999999,0.3625318440133188,41.634245345919304
SPANDANA, EQ, 02-Nov-2021,512.15,512.1,553.0,512.1,530.5,532.35,540.82,349401,19156,47148,13.49,2.549858136,1.0089595588,3.944156985258234,252.72154010143467
SPANDANA, EQ, 03-Nov-2021,532.35,538.0,573.0,503.55,547.6,545.05,547.89,427538,25344,143038,33.46,7.836908981999999,1.3596897827999999,2.3856485394946803,576.3747790956777
SPANDANA, EQ, 08-Nov-2021,562.95,560.0,564.95,547.0,552.5,552.6,553.96,156710,19000,78054,49.81,4.3238793840000005,2.7057126707999997,1.3851940188973615,159.80556363812113
SPANDANA, EQ, 09-Nov-2021,552.6,556.9,557.75,545.0,550.8,550.25,551.23,44881,4180,21113,47.04,1.163811899,3.2110398564000002,-0.4252623959464391,36.24408138940968
SPANDANA, EQ, 10-Nov-2021,550.25,546.6,554.3,543.95,550.0,549.7,550.23,46706,3056,22351,47.85,1.229819073,3.2715079812,-0.09995456610630706,37.59181026203391
SPANDANA, EQ, 11-Nov-2021,549.7,549.7,550.95,530.1,530.95,533.65,539.81,22715,1930,11557,50.88,0.6238584169999999,3.4208554948,-2.919774422412237,18.236912314721256
SPANDANA, EQ, 12-Nov-2021,533.65,534.7,536.75,522.0,523.0,524.85,526.63,19811,1857,11139,56.23,0.586613157,3.0356555509999996,-1.6490208938442714,19.324101405601144
SPANDANA, EQ, 15-Nov-2021,524.85,524.85,528.15,507.1,511.0,509.95,512.54,47938,3550,29368,61.26,1.5052274719999998,1.5855963860000002,-2.8389063541964434,94.93131324531157
SPANDANA, EQ, 16-Nov-2021,509.95,505.05,515.5,498.0,500.0,502.0,504.3,62398,6442,49603,79.49,2.5014792900000002,1.0218660036,-1.5589763702323736,244.79523549930926
SPANDANA, EQ, 17-Nov-2021,502.0,503.0,503.6,480.0,481.85,481.85,488.04,122832,10578,72583,59.09,3.542340732,1.2893994817999999,-4.013944223107565,274.72794754461177
SPANDANA, EQ, 18-Nov-2021,481.85,475.0,483.1,452.0,468.0,465.45,463.94,166346,11752,80550,48.42,3.7370367,1.7519038135999998,-3.4035488222475943,213.31289257945824
SPANDANA, EQ, 22-Nov-2021,465.45,465.45,475.0,435.65,439.9,440.0,444.06,143346,13347,49341,34.42,2.191036446,2.3745394702,-5.467826834246426,92.27205837161578
