SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SUBEXLTD, EQ, 14-Oct-2021,54.75,55.1,57.25,55.05,55.15,55.25,55.98,9568683,27043,2723825,28.47,15.24797235,,,
SUBEXLTD, EQ, 18-Oct-2021,55.25,55.6,55.85,54.15,54.3,54.45,55.04,5216498,19173,2249137,43.12,12.379250048000001,,,
SUBEXLTD, EQ, 19-Oct-2021,54.45,55.2,56.2,52.35,52.9,52.95,54.42,10076088,30934,2944581,29.22,16.024409802,,,
SUBEXLTD, EQ, 20-Oct-2021,52.95,53.0,53.7,51.0,52.45,52.1,52.15,6520377,25430,2088743,32.03,10.892794745,,,
SUBEXLTD, EQ, 21-Oct-2021,52.1,52.75,53.6,51.1,53.0,52.75,52.05,6595701,21586,2601331,39.44,13.539927854999998,,,
SUBEXLTD, EQ, 22-Oct-2021,52.75,53.0,53.65,51.8,52.0,52.15,52.48,4282688,15256,1721287,40.19,9.033314176,13.61687096,-1.1374407582938415,66.33913328939998
SUBEXLTD, EQ, 25-Oct-2021,52.15,52.3,52.65,50.25,50.4,50.55,51.1,5603315,21766,1962456,35.02,10.028150160000001,12.3739393252,-3.0680728667305877,81.04250309016216
SUBEXLTD, EQ, 26-Oct-2021,50.55,50.9,52.1,50.7,51.2,51.3,51.36,3853311,14221,1408437,36.55,7.233732431999999,11.9037193476,1.483679525222552,60.76867423338948
SUBEXLTD, EQ, 27-Oct-2021,51.3,51.5,54.15,51.0,52.6,52.6,52.72,7687653,24355,2224118,28.93,11.725550096,10.1455838736,2.5341130604288584,115.57294525464677
SUBEXLTD, EQ, 28-Oct-2021,52.6,52.6,52.85,50.4,51.25,50.85,51.57,5203765,18673,1973331,37.92,10.176467967,10.3121349438,-3.326996197718631,98.68439486547287
