SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SUDARSCHEM, EQ, 14-Oct-2021,666.5,670.9,678.3,661.6,662.15,664.0,666.57,210272,11161,95546,45.44,6.368809722000001,,,
SUDARSCHEM, EQ, 18-Oct-2021,664.0,665.0,676.5,658.05,661.5,661.2,665.2,192771,11091,90761,47.08,6.03742172,,,
SUDARSCHEM, EQ, 19-Oct-2021,661.2,661.5,668.0,651.0,655.0,655.9,660.69,145749,7264,68244,46.82,4.508812836000001,,,
SUDARSCHEM, EQ, 20-Oct-2021,655.9,654.0,657.55,639.0,642.25,641.15,644.87,199977,10213,123926,61.97,7.991615962000001,,,
SUDARSCHEM, EQ, 21-Oct-2021,641.15,646.8,649.35,604.3,612.0,608.95,619.29,409714,18244,272034,66.4,16.846793585999997,,,
SUDARSCHEM, EQ, 22-Oct-2021,608.95,611.0,627.5,603.15,611.95,606.75,617.1,234381,14822,86877,37.07,5.36117967,8.3506907652,-0.36127760899910427,64.20043348200308
SUDARSCHEM, EQ, 25-Oct-2021,606.75,612.15,619.9,600.85,612.25,612.15,610.86,170376,8909,72813,42.74,4.447854918,8.149164754800001,0.8899876390605648,54.58050060136698
SUDARSCHEM, EQ, 26-Oct-2021,612.15,614.9,618.3,601.0,607.9,605.9,608.57,119764,10482,56257,46.97,3.423632249,7.831251394399999,-1.020991587029323,43.71756283354898
SUDARSCHEM, EQ, 27-Oct-2021,605.9,614.0,614.0,595.4,600.35,597.6,601.75,190569,9910,124992,65.59,7.5213936,7.614215277,-1.3698630136986225,98.78094230825883
SUDARSCHEM, EQ, 28-Oct-2021,597.6,601.8,604.5,577.55,580.0,579.55,586.54,204318,9108,112348,54.99,6.589659591999999,7.520170804599999,-3.020414993306571,87.62646172835838
