SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SUNCLAYLTD, EQ, 14-Oct-2021,3664.4,3664.4,3710.0,3588.65,3656.9,3671.95,3668.85,4462,1299,2396,53.7,0.8790564599999999,,,
SUNCLAYLTD, EQ, 18-Oct-2021,3671.95,3669.0,3778.0,3659.6,3728.0,3720.8,3736.87,5764,1749,3527,61.19,1.317994049,,,
SUNCLAYLTD, EQ, 19-Oct-2021,3720.8,3730.0,3739.95,3671.5,3738.0,3723.85,3716.45,8124,1656,5841,71.9,2.170778445,,,
SUNCLAYLTD, EQ, 20-Oct-2021,3723.85,3726.1,3726.1,3599.95,3698.0,3690.35,3687.45,6661,1702,4427,66.46,1.632434115,,,
SUNCLAYLTD, EQ, 21-Oct-2021,3690.35,3748.0,3748.0,3600.0,3667.0,3633.4,3651.37,3314,977,1713,51.69,0.625479681,,,
SUNCLAYLTD, EQ, 22-Oct-2021,3633.4,3651.6,3775.0,3651.6,3725.0,3734.1,3729.33,17038,2493,8828,51.81,3.292252524,1.32514855,2.7715087796554143,248.4440347461422
SUNCLAYLTD, EQ, 25-Oct-2021,3734.1,3779.0,3845.0,3572.25,3755.0,3732.15,3714.05,7369,1858,3998,54.25,1.48487719,1.8077877627999999,-0.05222141881577404,82.13780514257611
SUNCLAYLTD, EQ, 26-Oct-2021,3732.15,3736.95,3792.45,3642.45,3756.0,3746.35,3727.42,4719,1810,2521,53.42,0.939682582,1.841164391,0.3804777407124531,51.03740798993108
SUNCLAYLTD, EQ, 27-Oct-2021,3746.35,3760.0,3772.0,3706.0,3772.0,3740.9,3735.07,3091,1313,2140,69.23,0.79930498,1.5949452184,-0.14547492893082115,50.114886127677686
SUNCLAYLTD, EQ, 28-Oct-2021,3740.9,3740.0,3780.0,3642.0,3774.2,3755.8,3731.63,11509,2431,9030,78.46,3.3696618899999997,1.4283193913999999,0.39829987436178704,235.9179543657353
SUNCLAYLTD, EQ, 29-Oct-2021,3755.8,3773.0,3895.0,3693.6,3840.0,3838.85,3842.49,9583,2675,5604,58.48,2.1533313959999996,1.9771558331999999,2.2112466052505386,108.9105552451504
SUNCLAYLTD, EQ, 01-Nov-2021,3838.85,3805.0,3919.0,3745.0,3905.0,3882.8,3853.24,6887,2585,4061,58.97,1.564800764,1.7493716075999999,1.144874115946189,89.44930609379121
SUNCLAYLTD, EQ, 02-Nov-2021,3882.8,3902.25,4000.0,3895.0,3970.2,3971.85,3970.51,13750,2786,7285,52.98,2.892516535,1.7653563224,2.293448027196861,163.84887845574582
SUNCLAYLTD, EQ, 03-Nov-2021,3971.85,4000.0,4000.0,3838.3,3880.0,3889.95,3937.36,3278,1260,2018,61.56,0.794559248,2.155923113,-2.0620114052645513,36.85471171067685
SUNCLAYLTD, EQ, 08-Nov-2021,3871.85,3890.0,3960.0,3804.85,3960.0,3929.2,3914.64,5610,1987,3235,57.66,1.26638604,2.1549739666,1.0090103985912415,58.765723374284406
SUNCLAYLTD, EQ, 09-Nov-2021,3929.2,4042.0,4213.0,4030.0,4155.0,4124.05,4153.61,53675,9644,26070,48.57,10.828461269999998,1.7343187965999998,4.959024737860133,624.363945730645
SUNCLAYLTD, EQ, 10-Nov-2021,4124.05,4144.7,4210.0,4124.05,4200.0,4200.95,4180.02,8761,1580,4282,48.88,1.789884564,3.4693447713999994,1.8646718638231745,51.591429562006894
SUNCLAYLTD, EQ, 11-Nov-2021,4200.95,4186.0,4325.0,4186.0,4256.0,4265.2,4275.66,24491,3326,16373,66.85,7.000538117999999,3.5143615313999996,1.5294159654363895,199.19800667779413
SUNCLAYLTD, EQ, 12-Nov-2021,4265.2,4279.0,4405.45,4274.5,4400.0,4398.55,4365.18,20668,3679,13775,66.65,6.013035450000001,4.335965847999999,3.126465347463199,138.6781091178005
SUNCLAYLTD, EQ, 15-Nov-2021,4398.55,4444.0,4695.5,4401.4,4620.7,4634.05,4580.76,25685,5810,10146,39.5,4.647639096,5.3796610884,5.3540371258710255,86.39278608129355
SUNCLAYLTD, EQ, 16-Nov-2021,4634.05,4648.0,4680.0,4554.4,4630.5,4611.6,4627.64,14175,3792,7172,50.6,3.318943408,6.055911699599999,-0.48445744003624946,54.80501652986817
SUNCLAYLTD, EQ, 17-Nov-2021,4611.6,4610.0,4940.0,4586.45,4855.0,4832.1,4770.2,22655,6953,9981,44.06,4.761136619999999,4.5540081271999995,4.781420765027322,104.54826796559433
SUNCLAYLTD, EQ, 18-Nov-2021,4832.1,4822.0,4975.0,4579.8,4752.05,4772.3,4745.93,14914,3488,6378,42.77,3.0269541540000002,5.1482585383999995,-1.2375571697605634,58.79569045381958
SUNCLAYLTD, EQ, 22-Nov-2021,4772.3,4896.9,5039.0,4643.0,4699.0,4765.9,4847.86,25996,6979,10045,38.64,4.8696753699999995,4.3535417456,-0.134107243886607,111.85548811887793
SUNCLAYLTD, EQ, 23-Nov-2021,4765.9,4735.0,5028.3,4729.3,4934.0,4894.5,4905.58,15808,4574,7268,45.98,3.5653755439999997,4.1248697296,2.698336096015451,86.43607623326673
SUNCLAYLTD, EQ, 24-Nov-2021,4894.5,4910.0,5097.7,4646.0,4890.0,4866.8,4934.83,21829,6019,9843,45.09,4.857353169,3.9084170191999994,-0.565941362754108,124.27929632734622
SUNCLAYLTD, EQ, 25-Nov-2021,4866.8,4891.15,5040.9,4720.05,4765.0,4793.2,4897.17,28141,6325,16937,60.19,8.294336829,4.216098971399999,-1.5122873345935803,196.73012624382915
SUNCLAYLTD, EQ, 26-Nov-2021,4793.2,4703.0,4771.05,4554.0,4570.0,4582.0,4670.22,7929,2369,4568,57.61,2.133356496,4.922739013199999,-4.406242176416587,43.336778372356235
SUNCLAYLTD, EQ, 29-Nov-2021,4582.0,4550.0,4600.0,4405.05,4587.3,4573.15,4558.41,17374,3453,12463,71.73,5.681146383,4.7440194816000005,-0.1931470973374152,119.75385862209691
SUNCLAYLTD, EQ, 30-Nov-2021,4573.15,4623.75,4774.3,4266.05,4266.05,4472.5,4497.12,79184,10692,65896,83.22,29.634221951999997,4.906313684200001,-2.20088997736789,604.001779328384
SUNCLAYLTD, EQ, 01-Dec-2021,4472.5,4400.0,4454.35,4265.0,4400.0,4409.65,4333.12,12919,3756,7097,54.93,3.075215264,10.120082965799998,-1.4052543320290747,30.387253487866072
SUNCLAYLTD, EQ, 02-Dec-2021,4409.65,4431.7,4431.7,4251.0,4350.0,4319.6,4319.82,6899,2300,3324,48.18,1.4359081679999999,9.7636553848,-2.0421121857743647,14.706665807105534
SUNCLAYLTD, EQ, 03-Dec-2021,4319.6,4306.2,4368.0,4242.3,4300.0,4297.85,4288.7,6007,1832,2961,49.29,1.26988407,8.3919696526,-0.5035188443374387,15.1321337250852
SUNCLAYLTD, EQ, 06-Dec-2021,4297.85,4333.4,4342.4,4251.0,4251.0,4275.5,4288.01,1911,744,1005,52.59,0.430945005,8.2192751674,-0.5200274555882677,5.243102295799164
SUNCLAYLTD, EQ, 07-Dec-2021,4275.5,4296.9,4303.5,4151.0,4151.05,4177.4,4182.09,14911,3096,12296,82.46,5.142297864,7.1692348917999995,-2.2944684832183455,71.72728947522194
SUNCLAYLTD, EQ, 08-Dec-2021,4177.4,4177.4,4305.2,4116.5,4149.9,4161.6,4213.76,5628,1767,2764,49.11,1.164683264,2.2708500741999997,-0.378225690620943,51.28842618156144
SUNCLAYLTD, EQ, 09-Dec-2021,4161.6,4161.6,4208.05,3946.0,3990.0,4002.85,4075.31,21112,5592,16918,80.13,6.894609458,1.8887436742,-3.814638600538265,365.03679944396345
SUNCLAYLTD, EQ, 10-Dec-2021,4002.85,3975.0,4036.7,3974.9,4000.0,4006.55,4008.84,2949,922,1285,43.57,0.5151359400000001,2.9804839322,0.09243414067477604,17.28363419224207
SUNCLAYLTD, EQ, 13-Dec-2021,4006.55,3990.0,4034.95,3968.0,3972.25,3988.3,4001.44,2595,833,1335,51.45,0.53419224,2.8295343062000002,-0.4555041120165728,18.8791575641791
SUNCLAYLTD, EQ, 14-Dec-2021,3988.3,3979.0,4034.35,3875.0,3899.0,3918.85,3960.87,3432,1271,1748,50.93,0.6923600759999999,2.8501837531999996,-1.741343429531386,24.291769792830493
SUNCLAYLTD, EQ, 15-Dec-2021,3918.85,3918.85,4093.0,3847.25,4079.0,4037.1,4005.15,15473,3435,5279,34.12,2.114318685,1.9601961956,3.0174668588999323,107.86260527114351
SUNCLAYLTD, EQ, 16-Dec-2021,4037.1,4098.0,4114.0,4025.7,4035.0,4067.8,4066.4,7933,1407,5367,67.65,2.18243688,2.1501232798000003,0.7604468554160232,101.50287197499696
SUNCLAYLTD, EQ, 17-Dec-2021,4067.8,4084.0,4160.0,3952.15,4060.0,4071.7,4054.35,8246,2228,2521,30.57,1.022101635,1.2076887642,0.0958749201042243,84.6328677800578
SUNCLAYLTD, EQ, 20-Dec-2021,4071.7,4063.8,4063.8,3781.05,3790.8,3812.1,3855.42,6067,1854,3036,50.04,1.170505512,1.3090819032,-6.3757153031903115,89.4142306251996
