SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
SUVENPHAR, EQ, 14-Oct-2021,532.9,532.05,544.0,524.2,538.0,539.45,533.5,296445,16045,181842,61.34,9.7012707,,,
SUVENPHAR, EQ, 18-Oct-2021,539.45,535.55,539.9,528.6,529.55,531.95,530.63,250050,13334,164146,65.65,8.710079198,,,
SUVENPHAR, EQ, 19-Oct-2021,531.95,534.0,535.0,522.0,523.0,525.2,526.16,225503,11567,125280,55.56,6.59173248,,,
SUVENPHAR, EQ, 20-Oct-2021,525.2,526.85,555.0,521.2,536.0,536.45,530.61,327616,14929,190878,58.26,10.128177557999999,,,
SUVENPHAR, EQ, 21-Oct-2021,536.45,536.45,536.45,524.05,528.1,531.2,528.76,209048,10611,129209,61.81,6.832055084,,,
SUVENPHAR, EQ, 22-Oct-2021,531.2,531.05,531.05,524.05,525.0,525.2,526.04,128587,11996,73985,57.54,3.8919069399999997,8.392663004,-1.1295180722891565,46.37272982538547
SUVENPHAR, EQ, 25-Oct-2021,525.2,529.75,529.75,515.5,519.0,519.7,520.4,342126,11141,286427,83.72,14.905661079999998,7.230790252,-1.0472201066260471,206.14152202627048
SUVENPHAR, EQ, 26-Oct-2021,519.7,513.1,520.0,509.0,516.45,515.7,514.57,156974,12532,88985,56.69,4.578901145000001,8.4699066284,-0.7696748123917644,54.06082198883665
SUVENPHAR, EQ, 27-Oct-2021,515.7,516.4,517.15,508.2,510.0,510.1,512.91,118781,8029,74033,62.33,3.797226603,8.0673403614,-1.0859026565832892,47.069126042687905
SUVENPHAR, EQ, 28-Oct-2021,510.1,515.0,518.1,508.5,518.05,513.3,511.21,123838,8954,74364,60.05,3.8015620439999998,6.8011501704,0.6273279749068675,55.89586979780534
SUVENPHAR, EQ, 29-Oct-2021,513.3,517.0,520.0,497.1,507.0,508.6,504.35,184477,10394,101162,54.84,5.102105470000001,6.195051562399999,-0.9156438729787516,82.35775632549239
SUVENPHAR, EQ, 01-Nov-2021,508.6,480.6,500.0,476.1,497.05,497.1,485.54,612778,32217,324490,52.95,15.75528746,6.437091268399999,-2.261108926464805,244.75786971273016
SUVENPHAR, EQ, 02-Nov-2021,497.1,502.9,504.5,488.05,491.05,497.0,496.55,233637,17508,123297,52.77,6.122312535,6.6070165443999995,-0.0201166767250096,92.66379906660251
SUVENPHAR, EQ, 03-Nov-2021,497.0,490.05,495.0,483.0,485.0,484.95,485.88,431457,9509,337092,78.13,16.378626096,6.9156988224000004,-2.4245472837022155,236.83255324754035
SUVENPHAR, EQ, 08-Nov-2021,507.75,521.95,521.95,497.4,502.2,502.1,506.31,628354,26271,342705,54.54,17.351496855,9.431978721,3.5364470563975736,183.96454623426416
SUVENPHAR, EQ, 09-Nov-2021,502.1,504.5,509.9,499.55,501.8,505.3,505.91,194673,21623,100065,51.4,5.062388415000001,12.1419656832,0.6373232423819933,41.69331842211083
SUVENPHAR, EQ, 10-Nov-2021,505.3,503.0,514.7,500.15,513.0,513.15,508.5,144709,8730,89238,61.67,4.5377523,12.134022272200001,1.5535325549178638,37.39693399439646
SUVENPHAR, EQ, 11-Nov-2021,513.15,514.0,524.4,506.0,519.8,519.1,517.71,219232,11156,122682,55.96,6.3513698220000006,9.890515240200001,1.1595050180259272,64.2167740279582
SUVENPHAR, EQ, 12-Nov-2021,519.1,522.0,524.0,502.65,514.0,513.7,514.82,138901,7876,64557,46.48,3.3235234740000004,9.9363266976,-1.040261991909069,33.4482105424609
SUVENPHAR, EQ, 15-Nov-2021,513.7,511.0,519.0,506.0,512.2,516.4,512.14,118063,7725,64054,54.25,3.2804615559999997,7.3253061732,0.5255985984037242,44.78258626242454
SUVENPHAR, EQ, 16-Nov-2021,516.4,516.4,531.0,510.05,523.35,525.85,522.96,167302,12250,97098,58.04,5.077837008,4.5110991134,1.8299767621998542,112.56318871196007
