SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
TCIEXP, EQ, 14-Oct-2021,1590.0,1590.0,1649.8,1575.0,1596.65,1600.55,1605.96,77456,8122,19365,25.0,3.1099415400000003,,,
TCIEXP, EQ, 18-Oct-2021,1600.55,1629.8,1629.8,1578.5,1620.0,1619.85,1596.83,117331,8569,18270,15.57,2.9174084099999997,,,
TCIEXP, EQ, 19-Oct-2021,1619.85,1621.0,1648.0,1579.95,1623.85,1619.85,1619.4,35217,4448,19865,56.41,3.2169381,,,
TCIEXP, EQ, 20-Oct-2021,1619.85,1612.0,1674.95,1470.15,1615.9,1603.4,1600.76,84028,14762,24338,28.96,3.8959296880000003,,,
TCIEXP, EQ, 21-Oct-2021,1603.4,1628.0,1713.0,1599.95,1642.85,1648.5,1673.17,172076,20391,36023,20.93,6.027260291,,,
TCIEXP, EQ, 22-Oct-2021,1648.5,1664.0,1686.4,1555.0,1598.5,1602.2,1626.55,123406,18485,21855,17.71,3.554825025,3.8334956058000005,-2.8086138914164365,92.73064040093388
TCIEXP, EQ, 25-Oct-2021,1602.2,1640.0,1678.0,1577.25,1636.95,1642.55,1632.06,75500,13080,19312,25.58,3.151834272,3.9224723028,2.5184121832480284,80.35325755519315
TCIEXP, EQ, 26-Oct-2021,1642.55,1664.95,1900.0,1645.0,1820.0,1835.75,1825.66,1068712,98556,143916,13.47,26.274168456,3.9693574752,11.762199019816752,661.9249745118044
TCIEXP, EQ, 27-Oct-2021,1835.75,1795.0,1959.0,1780.15,1841.95,1851.5,1898.35,552909,48710,65928,11.92,12.51544188,8.5808035464,0.8579599618684461,145.85396125577006
TCIEXP, EQ, 28-Oct-2021,1851.5,1840.0,1855.05,1738.15,1812.0,1777.5,1797.06,138683,18891,27237,19.64,4.894652322,10.3047059848,-3.9967593842830134,47.49919434110859
TCIEXP, EQ, 29-Oct-2021,1777.5,1790.0,1862.9,1758.4,1820.1,1831.25,1812.75,122035,13976,18785,15.39,3.405250875,10.078184390999999,3.0239099859353025,33.78833669724232
TCIEXP, EQ, 01-Nov-2021,1831.25,1831.25,1945.0,1801.2,1875.0,1878.25,1877.74,156433,19757,32228,20.6,6.0515804719999995,10.048269561,2.5665529010238908,60.22510080230917
TCIEXP, EQ, 02-Nov-2021,1878.25,1881.0,2148.0,1881.0,2002.0,2003.35,2024.78,680398,62809,102187,15.02,20.690619385999998,10.628218801,6.660455210967651,194.6762648888376
TCIEXP, EQ, 03-Nov-2021,2003.35,2026.0,2078.0,1902.2,1925.0,1936.1,1984.43,181699,21027,41132,22.64,8.162357476,9.511508987,-3.35687723063868,85.81558916840669
TCIEXP, EQ, 08-Nov-2021,1992.55,2009.25,2015.0,1934.1,1978.0,1990.25,1991.74,104979,16245,53810,51.26,10.717552940000001,8.640892106199999,2.7968596663395533,124.03294484269696
TCIEXP, EQ, 09-Nov-2021,1990.25,1978.0,2004.0,1924.05,1958.0,1951.0,1971.28,64346,9406,18954,29.46,3.7363641119999995,9.8054722298,-1.9721140560231127,38.10488698998854
TCIEXP, EQ, 10-Nov-2021,1951.0,1998.0,1998.0,1940.0,1952.8,1950.95,1963.61,42409,5535,9824,23.16,1.9290504640000001,9.871694877200001,-0.002562788313682959,19.54122861369429
TCIEXP, EQ, 11-Nov-2021,1950.95,1960.95,1968.95,1915.0,1916.0,1942.6,1944.77,28420,5564,11103,39.07,2.1592781309999998,9.047188875599998,-0.42799661703273467,23.866840415186967
TCIEXP, EQ, 12-Nov-2021,1942.6,1948.0,1985.0,1931.25,1980.0,1971.1,1965.03,45235,7844,15740,34.8,3.0929572199999997,5.340920624600001,1.467105940492124,57.91056331663123
TCIEXP, EQ, 15-Nov-2021,1971.1,1999.8,2020.0,1981.95,1990.0,1997.85,1997.55,60878,6338,25110,41.25,5.01584805,4.3270405734,1.3571102430115165,115.91867385839566
TCIEXP, EQ, 16-Nov-2021,1997.85,2016.0,2035.75,1976.3,2000.0,2006.85,2019.42,45240,7266,24017,53.09,4.850041014,3.1866995953999995,0.45048427059088525,152.19636708151072
TCIEXP, EQ, 17-Nov-2021,2006.85,1990.0,2075.0,1912.55,1940.0,1938.35,2000.02,77024,14959,26738,34.71,5.347653476,3.4094349758,-3.4133094152527597,156.84867181680772
TCIEXP, EQ, 18-Nov-2021,1938.35,1938.35,2090.0,1938.35,2012.55,2016.75,2032.52,265442,34530,51904,19.55,10.549591808,4.093155578199999,4.04467717388501,257.7373766144329
TCIEXP, EQ, 22-Nov-2021,2016.75,2037.7,2074.0,1922.6,2073.0,2060.0,2038.21,181264,23233,58699,32.38,11.964088879,5.7712183136,2.1445394818395935,207.30612201597657
TCIEXP, EQ, 23-Nov-2021,2060.0,2070.0,2248.7,2050.1,2230.05,2198.0,2132.82,228563,29385,53270,23.31,11.361532140000001,7.545444645400001,6.699029126213592,150.57471989972703
TCIEXP, EQ, 24-Nov-2021,2198.0,2233.8,2270.0,2120.8,2150.0,2153.8,2171.73,174231,20225,43404,24.91,9.426176892,8.8145814634,-2.010919017288436,106.9384511464268
