SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
TORNTPHARM, EQ, 14-Oct-2021,3127.35,3135.0,3180.0,3109.5,3120.55,3130.4,3141.02,51346,5038,21396,41.67,6.720526392,,,
TORNTPHARM, EQ, 18-Oct-2021,3130.4,3140.0,3140.0,3081.85,3102.85,3111.75,3106.37,76368,9065,31198,40.85,9.691253126,,,
TORNTPHARM, EQ, 19-Oct-2021,3111.75,3120.0,3145.85,3063.35,3093.35,3072.95,3097.58,99484,9939,53168,53.44,16.469213344,,,
TORNTPHARM, EQ, 20-Oct-2021,3072.95,3095.25,3095.25,2935.6,2985.0,2982.25,2994.89,189888,21151,86654,45.63,25.951919806,,,
TORNTPHARM, EQ, 21-Oct-2021,2982.25,3012.05,3029.1,2951.35,3019.65,3012.55,2991.69,117058,8816,52673,45.0,15.758128737,,,
TORNTPHARM, EQ, 22-Oct-2021,3012.55,3022.55,3057.35,2953.05,2982.9,2969.4,3002.3,72499,12311,13728,18.94,4.121557440000001,14.918208281,-1.4323413719274398,27.627697390773555
TORNTPHARM, EQ, 25-Oct-2021,2969.4,2984.95,3149.95,2881.0,3141.85,3084.0,3024.27,202556,15573,66174,32.67,20.012804298,14.398414490599999,3.8593655283895703,138.99311143643874
TORNTPHARM, EQ, 26-Oct-2021,3084.0,3114.0,3114.8,2935.05,2948.75,2944.25,2979.16,252759,17926,50664,20.04,15.093616223999998,16.462724725,-4.531452658884565,91.68358504518453
TORNTPHARM, EQ, 27-Oct-2021,2944.25,2928.95,2958.95,2810.0,2812.0,2821.45,2868.05,438648,30617,160855,36.67,46.134018275,16.187605300999998,-4.170841470663164,284.99594237172346
TORNTPHARM, EQ, 28-Oct-2021,2821.45,2821.5,2849.0,2766.0,2789.0,2783.3,2794.07,274092,16711,129077,47.09,36.06501733900001,20.2240249948,-1.3521416293040684,178.32759477044277
TORNTPHARM, EQ, 29-Oct-2021,2783.3,2803.35,2890.0,2768.0,2870.0,2860.4,2841.63,168887,14775,49129,29.09,13.960644027,24.2854027152,2.7700930550066434,57.485742323153524
TORNTPHARM, EQ, 01-Nov-2021,2860.4,2875.0,2890.0,2848.95,2889.9,2879.4,2869.96,74742,9708,33282,44.53,9.551800872,26.2532200326,0.6642427632498951,36.3833497762904
