SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
TORNTPOWER, EQ, 14-Oct-2021,519.25,520.9,522.95,513.8,514.0,515.4,517.71,387959,9993,85191,21.96,4.410423261,,,
TORNTPOWER, EQ, 18-Oct-2021,515.4,516.7,527.9,515.85,520.5,521.3,521.69,1108317,26186,249193,22.48,13.000149617000002,,,
TORNTPOWER, EQ, 19-Oct-2021,521.3,523.25,527.85,505.2,511.9,511.1,515.24,1289601,34821,370996,28.77,19.115197904,,,
TORNTPOWER, EQ, 20-Oct-2021,511.1,511.3,517.35,496.05,500.9,498.3,503.22,1002255,18647,314514,31.38,15.826973508000002,,,
TORNTPOWER, EQ, 21-Oct-2021,498.3,498.3,505.0,491.45,502.0,496.1,497.57,2200667,30002,1220100,55.44,60.7085157,,,
TORNTPOWER, EQ, 22-Oct-2021,496.1,501.7,505.8,490.05,495.5,497.1,497.28,607180,10338,236523,38.95,11.761815744,22.612251997999998,0.20157226365652087,52.015233799093984
TORNTPOWER, EQ, 25-Oct-2021,497.1,497.1,497.6,482.25,492.3,494.1,491.61,683871,17377,258718,37.83,12.718835598,24.0825304946,-0.6035003017501509,52.813534694171494
TORNTPOWER, EQ, 26-Oct-2021,494.1,490.1,506.95,486.5,498.0,499.15,498.18,780784,16195,171303,21.94,8.533972854,24.0262676908,1.0220603116777887,35.51934475976799
TORNTPOWER, EQ, 27-Oct-2021,499.15,498.9,504.7,495.3,499.4,499.7,500.92,862027,11926,302198,35.06,15.137702216,21.9100226808,0.11018731844135259,69.09030828738182
TORNTPOWER, EQ, 28-Oct-2021,499.7,520.0,536.0,485.4,488.75,488.8,516.76,7424700,125802,842746,11.35,43.549742296,21.772168422399997,-2.181308785271158,200.02482734422742
TORNTPOWER, EQ, 29-Oct-2021,488.8,490.0,511.5,484.0,500.95,499.95,499.9,1308349,29475,182636,13.96,9.12997364,18.3404137416,2.281096563011452,49.780630735124895
TORNTPOWER, EQ, 01-Nov-2021,499.95,505.0,511.0,494.5,503.5,503.8,500.49,656415,14020,79685,12.14,3.988154565,17.8140453208,0.7700770077007747,22.38769742178302
TORNTPOWER, EQ, 02-Nov-2021,503.8,506.0,525.5,505.0,521.4,522.05,518.11,1330349,24363,326962,24.58,16.940228182,16.0679091142,3.6224692338229345,105.42895196630835
TORNTPOWER, EQ, 03-Nov-2021,522.05,525.05,525.05,510.35,513.25,512.35,514.62,1314090,15646,536310,40.81,27.599585219999998,17.7491601798,-1.858059572837838,155.49797816017565
TORNTPOWER, EQ, 08-Nov-2021,515.55,515.8,531.0,515.65,529.2,529.65,525.45,765691,13564,294237,38.43,15.460683165,20.241536780599997,3.3765980286913155,76.38097508395663
TORNTPOWER, EQ, 09-Nov-2021,529.65,528.5,539.0,527.35,530.0,529.8,532.43,880823,19434,255903,29.05,13.625043429,14.6237249544,0.02832058906824833,93.17081298701864
TORNTPOWER, EQ, 10-Nov-2021,529.8,529.0,545.5,525.4,537.0,538.7,538.54,1001719,20056,237665,23.73,12.79921091,15.522738912199998,1.6798791996980165,82.45459118004324
TORNTPOWER, EQ, 11-Nov-2021,538.7,538.0,541.05,530.25,534.0,535.3,534.24,537716,11532,110134,20.48,5.8837988160000005,17.284950181199996,-0.6311490625580268,34.04001026511215
TORNTPOWER, EQ, 12-Nov-2021,535.3,535.3,547.0,535.3,540.0,539.3,542.17,1334026,32767,163733,12.27,8.877112061,15.073664308,0.7472445357743323,58.89153346932821
TORNTPOWER, EQ, 15-Nov-2021,539.3,540.0,550.95,540.0,545.15,545.45,545.68,835799,17324,130286,15.59,7.109446447999999,11.3291696762,1.1403671425922663,62.753464297876334
TORNTPOWER, EQ, 16-Nov-2021,545.45,545.05,549.0,540.0,543.05,542.8,544.65,1069585,14825,568110,53.11,30.94211115,9.6589223328,-0.48583738197819976,320.34744750898386
TORNTPOWER, EQ, 17-Nov-2021,542.8,542.8,544.35,535.0,540.0,540.6,539.83,914669,8282,536921,58.7,28.984606343,13.122335877000001,-0.40530582166542595,220.87993033162928
TORNTPOWER, EQ, 18-Nov-2021,540.6,539.55,545.5,520.85,523.45,526.55,533.27,748124,15568,191106,25.54,10.191109661999999,16.3594149636,-2.598964113947478,62.29507402725224
TORNTPOWER, EQ, 22-Nov-2021,526.55,525.0,525.0,507.9,511.0,512.05,514.89,583012,14519,188837,32.39,9.723028292999999,17.2208771328,-2.7537745703162098,56.46070300612557
TORNTPOWER, EQ, 23-Nov-2021,512.05,503.75,539.85,501.8,531.4,535.45,527.86,1457880,22544,537466,36.87,28.370680275999998,17.3900603792,4.569866224001581,163.14308091726787
TORNTPOWER, EQ, 24-Nov-2021,535.45,531.0,557.95,531.0,550.0,550.5,549.09,2118292,42151,375141,17.71,20.598617169,21.6423071448,2.8107199551778788,95.1775475284724
TORNTPOWER, EQ, 25-Nov-2021,550.5,550.5,560.75,538.6,551.5,552.55,551.17,2506597,44587,260211,10.38,14.342049686999998,19.573608348599997,0.37238873751134505,73.27238509922374
TORNTPOWER, EQ, 26-Nov-2021,552.55,547.9,554.4,536.05,540.0,538.1,545.32,782324,19260,212625,27.18,11.594866500000002,16.645097017399998,-2.6151479504117154,69.65935066572023
TORNTPOWER, EQ, 29-Nov-2021,538.1,533.5,537.7,521.65,531.75,533.6,532.05,513097,12720,140364,27.36,7.468066619999999,16.925848385000002,-0.8362757851700428,44.12225874963134
TORNTPOWER, EQ, 30-Nov-2021,533.6,531.0,555.1,530.05,550.0,551.2,547.89,1620463,26493,778899,48.07,42.675097311,16.4748560504,3.2983508245877107,259.0316854996974
TORNTPOWER, EQ, 01-Dec-2021,551.2,550.95,556.0,543.05,549.1,550.4,548.59,720482,17474,85016,11.8,4.663892744000001,19.335739457400003,-0.14513788098694996,24.120581239085105
TORNTPOWER, EQ, 02-Dec-2021,550.4,548.0,567.5,545.6,563.05,562.05,561.17,1409396,37648,175004,12.42,9.820699467999999,16.1487945724,2.1166424418604612,60.81382374375246
TORNTPOWER, EQ, 03-Dec-2021,562.05,562.0,571.0,559.0,565.55,565.3,565.36,806897,21732,223845,27.74,12.65530092,15.2445245286,0.5782403700738369,83.01538625397991
TORNTPOWER, EQ, 06-Dec-2021,565.3,566.8,576.95,551.75,554.25,554.7,565.35,1410805,26992,212216,15.04,11.99763156,15.456611412600001,-1.8751105607641803,77.6213572285301
TORNTPOWER, EQ, 07-Dec-2021,554.7,557.6,588.95,551.55,587.9,585.9,575.43,2030844,32904,494776,24.36,28.470895367999994,16.3625244006,5.624661979448338,174.00062894302536
TORNTPOWER, EQ, 08-Dec-2021,585.9,590.0,591.7,576.5,580.05,582.75,583.25,1277695,26567,90936,7.12,5.3038422,13.521684011999998,-0.5376344086021467,39.22471635406533
TORNTPOWER, EQ, 09-Dec-2021,582.75,582.0,583.0,576.3,577.5,577.85,578.82,362390,10910,122413,33.78,7.085509266000001,13.6496739032,-0.8408408408408369,51.90973290826303
TORNTPOWER, EQ, 10-Dec-2021,577.85,580.85,582.4,567.9,580.0,579.7,574.42,628423,15461,163850,26.07,9.4118717,13.102635862799996,0.3201522886562296,71.83189549456586
TORNTPOWER, EQ, 13-Dec-2021,579.7,580.2,590.85,575.0,576.0,576.55,582.24,459749,11630,80278,17.46,4.6741062719999995,12.453950018799999,-0.5433845092289271,37.53111474627849
TORNTPOWER, EQ, 14-Dec-2021,576.55,574.8,584.85,571.45,584.3,582.05,579.41,407005,9635,141405,34.74,8.193147105,10.989244961199997,0.953950221143006,74.5560512476312
TORNTPOWER, EQ, 15-Dec-2021,582.05,583.5,606.55,576.8,599.0,598.6,590.77,2282818,33425,994841,43.58,58.77222175699999,6.933695308599999,2.843398333476517,847.6320221931824
TORNTPOWER, EQ, 16-Dec-2021,598.6,599.0,603.2,554.75,558.0,557.4,568.52,2635061,46016,558055,21.18,31.726542859999995,17.627371219999997,-6.882726361510199,179.98453918076618
TORNTPOWER, EQ, 17-Dec-2021,557.4,557.0,560.0,539.1,543.4,544.45,546.27,1426816,48119,503486,35.29,27.503929721999995,22.555577938799996,-2.32328668819518,121.93848367187199
TORNTPOWER, EQ, 20-Dec-2021,544.45,539.9,539.95,526.0,535.55,537.35,533.89,522564,14975,82969,15.88,4.429631940999999,26.173989543199998,-1.304068325833414,16.923793499989447
TORNTPOWER, EQ, 21-Dec-2021,537.35,540.0,548.2,531.45,536.75,536.75,540.56,623385,16956,94249,15.12,5.094723944,26.125094677,-0.11165906764678939,19.501264998229043
