SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
TVSSRICHAK, EQ, 14-Oct-2021,2466.2,2490.0,2579.0,2478.3,2550.0,2546.25,2534.82,22990,4439,10360,45.06,2.6260735200000003,,,
TVSSRICHAK, EQ, 18-Oct-2021,2546.25,2571.0,2590.0,2476.5,2507.0,2496.0,2524.83,10830,2542,5930,54.76,1.49722419,,,
TVSSRICHAK, EQ, 19-Oct-2021,2496.0,2490.9,2498.25,2383.55,2400.3,2397.45,2428.15,18606,3689,7086,38.08,1.7205870900000002,,,
TVSSRICHAK, EQ, 20-Oct-2021,2397.45,2417.9,2423.95,2320.0,2336.2,2339.25,2358.21,9012,2235,4432,49.18,1.0451586720000001,,,
TVSSRICHAK, EQ, 21-Oct-2021,2339.25,2349.9,2365.25,2305.55,2315.0,2318.2,2324.55,4769,1194,2872,60.22,0.6676107600000001,,,
TVSSRICHAK, EQ, 22-Oct-2021,2318.2,2329.8,2398.55,2239.4,2275.0,2273.95,2335.07,12006,2431,6056,50.44,1.4141183920000002,1.5113308464000004,-1.9088085583642482,93.56775820254309
TVSSRICHAK, EQ, 25-Oct-2021,2273.95,2338.95,2353.0,2225.55,2290.15,2307.5,2291.39,7769,2556,3192,41.09,0.731411688,1.2689398208000005,1.4754062314474894,57.63958826186754
TVSSRICHAK, EQ, 26-Oct-2021,2307.5,2304.9,2365.45,2280.0,2350.0,2343.85,2326.68,4836,1623,2467,51.01,0.573991956,1.1157773204,1.5752979414951205,51.44323562646237
TVSSRICHAK, EQ, 27-Oct-2021,2343.85,2355.0,2369.0,2315.2,2320.0,2322.95,2342.4,2236,724,1262,56.44,0.29561088,0.8864582936000002,-0.8916952876677301,33.3474098143403
TVSSRICHAK, EQ, 28-Oct-2021,2322.95,2300.0,2370.0,2259.0,2262.9,2272.0,2304.27,5027,1372,2532,50.37,0.583441164,0.7365487352000001,-2.1933317548806395,79.21283903115716
TVSSRICHAK, EQ, 29-Oct-2021,2272.0,2275.0,2325.55,2236.2,2307.0,2302.25,2286.02,6769,1584,4012,59.27,0.917151224,0.719714816,1.331426056338028,127.43258907706023
TVSSRICHAK, EQ, 01-Nov-2021,2302.25,2319.9,2332.75,2251.85,2307.85,2278.45,2285.57,3918,1088,2107,53.78,0.481569599,0.6203213824,-1.0337713106743482,77.6322746020499
TVSSRICHAK, EQ, 02-Nov-2021,2278.45,2301.9,2326.0,2294.5,2326.0,2314.45,2307.87,3089,706,1680,54.39,0.38772216,0.5703529646000001,1.5800215058482743,67.97933631710275
TVSSRICHAK, EQ, 03-Nov-2021,2314.45,2315.0,2340.9,2290.05,2311.0,2317.15,2312.85,3001,747,1576,52.52,0.36450515999999994,0.5330990054000001,0.11665838536154477,68.37475896742686
TVSSRICHAK, EQ, 08-Nov-2021,2370.9,2382.8,2439.0,2303.0,2305.0,2349.35,2399.58,9996,2128,5117,51.19,1.227865086,0.5468778613999999,1.3896381330513699,224.52272667551068
TVSSRICHAK, EQ, 09-Nov-2021,2349.35,2346.9,2445.0,2334.95,2390.0,2392.3,2406.12,11179,2515,4976,44.51,1.197285312,0.6757626458,1.828165237193278,177.17542090279298
TVSSRICHAK, EQ, 10-Nov-2021,2392.3,2391.9,2425.0,2375.0,2381.5,2393.65,2399.0,4567,1080,2362,51.72,0.5666438,0.7317894634,0.05643104961751908,77.43262623204367
TVSSRICHAK, EQ, 11-Nov-2021,2393.65,2394.85,2424.5,2255.2,2400.0,2400.15,2342.96,41187,6844,9758,23.69,2.2862603679999998,0.7488043035999999,0.2715518141750047,305.3214781229791
TVSSRICHAK, EQ, 12-Nov-2021,2400.15,2400.0,2407.45,2349.75,2350.0,2351.25,2363.38,4915,1125,2699,54.91,0.637876262,1.1285119452,-2.037372664208491,56.52366062345513
TVSSRICHAK, EQ, 15-Nov-2021,2351.25,2363.05,2392.45,2302.25,2302.25,2317.8,2330.48,3945,1040,2022,51.25,0.471223056,1.1831861656,-1.422647527910678,39.82661982537974
TVSSRICHAK, EQ, 16-Nov-2021,2317.8,2329.0,2329.0,2261.0,2300.0,2294.5,2281.81,7014,2174,4276,60.96,0.9757019560000001,1.0318577596,-1.0052636120459135,94.55779606466605
