SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
UCOBANK, EQ, 14-Oct-2021,14.35,14.35,14.6,14.25,14.3,14.3,14.39,7269660,16885,3272167,45.01,4.708648313,,,
UCOBANK, EQ, 18-Oct-2021,14.3,14.4,14.8,14.35,14.6,14.65,14.59,17161006,37320,7221201,42.08,10.535732259,,,
UCOBANK, EQ, 19-Oct-2021,14.65,14.7,14.95,14.2,14.3,14.3,14.58,10361105,23643,4640505,44.79,6.76585629,,,
UCOBANK, EQ, 20-Oct-2021,14.3,14.3,14.35,14.05,14.15,14.1,14.14,6271571,17140,2174510,34.67,3.0747571400000004,,,
UCOBANK, EQ, 21-Oct-2021,14.1,14.2,14.9,14.15,14.65,14.65,14.6,18684710,43093,6081496,32.55,8.87898416,,,
UCOBANK, EQ, 22-Oct-2021,14.65,14.75,14.95,14.35,14.45,14.45,14.67,11235915,28297,4607606,41.01,6.759358002,6.792795632399999,-1.3651877133105874,99.50774861766031
UCOBANK, EQ, 25-Oct-2021,14.45,14.6,14.85,14.2,14.6,14.55,14.61,11233682,29416,3705588,32.99,5.413864068,7.2029375702,0.6920415224913594,75.16189075965677
UCOBANK, EQ, 26-Oct-2021,14.55,14.55,15.1,14.5,14.75,14.75,14.84,10897543,21717,4152510,38.11,6.16232484,6.178563931999999,1.3745704467353903,99.73717044642211
UCOBANK, EQ, 27-Oct-2021,14.75,14.8,15.3,14.6,14.7,14.65,14.97,20730304,25587,5694547,27.47,8.524736859,6.057857642,-0.6779661016949128,140.7219740506408
UCOBANK, EQ, 28-Oct-2021,14.65,14.75,14.95,14.3,14.4,14.4,14.62,23374638,28576,5838307,24.98,8.535604833999999,7.1478535858,-1.7064846416382253,119.4149366875242
UCOBANK, EQ, 29-Oct-2021,14.4,14.55,14.75,14.35,14.45,14.4,14.51,11062644,21619,4123692,37.28,5.983477092,7.079177720599999,0.0,84.52220481184456
UCOBANK, EQ, 01-Nov-2021,14.4,14.5,14.55,14.3,14.35,14.35,14.43,4264492,15558,1675733,39.3,2.418082719,6.9240015386,-0.34722222222222715,34.92319730894983
UCOBANK, EQ, 02-Nov-2021,14.35,14.4,14.55,14.3,14.3,14.35,14.4,5711789,15985,1875014,32.83,2.7000201600000002,6.324845268800001,0.0,42.68911009284294
UCOBANK, EQ, 03-Nov-2021,14.35,14.4,14.45,14.15,14.25,14.25,14.32,3778817,13826,1493540,39.52,2.13874928,5.6323843328,-0.6968641114982554,37.97236043614896
UCOBANK, EQ, 08-Nov-2021,14.4,14.45,14.6,14.35,14.55,14.55,14.48,5353237,16993,2692483,50.3,3.8987153840000004,4.355186817,2.105263157894742,89.51890120492162
UCOBANK, EQ, 09-Nov-2021,14.55,14.55,14.8,14.55,14.65,14.65,14.67,5278301,16355,2246452,42.56,3.295545084,3.4278089269999996,0.6872852233676952,96.14144645116622
UCOBANK, EQ, 10-Nov-2021,14.65,14.55,14.7,14.4,14.4,14.45,14.54,3396748,11782,1552932,45.72,2.2579631279999997,2.8902225254,-1.3651877133105874,78.124196602734
UCOBANK, EQ, 11-Nov-2021,14.45,14.4,14.5,14.2,14.3,14.25,14.31,3797740,14774,1689982,44.5,2.418364242,2.8581986072000003,-1.3840830449826942,84.61148346752296
UCOBANK, EQ, 12-Nov-2021,14.25,14.3,14.4,14.05,14.1,14.1,14.15,4301307,14086,2059878,47.89,2.91472737,2.8018674236,-1.052631578947371,104.02802593189764
UCOBANK, EQ, 15-Nov-2021,14.1,14.15,14.25,13.9,13.95,13.95,14.01,3028365,14983,1567500,51.76,2.1960675,2.9570630415999997,-1.0638297872340452,74.26515664717644
UCOBANK, EQ, 16-Nov-2021,13.95,13.95,14.0,13.6,13.65,13.6,13.74,6463142,17473,2778302,42.99,3.8173869480000002,2.6165334648,-2.5089605734767,145.8948260878364
UCOBANK, EQ, 17-Nov-2021,13.6,13.6,13.85,13.55,13.65,13.65,13.72,3119378,13686,902615,28.94,1.23838778,2.7209018375999996,0.36764705882353466,45.51387201429998
UCOBANK, EQ, 18-Nov-2021,13.65,13.7,13.75,13.5,13.6,13.6,13.6,3238426,13721,1256689,38.81,1.7090970399999998,2.516986768,-0.3663003663003715,67.9025039673947
UCOBANK, EQ, 22-Nov-2021,13.6,13.6,13.75,13.25,13.35,13.35,13.44,3725134,32044,1581508,42.46,2.125546752,2.3751333275999995,-1.8382352941176472,89.49168146900624
UCOBANK, EQ, 23-Nov-2021,13.35,13.3,13.55,13.2,13.3,13.35,13.41,4604826,14358,1345538,29.22,1.8043664580000003,2.2172972040000003,0.0,81.37684270493493
UCOBANK, EQ, 24-Nov-2021,13.35,13.5,13.75,13.5,13.65,13.65,13.64,5215857,14681,1684037,32.29,2.297026468,2.1389569956,2.2471910112359605,107.3900257333439
UCOBANK, EQ, 25-Nov-2021,13.65,13.75,13.75,13.0,13.45,13.4,13.41,3883870,24770,1460752,37.61,1.958868432,1.8348848996,-1.8315018315018317,106.75701960526396
UCOBANK, EQ, 26-Nov-2021,13.4,13.3,13.35,13.1,13.15,13.1,13.21,3236378,14001,1504696,46.49,1.987703416,1.97898103,-2.238805970149259,100.44075136991081
UCOBANK, EQ, 29-Nov-2021,13.1,13.15,13.2,12.8,12.9,12.9,12.95,3410644,29676,1415346,41.5,1.83287307,2.0347023052,-1.526717557251903,90.08065038879674
UCOBANK, EQ, 30-Nov-2021,12.9,12.8,13.15,12.8,12.95,12.95,12.97,4104299,14818,1373978,33.48,1.782049466,1.9761675688,0.3875968992247979,90.17704237916041
UCOBANK, EQ, 01-Dec-2021,12.95,13.05,13.15,12.9,13.1,13.0,13.01,1638253,12908,727576,44.41,0.946576376,1.9717041704,0.3861003861003916,48.00803235142359
UCOBANK, EQ, 02-Dec-2021,13.0,13.0,13.15,12.95,13.1,13.1,13.06,1260363,11945,553859,43.94,0.723339854,1.701614152,0.7692307692307665,42.50904079222773
UCOBANK, EQ, 03-Dec-2021,13.1,13.1,13.3,12.95,13.05,13.0,13.1,3338904,13315,1449536,43.41,1.8988921599999997,1.4545084364,-0.7633587786259515,130.55215854917122
UCOBANK, EQ, 06-Dec-2021,13.0,13.05,13.2,12.95,13.0,13.0,13.03,3605940,12901,1335691,37.04,1.740405373,1.4367461852,0.0,121.13520056138026
UCOBANK, EQ, 07-Dec-2021,13.0,13.1,13.15,13.05,13.15,13.1,13.12,1807365,12398,875894,48.46,1.149172928,1.4182526458,0.7692307692307665,81.02737769629057
UCOBANK, EQ, 08-Dec-2021,13.1,13.25,13.4,13.15,13.4,13.3,13.28,3228048,13207,1480066,45.85,1.9655276480000001,1.2916773382,1.5267175572519165,152.16862523414986
UCOBANK, EQ, 09-Dec-2021,13.3,13.3,13.55,13.2,13.4,13.4,13.4,3732009,13877,1470785,39.41,1.9708519,1.4954675926,0.7518796992481176,131.78833896182954
UCOBANK, EQ, 10-Dec-2021,13.4,13.4,13.9,13.35,13.75,13.75,13.67,6431949,16057,2217523,34.48,3.031353941,1.7449700017999998,2.61194029850746,173.71954462672988
UCOBANK, EQ, 13-Dec-2021,13.75,14.0,14.15,13.65,13.65,13.7,13.87,3667309,16087,1635909,44.61,2.269005783,1.9714623580000001,-0.3636363636363688,115.09252377011398
UCOBANK, EQ, 14-Dec-2021,13.7,13.6,13.7,13.55,13.6,13.6,13.61,2672552,13252,1058400,39.6,1.4404824,2.07718244,-0.7299270072992675,69.3478999369935
UCOBANK, EQ, 15-Dec-2021,13.6,13.6,13.65,13.4,13.5,13.4,13.5,1989964,12669,1114517,56.01,1.50459795,2.1354443344000003,-1.4705882352941124,70.45830817326126
UCOBANK, EQ, 16-Dec-2021,13.4,13.45,13.65,13.25,13.3,13.3,13.4,2100909,13003,865313,41.19,1.15951942,2.0432583948,-0.7462686567164152,56.74854550706482
