SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
VAIBHAVGBL, EQ, 14-Oct-2021,723.3,729.9,732.0,710.75,717.0,714.35,719.25,87619,7838,48410,55.25,3.48188925,,,
VAIBHAVGBL, EQ, 18-Oct-2021,714.35,724.0,738.0,717.0,726.7,727.05,728.1,130017,8269,86051,66.18,6.26537331,,,
VAIBHAVGBL, EQ, 19-Oct-2021,727.05,726.0,758.6,711.05,718.5,718.0,732.07,418401,11763,324856,77.64,23.781733192,,,
VAIBHAVGBL, EQ, 20-Oct-2021,718.0,723.0,724.95,699.0,706.0,704.2,705.69,125576,12449,76102,60.6,5.370442038,,,
VAIBHAVGBL, EQ, 21-Oct-2021,704.2,710.0,710.0,698.0,700.25,705.95,703.5,148762,10688,102245,68.73,7.19293575,,,
VAIBHAVGBL, EQ, 22-Oct-2021,705.95,705.35,708.3,694.75,697.5,696.3,699.51,120929,12295,77339,63.95,5.409940389,9.218474707999999,-1.3669523337346965,58.68585162255891
VAIBHAVGBL, EQ, 25-Oct-2021,696.3,697.0,702.5,653.9,663.0,662.0,673.21,150728,16478,68107,45.19,4.585031347,9.6040849358,-4.926037627459422,47.74042897006176
VAIBHAVGBL, EQ, 26-Oct-2021,662.0,669.0,705.0,668.75,705.0,696.8,682.38,71471,7181,34835,48.74,2.3770707300000002,9.2680165432,5.256797583081564,25.64810624711359
VAIBHAVGBL, EQ, 27-Oct-2021,696.8,708.0,711.45,690.15,693.7,694.15,697.45,67891,5862,34967,51.5,2.4387734150000004,4.9870840508,-0.3803099885189405,48.901790909435064
VAIBHAVGBL, EQ, 28-Oct-2021,694.15,649.0,649.0,598.75,627.0,618.7,623.6,571328,43892,290827,50.9,18.13597172,4.4007503262,-10.869408629258796,412.1108987262228
