SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
VIPIND, EQ, 14-Oct-2021,583.6,583.8,588.4,570.1,575.0,575.6,579.93,488821,21183,204012,41.74,11.831267916,,,
VIPIND, EQ, 18-Oct-2021,575.6,576.0,580.85,564.0,566.1,572.5,572.86,336685,18001,139357,41.39,7.983205101999999,,,
VIPIND, EQ, 19-Oct-2021,572.5,575.0,580.0,550.0,562.0,564.95,572.72,533548,32677,315641,59.16,18.077391352,,,
VIPIND, EQ, 20-Oct-2021,564.95,566.4,585.0,545.05,558.15,551.15,561.32,748354,33088,355236,47.47,19.940107152,,,
VIPIND, EQ, 21-Oct-2021,551.15,554.55,557.75,521.1,529.9,531.1,534.77,358073,18759,117189,32.73,6.266916153,,,
VIPIND, EQ, 22-Oct-2021,531.1,533.0,538.0,529.3,533.4,532.35,532.78,219857,10798,99335,45.18,5.29237013,12.819777535,0.23536057239691208,41.28285467942794
VIPIND, EQ, 25-Oct-2021,532.35,532.8,537.35,504.1,525.0,515.95,516.54,283416,19843,94897,33.48,4.901809638,11.5119979778,-3.0806800037569224,42.5800078097022
VIPIND, EQ, 26-Oct-2021,515.95,519.4,535.0,518.4,526.15,528.75,526.72,187487,11905,53612,28.6,2.823851264,10.895718884999999,2.480860548502753,25.91707159302321
VIPIND, EQ, 27-Oct-2021,528.75,534.25,550.65,528.65,540.8,539.9,541.15,494323,24733,238539,48.26,12.908537984999999,7.845010867400001,2.108747044917253,164.54455198579166
VIPIND, EQ, 28-Oct-2021,539.9,542.65,571.05,528.15,531.0,532.6,539.54,405987,27566,138357,34.08,7.464913578,6.4386970340000005,-1.352102241155761,115.93826419508466
VIPIND, EQ, 29-Oct-2021,532.6,527.8,552.6,516.7,543.15,543.3,541.54,545523,25643,255540,46.84,13.83851316,6.678296519,2.0090123920390406,207.21621330572728
VIPIND, EQ, 01-Nov-2021,543.3,560.0,560.0,538.05,545.55,549.5,548.27,389456,19065,160225,41.14,8.784656075,8.387525125,1.141174305172105,104.73478104782427
VIPIND, EQ, 02-Nov-2021,549.5,552.7,571.75,547.05,564.0,565.9,557.97,441168,21606,180866,41.0,10.091780202,9.1640944124,2.9845313921747,110.12304923817395
VIPIND, EQ, 03-Nov-2021,565.9,569.0,589.7,563.5,572.0,574.5,578.29,800458,28174,227868,28.47,13.177378572,10.6176802,1.5197031277610926,124.10788725770814
VIPIND, EQ, 08-Nov-2021,577.5,579.5,635.0,572.0,634.05,626.8,612.51,2199991,60318,506873,23.04,31.046478123000004,10.671448317400001,9.103568320278494,290.930314232775
VIPIND, EQ, 09-Nov-2021,626.8,634.05,668.85,625.15,656.0,654.6,642.34,1678180,45855,602064,35.88,38.672978975999996,15.387761226400002,4.435226547543087,251.3229728938783
VIPIND, EQ, 10-Nov-2021,654.6,645.2,658.85,638.05,645.0,647.9,648.4,570569,20441,150399,26.36,9.751871159999999,20.3546543896,-1.0235258172930104,47.90978502186024
VIPIND, EQ, 11-Nov-2021,647.9,641.0,665.0,640.0,656.0,656.55,647.29,483946,22330,238483,49.28,15.436766106999999,20.5480974066,1.3350825744713655,75.12503859380064
VIPIND, EQ, 12-Nov-2021,656.55,656.55,657.0,615.85,620.0,621.35,630.02,371619,15910,104431,28.1,6.579361862,21.617094587599997,-5.361358617013165,30.435921142585254
VIPIND, EQ, 15-Nov-2021,621.35,625.0,625.65,592.65,597.7,597.6,602.66,416102,21153,180770,43.44,10.89428482,20.297491245599996,-3.8223223625975695,53.67306081416153
VIPIND, EQ, 16-Nov-2021,597.6,597.9,620.8,596.0,607.9,608.8,607.13,661240,26940,221698,33.53,13.459950674000002,16.267052585,1.8741633199464411,82.74363535537807
VIPIND, EQ, 17-Nov-2021,608.8,605.0,611.95,595.8,603.0,600.1,603.47,247201,10223,77977,31.54,4.7056780190000005,11.224446924599999,-1.429040735873839,41.923473384571196
VIPIND, EQ, 18-Nov-2021,600.1,602.7,607.0,580.0,582.8,585.85,593.35,369845,21931,91914,24.85,5.45371719,10.215208296400002,-2.3746042326278953,53.3882132576971
VIPIND, EQ, 22-Nov-2021,585.85,582.0,596.0,561.3,567.35,573.75,582.06,372927,22939,126879,34.02,7.3851190739999995,8.218598513,-2.0653750960143418,89.85861838023088
VIPIND, EQ, 23-Nov-2021,573.75,555.0,584.0,555.0,580.15,578.0,568.23,386631,16888,128462,33.23,7.299596226,8.379749955400001,0.7407407407407408,87.10995274144263
VIPIND, EQ, 24-Nov-2021,578.0,584.55,602.15,575.0,592.0,591.65,589.5,612150,27489,184938,30.21,10.9020951,7.6608122366,2.361591695501726,142.30991131612095
VIPIND, EQ, 25-Nov-2021,591.65,594.3,599.95,582.15,586.9,586.8,592.12,180143,8093,56575,31.41,3.3499189,7.1492411218,-0.819741401166234,46.8569858384714
VIPIND, EQ, 26-Nov-2021,586.8,582.9,588.7,550.0,553.0,555.25,573.67,248549,17691,92041,37.03,5.280116047,6.878089298000001,-5.376618950238575,76.76719243141179
VIPIND, EQ, 29-Nov-2021,555.25,550.0,552.0,492.05,536.0,536.95,526.54,731040,44629,266871,36.51,14.051825634,6.8433690694000004,-3.295812696983333,205.33490874885706
VIPIND, EQ, 30-Nov-2021,536.95,537.0,574.25,536.95,557.0,559.1,553.53,500593,22418,171290,34.22,9.481415369999999,8.1767103814,4.125151317627336,115.95635564600504
VIPIND, EQ, 01-Dec-2021,559.1,570.0,574.0,542.0,544.2,548.0,552.99,167136,10885,42332,25.33,2.340917268,8.6130742102,-1.9853335718118443,27.17864970010101
VIPIND, EQ, 02-Dec-2021,548.0,548.85,554.7,540.0,546.35,545.85,547.65,119344,7459,35333,29.61,1.935011745,6.9008386438,-0.3923357664233535,28.040240395107553
VIPIND, EQ, 03-Dec-2021,545.85,545.45,546.8,529.0,529.5,532.25,537.43,310958,21843,183712,59.08,9.873234016,6.617857212799999,-2.4915269762755377,149.19079844913517
VIPIND, EQ, 06-Dec-2021,532.25,528.0,542.9,513.05,526.2,528.2,523.03,408457,29631,170813,41.82,8.934032339,7.536480806599999,-0.7609206200093855,118.54382129091483
VIPIND, EQ, 07-Dec-2021,528.2,528.2,541.2,518.05,528.95,528.9,528.09,343960,17329,174689,50.79,9.225151401,6.512922147599999,0.13252555850055503,141.6438150485102
VIPIND, EQ, 08-Dec-2021,528.9,536.05,549.0,530.55,548.4,544.25,539.99,281999,10943,100936,35.79,5.450443064,6.4616693538,2.90224995273209,84.35038634087158
VIPIND, EQ, 09-Dec-2021,544.25,551.95,556.0,538.0,540.0,541.6,546.17,164632,8108,51938,31.55,2.8366977459999996,7.083574512999999,-0.48690858980247625,40.046134064009664
VIPIND, EQ, 10-Dec-2021,541.6,542.0,553.45,536.0,547.35,550.05,544.94,236772,10883,94743,40.01,5.162925042,7.2639117132,1.5601920236336653,71.07637380308353
VIPIND, EQ, 13-Dec-2021,550.05,556.0,604.6,552.65,595.25,597.3,587.11,1575904,58098,376334,23.88,22.094945474,6.3218499184,8.590128170166349,349.5012655977765
VIPIND, EQ, 14-Dec-2021,597.3,589.0,604.0,579.15,595.3,594.85,594.35,617533,30191,162307,26.28,9.646716545,8.9540325454,-0.41017913946089607,107.73600046780996
VIPIND, EQ, 15-Dec-2021,594.85,596.85,596.9,576.6,580.05,580.05,584.11,258582,19264,96058,37.15,5.610843838,9.0383455742,-2.4880221904681967,62.078217655410086
VIPIND, EQ, 16-Dec-2021,580.05,585.95,622.75,576.35,582.0,584.95,598.79,3007196,85292,582654,19.38,34.888738866,9.070425729,0.8447547625204881,384.64279305494546
VIPIND, EQ, 17-Dec-2021,584.95,585.5,585.5,556.0,559.25,565.35,573.43,634038,25352,237688,37.49,13.629742983999998,15.480833953000001,-3.350713736216774,88.04269217911686
VIPIND, EQ, 20-Dec-2021,565.35,555.8,559.9,511.35,535.0,530.75,538.31,271038,12965,66627,24.58,3.586598037,17.174197541399998,-6.120102591315119,20.8836426176779
VIPIND, EQ, 21-Dec-2021,530.75,540.0,574.8,538.0,562.0,559.05,562.87,1254407,43736,300507,23.96,16.914637509000002,13.472528053999998,5.332077249175686,125.54909844094213
VIPIND, EQ, 22-Dec-2021,559.05,565.65,569.35,541.35,549.95,551.8,557.15,273463,14611,47606,17.41,2.65236829,14.926112246799999,-1.296842858420535,17.76998756369824
VIPIND, EQ, 23-Dec-2021,551.8,552.1,563.0,542.35,556.2,556.85,553.13,294657,12464,77548,26.32,4.289412524,14.3344171372,0.9151866618340103,29.92387121809313
VIPIND, EQ, 24-Dec-2021,556.85,561.95,561.95,535.1,540.5,540.45,547.43,279137,16656,54206,19.42,2.967399058,8.2145518688,-2.945137828858755,36.12368763864759
VIPIND, EQ, 27-Dec-2021,540.45,541.8,541.8,525.0,529.9,529.15,533.69,224773,9705,77860,34.64,4.155310340000001,6.0820830836,-2.090850217411429,68.32051260865812
VIPIND, EQ, 28-Dec-2021,529.15,534.0,554.75,532.35,540.5,541.65,545.0,377314,14038,56301,14.92,3.0684045,6.1958255442,2.362279126901635,49.52373946152143
VIPIND, EQ, 29-Dec-2021,541.65,540.0,551.6,537.7,541.25,541.5,544.1,167824,7419,35454,21.13,1.9290521400000002,3.4265789424,-0.02769315978952779,56.29673713715402
VIPIND, EQ, 30-Dec-2021,541.5,545.0,548.6,538.8,540.9,540.4,542.75,171968,5780,66857,38.88,3.628663675,3.2819157124,-0.203139427516163,110.56541340442988
