SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
VMART, EQ, 14-Oct-2021,4199.8,4199.8,4396.0,4199.8,4326.35,4325.65,4322.1,72302,15803,30395,42.04,13.137022950000002,,,
VMART, EQ, 18-Oct-2021,4325.65,4397.5,4564.0,4311.6,4480.0,4496.6,4452.15,50669,15064,13969,27.57,6.219208334999999,,,
VMART, EQ, 19-Oct-2021,4496.6,4525.0,4525.0,4251.0,4430.1,4430.0,4412.99,42099,10831,18129,43.06,8.000309570999999,,,
VMART, EQ, 20-Oct-2021,4430.0,4381.0,4429.45,4061.9,4144.0,4115.3,4224.3,84114,10907,64399,76.56,27.204069569999998,,,
VMART, EQ, 21-Oct-2021,4115.3,4060.0,4144.7,4060.0,4125.0,4128.65,4112.04,14450,4827,5130,35.5,2.10947652,,,
VMART, EQ, 22-Oct-2021,4128.65,4150.0,4198.0,3982.6,4050.0,4003.45,4100.87,9082,3532,3266,35.96,1.339344142,11.3340173892,-3.032468240223798,11.817029178693861
VMART, EQ, 25-Oct-2021,4003.45,4023.5,4177.9,3810.0,3821.05,3840.25,3956.31,16705,5713,5327,31.89,2.107526337,8.9744816276,-4.076484032521945,23.48354394663355
VMART, EQ, 26-Oct-2021,3840.25,3849.85,4080.0,3825.0,4050.0,4038.2,4004.58,16308,5672,4263,26.14,1.7071524539999998,8.152145228,5.154612329926432,20.941143787974724
VMART, EQ, 27-Oct-2021,4038.2,4040.0,4186.85,4020.0,4040.0,4040.6,4130.97,26260,6000,8818,33.58,3.642689346,6.8935138046,0.05943242038532245,52.84227244992612
VMART, EQ, 28-Oct-2021,4040.6,4060.85,4177.9,4003.45,4024.4,4052.7,4114.06,22663,7298,6025,26.59,2.47872115,2.1812377598,0.29946047616690363,113.63828353252406
