SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
VSTIND, EQ, 14-Oct-2021,3625.45,3684.0,3820.0,3643.7,3745.9,3751.7,3739.4,46294,8560,19891,42.97,7.43804054,,,
VSTIND, EQ, 18-Oct-2021,3751.7,3824.95,3895.0,3778.7,3805.6,3804.3,3837.92,28909,6703,17640,61.02,6.77009088,,,
VSTIND, EQ, 19-Oct-2021,3804.3,3825.5,3825.5,3690.0,3692.05,3703.95,3741.56,17381,3761,10476,60.27,3.9196582560000004,,,
VSTIND, EQ, 20-Oct-2021,3703.95,3685.0,3701.0,3528.15,3611.0,3598.9,3600.83,14920,3924,8598,57.63,3.095993634,,,
VSTIND, EQ, 21-Oct-2021,3598.9,3646.0,3659.0,3525.05,3552.45,3551.15,3567.83,5968,1713,3454,57.88,1.232328482,,,
VSTIND, EQ, 22-Oct-2021,3551.15,3553.8,3600.0,3443.0,3454.5,3453.5,3472.5,16890,3936,8319,49.25,2.88877275,4.4912223584,-2.74981344071639,64.32041256200742
VSTIND, EQ, 25-Oct-2021,3453.5,3455.0,3525.0,3401.0,3425.0,3440.1,3452.29,9480,2876,4721,49.8,1.629826109,3.5813688004,-0.3880121615752162,45.50846896354171
VSTIND, EQ, 26-Oct-2021,3440.1,3428.0,3493.55,3400.0,3422.0,3422.2,3433.86,6166,2251,3138,50.89,1.077545268,2.5533158462,-0.5203337112293274,42.201800831012285
VSTIND, EQ, 27-Oct-2021,3422.2,3439.35,3467.45,3373.3,3397.95,3386.75,3406.19,8406,2688,4977,59.21,1.6952607629999998,1.9848932486,-1.0358833498918771,85.40815805563922
VSTIND, EQ, 28-Oct-2021,3386.75,3380.0,3445.15,3340.0,3350.0,3351.75,3358.24,12727,3316,9714,76.33,3.262194336,1.7047466743999997,-1.0334391378164907,191.35947792056302
VSTIND, EQ, 29-Oct-2021,3351.75,3325.0,3363.95,3180.0,3310.0,3297.55,3283.08,9982,2814,5133,51.42,1.685204964,2.1107198451999998,-1.6170657119415177,79.84029561442435
VSTIND, EQ, 01-Nov-2021,3297.55,3334.0,3335.6,3249.0,3290.0,3295.2,3294.94,5157,1616,2834,54.95,0.9337859960000001,1.8700062880000001,-0.07126503009811418,49.93491209052021
VSTIND, EQ, 02-Nov-2021,3295.2,3320.0,3320.0,3270.0,3284.0,3286.15,3283.57,6444,2038,4568,70.89,1.4999347760000001,1.7307982654,-0.2746419033745972,86.66144437424394
VSTIND, EQ, 03-Nov-2021,3286.15,3285.0,3310.4,3250.0,3258.0,3255.35,3269.13,7319,1783,5204,71.1,1.701255252,1.815276167,-0.9372670145915487,93.71881165671692
VSTIND, EQ, 08-Nov-2021,3312.0,3322.0,3322.0,3268.0,3280.0,3276.15,3278.83,5235,1628,3671,70.12,1.203658493,1.8164750647999999,0.6389481929746473,66.26341953846347
VSTIND, EQ, 09-Nov-2021,3276.15,3280.0,3323.0,3256.05,3320.0,3295.7,3285.93,6318,2127,3855,61.02,1.266726015,1.4047678962,0.5967370236405454,90.17333172452093
VSTIND, EQ, 10-Nov-2021,3295.7,3306.0,3323.0,3295.0,3310.0,3313.05,3310.82,3519,983,2088,59.34,0.691299216,1.3210721064,0.5264435476530135,52.328651301542614
VSTIND, EQ, 11-Nov-2021,3313.05,3322.0,3322.0,3271.0,3290.5,3294.85,3286.18,4468,1110,2864,64.1,0.941161952,1.2725747504,-0.5493427506376383,73.95730205272191
VSTIND, EQ, 12-Nov-2021,3294.85,3311.35,3349.95,3278.05,3324.0,3325.5,3318.23,4688,1229,2421,51.64,0.803343483,1.1608201856,0.930239616371006,69.20481681534261
VSTIND, EQ, 15-Nov-2021,3325.5,3301.0,3350.0,3286.0,3290.0,3307.9,3318.01,5596,1471,3153,56.34,1.0461685530000002,0.9812378318,-0.5292437227484561,106.61722562010172
VSTIND, EQ, 16-Nov-2021,3307.9,3324.45,3380.0,3317.2,3333.3,3341.45,3358.06,5609,1155,3360,59.9,1.12830816,0.9497398438000001,1.014238640829521,118.80181371411469
VSTIND, EQ, 17-Nov-2021,3341.45,3341.0,3475.0,3320.0,3320.0,3332.4,3361.55,7612,1444,4685,61.55,1.574886175,0.9220562728000001,-0.27084050337427545,170.80152496740325
VSTIND, EQ, 18-Nov-2021,3332.4,3311.05,3350.8,3254.4,3305.0,3297.15,3296.05,3364,1327,1752,52.08,0.57746796,1.0987736646,-1.0577961829312208,52.55567899056106
VSTIND, EQ, 22-Nov-2021,3297.15,3313.65,3347.0,3230.0,3243.9,3242.7,3251.19,4220,1544,2702,64.03,0.8784715380000001,1.0260348662,-1.6514262317456068,85.61809807238694
VSTIND, EQ, 23-Nov-2021,3242.7,3235.0,3240.0,3200.0,3224.25,3218.25,3219.38,5612,1403,3845,68.51,1.2378516099999999,1.0410604772,-0.7540012952169433,118.90294916672684
VSTIND, EQ, 24-Nov-2021,3218.25,3234.35,3250.0,3200.05,3210.05,3205.7,3211.33,5677,2117,3272,57.64,1.050747176,1.0793970886,-0.3899634894740987,97.34574857551641
VSTIND, EQ, 25-Nov-2021,3205.7,3210.05,3240.0,3202.85,3226.0,3213.5,3223.99,2611,656,1701,65.15,0.5484006989999999,1.0638848918,0.24331659231993583,51.5469956596671
VSTIND, EQ, 26-Nov-2021,3213.5,3200.0,3222.0,3190.1,3191.0,3195.3,3201.45,3285,862,1965,59.82,0.629084925,0.8585877966,-0.5663606659405576,73.26972587907385
