SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
WOCKPHARMA, EQ, 14-Oct-2021,482.2,484.55,498.0,482.0,488.0,490.5,489.87,899299,23020,250256,27.83,12.259290672,,,
WOCKPHARMA, EQ, 18-Oct-2021,490.5,494.7,494.7,481.2,482.0,482.65,485.33,411718,11553,174022,42.27,8.445809725999998,,,
WOCKPHARMA, EQ, 19-Oct-2021,482.65,483.0,489.5,462.95,466.0,466.05,477.01,531760,15516,207083,38.94,9.878066183,,,
WOCKPHARMA, EQ, 20-Oct-2021,466.05,464.0,465.45,445.1,452.4,450.6,454.76,538340,16930,165999,30.84,7.548970524,,,
WOCKPHARMA, EQ, 21-Oct-2021,450.6,452.0,468.0,447.6,462.0,462.3,457.83,559646,18672,139075,24.85,6.367270725,,,
WOCKPHARMA, EQ, 22-Oct-2021,462.3,462.5,465.85,442.25,446.95,447.6,452.09,460888,16011,126833,27.52,5.733993097,8.899881566,-3.179753406878648,64.42774608266063
WOCKPHARMA, EQ, 25-Oct-2021,447.6,445.8,449.0,425.6,431.45,431.8,433.1,505187,16788,156169,30.91,6.763679390000001,7.5948220509999995,-3.5299374441465616,89.05645641966603
WOCKPHARMA, EQ, 26-Oct-2021,431.8,432.1,443.0,430.1,434.8,435.2,436.58,394423,13114,120314,30.5,5.252668612,7.2583959838,0.7874015748031444,72.36679596598782
WOCKPHARMA, EQ, 27-Oct-2021,435.2,435.95,446.4,434.1,435.0,435.75,439.16,421924,12247,109477,25.95,4.807791932,6.3333164696,0.12637867647059084,75.91270632183726
WOCKPHARMA, EQ, 28-Oct-2021,435.75,435.95,439.0,423.55,428.6,427.2,430.77,353773,11541,122655,34.67,5.283609435,5.785080751200001,-1.9621342512908806,91.3316453517787
WOCKPHARMA, EQ, 29-Oct-2021,427.2,422.0,431.5,418.25,426.5,426.95,426.02,364656,12993,78257,21.46,3.3339047139999995,5.5683484932,-0.058520599250936334,59.872414919276764
WOCKPHARMA, EQ, 01-Nov-2021,426.95,428.6,434.0,424.05,426.0,427.3,429.81,266674,8597,109926,41.22,4.724729406,5.0883308166,0.08197681227310523,92.8542104728372
WOCKPHARMA, EQ, 02-Nov-2021,427.3,428.1,439.5,428.05,436.75,434.0,433.2,325774,10241,89580,27.5,3.8806056,4.680540819799999,1.5679850222326208,82.90934209106672
WOCKPHARMA, EQ, 03-Nov-2021,434.0,436.0,448.8,433.8,436.05,437.5,442.6,700013,18619,132348,18.91,5.8577224800000005,4.406128217399999,0.8064516129032258,132.9448938155633
WOCKPHARMA, EQ, 08-Nov-2021,440.45,442.95,474.0,430.0,462.0,463.2,462.65,3404542,83244,453592,13.32,20.98543388,4.616114327,5.874285714285712,454.6125245913997
WOCKPHARMA, EQ, 09-Nov-2021,463.2,459.9,479.65,453.0,467.9,468.1,467.32,1174242,32135,299030,25.47,13.974269959999999,7.756479216,1.0578583765112337,180.16253986955826
WOCKPHARMA, EQ, 10-Nov-2021,468.1,465.0,477.55,455.7,460.0,459.5,466.87,655897,17293,183120,27.92,8.54932344,9.8845522652,-1.8372142704550356,86.49176220251405
WOCKPHARMA, EQ, 11-Nov-2021,459.5,459.7,464.7,450.8,453.5,453.65,458.16,528666,14046,120099,22.72,5.502455784,10.649471072,-1.2731229597388516,51.66881760416504
WOCKPHARMA, EQ, 12-Nov-2021,453.65,455.95,458.0,448.1,451.8,451.95,452.4,280994,7964,92289,32.84,4.1751543600000005,10.973841108799999,-0.3747382343216111,38.04642621125538
WOCKPHARMA, EQ, 15-Nov-2021,451.95,453.0,469.0,446.6,466.55,465.55,461.68,942883,21063,244441,25.92,11.285352088,10.6373274848,3.009182431684926,106.09198695937472
WOCKPHARMA, EQ, 16-Nov-2021,465.55,468.0,473.0,455.0,455.2,456.95,465.36,582527,15158,186139,31.95,8.662164504000001,8.6973111264,-1.8472774138116255,99.59589093813932
WOCKPHARMA, EQ, 17-Nov-2021,456.95,455.8,468.45,454.05,457.0,457.1,460.8,391015,9684,131834,33.72,6.07491072,7.6348900352,0.03282634861582977,79.56775660149852
WOCKPHARMA, EQ, 18-Nov-2021,457.1,457.5,460.85,440.0,440.1,441.6,446.51,451361,14245,154849,34.31,6.914162698999999,7.1400074912000004,-3.3909429008969587,96.8369109909429
WOCKPHARMA, EQ, 22-Nov-2021,441.6,441.75,444.1,416.15,420.0,421.55,428.16,466084,16480,166247,35.67,7.1180315520000015,7.4223488742,-4.540307971014495,95.89998627984461
WOCKPHARMA, EQ, 23-Nov-2021,421.55,417.7,434.0,412.15,430.8,431.55,424.88,515364,15466,127775,24.79,5.4289042,8.0109243126,2.3721978412999642,67.76876160795997
WOCKPHARMA, EQ, 24-Nov-2021,431.55,434.6,439.9,430.0,430.0,430.75,433.69,351315,8865,104130,29.64,4.51601397,6.839634735,-0.18537828756807123,66.02712198782353
WOCKPHARMA, EQ, 25-Nov-2021,430.75,430.8,449.0,424.15,435.5,435.85,437.11,788298,20903,95334,12.09,4.1671444740000005,6.010404628200001,1.1839814277423153,69.33217864315367
WOCKPHARMA, EQ, 26-Nov-2021,435.85,431.1,452.0,426.0,426.0,429.95,440.4,928826,27811,215595,23.21,9.4948038,5.628851378999999,-1.353676723643463,168.68101786135293
WOCKPHARMA, EQ, 29-Nov-2021,429.95,431.0,436.7,419.25,421.8,421.0,427.31,519219,16675,132391,25.5,5.657199821,6.144979599200001,-2.0816373996976365,92.0621416177931
WOCKPHARMA, EQ, 30-Nov-2021,421.0,421.9,439.05,421.8,434.0,435.55,432.4,856208,21560,204563,23.89,8.845304119999998,5.852813253,3.4560570071258936,151.12910215384244
WOCKPHARMA, EQ, 01-Dec-2021,435.55,438.4,441.15,431.2,433.7,434.05,435.49,369653,12010,74220,20.08,3.2322067800000003,6.536093237,-0.34439214785902883,49.451662679823556
WOCKPHARMA, EQ, 02-Dec-2021,434.05,433.8,438.0,428.45,431.5,431.05,433.23,278316,7906,78658,28.26,3.4077005340000004,6.2793317989999995,-0.6911646123718466,54.26852160516006
WOCKPHARMA, EQ, 03-Dec-2021,431.05,432.9,448.0,431.4,441.0,440.95,441.28,946180,21003,178463,18.86,7.875215264,6.1274430109999996,2.2967173181765403,128.52368026699548
WOCKPHARMA, EQ, 06-Dec-2021,440.95,441.0,444.65,425.0,427.9,428.4,434.4,426526,10000,156916,36.79,6.816431039999999,5.8035253038,-2.8461276788751584,117.45328370562586
WOCKPHARMA, EQ, 07-Dec-2021,428.4,430.0,434.45,428.2,433.0,432.55,431.25,272212,6939,91022,33.44,3.92532375,6.035371547599999,0.9687208216620061,65.03864292432714
WOCKPHARMA, EQ, 08-Dec-2021,432.55,434.9,439.9,432.25,435.1,434.15,435.1,322721,7946,120922,37.47,5.26131622,5.0513754736,0.3698994335914844,104.15611049895644
WOCKPHARMA, EQ, 09-Dec-2021,434.15,436.0,439.7,433.05,434.85,434.65,435.82,271095,6427,82645,30.49,3.60183439,5.4571973616000005,0.11516756881262237,66.00154165844526
WOCKPHARMA, EQ, 10-Dec-2021,434.65,434.4,451.0,433.05,437.85,438.6,443.6,1061739,22051,194424,18.31,8.62464864,5.496024132800001,0.9087771770390074,156.92523234256782
WOCKPHARMA, EQ, 13-Dec-2021,438.6,440.0,454.85,439.35,442.05,441.0,446.76,1032246,21647,212444,20.58,9.491148144,5.645910808,0.5471956224350153,168.10659018118872
WOCKPHARMA, EQ, 14-Dec-2021,441.0,439.75,447.15,437.05,439.0,439.1,441.41,364167,9027,102770,28.22,4.53637057,6.1808542287999995,-0.43083900226756855,73.39390967776839
WOCKPHARMA, EQ, 15-Dec-2021,439.1,440.0,442.1,428.1,431.0,430.75,435.64,299981,7154,111207,37.07,4.844621748,6.3030635928,-1.9016169437485817,76.86138140084799
WOCKPHARMA, EQ, 16-Dec-2021,430.75,433.0,434.9,424.0,428.05,427.2,428.65,234524,6854,74020,31.56,3.1728673,6.2197246984,-0.8241439349971007,51.012986166674025
WOCKPHARMA, EQ, 17-Dec-2021,427.2,428.0,429.25,412.75,415.3,414.2,418.48,367989,11120,151757,41.24,6.350726936,6.133931280400001,-3.0430711610486894,103.5343672057875
WOCKPHARMA, EQ, 20-Dec-2021,414.2,410.4,410.4,371.75,391.0,392.1,393.04,1270543,19070,776126,61.09,30.504856304,5.6791469396,-5.335586673104772,537.1380002741847
WOCKPHARMA, EQ, 21-Dec-2021,392.1,395.0,404.7,388.5,390.0,391.05,394.57,585719,16356,203907,34.81,8.045558499,9.881888571600001,-0.267788829380263,81.41721535013548
WOCKPHARMA, EQ, 22-Dec-2021,391.05,391.3,396.7,388.2,389.8,390.05,391.48,681534,21681,275871,40.48,10.799797908,10.583726157400001,-0.25572177470911645,102.04154706373355
WOCKPHARMA, EQ, 23-Dec-2021,390.05,393.0,396.4,392.25,394.0,393.95,394.47,388927,10715,144669,37.2,5.706758043000001,11.774761389400002,0.9998718113062368,48.4660185822313
WOCKPHARMA, EQ, 24-Dec-2021,393.95,395.0,398.9,389.5,391.0,391.65,393.49,380973,10723,125324,32.9,4.931374076,12.281539538,-0.5838304353344362,40.15273541840549
WOCKPHARMA, EQ, 27-Dec-2021,391.65,390.9,395.6,388.05,392.0,394.0,393.43,377395,9130,125950,33.37,4.95525085,11.997668966,0.6000255330014101,41.301780071133855
WOCKPHARMA, EQ, 28-Dec-2021,394.0,394.0,397.65,392.05,393.8,393.3,394.64,341390,10268,125579,36.78,4.955849656,6.8877478752000005,-0.17766497461928646,71.95167049949684
WOCKPHARMA, EQ, 29-Dec-2021,393.3,393.0,408.9,392.85,396.9,397.65,400.7,1411044,28331,415007,29.41,16.62933049,6.269806106600001,1.1060259344012118,265.22878390920096
WOCKPHARMA, EQ, 30-Dec-2021,397.65,398.0,403.4,397.3,401.35,399.95,400.49,428912,10097,140000,32.64,5.60686,7.435712623000001,0.5783980887715356,75.40447411398029
WOCKPHARMA, EQ, 31-Dec-2021,399.95,401.6,423.7,401.25,412.0,412.85,416.12,2090894,47951,443747,21.22,18.465200164000002,7.4157330144,3.2254031753969334,249.00033655666883
WOCKPHARMA, EQ, 03-Jan-2022,412.85,412.85,419.8,410.1,412.0,412.85,414.71,498503,10975,155359,31.17,6.442893088999999,10.122498232000002,0.0,63.649238965853726
WOCKPHARMA, EQ, 04-Jan-2022,412.85,419.85,446.4,417.05,437.75,437.9,431.85,3147977,61266,731786,23.25,31.602178410000004,10.420026679800001,6.067579023858533,303.2830853616065
WOCKPHARMA, EQ, 05-Jan-2022,437.9,438.05,446.0,428.5,437.0,436.5,436.99,1242436,25049,261223,21.03,11.415183876999999,15.749292430600002,-0.31970769582095854,72.480614143788
WOCKPHARMA, EQ, 06-Jan-2022,436.5,436.5,456.5,436.05,437.75,438.4,446.45,2830650,51195,701934,24.8,31.33784343,14.706463108000003,0.43528064146620327,213.0889201561515
WOCKPHARMA, EQ, 07-Jan-2022,438.4,440.35,440.55,419.65,430.0,425.8,428.04,1299285,22934,482893,37.17,20.669751972,19.852659793999997,-2.874087591240868,104.11578189763242
