SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
WSTCSTPAPR, EQ, 14-Oct-2021,268.2,269.75,278.95,268.7,275.7,275.75,274.95,238753,7427,128601,53.86,3.5358844949999995,,,
WSTCSTPAPR, EQ, 18-Oct-2021,275.75,276.95,276.95,269.05,272.9,271.2,272.98,163326,6072,76650,46.93,2.0923917,,,
WSTCSTPAPR, EQ, 19-Oct-2021,271.2,272.9,275.6,263.85,265.25,265.65,268.2,165602,5723,91153,55.04,2.4447234599999996,,,
WSTCSTPAPR, EQ, 20-Oct-2021,265.65,265.0,271.6,257.0,264.0,260.2,262.65,298484,6379,165856,55.57,4.35620784,,,
WSTCSTPAPR, EQ, 21-Oct-2021,260.2,261.55,264.8,255.3,258.35,257.15,260.27,61123,2545,23273,38.08,0.605726371,,,
WSTCSTPAPR, EQ, 22-Oct-2021,257.15,255.35,268.0,254.3,263.0,262.7,260.8,144635,4231,73867,51.07,1.9264513600000002,2.6069867732,2.158273381294969,73.89570901563637
WSTCSTPAPR, EQ, 25-Oct-2021,262.7,263.85,269.0,250.2,263.0,263.25,257.4,115777,4388,53430,46.15,1.3752881999999997,2.2851001461999996,0.20936429387134045,60.18502962712733
WSTCSTPAPR, EQ, 26-Oct-2021,263.25,264.4,268.45,260.15,266.25,265.1,265.61,90279,3116,47117,52.19,1.251474637,2.1416794462,0.702754036087378,58.43426471783637
WSTCSTPAPR, EQ, 27-Oct-2021,265.1,266.6,272.5,263.3,263.6,265.05,268.34,130256,5385,38699,29.71,1.0384489659999998,1.9030296816,-0.01886080724255427,54.568195968804254
WSTCSTPAPR, EQ, 28-Oct-2021,265.05,265.9,265.9,250.55,251.0,253.85,258.88,90455,2899,51283,56.69,1.327614304,1.2394779068,-4.225617807960768,107.1107679061053
WSTCSTPAPR, EQ, 29-Oct-2021,253.85,253.2,258.05,245.0,251.0,249.75,252.72,125552,4478,59817,47.64,1.5116952240000001,1.3838554934,-1.6151270435296412,109.23793930867089
