SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ZYDUSWELL, EQ, 14-Oct-2021,2311.4,2309.05,2335.15,2305.0,2306.0,2314.15,2321.16,20719,3222,12513,60.39,2.9044675079999998,,,
ZYDUSWELL, EQ, 18-Oct-2021,2314.15,2314.9,2331.65,2281.0,2307.0,2304.3,2306.96,64839,5124,11817,18.23,2.726134632,,,
ZYDUSWELL, EQ, 19-Oct-2021,2304.3,2300.0,2316.9,2260.0,2263.5,2269.35,2297.34,36138,4291,8416,23.29,1.9334413440000002,,,
ZYDUSWELL, EQ, 20-Oct-2021,2269.35,2278.0,2279.85,2201.1,2227.0,2226.95,2238.26,16693,4160,6606,39.57,1.478594556,,,
ZYDUSWELL, EQ, 21-Oct-2021,2226.95,2248.7,2248.7,2151.15,2168.0,2158.0,2183.24,22065,4222,12117,54.92,2.645431908,,,
ZYDUSWELL, EQ, 22-Oct-2021,2158.0,2156.0,2189.0,2112.75,2137.4,2136.4,2140.72,17529,3457,9728,55.5,2.0824924159999996,2.3376139896,-1.00092678405931,89.08624029737025
ZYDUSWELL, EQ, 25-Oct-2021,2136.4,2138.3,2174.75,2055.0,2155.0,2160.25,2106.71,22397,5360,9168,40.93,1.9314317280000002,2.1732189712,1.1163639767833695,88.87423465356137
ZYDUSWELL, EQ, 26-Oct-2021,2160.25,2145.0,2213.45,2120.2,2198.55,2202.25,2160.7,36710,4044,9496,25.87,2.05180072,2.0142783904,1.9442194190487212,101.86281746251315
ZYDUSWELL, EQ, 27-Oct-2021,2202.25,2208.2,2216.95,2152.6,2161.0,2164.8,2177.64,9560,2558,3468,36.28,0.755205552,2.0379502656,-1.7005335452378165,37.057113941770176
ZYDUSWELL, EQ, 28-Oct-2021,2164.8,2164.0,2164.0,2081.7,2092.0,2113.65,2116.12,50227,6821,11702,23.3,2.4762836239999997,1.8932724647999997,-2.3628048780487845,130.79383290252352
ZYDUSWELL, EQ, 29-Oct-2021,2113.65,2101.0,2114.6,2031.0,2048.35,2054.5,2067.03,61580,8184,38012,61.73,7.857194436000001,1.859442808,-2.7984765689683764,422.55639174248813
ZYDUSWELL, EQ, 01-Nov-2021,2054.5,2054.5,2069.0,1990.4,2047.7,2037.05,2018.85,83111,13186,49753,59.86,10.044384404999999,3.0143832120000003,-0.849355074227308,333.2152449965276
ZYDUSWELL, EQ, 02-Nov-2021,2037.05,2060.0,2060.0,1994.1,1999.75,1999.1,2013.6,54804,9130,31045,56.65,6.2512212,4.6369737474,-1.8629881446209002,134.8125208495115
ZYDUSWELL, EQ, 03-Nov-2021,1999.1,2007.65,2029.0,1981.0,2011.0,2018.1,2001.96,80671,9906,62117,77.0,12.435574932000002,5.4768578433999995,0.9504276924616077,227.05674106523958
ZYDUSWELL, EQ, 08-Nov-2021,2052.3,2065.5,2089.0,2021.15,2033.9,2036.6,2067.03,81754,7544,62180,76.06,12.852792540000001,7.812931719400001,0.9167038303354641,164.5066538606207
ZYDUSWELL, EQ, 09-Nov-2021,2036.6,2055.0,2099.0,2040.0,2069.95,2062.3,2068.92,27193,4613,11687,42.98,2.417946804,9.8882335026,1.2619071000687554,24.452768063822806
ZYDUSWELL, EQ, 10-Nov-2021,2062.3,2048.75,2066.8,2041.35,2055.0,2049.85,2054.97,7651,2003,3467,45.31,0.7124580989999999,8.800383976200001,-0.6036949037482554,8.095761513665666
ZYDUSWELL, EQ, 11-Nov-2021,2049.85,2040.0,2073.9,2011.0,2016.0,2015.1,2039.29,23250,4096,8416,36.2,1.716266464,6.933998715000001,-1.6952459936092887,24.75146786928702
ZYDUSWELL, EQ, 12-Nov-2021,2015.1,2016.6,2090.05,2001.5,2072.0,2057.25,2041.02,27879,3267,14627,52.47,2.985399954,6.027007767800001,2.091707607562905,49.53370012147406
ZYDUSWELL, EQ, 15-Nov-2021,2057.25,2060.0,2082.65,2011.6,2022.95,2022.7,2029.73,22728,4168,10225,44.99,2.075398925,4.136972772199999,-1.6794264187629095,50.16709171852549
ZYDUSWELL, EQ, 16-Nov-2021,2022.7,2026.0,2040.0,2015.0,2019.75,2022.8,2025.46,10213,2813,5456,53.42,1.105090976,1.9814940491999997,0.0049438868838636,55.770592722504766
ZYDUSWELL, EQ, 17-Nov-2021,2022.8,2020.9,2038.15,2018.6,2020.0,2025.95,2028.92,13564,1678,9639,71.06,1.9556759879999999,1.7189228836,0.1557247379869533,113.77334065761924
ZYDUSWELL, EQ, 18-Nov-2021,2025.95,2029.5,2034.1,2000.05,2020.0,2018.8,2012.28,12502,2247,5696,45.56,1.1461946879999998,1.9675664614,-0.35292085194600514,58.25443310232264
ZYDUSWELL, EQ, 22-Nov-2021,2018.8,2034.0,2034.1,1981.05,2010.0,2015.85,2009.04,14694,4116,8366,56.93,1.680762864,1.8535521061999998,-0.1461264117297427,90.67793985278148
ZYDUSWELL, EQ, 23-Nov-2021,2015.85,2010.0,2028.0,1992.2,2019.9,2019.85,2010.0,11010,2181,6002,54.51,1.206402,1.5926246882,0.19842746236079073,75.74929667601018
ZYDUSWELL, EQ, 24-Nov-2021,2019.85,2026.0,2034.95,2000.55,2009.95,2007.25,2017.0,9186,2002,5834,63.51,1.1767178,1.4188253031999998,-0.6238086986657381,82.93605966471321
ZYDUSWELL, EQ, 25-Nov-2021,2007.25,2022.45,2022.5,2001.1,2007.0,2005.4,2011.76,5146,1470,2713,52.72,0.545790488,1.4331506680000001,-0.09216589861750699,38.083259505552554
ZYDUSWELL, EQ, 26-Nov-2021,2005.4,2000.0,2047.95,1992.7,2004.0,2019.2,2019.61,19123,4779,9094,47.56,1.836633334,1.1511735679999997,0.6881420165552984,159.54443231274752
ZYDUSWELL, EQ, 29-Nov-2021,2019.2,1997.0,2018.3,1965.65,1997.0,1995.4,1993.73,13950,4637,7146,51.23,1.424719458,1.2892612972,-1.1786846275752751,110.5066491249048
ZYDUSWELL, EQ, 30-Nov-2021,1995.4,2010.0,2011.9,1951.0,1969.85,1959.65,1978.04,12598,3092,7236,57.44,1.431309744,1.238052616,-1.7916207276736495,115.60976694386306
ZYDUSWELL, EQ, 01-Dec-2021,1959.65,1986.85,1986.85,1946.9,1952.55,1956.45,1958.42,7300,2102,4063,55.66,0.795706046,1.2830341648,-0.1632944658484957,62.01752594203405
ZYDUSWELL, EQ, 02-Dec-2021,1956.45,1947.0,1968.95,1926.3,1939.9,1946.6,1947.28,19031,3480,13498,70.93,2.628438544,1.206831814,-0.503462904750959,217.7965905032066
ZYDUSWELL, EQ, 03-Dec-2021,1946.6,1945.0,1953.8,1906.85,1915.0,1915.0,1922.06,20966,4698,12552,59.87,2.4125697120000003,1.6233614252000002,-1.6233432651803097,148.61568561066235
ZYDUSWELL, EQ, 06-Dec-2021,1915.0,1929.75,1959.0,1898.0,1925.0,1929.3,1927.35,28433,6670,11983,42.14,2.309543505,1.7385487008000002,0.7467362924281961,132.84318719039933
ZYDUSWELL, EQ, 07-Dec-2021,1929.3,1942.05,1962.0,1930.0,1953.0,1946.55,1948.67,11358,2510,5119,45.07,0.9975241730000001,1.9155135102000003,0.8941066708132485,52.076070864979066
ZYDUSWELL, EQ, 08-Dec-2021,1946.55,1902.0,1984.7,1902.0,1957.55,1970.65,1943.22,24574,4567,8766,35.67,1.7034266519999999,1.8287563960000004,1.238087899103549,93.14672286182393
ZYDUSWELL, EQ, 09-Dec-2021,1970.65,1980.9,1980.9,1955.0,1966.9,1963.0,1965.81,9528,1956,4584,48.11,0.901127304,2.0103005172,-0.3881967878618776,44.82550227142726
ZYDUSWELL, EQ, 10-Dec-2021,1963.0,1972.0,2020.15,1964.0,2000.0,1984.9,1987.38,14854,2955,8461,56.96,1.681522218,1.6648382692,1.115639327559862,101.00213631009439
ZYDUSWELL, EQ, 13-Dec-2021,1984.9,2013.0,2013.0,1924.4,1936.0,1940.6,1964.58,12491,2925,7120,57.0,1.39878096,1.5186287704,-2.2318504710564855,92.10815620407135
ZYDUSWELL, EQ, 14-Dec-2021,1940.6,1949.0,1949.0,1912.0,1912.5,1919.55,1926.74,12652,2709,7063,55.83,1.3608564619999999,1.3364762614,-1.0847160671957103,101.824215012578
ZYDUSWELL, EQ, 15-Dec-2021,1919.55,1920.0,1921.85,1908.85,1914.95,1911.75,1914.47,6452,1206,4029,62.45,0.771339963,1.4091427192,-0.40634523716495824,54.7382427975717
ZYDUSWELL, EQ, 16-Dec-2021,1911.75,1926.0,1949.9,1922.85,1940.0,1938.65,1938.9,10326,2493,3355,32.49,0.65050095,1.2227253814,1.4070877468288265,53.20090348130234
ZYDUSWELL, EQ, 17-Dec-2021,1938.65,1920.1,1935.2,1864.15,1890.0,1878.65,1900.16,13240,3691,8042,60.74,1.5281086720000001,1.1726001106,-3.0949371985660123,130.31797099337575
ZYDUSWELL, EQ, 20-Dec-2021,1878.65,1853.0,1887.95,1810.0,1875.0,1855.9,1833.08,19817,5106,11203,56.53,2.053599524,1.1419174014,-1.2109759667846591,179.83783428488528
ZYDUSWELL, EQ, 21-Dec-2021,1855.9,1895.0,1895.0,1852.05,1878.45,1877.25,1878.34,6716,2063,3908,58.19,0.734055272,1.2728811142,1.1503852578263867,57.66880062961343
ZYDUSWELL, EQ, 22-Dec-2021,1877.25,1860.05,1890.5,1860.05,1876.05,1872.6,1873.52,7499,2318,3791,50.55,0.7102514320000001,1.1475208762,-0.24770275669197447,61.89442359880965
ZYDUSWELL, EQ, 23-Dec-2021,1872.6,1882.0,1911.0,1865.35,1880.0,1889.3,1898.12,55374,2669,49972,90.24,9.485285264,1.13530317,0.8918081811385264,835.484786323639
ZYDUSWELL, EQ, 24-Dec-2021,1889.3,1900.0,1901.15,1865.0,1870.55,1873.0,1878.81,9897,1668,5363,54.19,1.007605803,2.9022600328,-0.862753400730427,34.71797122285754
ZYDUSWELL, EQ, 27-Dec-2021,1873.0,1870.55,1884.85,1854.95,1861.0,1859.85,1866.08,7654,2194,4506,58.87,0.840855648,2.798159459,-0.7020822210357763,30.050312011185493
ZYDUSWELL, EQ, 28-Dec-2021,1859.85,1870.0,1933.9,1860.55,1920.0,1920.7,1902.66,21279,4460,10478,49.24,1.993607148,2.5556106838000003,3.2717692287012468,78.00903168223012
ZYDUSWELL, EQ, 29-Dec-2021,1920.7,1925.75,1940.0,1893.0,1893.0,1903.4,1919.78,8607,2106,4121,47.88,0.791141338,2.807521059,-0.9007132816160751,28.179355430437752
ZYDUSWELL, EQ, 30-Dec-2021,1903.4,1904.95,1919.9,1895.1,1902.8,1901.25,1908.4,10269,1782,6621,64.48,1.26355164,2.8236990402,-0.11295576337081491,44.74809893020694
ZYDUSWELL, EQ, 31-Dec-2021,1901.25,1910.8,1910.8,1875.0,1885.8,1884.5,1890.33,16824,4090,11100,65.98,2.0982663,1.1793523154,-0.880999342537804,177.916833892706
ZYDUSWELL, EQ, 03-Jan-2022,1884.5,1881.0,1900.2,1869.7,1875.95,1873.65,1880.83,24614,4367,12655,51.41,2.380190365,1.3974844147999999,-0.5757495356858534,170.31963575355073
ZYDUSWELL, EQ, 04-Jan-2022,1873.65,1874.0,1886.1,1836.0,1865.5,1863.65,1866.0,11925,3699,6921,58.04,1.2914586,1.7053513582000002,-0.5337176100125424,75.72976640796976
ZYDUSWELL, EQ, 05-Jan-2022,1863.65,1868.8,1899.0,1850.4,1895.0,1891.6,1878.31,15559,3102,7556,48.56,1.419251036,1.5649216486,1.4997451238161574,90.69150760804422
ZYDUSWELL, EQ, 06-Jan-2022,1891.6,1891.6,1894.65,1864.8,1865.1,1869.8,1870.91,9201,2571,5456,59.3,1.020768496,1.6905435882,-1.1524635229435376,60.38108115785761
ZYDUSWELL, EQ, 07-Jan-2022,1869.8,1866.0,1879.0,1840.0,1846.0,1844.65,1855.48,27888,4031,18354,65.81,3.4055479920000002,1.6419869594,-1.3450636431703853,207.4040827488925
ZYDUSWELL, EQ, 10-Jan-2022,1844.65,1850.25,1865.0,1840.1,1860.0,1859.15,1855.1,11310,2113,6274,55.47,1.16388974,1.9034432978000002,0.786056975578023,61.14654118382321
ZYDUSWELL, EQ, 11-Jan-2022,1859.15,1860.0,1869.0,1841.0,1844.6,1844.25,1849.82,28877,2680,17223,59.64,3.185944986,1.6601831728,-0.8014415189737294,191.90322117448702
ZYDUSWELL, EQ, 12-Jan-2022,1844.25,1853.5,1879.0,1842.35,1869.9,1867.1,1861.76,30303,4800,18653,61.55,3.4727409280000003,2.03908045,1.2389860376846906,170.30916695807662
