SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 21-Sep-2021,25128.0,25088.7,25300.0,24870.0, 24985.95,25088.35,25157.74,9008,1626, 7932, 88.06
AARTIDRUGS, EQ, 21-Sep-2021,630.75,633.4,633.4,613.3, 620.00,619.45,621.14,188130,8752, 63987, 34.01
AARTIIND, EQ, 21-Sep-2021,901.0,897.0,908.0,880.5, 907.75,905.95,895.17,774193,43929, 335342, 43.32
AAVAS, EQ, 21-Sep-2021,2449.05,2455.0,2499.55,2427.8, 2475.00,2475.8,2469.23,29946,7725, 12139, 40.54
ABB, EQ, 21-Sep-2021,1875.15,1871.0,1905.0,1854.15, 1877.75,1875.0,1892.6,118562,14836, 69337, 58.48
ABCAPITAL, EQ, 21-Sep-2021,107.35,107.5,109.0,106.1, 108.40,108.25,107.67,1643924,11759, 556403, 33.85
ABFRL, EQ, 21-Sep-2021,201.45,202.0,203.2,198.0, 202.00,201.55,200.63,2230529,22603, 661313, 29.65
ACC, EQ, 21-Sep-2021,2325.95,2325.95,2339.9,2284.0, 2337.40,2332.3,2312.77,567297,24749, 241874, 42.64
ACCELYA, EQ, 21-Sep-2021,1256.15,1256.15,1329.75,1242.35, 1328.50,1319.3,1296.26,72154,7030, 34225, 47.43
ACE, EQ, 21-Sep-2021,248.0,248.0,254.7,242.6, 252.40,252.2,249.44,1289580,22973, 312782, 24.25
ADANIENT, EQ, 21-Sep-2021,1418.85,1420.0,1446.95,1381.35, 1439.00,1441.45,1426.17,2682157,54416, 390245, 14.55
ADANIPORTS, EQ, 21-Sep-2021,748.9,754.0,758.8,734.05, 752.85,749.6,746.34,7766479,82405, 2611503, 33.63
ADFFOODS, EQ, 21-Sep-2021,908.0,903.8,930.1,882.0, 926.70,919.2,903.49,26224,2008, 14366, 54.78
ADVENZYMES, EQ, 21-Sep-2021,390.9,392.7,392.7,380.3, 384.70,384.8,385.59,375378,10623, 208590, 55.57
AEGISCHEM, EQ, 21-Sep-2021,239.6,240.1,246.0,234.65, 244.05,244.55,241.54,690298,13835, 308900, 44.75
AHLUCONT, EQ, 21-Sep-2021,375.9,370.1,386.6,370.0, 379.00,378.0,376.6,16257,1076, 8770, 53.95
AIAENG, EQ, 21-Sep-2021,2061.7,2079.0,2088.95,2039.0, 2049.75,2049.15,2054.34,15353,3576, 8751, 57.00
AJANTPHARM, EQ, 21-Sep-2021,2219.95,2228.0,2258.0,2161.1, 2184.00,2178.8,2197.09,96302,13220, 45538, 47.29
AKZOINDIA, EQ, 21-Sep-2021,2200.7,2196.0,2229.0,2178.95, 2217.05,2218.6,2208.8,12887,2165, 7352, 57.05
ALEMBICLTD, EQ, 21-Sep-2021,116.5,116.5,116.85,113.35, 115.00,114.65,114.34,203394,5863, 68288, 33.57
ALKEM, EQ, 21-Sep-2021,3787.7,3784.7,3869.0,3758.45, 3851.00,3858.8,3829.26,83455,10908, 26421, 31.66
ALKYLAMINE, EQ, 21-Sep-2021,3777.8,3723.75,3994.0,3650.0, 3983.80,3971.0,3803.13,313716,52374, 111941, 35.68
ALLCARGO, EQ, 21-Sep-2021,244.3,247.0,257.0,239.75, 255.80,255.2,248.81,2028426,23889, 635782, 31.34
ALOKINDS, EQ, 21-Sep-2021,23.0,23.1,23.2,22.6, 23.00,22.95,22.91,4742229,8338, 1911412, 40.31
AMARAJABAT, EQ, 21-Sep-2021,729.2,729.2,729.2,710.95, 727.00,727.55,719.63,885247,27079, 240013, 27.11
AMBER, EQ, 21-Sep-2021,3155.7,3113.3,3141.85,3040.9, 3108.00,3093.7,3080.38,69452,11376, 38366, 55.24
AMBUJACEM, EQ, 21-Sep-2021,409.8,407.75,414.0,402.4, 413.50,413.2,408.14,4386443,55405, 2136494, 48.71
AMRUTANJAN, EQ, 21-Sep-2021,772.95,785.5,883.0,770.3, 854.10,849.85,848.12,1637420,90880, 188658, 11.52
ANURAS, EQ, 21-Sep-2021,754.85,754.9,766.05,740.1, 753.20,756.6,754.05,78060,4234, 34804, 44.59
APARINDS, EQ, 21-Sep-2021,641.15,638.7,644.9,615.0, 636.90,633.25,626.06,69622,5882, 25309, 36.35
APLAPOLLO, EQ, 21-Sep-2021,918.55,924.0,924.0,869.1, 883.00,882.6,882.79,431413,24089, 285110, 66.09
APLLTD, EQ, 21-Sep-2021,781.7,782.5,791.9,768.05, 780.00,781.4,779.04,219767,8829, 46719, 21.26
APOLLOHOSP, EQ, 21-Sep-2021,4878.1,4858.0,4918.95,4790.15, 4890.00,4891.6,4876.43,462221,37220, 243537, 52.69
