SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 17-Sep-2021,25156.85,25300.0,25399.8,24702.05,25258.0,25235.9,25001.81,4038,2229,2535,62.78
3MINDIA, EQ, 20-Sep-2021,25235.9,25347.0,25347.0,24567.05,25100.0,25128.0,25088.72,3534,1930,1797,50.85
3MINDIA, EQ, 21-Sep-2021,25128.0,25088.7,25300.0,24870.0,24985.95,25088.35,25157.74,9008,1626,7932,88.06
3MINDIA, EQ, 22-Sep-2021,25088.35,25250.0,25319.5,24651.25,24737.85,24724.35,24836.57,7146,3658,4828,67.56
3MINDIA, EQ, 23-Sep-2021,24724.35,24836.6,25570.0,24701.25,25000.0,25019.9,25164.87,7564,4998,4322,57.14
3MINDIA, EQ, 24-Sep-2021,25019.9,25500.0,25500.0,24703.0,24987.0,24801.15,24948.11,2174,1616,953,43.84
3MINDIA, EQ, 27-Sep-2021,24801.15,25100.0,25349.0,24810.95,24942.3,25131.7,25209.2,2910,1462,1761,60.52
3MINDIA, EQ, 28-Sep-2021,25131.7,25190.0,25270.0,24571.0,24742.0,24747.6,24823.37,1346,1019,567,42.12
3MINDIA, EQ, 29-Sep-2021,24747.6,24750.0,24795.35,24500.0,24650.0,24685.65,24621.34,1158,840,627,54.15
3MINDIA, EQ, 30-Sep-2021,24685.65,24720.0,24980.05,24462.5,24626.65,24832.5,24731.47,1845,1352,925,50.14
3MINDIA, EQ, 01-Oct-2021,24832.5,24800.0,24900.0,24500.0,24896.4,24863.2,24708.79,1336,932,696,52.1
3MINDIA, EQ, 04-Oct-2021,24863.2,25200.0,25896.0,25001.0,25386.5,25435.9,25187.27,14304,2438,11902,83.21
3MINDIA, EQ, 05-Oct-2021,25435.9,25435.9,25769.25,25195.2,25245.2,25254.55,25403.72,22642,1140,21608,95.43
