SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADANIPORTS, EQ, 17-Sep-2021,769.65,773.3,786.0,760.0,764.2,767.1,772.6,9701785,134849,2580511,26.6
ADANIPORTS, EQ, 20-Sep-2021,767.1,759.8,776.0,746.1,747.5,748.9,761.87,5570433,84484,1093989,19.64
ADANIPORTS, EQ, 21-Sep-2021,748.9,754.0,758.8,734.05,752.85,749.6,746.34,7766479,82405,2611503,33.63
ADANIPORTS, EQ, 22-Sep-2021,749.6,750.0,759.6,742.0,746.0,745.3,751.33,4343365,60376,1329060,30.6
ADANIPORTS, EQ, 23-Sep-2021,745.3,754.4,760.0,750.55,754.0,754.5,755.01,3526253,62096,735402,20.86
ADANIPORTS, EQ, 24-Sep-2021,754.5,756.0,764.9,743.0,743.8,744.8,753.04,4445517,70619,791642,17.81
ADANIPORTS, EQ, 27-Sep-2021,744.8,749.7,753.8,736.4,750.2,750.25,746.15,3803939,63043,870469,22.88
ADANIPORTS, EQ, 28-Sep-2021,750.25,754.0,756.9,733.0,737.0,738.7,743.85,3748173,59682,1156974,30.87
ADANIPORTS, EQ, 29-Sep-2021,738.7,737.65,747.85,736.0,742.3,742.0,743.07,2734053,45107,528295,19.32
ADANIPORTS, EQ, 30-Sep-2021,742.0,745.8,756.5,736.0,737.4,737.9,744.76,4356469,64273,975165,22.38
ADANIPORTS, EQ, 01-Oct-2021,737.9,735.85,738.25,722.0,734.35,734.95,730.52,4008108,57693,533570,13.31
ADANIPORTS, EQ, 04-Oct-2021,734.95,738.85,747.5,736.05,742.9,744.2,742.38,3414151,47094,957650,28.05
ADANIPORTS, EQ, 05-Oct-2021,744.2,744.15,753.8,742.0,743.9,743.95,745.87,3270764,48463,841108,25.72
ADANIPORTS, EQ, 06-Oct-2021,743.95,747.7,749.0,721.85,722.85,724.0,732.71,3615568,62309,1204394,33.31
ADANIPORTS, EQ, 07-Oct-2021,724.0,730.0,738.8,726.55,735.55,736.15,733.03,3237419,50359,990929,30.61
ADANIPORTS, EQ, 08-Oct-2021,736.15,739.7,747.0,733.5,738.75,739.9,739.94,2878232,47409,738927,25.67
ADANIPORTS, EQ, 11-Oct-2021,739.9,743.9,746.0,736.5,737.4,737.45,740.08,2118247,35438,757559,35.76
ADANIPORTS, EQ, 12-Oct-2021,737.45,737.65,740.95,728.85,736.5,736.9,734.38,2152513,41631,510434,23.71
ADANIPORTS, EQ, 13-Oct-2021,736.9,740.6,764.6,739.1,762.15,759.0,755.76,9083125,133048,2469012,27.18
ADANIPORTS, EQ, 14-Oct-2021,759.0,766.1,817.7,764.25,812.95,812.8,796.74,19754735,292775,4456896,22.56
