SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADFFOODS, EQ, 17-Sep-2021,944.15,954.5,954.5,913.05,940.0,932.9,929.87,27104,3052,16140,59.55
ADFFOODS, EQ, 20-Sep-2021,932.9,925.0,944.0,893.0,903.8,908.0,915.38,13217,1406,10169,76.94
ADFFOODS, EQ, 21-Sep-2021,908.0,903.8,930.1,882.0,926.7,919.2,903.49,26224,2008,14366,54.78
ADFFOODS, EQ, 22-Sep-2021,919.2,919.0,929.0,900.0,919.0,923.7,915.37,7936,1239,4687,59.06
ADFFOODS, EQ, 23-Sep-2021,923.7,933.0,933.0,903.9,904.5,921.4,920.53,10097,1535,7074,70.06
ADFFOODS, EQ, 24-Sep-2021,921.4,919.35,929.0,900.0,909.0,907.15,910.73,9203,1722,5928,64.41
ADFFOODS, EQ, 27-Sep-2021,907.15,910.5,911.0,894.0,899.0,898.65,900.33,7962,837,5214,65.49
ADFFOODS, EQ, 28-Sep-2021,898.65,913.0,913.0,883.1,905.0,901.85,896.71,9173,1066,5781,63.02
ADFFOODS, EQ, 29-Sep-2021,901.85,900.0,900.0,880.0,887.0,886.05,885.32,9947,1405,6418,64.52
ADFFOODS, EQ, 30-Sep-2021,886.05,886.05,900.0,872.35,875.0,882.65,881.96,5961,1307,3343,56.08
ADFFOODS, EQ, 01-Oct-2021,882.65,873.0,900.0,865.7,880.0,880.8,877.48,10366,1052,7206,69.52
ADFFOODS, EQ, 04-Oct-2021,880.8,871.1,894.3,800.65,892.7,889.15,872.92,11331,1681,6474,57.14
ADFFOODS, EQ, 05-Oct-2021,889.15,896.9,899.8,877.1,893.0,890.75,889.03,8981,1380,4602,51.24
ADFFOODS, EQ, 06-Oct-2021,890.75,899.95,900.0,880.0,884.95,881.55,884.53,7336,981,5052,68.87
ADFFOODS, EQ, 07-Oct-2021,881.55,900.0,920.0,880.0,920.0,905.4,897.68,12383,1213,9458,76.38
ADFFOODS, EQ, 08-Oct-2021,905.4,919.0,920.65,893.0,911.2,913.05,909.54,10828,1038,7958,73.49
ADFFOODS, EQ, 11-Oct-2021,913.05,920.0,920.0,889.0,900.0,897.2,900.33,12466,1333,9784,78.49
ADFFOODS, EQ, 12-Oct-2021,897.2,897.2,910.0,880.0,889.0,882.6,888.04,15613,1654,11785,75.48
ADFFOODS, EQ, 13-Oct-2021,882.6,882.6,940.0,870.65,925.1,926.6,906.78,63864,3298,45345,71.0
ADFFOODS, EQ, 14-Oct-2021,926.6,934.0,979.85,908.1,962.9,958.3,953.56,116543,9222,32534,27.92
