SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AIAENG, EQ, 17-Sep-2021,2097.1,2100.0,2114.25,2077.25,2100.0,2097.75,2099.09,35722,5146,23689,66.31
AIAENG, EQ, 20-Sep-2021,2097.75,2095.3,2110.15,2042.85,2075.0,2061.7,2075.36,31105,5230,20879,67.12
AIAENG, EQ, 21-Sep-2021,2061.7,2079.0,2088.95,2039.0,2049.75,2049.15,2054.34,15353,3576,8751,57.0
AIAENG, EQ, 22-Sep-2021,2049.15,2054.3,2079.85,2010.0,2018.0,2025.8,2036.78,38291,5214,28598,74.69
AIAENG, EQ, 23-Sep-2021,2025.8,2025.5,2040.9,1989.3,2020.0,2006.85,2003.58,90650,7344,72826,80.34
AIAENG, EQ, 24-Sep-2021,2006.85,2019.85,2034.05,1936.0,1944.0,1943.4,1972.64,80280,7980,64544,80.4
AIAENG, EQ, 27-Sep-2021,1943.4,1949.0,2006.45,1949.0,1983.95,1980.05,1985.75,55237,12900,37027,67.03
AIAENG, EQ, 28-Sep-2021,1980.05,1984.0,1997.8,1916.05,1918.0,1921.95,1954.28,35230,4649,24200,68.69
AIAENG, EQ, 29-Sep-2021,1921.95,1937.35,1959.95,1916.0,1919.95,1921.0,1935.88,18358,4732,9299,50.65
AIAENG, EQ, 30-Sep-2021,1921.0,1944.95,1968.5,1910.9,1951.5,1955.3,1941.7,31905,4766,20518,64.31
AIAENG, EQ, 01-Oct-2021,1955.3,1939.5,1948.6,1921.0,1933.45,1928.9,1931.06,11349,3768,5144,45.33
AIAENG, EQ, 04-Oct-2021,1928.9,1941.75,1954.95,1922.25,1931.45,1940.7,1940.42,23893,4200,16800,70.31
AIAENG, EQ, 05-Oct-2021,1940.7,1956.95,1956.95,1915.15,1931.0,1935.95,1935.9,393459,4660,382948,97.33
AIAENG, EQ, 06-Oct-2021,1935.95,1980.0,1987.9,1874.95,1885.0,1883.95,1921.12,109987,15385,60225,54.76
AIAENG, EQ, 07-Oct-2021,1883.95,1929.0,1929.2,1876.15,1897.0,1883.1,1894.06,34056,7154,19893,58.41
AIAENG, EQ, 08-Oct-2021,1883.1,1887.0,1923.65,1865.35,1869.0,1875.7,1894.77,122717,11113,92232,75.16
AIAENG, EQ, 11-Oct-2021,1875.7,1890.2,1894.0,1870.0,1890.0,1890.0,1887.55,89018,11333,73316,82.36
AIAENG, EQ, 12-Oct-2021,1890.0,1884.0,1900.05,1850.0,1851.0,1852.85,1855.99,133828,17094,109653,81.94
AIAENG, EQ, 13-Oct-2021,1852.85,1880.0,1880.0,1840.0,1864.95,1850.9,1846.03,409108,7787,388512,94.97
AIAENG, EQ, 14-Oct-2021,1850.9,1861.3,1907.85,1855.95,1891.8,1887.2,1892.91,64179,9302,31111,48.48
AIAENG, EQ, 18-Oct-2021,1887.2,1893.95,1921.0,1890.1,1916.0,1915.85,1912.61,79691,12557,60227,75.58
AIAENG, EQ, 19-Oct-2021,1915.85,1926.0,1926.0,1895.05,1915.0,1910.6,1909.94,360471,4304,37777,10.48
AIAENG, EQ, 20-Oct-2021,1910.6,1915.0,1925.15,1900.05,1910.0,1911.85,1911.99,28703,3463,16027,55.84
AIAENG, EQ, 21-Oct-2021,1911.85,1915.85,1930.0,1852.8,1902.0,1887.15,1892.97,106263,7977,68518,64.48
AIAENG, EQ, 22-Oct-2021,1887.15,1890.0,1947.0,1890.0,1940.7,1937.55,1918.54,69944,8658,46409,66.35
AIAENG, EQ, 25-Oct-2021,1937.55,1948.0,1965.0,1902.0,1918.0,1911.9,1917.51,36233,7168,19670,54.29
AIAENG, EQ, 26-Oct-2021,1911.9,1930.25,1930.25,1902.3,1905.0,1906.85,1912.63,19553,3413,12716,65.03
AIAENG, EQ, 27-Oct-2021,1906.85,1906.85,1939.9,1902.1,1925.6,1931.2,1917.71,39662,6329,28368,71.52
AIAENG, EQ, 28-Oct-2021,1931.2,1931.2,1963.0,1912.9,1941.1,1949.2,1946.58,37747,5504,20597,54.57
AIAENG, EQ, 29-Oct-2021,1949.2,1937.0,1955.0,1891.1,1923.05,1917.65,1923.13,56770,8539,38129,67.16
AIAENG, EQ, 01-Nov-2021,1917.65,1917.65,1948.7,1894.0,1923.05,1937.6,1920.25,16174,2902,8665,53.57
AIAENG, EQ, 02-Nov-2021,1937.6,1949.0,1954.0,1922.4,1950.0,1938.6,1937.76,289098,7676,271174,93.8
AIAENG, EQ, 03-Nov-2021,1938.6,1974.9,1974.9,1873.05,1880.4,1879.8,1899.59,41005,5311,23361,56.97
AIAENG, EQ, 08-Nov-2021,1905.9,1919.85,1920.0,1882.6,1894.5,1894.35,1892.96,15719,3753,9478,60.3
AIAENG, EQ, 09-Nov-2021,1894.35,1890.0,1915.0,1880.0,1902.0,1906.25,1891.29,178687,4232,165589,92.67
AIAENG, EQ, 10-Nov-2021,1906.25,1896.0,1904.0,1878.95,1885.0,1886.2,1888.33,12324,2889,6494,52.69
AIAENG, EQ, 11-Nov-2021,1886.2,1875.0,1900.45,1875.0,1897.0,1897.75,1885.24,23040,2131,16221,70.4
AIAENG, EQ, 12-Nov-2021,1897.75,1897.7,1903.85,1880.0,1889.0,1896.7,1892.34,11158,1902,7487,67.1
AIAENG, EQ, 15-Nov-2021,1896.7,1905.0,1906.0,1873.0,1878.0,1878.55,1881.93,9611,2315,4972,51.73
AIAENG, EQ, 16-Nov-2021,1878.55,1880.05,1892.5,1868.95,1875.0,1872.7,1874.97,7338,2074,4156,56.64
AIAENG, EQ, 17-Nov-2021,1872.7,1873.75,1899.0,1865.0,1894.95,1884.0,1873.73,22878,5729,18074,79.0
AIAENG, EQ, 18-Nov-2021,1884.0,1886.75,1905.0,1861.0,1897.0,1889.75,1880.68,11278,2504,5306,47.05
AIAENG, EQ, 22-Nov-2021,1889.75,1890.0,1893.7,1829.7,1885.0,1878.15,1851.07,38524,2726,30869,80.13
AIAENG, EQ, 23-Nov-2021,1878.15,1850.0,1879.05,1845.0,1856.0,1857.35,1853.85,20837,2865,13337,64.01
AIAENG, EQ, 24-Nov-2021,1857.35,1878.95,1890.05,1860.1,1864.0,1867.55,1876.38,6571,1285,3363,51.18
AIAENG, EQ, 25-Nov-2021,1867.55,1875.0,1875.7,1851.3,1854.0,1858.9,1864.9,34391,1304,31005,90.15
AIAENG, EQ, 26-Nov-2021,1858.9,1858.9,1880.9,1852.55,1860.0,1859.35,1860.55,18563,6048,13238,71.31
AIAENG, EQ, 29-Nov-2021,1859.35,1850.0,1870.1,1819.1,1836.05,1848.1,1843.21,43844,5153,34031,77.62
