SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AMRUTANJAN, EQ, 17-Sep-2021,737.7,740.0,749.0,730.0,744.0,746.95,740.98,56219,5229,34634,61.61
AMRUTANJAN, EQ, 20-Sep-2021,746.95,747.9,803.95,736.05,779.0,772.95,782.25,395614,26650,86665,21.91
AMRUTANJAN, EQ, 21-Sep-2021,772.95,785.5,883.0,770.3,854.1,849.85,848.12,1637420,90880,188658,11.52
AMRUTANJAN, EQ, 22-Sep-2021,849.85,859.95,865.0,831.0,836.0,835.25,849.72,415615,26689,149797,36.04
AMRUTANJAN, EQ, 23-Sep-2021,835.25,843.0,862.0,815.1,820.0,821.3,841.24,332879,20776,117515,35.3
AMRUTANJAN, EQ, 24-Sep-2021,821.3,828.0,852.0,822.0,824.0,826.8,836.67,234786,13972,69264,29.5
AMRUTANJAN, EQ, 27-Sep-2021,826.8,837.95,860.0,836.15,838.9,839.25,845.4,291508,16311,100925,34.62
AMRUTANJAN, EQ, 28-Sep-2021,839.25,843.9,846.85,832.5,839.8,838.9,839.27,108811,7275,54402,50.0
AMRUTANJAN, EQ, 29-Sep-2021,838.9,831.0,839.7,820.1,829.5,826.5,829.2,85818,8484,35090,40.89
AMRUTANJAN, EQ, 30-Sep-2021,826.5,829.8,845.9,827.05,831.1,835.2,835.96,76953,7033,28376,36.87
AMRUTANJAN, EQ, 01-Oct-2021,835.2,835.0,836.7,820.0,824.9,821.3,824.69,59794,5672,28467,47.61
AMRUTANJAN, EQ, 04-Oct-2021,821.3,829.85,843.25,823.15,824.9,827.0,833.71,64668,6234,26852,41.52
AMRUTANJAN, EQ, 05-Oct-2021,827.0,829.0,834.8,819.95,827.7,828.0,826.9,56661,5559,23039,40.66
AMRUTANJAN, EQ, 06-Oct-2021,828.0,829.95,869.65,829.05,836.55,841.8,846.05,341673,23078,153020,44.79
AMRUTANJAN, EQ, 07-Oct-2021,841.8,846.4,853.15,830.1,832.7,834.55,843.1,65762,6028,29392,44.69
AMRUTANJAN, EQ, 08-Oct-2021,834.55,839.4,845.55,822.1,830.5,827.45,834.35,54625,4021,26465,48.45
AMRUTANJAN, EQ, 11-Oct-2021,827.45,833.4,835.4,822.2,826.7,826.35,828.92,39780,4772,24660,61.99
AMRUTANJAN, EQ, 12-Oct-2021,826.35,829.75,849.95,824.95,834.0,830.6,833.92,47142,6045,22111,46.9
