SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ANURAS, EQ, 17-Sep-2021,743.1,744.9,764.8,743.1,760.0,761.0,758.4,195906,16236,113533,57.95
ANURAS, EQ, 20-Sep-2021,761.0,759.9,790.0,751.05,754.0,754.85,774.51,237482,14089,94861,39.94
ANURAS, EQ, 21-Sep-2021,754.85,754.9,766.05,740.1,753.2,756.6,754.05,78060,4234,34804,44.59
ANURAS, EQ, 22-Sep-2021,756.6,759.9,769.9,754.1,757.0,756.45,760.63,44130,3004,19644,44.51
ANURAS, EQ, 23-Sep-2021,756.45,759.9,769.75,742.0,744.0,744.9,752.5,74789,4505,48401,64.72
ANURAS, EQ, 24-Sep-2021,744.9,746.0,767.0,746.0,757.0,758.85,755.37,109732,5223,51476,46.91
ANURAS, EQ, 27-Sep-2021,758.85,763.0,812.25,749.05,795.0,797.75,788.96,456158,20585,164571,36.08
ANURAS, EQ, 28-Sep-2021,797.75,809.75,841.5,801.0,807.0,809.1,820.38,755669,39717,248599,32.9
ANURAS, EQ, 29-Sep-2021,809.1,806.0,829.0,801.05,808.25,811.35,811.08,175340,11368,68790,39.23
ANURAS, EQ, 30-Sep-2021,811.35,818.5,821.9,802.7,805.0,803.95,810.31,82886,5323,36891,44.51
ANURAS, EQ, 01-Oct-2021,803.95,800.05,802.95,780.0,784.0,781.35,789.34,75384,5631,42641,56.57
ANURAS, EQ, 04-Oct-2021,781.35,785.0,794.2,777.45,789.0,785.8,786.37,64246,4384,30980,48.22
ANURAS, EQ, 05-Oct-2021,785.8,789.45,798.25,785.0,786.0,786.95,790.33,60751,4407,27920,45.96
ANURAS, EQ, 06-Oct-2021,786.95,792.9,794.4,771.3,771.95,773.3,781.69,54932,3952,31007,56.45
ANURAS, EQ, 07-Oct-2021,773.3,780.0,787.7,774.0,775.0,777.25,779.85,61834,4396,31685,51.24
ANURAS, EQ, 08-Oct-2021,777.25,780.0,797.15,765.1,785.0,784.2,780.82,96063,11343,41225,42.91
ANURAS, EQ, 11-Oct-2021,784.2,787.0,796.9,776.25,786.25,789.2,790.85,89878,5855,50383,56.06
ANURAS, EQ, 12-Oct-2021,789.2,784.9,795.0,773.8,789.1,790.7,788.53,215985,4425,164987,76.39
ANURAS, EQ, 13-Oct-2021,790.7,794.9,820.7,782.0,820.7,804.15,794.03,100612,4979,65224,64.83
ANURAS, EQ, 14-Oct-2021,804.15,813.0,824.75,810.3,814.0,813.3,815.55,299081,9224,203408,68.01
ANURAS, EQ, 18-Oct-2021,813.3,819.0,851.0,808.85,836.0,838.3,835.84,301307,15077,132791,44.07
ANURAS, EQ, 19-Oct-2021,838.3,842.0,844.7,805.1,805.95,813.5,822.48,145928,7823,76876,52.68
ANURAS, EQ, 20-Oct-2021,813.5,813.0,816.05,780.9,798.0,792.7,799.9,96077,5581,53062,55.23
ANURAS, EQ, 21-Oct-2021,792.7,794.9,815.5,790.0,807.0,806.8,806.85,78311,4213,42394,54.14
ANURAS, EQ, 22-Oct-2021,806.8,810.0,815.1,792.95,808.0,802.35,804.28,38762,2517,23094,59.58
ANURAS, EQ, 25-Oct-2021,802.35,808.75,808.75,765.0,805.95,805.05,791.42,77552,5031,40445,52.15
ANURAS, EQ, 26-Oct-2021,805.05,808.0,825.0,794.1,810.85,813.25,812.76,94213,6646,30148,32.0
ANURAS, EQ, 27-Oct-2021,813.25,817.9,818.95,804.95,812.7,814.0,812.55,37692,2828,18803,49.89
ANURAS, EQ, 28-Oct-2021,814.0,819.0,821.85,802.0,809.0,811.1,808.48,37711,2557,21438,56.85
ANURAS, EQ, 29-Oct-2021,811.1,819.0,819.0,790.35,799.85,802.85,803.7,40888,3672,18792,45.96
ANURAS, EQ, 01-Nov-2021,802.85,808.0,820.0,802.0,802.4,805.25,809.0,27241,2747,16109,59.14
ANURAS, EQ, 02-Nov-2021,805.25,813.0,814.05,796.85,807.65,809.35,806.7,38526,2812,22283,57.84
ANURAS, EQ, 03-Nov-2021,809.35,810.0,814.9,793.9,803.05,800.65,802.8,66236,7257,30485,46.02
ANURAS, EQ, 08-Nov-2021,805.05,815.0,875.0,800.0,820.6,814.3,843.08,406990,29552,122371,30.07
ANURAS, EQ, 09-Nov-2021,814.3,821.0,833.4,820.25,827.0,825.95,827.18,89949,5711,27749,30.85
ANURAS, EQ, 10-Nov-2021,825.95,826.0,850.0,822.95,826.1,828.1,837.7,245746,14479,40771,16.59
ANURAS, EQ, 11-Nov-2021,828.1,830.0,839.0,821.1,828.0,826.15,829.62,63391,3295,33965,53.58
ANURAS, EQ, 12-Nov-2021,826.15,826.15,835.15,815.0,820.0,820.35,820.72,89284,4786,61616,69.01
ANURAS, EQ, 15-Nov-2021,820.35,825.0,832.95,815.0,827.0,827.15,823.02,68332,3567,39771,58.2
ANURAS, EQ, 16-Nov-2021,827.15,825.0,829.9,816.1,824.0,823.1,823.77,60940,3793,37382,61.34
ANURAS, EQ, 17-Nov-2021,823.1,827.65,877.8,818.0,823.0,823.75,843.36,173941,12617,69392,39.89
ANURAS, EQ, 18-Nov-2021,823.75,824.0,829.8,784.8,815.0,815.05,812.99,74198,4375,36364,49.01
ANURAS, EQ, 22-Nov-2021,815.05,829.8,829.8,796.0,799.85,798.05,806.04,91523,3788,64238,70.19
ANURAS, EQ, 23-Nov-2021,798.05,802.0,814.05,791.1,811.0,810.75,803.63,48248,4064,26107,54.11
ANURAS, EQ, 24-Nov-2021,810.75,813.8,818.1,800.0,800.0,800.6,805.4,44078,5081,18547,42.08
ANURAS, EQ, 25-Nov-2021,800.6,802.5,808.9,795.05,799.6,802.3,802.3,43961,2724,26516,60.32
ANURAS, EQ, 26-Nov-2021,802.3,803.0,804.0,785.05,791.0,790.8,793.25,44044,2897,23959,54.4
ANURAS, EQ, 29-Nov-2021,790.8,792.0,803.2,774.0,795.0,795.9,792.82,75892,4581,46439,61.19
ANURAS, EQ, 30-Nov-2021,795.9,799.9,806.0,781.6,791.0,789.15,792.01,42737,2643,20746,48.54
ANURAS, EQ, 01-Dec-2021,789.15,790.0,795.0,783.1,790.0,786.5,786.62,21852,1278,15265,69.86
ANURAS, EQ, 02-Dec-2021,786.5,790.0,795.1,785.0,795.1,792.7,790.75,15468,1436,9101,58.84
ANURAS, EQ, 03-Dec-2021,792.7,794.5,808.5,788.0,800.0,800.55,799.02,42010,4246,21803,51.9
ANURAS, EQ, 06-Dec-2021,800.55,804.75,804.75,785.1,796.0,796.65,794.71,35825,2682,20169,56.3
ANURAS, EQ, 07-Dec-2021,796.65,800.0,821.0,789.55,818.9,819.5,810.81,64962,3206,31272,48.14
ANURAS, EQ, 08-Dec-2021,819.5,825.8,845.0,812.9,843.0,839.3,830.84,81528,6044,43162,52.94
ANURAS, EQ, 09-Dec-2021,839.3,848.5,848.5,816.4,820.0,822.55,829.54,505335,4390,357352,70.72
ANURAS, EQ, 10-Dec-2021,822.55,824.5,829.95,817.8,822.95,823.05,823.37,63394,2968,45046,71.06
ANURAS, EQ, 13-Dec-2021,823.05,824.0,834.8,823.1,829.5,831.5,829.08,201622,3300,159775,79.24
ANURAS, EQ, 14-Dec-2021,831.5,831.5,848.0,824.45,842.0,841.6,835.76,67589,3475,44917,66.46
ANURAS, EQ, 15-Dec-2021,841.6,857.0,875.0,830.05,854.0,839.45,856.87,213551,12070,67193,31.46
ANURAS, EQ, 16-Dec-2021,839.45,860.0,870.0,845.45,849.0,849.9,853.02,81252,4140,37546,46.21
ANURAS, EQ, 17-Dec-2021,849.9,855.0,856.0,829.5,840.0,843.4,838.71,46876,2630,29017,61.9
ANURAS, EQ, 20-Dec-2021,843.4,838.8,838.8,804.15,830.05,830.25,827.9,118759,5281,48106,40.51
ANURAS, EQ, 21-Dec-2021,830.25,835.0,872.0,835.0,848.5,849.0,846.59,40591,3098,22082,54.4
ANURAS, EQ, 22-Dec-2021,849.0,854.0,900.0,845.05,874.0,869.1,871.16,377183,18897,117765,31.22
ANURAS, EQ, 23-Dec-2021,869.1,872.8,890.0,870.0,884.0,884.4,880.19,75121,5049,38760,51.6
ANURAS, EQ, 24-Dec-2021,884.4,889.95,915.0,870.95,910.0,904.95,895.79,217600,10431,87259,40.1
ANURAS, EQ, 27-Dec-2021,904.95,914.0,926.0,890.05,914.0,911.9,912.38,322192,16150,117237,36.39
ANURAS, EQ, 28-Dec-2021,911.9,916.0,923.0,900.0,909.0,909.85,911.2,130241,7402,62197,47.76
ANURAS, EQ, 29-Dec-2021,909.85,915.0,919.0,897.9,908.5,906.95,905.32,111410,4747,41237,37.01
ANURAS, EQ, 30-Dec-2021,906.95,910.0,984.95,896.55,949.4,955.7,949.22,439524,24267,170657,38.83
ANURAS, EQ, 31-Dec-2021,955.7,966.0,1014.0,960.1,985.0,990.75,986.84,556097,35128,158578,28.52
ANURAS, EQ, 03-Jan-2022,990.75,1005.0,1087.8,992.5,1049.0,1061.75,1038.32,518074,30450,150581,29.07
ANURAS, EQ, 04-Jan-2022,1061.75,1061.0,1071.5,1011.8,1035.95,1035.05,1037.0,300050,21951,125811,41.93
ANURAS, EQ, 05-Jan-2022,1035.05,1040.3,1054.9,1018.9,1030.0,1034.05,1030.92,308875,10746,215900,69.9
ANURAS, EQ, 06-Jan-2022,1034.05,1026.9,1035.0,1015.0,1018.0,1022.2,1023.68,77243,6241,37049,47.96
ANURAS, EQ, 07-Jan-2022,1022.2,1027.85,1051.75,1015.25,1028.05,1025.75,1030.1,137484,8278,78088,56.8
ANURAS, EQ, 10-Jan-2022,1025.75,1032.0,1064.65,1030.5,1035.9,1035.7,1044.38,239424,18738,75195,31.41
ANURAS, EQ, 11-Jan-2022,1035.7,1037.5,1080.0,1035.7,1049.8,1050.4,1058.43,283114,15153,150249,53.07
ANURAS, EQ, 12-Jan-2022,1050.4,1061.8,1067.9,1047.5,1055.2,1053.55,1057.25,90872,8319,49032,53.96
ANURAS, EQ, 13-Jan-2022,1053.55,1055.0,1058.65,1017.6,1021.5,1022.95,1031.41,137861,9281,78336,56.82
ANURAS, EQ, 14-Jan-2022,1022.95,1032.65,1038.0,1018.0,1019.0,1019.35,1024.09,50587,3242,26827,53.03
ANURAS, EQ, 17-Jan-2022,1019.35,1024.7,1062.0,1020.0,1052.0,1050.6,1045.87,147399,8116,86157,58.45
ANURAS, EQ, 18-Jan-2022,1050.6,1062.4,1063.15,995.8,1020.0,1014.65,1027.82,82991,5920,45872,55.27
ANURAS, EQ, 19-Jan-2022,1014.65,1022.0,1030.0,1007.85,1028.0,1026.25,1020.4,46604,5631,12801,27.47
ANURAS, EQ, 20-Jan-2022,1026.25,1035.0,1038.5,1001.15,1016.3,1014.95,1018.49,53021,3186,32578,61.44
ANURAS, EQ, 21-Jan-2022,1014.95,1020.0,1020.0,1000.0,1003.8,1003.95,1005.39,70963,7864,30900,43.54
ANURAS, EQ, 24-Jan-2022,1003.95,1018.0,1018.0,970.0,973.2,974.0,984.68,99811,6354,66288,66.41
ANURAS, EQ, 25-Jan-2022,974.0,984.95,1025.0,960.0,1018.0,1020.3,1009.35,94436,6053,42602,45.11
ANURAS, EQ, 27-Jan-2022,1020.3,1017.85,1017.85,960.05,986.5,985.0,991.94,136834,8348,76323,55.78
ANURAS, EQ, 28-Jan-2022,985.0,1000.0,1000.0,972.35,976.0,977.1,984.85,68888,4286,35747,51.89
ANURAS, EQ, 31-Jan-2022,977.1,990.0,990.0,951.5,963.9,963.5,965.45,102581,8204,56757,55.33
ANURAS, EQ, 01-Feb-2022,963.5,977.3,1022.85,964.0,1017.0,1007.95,989.82,149542,8237,84415,56.45
ANURAS, EQ, 02-Feb-2022,1007.95,1019.0,1107.55,1012.45,1048.05,1051.55,1058.28,861904,56062,292995,33.99
ANURAS, EQ, 03-Feb-2022,1051.55,1061.25,1095.0,1027.0,1035.0,1032.4,1056.26,367773,21071,152259,41.4
ANURAS, EQ, 04-Feb-2022,1032.4,1038.0,1043.8,1016.0,1025.0,1022.8,1028.67,95566,11126,34059,35.64
ANURAS, EQ, 07-Feb-2022,1022.8,1024.7,1024.75,1002.75,1009.4,1008.35,1010.31,87620,12023,36584,41.75
ANURAS, EQ, 08-Feb-2022,1008.35,1014.75,1024.85,991.5,997.0,997.35,1001.47,89353,7569,50675,56.71
ANURAS, EQ, 09-Feb-2022,997.35,1005.0,1005.0,980.3,990.0,988.45,989.58,83922,5144,41755,49.75
ANURAS, EQ, 10-Feb-2022,988.45,995.9,995.9,980.3,984.35,985.1,985.99,61718,5821,24769,40.13
ANURAS, EQ, 11-Feb-2022,985.1,985.0,1000.0,960.0,973.0,970.75,982.08,63830,6443,28647,44.88
ANURAS, EQ, 14-Feb-2022,970.75,970.75,970.75,911.25,924.95,922.55,933.73,128198,10965,64875,50.61
ANURAS, EQ, 15-Feb-2022,922.55,945.0,945.0,902.0,912.0,914.9,918.92,94120,7631,42290,44.93
ANURAS, EQ, 16-Feb-2022,914.9,935.0,946.45,918.0,922.0,921.0,931.55,57809,4926,23728,41.05
ANURAS, EQ, 17-Feb-2022,921.0,934.4,940.45,911.25,915.2,919.1,926.92,50752,6629,17231,33.95
ANURAS, EQ, 18-Feb-2022,919.1,920.0,928.8,875.75,915.0,916.35,916.43,39975,4006,15101,37.78
ANURAS, EQ, 21-Feb-2022,916.35,920.0,920.0,860.1,864.9,872.15,892.07,85522,7845,33826,39.55
ANURAS, EQ, 22-Feb-2022,872.15,862.9,864.95,741.3,863.0,855.0,839.73,87075,7472,31604,36.3
ANURAS, EQ, 23-Feb-2022,855.0,875.0,880.85,855.25,866.0,864.3,869.51,33507,3438,12394,36.99
ANURAS, EQ, 24-Feb-2022,864.3,830.0,845.0,801.65,822.0,824.65,819.59,103313,8319,46668,45.17
ANURAS, EQ, 25-Feb-2022,824.65,859.0,870.0,843.7,858.0,860.9,858.7,54480,4221,25889,47.52
ANURAS, EQ, 28-Feb-2022,860.9,865.0,865.0,830.2,838.1,837.05,839.5,73830,8073,32778,44.4
ANURAS, EQ, 02-Mar-2022,837.05,843.85,851.9,825.0,826.1,828.95,835.97,49334,6257,15414,31.24
ANURAS, EQ, 03-Mar-2022,828.95,837.7,847.5,832.0,838.0,837.2,840.41,39111,2704,15091,38.59
