SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
APLAPOLLO, EQ, 17-Sep-2021,956.15,983.0,987.6,942.3,943.65,945.95,959.21,501650,24597,321117,64.01
APLAPOLLO, EQ, 20-Sep-2021,945.95,945.95,949.0,915.0,915.0,918.55,927.7,249877,18853,178517,71.44
APLAPOLLO, EQ, 21-Sep-2021,918.55,924.0,924.0,869.1,883.0,882.6,882.79,431413,24089,285110,66.09
APLAPOLLO, EQ, 22-Sep-2021,882.6,891.25,904.4,875.0,880.0,879.35,884.76,190284,10681,122143,64.19
APLAPOLLO, EQ, 23-Sep-2021,879.35,887.4,920.0,885.6,918.0,913.75,909.39,203836,11940,118216,58.0
APLAPOLLO, EQ, 24-Sep-2021,913.75,924.95,925.0,885.0,895.0,894.15,900.76,163488,13638,100994,61.77
APLAPOLLO, EQ, 27-Sep-2021,894.15,899.85,899.9,861.0,868.0,868.85,886.44,883480,24499,294768,33.36
APLAPOLLO, EQ, 28-Sep-2021,868.85,873.9,880.0,841.0,848.0,847.85,852.45,310502,20830,225958,72.77
APLAPOLLO, EQ, 29-Sep-2021,847.85,845.0,845.0,820.0,833.0,829.45,829.28,880113,33397,693456,78.79
APLAPOLLO, EQ, 30-Sep-2021,829.45,822.0,836.55,804.1,829.95,821.8,818.82,926191,41038,641722,69.29
APLAPOLLO, EQ, 01-Oct-2021,821.8,821.0,869.0,820.2,845.0,848.85,851.35,994083,38726,585810,58.93
APLAPOLLO, EQ, 04-Oct-2021,848.85,859.0,891.9,851.0,872.0,872.25,875.19,669216,27771,408142,60.99
APLAPOLLO, EQ, 05-Oct-2021,872.25,865.0,876.5,850.0,855.0,853.0,854.31,503854,42153,358326,71.12
APLAPOLLO, EQ, 06-Oct-2021,853.0,863.0,863.6,840.1,845.0,845.5,847.55,595083,41330,438685,73.72
APLAPOLLO, EQ, 07-Oct-2021,845.5,849.9,861.0,826.85,855.0,857.05,844.89,551501,36895,344515,62.47
APLAPOLLO, EQ, 08-Oct-2021,857.05,862.0,866.9,846.25,852.0,854.4,855.49,358125,20676,252192,70.42
APLAPOLLO, EQ, 11-Oct-2021,854.4,858.0,884.0,857.0,872.15,878.25,873.07,456531,23896,328377,71.93
APLAPOLLO, EQ, 12-Oct-2021,878.25,883.0,885.0,862.0,873.5,872.7,875.08,240525,15685,147092,61.15
APLAPOLLO, EQ, 13-Oct-2021,872.7,879.7,879.7,853.0,855.5,854.4,860.13,319088,23565,203852,63.89
APLAPOLLO, EQ, 14-Oct-2021,854.4,863.25,869.35,843.4,847.7,850.65,858.51,342950,31703,235685,68.72
APLAPOLLO, EQ, 18-Oct-2021,850.65,835.0,862.0,833.2,860.4,860.0,846.91,730897,44749,511233,69.95
APLAPOLLO, EQ, 19-Oct-2021,860.0,867.0,895.0,861.4,883.1,883.2,882.63,840576,40820,525113,62.47
APLAPOLLO, EQ, 20-Oct-2021,883.2,892.9,892.9,841.0,853.9,852.55,858.92,406755,31449,233199,57.33
APLAPOLLO, EQ, 21-Oct-2021,852.55,858.5,863.45,810.0,825.0,823.1,832.14,697191,32775,510103,73.17
APLAPOLLO, EQ, 22-Oct-2021,823.1,826.05,830.95,809.1,816.0,816.45,817.8,382870,19745,272776,71.25
APLAPOLLO, EQ, 25-Oct-2021,816.45,820.0,822.15,750.1,761.9,760.55,765.32,1398818,111037,1051256,75.15
APLAPOLLO, EQ, 26-Oct-2021,760.55,761.9,823.8,761.2,811.0,807.5,781.63,1042136,41204,759961,72.92
APLAPOLLO, EQ, 27-Oct-2021,807.5,810.0,818.8,780.0,783.0,789.05,798.6,411710,24124,297033,72.15
APLAPOLLO, EQ, 28-Oct-2021,789.05,795.15,818.7,781.15,800.0,805.3,801.98,909001,36673,645449,71.01
APLAPOLLO, EQ, 29-Oct-2021,805.3,804.1,805.3,762.0,802.0,800.1,796.14,790452,37986,626365,79.24
APLAPOLLO, EQ, 01-Nov-2021,800.1,801.0,834.0,801.0,829.95,831.75,822.26,317389,18697,163751,51.59
APLAPOLLO, EQ, 02-Nov-2021,831.75,836.0,849.7,825.0,844.3,843.85,842.3,739838,25353,555018,75.02
APLAPOLLO, EQ, 03-Nov-2021,843.85,849.8,849.8,833.85,848.0,845.75,840.16,436451,14012,308105,70.59
APLAPOLLO, EQ, 08-Nov-2021,862.45,870.0,876.2,861.25,873.9,873.85,868.81,424301,38186,295464,69.64
