SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
APOLLOTYRE, EQ, 17-Sep-2021,221.95,223.0,228.3,219.5,223.45,223.6,224.35,6893518,59335,1680870,24.38
APOLLOTYRE, EQ, 20-Sep-2021,223.6,221.95,225.65,216.65,217.5,218.0,221.55,2985529,35776,896415,30.03
APOLLOTYRE, EQ, 21-Sep-2021,218.0,218.0,220.5,214.25,219.5,219.55,217.2,3012522,25638,880506,29.23
APOLLOTYRE, EQ, 22-Sep-2021,219.55,220.5,234.5,220.5,232.4,232.55,230.34,15453714,112557,4317308,27.94
APOLLOTYRE, EQ, 23-Sep-2021,232.55,234.65,239.85,233.45,236.6,236.95,237.14,8364323,74262,3104503,37.12
APOLLOTYRE, EQ, 24-Sep-2021,236.95,238.2,238.5,225.8,228.3,228.8,230.65,5274766,45442,1450686,27.5
APOLLOTYRE, EQ, 27-Sep-2021,228.8,229.0,234.5,225.95,232.15,231.85,230.26,3717008,30154,1020945,27.47
APOLLOTYRE, EQ, 28-Sep-2021,231.85,233.05,234.3,225.5,226.45,226.4,229.77,3598548,33344,958731,26.64
APOLLOTYRE, EQ, 29-Sep-2021,226.4,226.2,229.3,220.85,224.9,224.7,225.35,4045085,34093,1115701,27.58
APOLLOTYRE, EQ, 30-Sep-2021,224.7,225.8,228.45,224.05,225.9,225.7,226.02,3198232,27184,853707,26.69
APOLLOTYRE, EQ, 01-Oct-2021,225.7,224.5,226.65,222.5,223.95,224.25,224.1,2017092,20273,310748,15.41
APOLLOTYRE, EQ, 04-Oct-2021,224.25,225.35,229.5,225.25,228.0,228.1,227.95,1936726,17723,436810,22.55
APOLLOTYRE, EQ, 05-Oct-2021,228.1,227.0,228.25,224.8,225.45,225.25,226.16,1776081,20822,574577,32.35
APOLLOTYRE, EQ, 06-Oct-2021,225.25,226.7,231.7,221.5,221.7,222.3,225.65,3873270,30659,1043119,26.93
APOLLOTYRE, EQ, 07-Oct-2021,222.3,224.0,233.0,223.65,228.05,228.15,229.52,6417957,64049,2170754,33.82
APOLLOTYRE, EQ, 08-Oct-2021,228.15,229.15,235.75,228.0,234.2,234.5,231.96,4477732,35660,1280257,28.59
APOLLOTYRE, EQ, 11-Oct-2021,234.5,235.95,245.25,234.0,239.75,240.55,241.31,10744057,92836,2891254,26.91
APOLLOTYRE, EQ, 12-Oct-2021,240.55,242.0,245.0,236.1,238.8,239.0,240.23,4818636,48709,869342,18.04
APOLLOTYRE, EQ, 13-Oct-2021,239.0,241.0,244.4,238.2,239.0,239.1,241.36,3312096,36884,889359,26.85
APOLLOTYRE, EQ, 14-Oct-2021,239.1,240.4,243.75,237.75,239.7,239.8,240.91,2736472,26213,719930,26.31
APOLLOTYRE, EQ, 18-Oct-2021,239.8,240.85,250.0,238.8,243.0,242.5,245.16,8984522,75502,2355999,26.22
APOLLOTYRE, EQ, 19-Oct-2021,242.5,244.9,246.3,230.5,231.9,231.9,238.31,5689713,55514,1627420,28.6
APOLLOTYRE, EQ, 20-Oct-2021,231.9,232.3,233.9,220.7,226.5,225.7,227.5,6163715,58354,1828081,29.66
APOLLOTYRE, EQ, 21-Oct-2021,225.7,227.5,229.25,224.4,226.9,226.15,226.38,3610872,31717,1183262,32.77
APOLLOTYRE, EQ, 22-Oct-2021,226.15,228.0,230.0,218.65,220.9,221.05,223.17,4081606,40090,1197423,29.34
APOLLOTYRE, EQ, 25-Oct-2021,221.05,222.95,224.5,214.55,219.2,219.9,220.32,4610633,47199,1345599,29.18
APOLLOTYRE, EQ, 26-Oct-2021,219.9,219.4,221.4,215.75,219.4,219.05,218.31,3281444,30704,1036465,31.59
APOLLOTYRE, EQ, 27-Oct-2021,219.05,220.7,220.75,216.6,216.95,217.15,218.19,2363376,20676,712045,30.13
APOLLOTYRE, EQ, 28-Oct-2021,217.15,217.35,217.6,212.0,214.2,212.95,214.95,2964778,24957,996833,33.62
APOLLOTYRE, EQ, 29-Oct-2021,212.95,213.8,217.0,208.1,213.8,212.9,212.78,3642654,53251,704721,19.35
APOLLOTYRE, EQ, 01-Nov-2021,212.9,215.1,222.5,212.9,220.2,220.65,218.98,5546106,46324,1596603,28.79
APOLLOTYRE, EQ, 02-Nov-2021,220.65,221.75,225.9,220.25,223.5,223.45,223.92,3103362,34237,934407,30.11
APOLLOTYRE, EQ, 03-Nov-2021,223.45,223.6,224.7,219.1,221.25,220.6,221.67,1903450,13313,651885,34.25
APOLLOTYRE, EQ, 08-Nov-2021,222.55,223.0,230.0,221.0,229.2,229.45,227.61,5398970,40048,2565072,47.51
APOLLOTYRE, EQ, 09-Nov-2021,229.45,229.2,232.5,228.15,230.55,231.3,230.81,2900718,27477,817329,28.18
APOLLOTYRE, EQ, 10-Nov-2021,231.3,229.95,234.0,228.55,232.9,233.15,232.25,3101948,25915,1301874,41.97
APOLLOTYRE, EQ, 11-Nov-2021,233.15,233.35,236.25,229.55,231.2,232.0,232.61,3058586,28856,1032133,33.75
APOLLOTYRE, EQ, 12-Nov-2021,232.0,233.0,235.4,230.55,232.0,232.5,233.08,1696917,17569,506684,29.86
APOLLOTYRE, EQ, 15-Nov-2021,232.5,232.5,234.3,228.75,232.0,232.5,231.64,1511879,17588,413991,27.38
APOLLOTYRE, EQ, 16-Nov-2021,232.5,233.75,237.0,232.0,232.25,233.05,234.51,3026483,31683,784592,25.92
