SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AUROPHARMA, EQ, 17-Sep-2021,754.75,755.4,758.9,738.8,744.35,746.2,748.12,2364341,87175,1102929,46.65
AUROPHARMA, EQ, 20-Sep-2021,746.2,740.0,743.65,708.0,712.0,712.4,727.69,2932150,93315,1324428,45.17
AUROPHARMA, EQ, 21-Sep-2021,712.4,713.0,729.6,707.1,725.2,726.4,719.94,2664801,82943,802251,30.11
AUROPHARMA, EQ, 22-Sep-2021,726.4,723.6,733.95,719.8,731.0,731.1,727.45,1674667,55693,577774,34.5
AUROPHARMA, EQ, 23-Sep-2021,731.1,739.0,739.0,727.6,732.0,733.45,732.34,2015529,79602,1017705,50.49
AUROPHARMA, EQ, 24-Sep-2021,733.45,735.7,737.2,717.5,720.9,721.55,724.84,1962703,80683,977487,49.8
AUROPHARMA, EQ, 27-Sep-2021,721.55,725.0,725.15,714.0,722.0,722.0,718.53,1333668,50185,586208,43.95
AUROPHARMA, EQ, 28-Sep-2021,722.0,722.0,730.7,709.6,726.75,725.05,720.56,3589557,77362,2107027,58.7
AUROPHARMA, EQ, 29-Sep-2021,725.05,721.4,736.9,718.9,728.0,727.95,730.22,2240377,79774,864642,38.59
AUROPHARMA, EQ, 30-Sep-2021,727.95,720.7,735.85,720.35,724.5,724.8,728.5,1993150,65006,736195,36.94
AUROPHARMA, EQ, 01-Oct-2021,724.8,721.9,724.35,706.5,714.6,717.3,717.07,2877882,81890,1324059,46.01
AUROPHARMA, EQ, 04-Oct-2021,717.3,710.0,751.9,708.0,732.4,732.15,737.6,5386291,163352,1739051,32.29
AUROPHARMA, EQ, 05-Oct-2021,732.15,732.3,734.9,718.2,724.0,724.0,723.26,2241909,87763,862028,38.45
AUROPHARMA, EQ, 06-Oct-2021,724.0,726.5,729.4,712.15,714.5,715.35,720.06,1928858,61031,1008732,52.3
AUROPHARMA, EQ, 07-Oct-2021,715.35,719.7,726.4,716.35,720.4,719.6,720.82,1514665,59223,629399,41.55
AUROPHARMA, EQ, 08-Oct-2021,719.6,721.0,730.45,713.1,715.7,714.75,718.9,2179776,76142,977197,44.83
AUROPHARMA, EQ, 11-Oct-2021,714.75,718.7,725.0,711.1,722.35,720.55,719.21,1309853,62853,570471,43.55
AUROPHARMA, EQ, 12-Oct-2021,720.55,722.0,735.5,720.05,729.2,729.85,727.73,2505322,76681,1074222,42.88
AUROPHARMA, EQ, 13-Oct-2021,729.85,735.0,735.0,725.05,728.5,728.55,729.48,1220720,61452,547282,44.83
AUROPHARMA, EQ, 14-Oct-2021,728.55,734.65,737.0,724.2,727.0,727.15,729.14,1592618,79610,759229,47.67
AUROPHARMA, EQ, 18-Oct-2021,727.15,727.4,731.0,717.15,719.55,718.25,722.5,2001971,94782,1032747,51.59
