SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BAJAJELEC, EQ, 17-Sep-2021,1442.7,1449.95,1588.95,1422.2,1471.0,1490.8,1511.65,1942534,70683,981054,50.5
BAJAJELEC, EQ, 20-Sep-2021,1490.8,1468.5,1558.0,1438.05,1521.25,1518.95,1521.13,581207,41578,96852,16.66
BAJAJELEC, EQ, 21-Sep-2021,1518.95,1531.0,1539.8,1491.15,1520.0,1519.1,1513.7,196894,16334,45469,23.09
BAJAJELEC, EQ, 22-Sep-2021,1519.1,1528.4,1562.0,1500.4,1510.0,1513.45,1534.41,180229,15234,47852,26.55
BAJAJELEC, EQ, 23-Sep-2021,1513.45,1519.95,1553.9,1519.0,1533.5,1531.8,1535.48,202552,15141,59291,29.27
BAJAJELEC, EQ, 24-Sep-2021,1531.8,1544.75,1548.6,1455.0,1473.0,1471.65,1488.55,270576,24011,96633,35.71
BAJAJELEC, EQ, 27-Sep-2021,1471.65,1480.0,1498.0,1409.9,1417.0,1413.05,1433.69,199878,16870,95528,47.79
BAJAJELEC, EQ, 28-Sep-2021,1413.05,1425.4,1425.4,1350.05,1374.7,1371.5,1379.41,192123,17310,54830,28.54
BAJAJELEC, EQ, 29-Sep-2021,1371.5,1371.0,1388.15,1340.0,1341.0,1343.7,1360.15,137265,13332,51605,37.6
BAJAJELEC, EQ, 30-Sep-2021,1343.7,1353.0,1375.0,1293.65,1312.0,1305.65,1328.57,586789,15120,490896,83.66
BAJAJELEC, EQ, 01-Oct-2021,1305.65,1306.6,1335.9,1300.1,1314.0,1306.9,1314.67,111566,14047,41351,37.06
BAJAJELEC, EQ, 04-Oct-2021,1306.9,1315.6,1355.0,1310.0,1323.0,1320.85,1323.37,97905,9494,40751,41.62
BAJAJELEC, EQ, 05-Oct-2021,1320.85,1315.0,1327.85,1280.0,1288.0,1283.7,1293.6,163627,15093,81633,49.89
BAJAJELEC, EQ, 06-Oct-2021,1283.7,1289.9,1297.65,1255.0,1263.25,1262.25,1276.91,157544,12759,92319,58.6
BAJAJELEC, EQ, 07-Oct-2021,1262.25,1264.4,1273.65,1243.95,1251.0,1252.8,1255.68,99030,9856,44693,45.13
BAJAJELEC, EQ, 08-Oct-2021,1252.8,1257.0,1279.0,1216.35,1232.8,1231.6,1251.65,357110,31171,126121,35.32
BAJAJELEC, EQ, 11-Oct-2021,1231.6,1240.0,1255.0,1233.0,1238.75,1238.4,1241.63,100740,10786,42741,42.43
BAJAJELEC, EQ, 12-Oct-2021,1238.4,1244.0,1246.65,1231.6,1233.0,1233.35,1235.99,76463,8626,35057,45.85
BAJAJELEC, EQ, 13-Oct-2021,1233.35,1238.0,1243.45,1220.0,1231.0,1231.65,1230.72,116477,12896,52659,45.21
BAJAJELEC, EQ, 14-Oct-2021,1231.65,1237.85,1286.0,1231.85,1279.0,1274.95,1264.89,289407,24571,87347,30.18
BAJAJELEC, EQ, 18-Oct-2021,1274.95,1275.0,1313.0,1273.0,1297.0,1291.95,1298.71,361276,28791,163902,45.37
BAJAJELEC, EQ, 19-Oct-2021,1291.95,1314.0,1314.0,1260.25,1272.85,1273.75,1283.53,139744,17232,56901,40.72
BAJAJELEC, EQ, 20-Oct-2021,1273.75,1279.9,1279.95,1150.0,1206.05,1188.15,1201.27,325762,32369,159697,49.02
BAJAJELEC, EQ, 21-Oct-2021,1188.15,1202.8,1220.0,1131.25,1175.0,1164.65,1167.92,171739,18756,76894,44.77
BAJAJELEC, EQ, 22-Oct-2021,1164.65,1176.0,1184.95,1150.05,1165.0,1158.85,1162.12,89237,13799,33303,37.32
BAJAJELEC, EQ, 25-Oct-2021,1158.85,1158.85,1173.0,1111.0,1159.6,1155.75,1143.37,138014,17460,64307,46.59
BAJAJELEC, EQ, 26-Oct-2021,1155.75,1155.0,1165.0,1140.2,1152.85,1147.75,1151.7,59517,9904,23396,39.31
BAJAJELEC, EQ, 27-Oct-2021,1147.75,1159.7,1180.7,1125.0,1140.85,1129.7,1150.35,238710,24205,64100,26.85
BAJAJELEC, EQ, 28-Oct-2021,1129.7,1134.95,1143.95,1116.35,1120.0,1124.4,1129.47,86457,12241,32852,38.0
BAJAJELEC, EQ, 29-Oct-2021,1124.4,1132.3,1150.0,1081.7,1104.0,1105.7,1122.75,231360,24675,65195,28.18
BAJAJELEC, EQ, 01-Nov-2021,1105.7,1115.0,1118.85,1088.2,1094.8,1094.55,1099.75,97791,13122,47267,48.33
BAJAJELEC, EQ, 02-Nov-2021,1094.55,1100.0,1112.85,1082.2,1096.3,1099.6,1101.06,122851,15843,56384,45.9
BAJAJELEC, EQ, 03-Nov-2021,1099.6,1099.6,1107.75,1091.0,1099.9,1097.65,1100.24,64313,7847,29822,46.37
BAJAJELEC, EQ, 08-Nov-2021,1110.9,1123.9,1123.9,1093.0,1097.3,1098.25,1099.67,88356,16366,46211,52.3
BAJAJELEC, EQ, 09-Nov-2021,1098.25,1090.0,1106.35,1090.0,1094.0,1092.65,1094.53,108755,13050,48494,44.59
BAJAJELEC, EQ, 10-Nov-2021,1092.65,1092.75,1120.0,1085.0,1108.0,1110.1,1102.93,161076,13724,102196,63.45
BAJAJELEC, EQ, 11-Nov-2021,1110.1,1114.85,1119.0,1093.4,1105.05,1108.95,1106.55,121763,14279,75829,62.28
BAJAJELEC, EQ, 12-Nov-2021,1108.95,1111.7,1113.45,1068.0,1092.0,1090.3,1090.46,718389,39586,394484,54.91
BAJAJELEC, EQ, 15-Nov-2021,1090.3,1100.0,1155.35,1092.0,1143.0,1146.4,1129.43,547732,44449,248701,45.41
BAJAJELEC, EQ, 16-Nov-2021,1146.4,1147.8,1159.0,1110.1,1142.0,1144.95,1138.21,255399,24995,114545,44.85
BAJAJELEC, EQ, 17-Nov-2021,1144.95,1144.0,1154.8,1102.3,1119.0,1120.2,1136.66,242076,19285,115101,47.55
BAJAJELEC, EQ, 18-Nov-2021,1120.2,1120.95,1124.95,1060.55,1071.0,1073.35,1087.45,266920,30913,131985,49.45
BAJAJELEC, EQ, 22-Nov-2021,1073.35,1074.4,1083.55,1028.45,1060.0,1058.75,1053.6,120959,13823,40975,33.88
BAJAJELEC, EQ, 23-Nov-2021,1058.75,1048.0,1079.8,1035.55,1076.9,1073.2,1061.4,94862,9237,35226,37.13
BAJAJELEC, EQ, 24-Nov-2021,1073.2,1088.0,1094.8,1050.0,1058.0,1057.1,1067.16,69555,11085,26365,37.91
BAJAJELEC, EQ, 25-Nov-2021,1057.1,1064.75,1073.0,1035.0,1064.6,1060.6,1054.9,127588,14156,60068,47.08
BAJAJELEC, EQ, 26-Nov-2021,1060.6,1061.0,1061.0,1026.2,1034.4,1029.35,1035.56,90554,14628,41634,45.98
BAJAJELEC, EQ, 29-Nov-2021,1029.35,1025.0,1040.0,932.65,1020.0,1023.1,1006.73,325067,34995,175476,53.98
BAJAJELEC, EQ, 30-Nov-2021,1023.1,1010.0,1085.65,1010.0,1077.05,1074.25,1053.38,332652,35797,178554,53.68
BAJAJELEC, EQ, 01-Dec-2021,1074.25,1062.5,1075.4,1030.05,1043.95,1043.25,1048.65,183216,26266,75318,41.11
BAJAJELEC, EQ, 02-Dec-2021,1043.25,1049.4,1050.65,1020.5,1037.9,1035.35,1032.86,106538,21615,42805,40.18
BAJAJELEC, EQ, 03-Dec-2021,1035.35,1038.0,1047.05,1030.1,1034.45,1035.7,1036.93,87653,10592,36813,42.0
BAJAJELEC, EQ, 06-Dec-2021,1035.7,1050.0,1055.0,1017.0,1020.0,1021.1,1034.06,87513,10916,39489,45.12
BAJAJELEC, EQ, 07-Dec-2021,1021.1,1041.55,1041.55,1015.55,1026.0,1022.1,1023.43,92547,10113,38401,41.49
BAJAJELEC, EQ, 08-Dec-2021,1022.1,1038.9,1069.25,1026.35,1057.0,1056.05,1055.49,150787,12817,35488,23.54
BAJAJELEC, EQ, 09-Dec-2021,1056.05,1064.0,1064.0,1040.0,1048.85,1046.5,1047.88,57658,7529,22772,39.49
BAJAJELEC, EQ, 10-Dec-2021,1046.5,1151.0,1169.15,1096.85,1129.95,1124.7,1127.29,2192714,127528,300748,13.72
