SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BAJAJFINSV, EQ, 17-Sep-2021,16733.0,16840.0,17499.0,16750.05,16872.0,16840.2,17135.83,654951,95813,123185,18.81
BAJAJFINSV, EQ, 20-Sep-2021,16840.2,16775.05,17334.0,16700.1,17018.6,17018.95,17101.59,325204,58369,38441,11.82
BAJAJFINSV, EQ, 21-Sep-2021,17018.95,17100.0,17655.0,16814.05,17589.05,17587.25,17291.78,384694,68602,56060,14.57
BAJAJFINSV, EQ, 22-Sep-2021,17587.25,17589.05,17780.0,17505.0,17643.4,17614.75,17618.72,256982,42390,61853,24.07
BAJAJFINSV, EQ, 23-Sep-2021,17614.75,17787.5,18750.0,17682.05,18430.0,18503.85,18401.97,712551,109610,60107,8.44
BAJAJFINSV, EQ, 24-Sep-2021,18503.85,18599.95,18813.0,18317.4,18548.0,18526.0,18555.39,373175,66012,47385,12.7
BAJAJFINSV, EQ, 27-Sep-2021,18526.0,18570.0,18747.6,17930.05,18050.0,18031.1,18253.52,407168,73122,151622,37.24
BAJAJFINSV, EQ, 28-Sep-2021,18031.1,18185.0,18186.0,17430.1,17535.5,17550.35,17738.6,322058,65851,86710,26.92
BAJAJFINSV, EQ, 29-Sep-2021,17550.35,17498.8,17647.9,17307.8,17428.0,17433.75,17462.38,309712,71576,98449,31.79
BAJAJFINSV, EQ, 30-Sep-2021,17433.75,17500.0,17859.95,17412.2,17801.0,17786.75,17670.24,343000,59760,85462,24.92
BAJAJFINSV, EQ, 01-Oct-2021,17786.75,17736.05,17736.05,17050.0,17215.0,17177.8,17275.01,432677,77152,108012,24.96
BAJAJFINSV, EQ, 04-Oct-2021,17177.8,17359.95,17936.0,17301.0,17755.0,17806.2,17690.13,401325,68963,65649,16.36
BAJAJFINSV, EQ, 05-Oct-2021,17806.2,17754.0,17950.0,17525.0,17860.0,17847.5,17779.19,268163,47112,41654,15.53
BAJAJFINSV, EQ, 06-Oct-2021,17847.5,17974.0,18145.55,17557.95,17590.0,17616.6,17821.77,300421,54223,70228,23.38
BAJAJFINSV, EQ, 07-Oct-2021,17616.6,17800.0,17880.0,17425.0,17520.0,17470.25,17634.19,224100,40788,71269,31.8
BAJAJFINSV, EQ, 08-Oct-2021,17470.25,17620.0,17740.5,17460.0,17560.0,17549.45,17588.09,152238,29658,22809,14.98
BAJAJFINSV, EQ, 11-Oct-2021,17549.45,17665.65,18045.0,17607.0,17725.0,17713.95,17837.95,234090,42382,55978,23.91
BAJAJFINSV, EQ, 12-Oct-2021,17713.95,17713.95,18475.0,17631.0,18238.2,18222.65,18184.37,454592,77619,98525,21.67
BAJAJFINSV, EQ, 13-Oct-2021,18222.65,18355.0,18574.9,18148.6,18176.05,18188.25,18352.15,318388,47844,76135,23.91
BAJAJFINSV, EQ, 14-Oct-2021,18188.25,18350.0,18540.0,18215.1,18510.0,18488.9,18410.98,196805,42492,51408,26.12
BAJAJFINSV, EQ, 18-Oct-2021,18488.9,18850.0,19100.0,18552.8,18685.0,18677.95,18786.86,293948,52531,81780,27.82
BAJAJFINSV, EQ, 19-Oct-2021,18677.95,19000.0,19325.0,18600.5,18935.8,19076.55,19043.09,387846,63984,65286,16.83
BAJAJFINSV, EQ, 20-Oct-2021,19076.55,19063.0,19063.0,18404.25,18630.1,18603.2,18707.48,224798,46565,57360,25.52
BAJAJFINSV, EQ, 21-Oct-2021,18603.2,18788.0,18789.3,18346.7,18600.0,18579.6,18524.04,192533,35627,49059,25.48
BAJAJFINSV, EQ, 22-Oct-2021,18579.6,18600.0,19250.55,18550.0,18676.85,18658.15,18960.79,505330,87576,87733,17.36
BAJAJFINSV, EQ, 25-Oct-2021,18658.15,18700.0,18947.0,18000.0,18050.0,18087.15,18303.16,301804,60044,96669,32.03
BAJAJFINSV, EQ, 26-Oct-2021,18087.15,18200.0,18450.0,17975.05,18400.0,18353.35,18221.02,296749,53475,85988,28.98
BAJAJFINSV, EQ, 27-Oct-2021,18353.35,18599.0,18599.0,17770.0,17980.0,18012.0,18060.01,325301,60650,79175,24.34
BAJAJFINSV, EQ, 28-Oct-2021,18012.0,18012.0,18372.05,17802.0,17945.0,17987.7,18063.32,342550,69447,27428,8.01
BAJAJFINSV, EQ, 29-Oct-2021,17987.7,17987.7,18174.0,17139.55,17860.0,17821.15,17848.44,320536,68932,38667,12.06
BAJAJFINSV, EQ, 01-Nov-2021,17821.15,17900.0,17980.0,17171.0,17535.0,17565.7,17486.68,384929,75129,74601,19.38
BAJAJFINSV, EQ, 02-Nov-2021,17565.7,17650.0,17894.9,17392.55,17549.0,17542.6,17628.28,271929,52262,55053,20.25
BAJAJFINSV, EQ, 03-Nov-2021,17542.6,17579.7,17754.75,17449.1,17500.2,17509.45,17575.43,183802,37811,38996,21.22
BAJAJFINSV, EQ, 08-Nov-2021,17594.0,17650.9,18392.95,17515.0,18330.3,18319.75,18039.08,316199,56185,64167,20.29
BAJAJFINSV, EQ, 09-Nov-2021,18319.75,18320.0,18475.0,18080.0,18150.0,18172.5,18228.65,198087,38725,34052,17.19
BAJAJFINSV, EQ, 10-Nov-2021,18172.5,18142.5,18375.0,18002.5,18295.0,18326.15,18240.57,178433,35454,28704,16.09
BAJAJFINSV, EQ, 11-Nov-2021,18326.15,18250.0,18350.0,17810.0,17877.0,17871.35,17954.86,215558,40049,46390,21.52
BAJAJFINSV, EQ, 12-Nov-2021,17871.35,18135.0,18349.0,17925.05,18259.95,18273.8,18135.08,207802,35436,50000,24.06
BAJAJFINSV, EQ, 15-Nov-2021,18273.8,18275.0,18345.0,18000.0,18155.0,18130.5,18124.5,170461,29056,52165,30.6
BAJAJFINSV, EQ, 16-Nov-2021,18130.5,18230.0,18511.0,18118.75,18192.15,18209.75,18324.35,218955,37100,46814,21.38
BAJAJFINSV, EQ, 17-Nov-2021,18209.75,18185.0,18420.0,18111.9,18249.0,18255.4,18302.43,146100,27160,27428,18.77
BAJAJFINSV, EQ, 18-Nov-2021,18255.4,18256.0,18472.0,17811.2,17925.0,17921.25,18115.96,274556,50268,62165,22.64
BAJAJFINSV, EQ, 22-Nov-2021,17921.25,18140.0,18140.0,16830.05,17059.0,17073.75,17288.94,370700,71711,108756,29.34
BAJAJFINSV, EQ, 23-Nov-2021,17073.75,16880.0,17437.85,16757.25,17365.0,17368.1,17235.72,251315,50093,33967,13.52
BAJAJFINSV, EQ, 24-Nov-2021,17368.1,17432.0,17647.0,17140.4,17320.0,17408.7,17416.79,274024,47584,53192,19.41
BAJAJFINSV, EQ, 25-Nov-2021,17408.7,17349.0,17522.0,17225.25,17360.0,17368.85,17370.95,161620,32994,22689,14.04
BAJAJFINSV, EQ, 26-Nov-2021,17368.85,17200.0,17237.2,16610.0,16684.0,16682.55,16841.2,342486,64239,74651,21.8
BAJAJFINSV, EQ, 29-Nov-2021,16682.55,16670.0,17098.0,16273.65,16880.1,16890.4,16811.16,304218,60388,41336,13.59
BAJAJFINSV, EQ, 30-Nov-2021,16890.4,16880.0,17500.0,16880.0,17240.0,17237.35,17261.58,458642,78259,142337,31.03
BAJAJFINSV, EQ, 01-Dec-2021,17237.35,17444.0,17546.7,17201.0,17400.0,17382.95,17360.58,238349,51442,53426,22.42
BAJAJFINSV, EQ, 02-Dec-2021,17382.95,17400.0,17890.0,17273.45,17800.0,17758.15,17572.02,213881,38888,48228,22.55
BAJAJFINSV, EQ, 03-Dec-2021,17758.15,17750.0,17889.75,17450.0,17501.25,17488.7,17631.97,203459,35206,46875,23.04
BAJAJFINSV, EQ, 06-Dec-2021,17488.7,17487.0,17598.95,16851.0,16917.0,16893.45,17126.34,203690,36409,56556,27.77
BAJAJFINSV, EQ, 07-Dec-2021,16893.45,17140.0,17250.0,16931.7,17112.0,17109.0,17109.97,230078,39767,49361,21.45
BAJAJFINSV, EQ, 08-Dec-2021,17109.0,17166.0,17674.25,17166.0,17600.0,17621.65,17511.99,284299,54711,73227,25.76
BAJAJFINSV, EQ, 09-Dec-2021,17621.65,17625.35,17771.9,17487.0,17601.0,17596.6,17606.32,210382,37073,32771,15.58
BAJAJFINSV, EQ, 10-Dec-2021,17596.6,17580.0,17763.55,17300.65,17682.0,17711.1,17510.71,233314,36964,62698,26.87
BAJAJFINSV, EQ, 13-Dec-2021,17711.1,17750.0,17835.95,17250.0,17338.0,17324.0,17465.92,219913,39800,59119,26.88
BAJAJFINSV, EQ, 14-Dec-2021,17324.0,17200.0,17260.0,16865.0,17160.0,17123.5,17076.18,242026,51526,48996,20.24
BAJAJFINSV, EQ, 15-Dec-2021,17123.5,17169.0,17214.95,16620.0,16690.0,16660.7,16818.51,253221,49176,76549,30.23
BAJAJFINSV, EQ, 16-Dec-2021,16660.7,16870.0,16950.0,16575.0,16710.0,16703.35,16712.45,325350,61573,91383,28.09
BAJAJFINSV, EQ, 17-Dec-2021,16703.35,16650.0,16850.0,16133.0,16191.0,16204.2,16311.83,305435,62080,90705,29.7
BAJAJFINSV, EQ, 20-Dec-2021,16204.2,15940.0,15940.0,15450.0,15770.05,15826.2,15670.38,337160,64782,57964,17.19
BAJAJFINSV, EQ, 21-Dec-2021,15826.2,16150.0,16150.0,15677.0,15835.65,15831.95,15939.8,336805,53959,43065,12.79
BAJAJFINSV, EQ, 22-Dec-2021,15831.95,15931.0,16184.95,15830.0,15938.0,15945.9,15960.29,261292,40821,47267,18.09
BAJAJFINSV, EQ, 23-Dec-2021,15945.9,16100.0,16219.55,16026.5,16140.0,16169.9,16131.03,181118,34425,41811,23.08
BAJAJFINSV, EQ, 24-Dec-2021,16169.9,16250.0,16250.0,15800.0,15915.25,15920.55,15935.55,208736,32827,28629,13.72
BAJAJFINSV, EQ, 27-Dec-2021,15920.55,15610.35,16139.95,15561.05,16041.0,16013.1,15916.93,235114,37451,14155,6.02
BAJAJFINSV, EQ, 28-Dec-2021,16013.1,16172.35,16249.0,16021.65,16100.3,16100.85,16133.03,145722,24684,22293,15.3
BAJAJFINSV, EQ, 29-Dec-2021,16100.85,16100.3,16330.0,15966.0,16215.0,16249.05,16209.62,172428,26699,26984,15.65
BAJAJFINSV, EQ, 30-Dec-2021,16249.05,16200.0,16281.8,15974.5,16212.0,16167.55,16089.81,283146,42979,65350,23.08
BAJAJFINSV, EQ, 31-Dec-2021,16167.55,16197.55,16500.0,16170.0,16451.6,16406.2,16387.63,230086,37716,56866,24.72
BAJAJFINSV, EQ, 03-Jan-2022,16406.2,16406.5,17040.0,16406.5,16960.0,16981.3,16823.19,271061,43891,39677,14.64
BAJAJFINSV, EQ, 04-Jan-2022,16981.3,17099.0,17190.0,16852.1,17100.0,17135.45,17067.01,230043,38093,38581,16.77
BAJAJFINSV, EQ, 05-Jan-2022,17135.45,17100.0,18050.0,17100.0,17983.3,17988.4,17775.07,608210,85891,113767,18.71
BAJAJFINSV, EQ, 06-Jan-2022,17988.4,17701.0,18080.0,17701.0,17955.1,17986.5,17884.58,351136,57967,54798,15.61
BAJAJFINSV, EQ, 07-Jan-2022,17986.5,18075.0,18142.95,17580.0,17723.6,17756.9,17820.26,322914,54893,43584,13.5
BAJAJFINSV, EQ, 10-Jan-2022,17756.9,17800.0,18000.0,17730.65,17779.95,17798.8,17859.09,169797,32869,36380,21.43
BAJAJFINSV, EQ, 11-Jan-2022,17798.8,17700.0,17935.05,17621.1,17800.0,17799.5,17780.03,164818,31862,23256,14.11
BAJAJFINSV, EQ, 12-Jan-2022,17799.5,17900.0,18190.0,17750.0,17890.0,17935.3,17993.4,223394,40203,46275,20.71
