SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BAJFINANCE, EQ, 17-Sep-2021,7411.5,7445.5,7679.95,7360.0,7442.0,7428.8,7538.26,3474969,203446,1275198,36.7
BAJFINANCE, EQ, 20-Sep-2021,7428.8,7360.0,7581.0,7320.75,7428.0,7442.45,7468.86,1083806,97599,203797,18.8
BAJFINANCE, EQ, 21-Sep-2021,7442.45,7481.15,7847.1,7401.0,7820.0,7813.85,7633.73,1993133,155330,545472,27.37
BAJFINANCE, EQ, 22-Sep-2021,7813.85,7850.0,7895.0,7771.0,7780.15,7793.65,7830.06,1500541,114708,573337,38.21
BAJFINANCE, EQ, 23-Sep-2021,7793.65,7863.6,7999.0,7804.65,7890.05,7899.05,7914.73,2109147,160052,731590,34.69
BAJFINANCE, EQ, 24-Sep-2021,7899.05,7949.85,7949.85,7725.65,7786.45,7793.4,7816.87,1129346,159552,484984,42.94
BAJFINANCE, EQ, 27-Sep-2021,7793.4,7849.0,7860.0,7740.05,7794.0,7795.45,7797.32,650774,78772,246962,37.95
BAJFINANCE, EQ, 28-Sep-2021,7795.45,7815.0,7825.0,7425.05,7536.0,7543.3,7581.48,1572301,144602,760945,48.4
BAJFINANCE, EQ, 29-Sep-2021,7543.3,7529.0,7635.85,7456.15,7510.0,7515.4,7532.75,945879,109016,331880,35.09
BAJFINANCE, EQ, 30-Sep-2021,7515.4,7545.0,7700.0,7490.9,7674.0,7668.1,7622.74,1490707,140935,602246,40.4
BAJFINANCE, EQ, 01-Oct-2021,7668.1,7620.0,7639.2,7475.0,7525.0,7522.75,7531.72,937740,91377,336076,35.84
BAJFINANCE, EQ, 04-Oct-2021,7522.75,7588.0,7769.0,7560.15,7693.15,7695.05,7689.69,1090198,88726,332421,30.49
BAJFINANCE, EQ, 05-Oct-2021,7695.05,7683.0,7765.0,7634.1,7749.95,7724.2,7704.64,773243,74753,226772,29.33
