SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BALAMINES, EQ, 17-Sep-2021,4918.3,4900.0,4900.0,4705.0,4746.9,4780.95,4778.15,529578,32571,401611,75.84
BALAMINES, EQ, 20-Sep-2021,4780.95,4698.75,4698.75,4575.0,4590.0,4594.3,4626.71,145532,19628,75465,51.85
BALAMINES, EQ, 21-Sep-2021,4594.3,4550.0,4684.7,4352.0,4647.0,4652.15,4530.58,179390,24199,64922,36.19
BALAMINES, EQ, 22-Sep-2021,4652.15,4680.0,4748.0,4635.5,4640.0,4650.3,4696.31,64668,8914,31844,49.24
BALAMINES, EQ, 23-Sep-2021,4650.3,4667.8,4715.0,4651.15,4675.0,4673.95,4686.53,50848,7144,22246,43.75
BALAMINES, EQ, 24-Sep-2021,4673.95,4697.35,4697.35,4550.0,4630.0,4616.0,4606.92,46866,8405,21993,46.93
BALAMINES, EQ, 27-Sep-2021,4616.0,4660.0,4684.7,4560.0,4594.0,4587.55,4602.68,34441,6146,19777,57.42
BALAMINES, EQ, 28-Sep-2021,4587.55,4600.0,4604.6,4444.0,4519.0,4517.6,4504.71,54980,9878,34673,63.06
BALAMINES, EQ, 29-Sep-2021,4517.6,4480.0,4675.0,4451.7,4580.1,4602.6,4587.39,61462,11080,26890,43.75
BALAMINES, EQ, 30-Sep-2021,4602.6,4615.0,4635.05,4509.0,4514.0,4517.4,4549.5,36026,8006,19601,54.41
BALAMINES, EQ, 01-Oct-2021,4517.4,4500.0,4581.65,4452.0,4558.0,4549.85,4512.45,46519,8230,19950,42.89
BALAMINES, EQ, 04-Oct-2021,4549.85,4575.0,4743.0,4545.0,4692.0,4695.85,4650.88,77837,11711,34344,44.12
BALAMINES, EQ, 05-Oct-2021,4695.85,4725.0,4805.0,4625.0,4676.7,4687.5,4730.25,110261,14704,56388,51.14
BALAMINES, EQ, 06-Oct-2021,4687.5,4695.0,4722.5,4621.25,4629.2,4632.5,4673.32,72039,9018,40232,55.85
BALAMINES, EQ, 07-Oct-2021,4632.5,4656.0,4656.0,4552.55,4566.4,4568.4,4579.47,88326,12062,50850,57.57
BALAMINES, EQ, 08-Oct-2021,4568.4,4568.0,4580.35,4500.85,4521.0,4519.65,4525.84,46023,7150,24388,52.99
BALAMINES, EQ, 11-Oct-2021,4519.65,4525.0,4645.0,4472.6,4504.05,4506.95,4561.06,45019,7328,25271,56.13
BALAMINES, EQ, 12-Oct-2021,4506.95,4520.0,4544.2,4471.95,4489.0,4488.1,4491.86,28886,5420,17447,60.4
BALAMINES, EQ, 13-Oct-2021,4488.1,4490.25,4563.05,4455.0,4479.85,4472.95,4486.94,36149,6959,21164,58.55
BALAMINES, EQ, 14-Oct-2021,4472.95,4489.8,4560.0,4445.0,4460.25,4464.7,4493.99,41004,6571,22647,55.23
BALAMINES, EQ, 18-Oct-2021,4464.7,4465.25,4520.0,4465.25,4487.0,4485.1,4497.77,29600,5124,19843,67.04
BALAMINES, EQ, 19-Oct-2021,4485.1,4490.0,4588.8,4447.0,4479.75,4480.75,4493.92,42951,6030,23247,54.12
BALAMINES, EQ, 20-Oct-2021,4480.75,4476.0,4476.0,4075.55,4154.0,4145.95,4265.68,113704,22083,68521,60.26
BALAMINES, EQ, 21-Oct-2021,4145.95,4190.0,4247.85,3800.0,3807.8,3822.5,3985.7,176492,31001,100261,56.81
BALAMINES, EQ, 22-Oct-2021,3822.5,3752.25,3816.65,3502.1,3580.0,3547.0,3630.22,232685,36791,115392,49.59
BALAMINES, EQ, 25-Oct-2021,3547.0,3550.0,3935.2,3511.0,3846.0,3824.5,3764.07,245196,40324,84628,34.51
BALAMINES, EQ, 26-Oct-2021,3824.5,3838.0,4048.8,3825.0,3995.0,3965.8,3941.29,118649,21086,48018,40.47
BALAMINES, EQ, 27-Oct-2021,3965.8,4010.0,4048.95,3825.05,3860.0,3836.15,3898.76,63738,11163,34214,53.68
BALAMINES, EQ, 28-Oct-2021,3836.15,3737.0,3737.0,3520.0,3564.0,3558.95,3573.3,175488,30663,95548,54.45
BALAMINES, EQ, 29-Oct-2021,3558.95,3564.0,3620.0,3399.0,3460.75,3459.9,3502.44,91891,15477,42336,46.07
BALAMINES, EQ, 01-Nov-2021,3459.9,3390.0,3467.25,3280.0,3286.05,3289.3,3335.01,151160,23737,85366,56.47
BALAMINES, EQ, 02-Nov-2021,3289.3,3344.0,3425.0,3025.2,3355.0,3353.05,3302.71,177435,26375,58699,33.08
BALAMINES, EQ, 03-Nov-2021,3353.05,3365.0,3498.0,3360.0,3388.0,3394.25,3437.32,91813,15932,32123,34.99
