SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BALKRISIND, EQ, 17-Sep-2021,2510.65,2517.0,2524.0,2451.0,2497.0,2490.1,2488.39,367766,23862,146837,39.93
BALKRISIND, EQ, 20-Sep-2021,2490.1,2460.5,2509.95,2450.4,2480.0,2480.1,2491.08,270310,15970,137575,50.9
BALKRISIND, EQ, 21-Sep-2021,2480.1,2465.0,2549.5,2250.0,2542.5,2535.4,2494.24,376048,22071,159916,42.53
BALKRISIND, EQ, 22-Sep-2021,2535.4,2543.0,2710.0,2529.3,2697.7,2692.2,2641.19,1389658,88647,357195,25.7
BALKRISIND, EQ, 23-Sep-2021,2692.2,2718.9,2723.8,2634.15,2645.95,2648.55,2663.47,390853,33687,134319,34.37
BALKRISIND, EQ, 24-Sep-2021,2648.55,2664.8,2669.9,2615.0,2665.0,2656.2,2638.96,268417,23501,113045,42.12
BALKRISIND, EQ, 27-Sep-2021,2656.2,2685.05,2698.0,2612.75,2616.5,2628.8,2650.37,404496,34027,170098,42.05
BALKRISIND, EQ, 28-Sep-2021,2628.8,2638.35,2638.35,2511.8,2564.25,2545.95,2558.92,542365,50001,243943,44.98
BALKRISIND, EQ, 29-Sep-2021,2545.95,2544.85,2568.0,2489.65,2498.0,2504.95,2533.69,441157,25761,255593,57.94
BALKRISIND, EQ, 30-Sep-2021,2504.95,2506.0,2546.1,2491.65,2537.25,2533.65,2524.85,413871,26179,220822,53.36
BALKRISIND, EQ, 01-Oct-2021,2533.65,2533.65,2553.0,2501.15,2538.0,2541.4,2532.83,402272,19649,241476,60.03
BALKRISIND, EQ, 04-Oct-2021,2541.4,2555.0,2556.45,2510.3,2527.95,2520.8,2527.51,217508,17344,102859,47.29
BALKRISIND, EQ, 05-Oct-2021,2520.8,2522.3,2546.15,2506.6,2535.0,2537.2,2533.88,397877,25046,277889,69.84
BALKRISIND, EQ, 06-Oct-2021,2537.2,2526.5,2548.35,2505.0,2523.0,2508.25,2527.54,379718,13822,227000,59.78
BALKRISIND, EQ, 07-Oct-2021,2508.25,2537.9,2568.0,2517.0,2552.15,2551.65,2544.27,755920,39828,238818,31.59
BALKRISIND, EQ, 08-Oct-2021,2551.65,2569.9,2588.4,2545.0,2576.0,2578.9,2566.32,424939,31036,129347,30.44
BALKRISIND, EQ, 11-Oct-2021,2578.9,2598.0,2637.0,2586.15,2602.95,2603.4,2613.98,358617,24852,84911,23.68
BALKRISIND, EQ, 12-Oct-2021,2603.4,2603.4,2630.8,2577.55,2599.0,2593.65,2600.28,383090,21226,90448,23.61
BALKRISIND, EQ, 13-Oct-2021,2593.65,2618.45,2639.95,2579.0,2590.0,2591.7,2610.85,183555,15604,73795,40.2
BALKRISIND, EQ, 14-Oct-2021,2591.7,2598.0,2619.85,2585.0,2592.0,2596.0,2595.55,186385,17628,97206,52.15
BALKRISIND, EQ, 18-Oct-2021,2596.0,2610.75,2638.8,2595.0,2607.35,2609.85,2612.32,263232,25657,112444,42.72
BALKRISIND, EQ, 19-Oct-2021,2609.85,2615.0,2630.0,2561.0,2561.0,2584.4,2593.52,222999,16366,116241,52.13
BALKRISIND, EQ, 20-Oct-2021,2584.4,2562.5,2577.25,2442.25,2490.0,2487.2,2508.78,407538,30222,168622,41.38
BALKRISIND, EQ, 21-Oct-2021,2487.2,2510.0,2517.85,2475.0,2498.15,2487.25,2489.44,187612,11023,84936,45.27
BALKRISIND, EQ, 22-Oct-2021,2487.25,2500.1,2513.35,2453.7,2486.6,2483.95,2483.13,320289,18192,134020,41.84
BALKRISIND, EQ, 25-Oct-2021,2483.95,2483.95,2489.9,2402.95,2409.0,2414.35,2432.57,411407,24212,166024,40.36
BALKRISIND, EQ, 26-Oct-2021,2414.35,2423.9,2504.9,2380.5,2487.4,2492.2,2459.56,550532,22398,282235,51.27
BALKRISIND, EQ, 27-Oct-2021,2492.2,2502.0,2513.7,2480.05,2483.5,2485.65,2491.32,191670,16868,94720,49.42
BALKRISIND, EQ, 28-Oct-2021,2485.65,2498.9,2509.0,2455.1,2491.5,2490.65,2482.85,468321,26943,172802,36.9
BALKRISIND, EQ, 29-Oct-2021,2490.65,2498.0,2503.45,2450.15,2457.0,2460.1,2476.89,320297,20190,176877,55.22
BALKRISIND, EQ, 01-Nov-2021,2460.1,2469.8,2521.95,2463.0,2518.8,2515.55,2490.84,179081,16997,68289,38.13
BALKRISIND, EQ, 02-Nov-2021,2515.55,2530.0,2599.0,2513.0,2521.0,2522.2,2551.84,420628,29027,124155,29.52
BALKRISIND, EQ, 03-Nov-2021,2522.2,2530.0,2530.0,2423.75,2441.0,2440.9,2448.96,442430,34057,197174,44.57
BALKRISIND, EQ, 08-Nov-2021,2437.3,2439.15,2476.9,2430.0,2458.0,2459.1,2465.5,332479,38370,217388,65.38
BALKRISIND, EQ, 09-Nov-2021,2459.1,2467.4,2512.7,2450.75,2497.0,2496.95,2486.41,299420,20288,159705,53.34
BALKRISIND, EQ, 10-Nov-2021,2496.95,2496.95,2526.9,2490.2,2511.0,2519.45,2511.43,328992,19077,109699,33.34
BALKRISIND, EQ, 11-Nov-2021,2519.45,2514.85,2530.0,2367.3,2376.0,2379.9,2416.47,448712,39526,164859,36.74
BALKRISIND, EQ, 12-Nov-2021,2379.9,2425.0,2443.25,2346.0,2359.05,2361.75,2380.32,954647,49404,485682,50.88
BALKRISIND, EQ, 15-Nov-2021,2361.75,2345.0,2443.0,2345.0,2395.05,2395.8,2366.19,663262,24505,213854,32.24
BALKRISIND, EQ, 16-Nov-2021,2395.8,2400.0,2413.4,2347.0,2359.0,2355.6,2386.71,278117,23443,174630,62.79
BALKRISIND, EQ, 17-Nov-2021,2355.6,2358.0,2360.0,2316.0,2325.0,2322.15,2330.01,186764,29912,94173,50.42
BALKRISIND, EQ, 18-Nov-2021,2322.15,2325.0,2336.75,2300.05,2311.35,2311.15,2311.92,207450,22262,91140,43.93
BALKRISIND, EQ, 22-Nov-2021,2311.15,2315.0,2329.15,2229.45,2251.7,2245.35,2280.48,333113,18500,121647,36.52
BALKRISIND, EQ, 23-Nov-2021,2245.35,2238.0,2309.9,2216.9,2304.35,2297.55,2287.14,154234,17379,49850,32.32
BALKRISIND, EQ, 24-Nov-2021,2297.55,2305.1,2318.55,2246.65,2259.9,2258.25,2275.25,253061,16017,171915,67.93
BALKRISIND, EQ, 25-Nov-2021,2258.25,2258.25,2269.3,2226.9,2240.05,2241.0,2241.4,206643,11602,147094,71.18
BALKRISIND, EQ, 26-Nov-2021,2241.0,2220.0,2233.35,2146.4,2169.0,2165.0,2175.93,396413,30748,194004,48.94
BALKRISIND, EQ, 29-Nov-2021,2165.0,2160.0,2205.0,2086.05,2168.15,2163.2,2156.85,457626,30378,300358,65.63
BALKRISIND, EQ, 30-Nov-2021,2163.2,2170.0,2240.0,2162.0,2178.95,2174.75,2190.07,554262,50533,344517,62.16
BALKRISIND, EQ, 01-Dec-2021,2174.75,2196.55,2216.8,2162.25,2178.0,2174.7,2187.8,243491,34872,138055,56.7
BALKRISIND, EQ, 02-Dec-2021,2174.7,2182.45,2214.85,2157.7,2210.0,2207.0,2185.91,265922,31259,159631,60.03
BALKRISIND, EQ, 03-Dec-2021,2207.0,2200.0,2227.7,2191.75,2200.0,2201.25,2209.47,248680,19251,154139,61.98
BALKRISIND, EQ, 06-Dec-2021,2201.25,2217.95,2220.7,2116.0,2128.25,2123.5,2158.99,316007,28035,111606,35.32
BALKRISIND, EQ, 07-Dec-2021,2123.5,2132.5,2183.95,2130.0,2158.5,2150.15,2152.72,168085,18050,70396,41.88
BALKRISIND, EQ, 08-Dec-2021,2150.15,2179.1,2239.9,2160.65,2230.0,2230.7,2201.19,396175,30609,210623,53.16
BALKRISIND, EQ, 09-Dec-2021,2230.7,2244.0,2250.6,2205.0,2239.0,2243.4,2227.07,309641,13049,55766,18.01
BALKRISIND, EQ, 10-Dec-2021,2243.4,2222.0,2270.0,2222.0,2250.9,2247.15,2250.68,192820,12001,91435,47.42
BALKRISIND, EQ, 13-Dec-2021,2247.15,2259.0,2268.3,2228.9,2237.0,2239.55,2250.52,194878,12983,109460,56.17
BALKRISIND, EQ, 14-Dec-2021,2239.55,2230.0,2254.8,2196.35,2249.0,2250.95,2230.04,164727,12230,88381,53.65
BALKRISIND, EQ, 15-Dec-2021,2250.95,2254.8,2260.0,2218.05,2250.0,2247.8,2242.77,126826,12816,67623,53.32
BALKRISIND, EQ, 16-Dec-2021,2247.8,2258.65,2277.0,2231.45,2257.0,2252.85,2257.65,172410,14382,58409,33.88
