SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BHARTIARTL, EQ, 17-Sep-2021,718.6,721.0,734.75,721.0,729.5,728.15,726.11,26158201,243600,11528051,44.07
BHARTIARTL, EQ, 20-Sep-2021,728.15,725.0,733.7,720.3,721.25,724.95,727.07,14066795,127537,7929458,56.37
BHARTIARTL, EQ, 21-Sep-2021,724.95,722.9,740.75,722.0,726.5,726.65,729.51,13954874,186316,5393263,38.65
BHARTIARTL, EQ, 22-Sep-2021,726.65,727.0,732.05,724.1,727.0,726.75,728.1,16047334,105371,9401649,58.59
BHARTIARTL, EQ, 23-Sep-2021,726.75,733.4,740.1,723.2,726.95,726.8,729.9,26009026,180792,15817212,60.81
BHARTIARTL, EQ, 24-Sep-2021,726.8,729.05,753.0,728.0,742.9,739.4,741.99,70844952,392132,32677530,46.13
BHARTIARTL, EQ, 27-Sep-2021,739.4,731.0,731.9,718.15,721.0,722.55,724.34,11282248,151903,4728776,41.91
BHARTIARTL, EQ, 28-Sep-2021,722.55,724.4,726.8,686.0,695.85,696.15,698.8,21944239,312911,11007945,50.16
BHARTIARTL, EQ, 29-Sep-2021,696.15,697.0,702.0,689.15,693.0,694.1,694.98,16729859,163654,9013506,53.88
BHARTIARTL, EQ, 30-Sep-2021,694.1,695.8,709.8,686.8,688.5,688.3,697.87,13911568,197319,5789356,41.62
BHARTIARTL, EQ, 01-Oct-2021,688.3,687.35,687.35,667.65,675.8,675.9,675.71,14952128,196689,7902803,52.85
BHARTIARTL, EQ, 04-Oct-2021,675.9,675.0,686.2,669.7,682.4,681.4,680.44,8917898,204952,4791414,53.73
BHARTIARTL, EQ, 05-Oct-2021,681.4,684.4,703.45,680.4,699.5,699.25,692.45,25598885,225313,12409556,48.48
BHARTIARTL, EQ, 06-Oct-2021,699.25,705.75,707.95,688.2,689.95,691.4,698.28,10406502,135686,4697552,45.14
BHARTIARTL, EQ, 07-Oct-2021,691.4,695.75,702.2,691.3,692.3,692.5,697.65,8121590,99336,4558435,56.13
BHARTIARTL, EQ, 08-Oct-2021,692.5,695.15,699.55,688.9,694.4,695.5,695.36,6297352,97207,3371512,53.54
BHARTIARTL, EQ, 11-Oct-2021,695.5,693.1,696.05,685.0,692.45,690.85,691.16,8792050,141989,5338492,60.72
BHARTIARTL, EQ, 12-Oct-2021,690.85,691.0,698.4,684.2,686.0,686.35,688.88,8579567,107167,4895467,57.06
BHARTIARTL, EQ, 13-Oct-2021,686.35,689.0,696.8,683.1,689.9,689.9,691.92,7062149,115520,3865847,54.74
BHARTIARTL, EQ, 14-Oct-2021,689.9,693.0,694.0,681.85,688.6,685.8,686.86,9820591,164220,6618657,67.4
BHARTIARTL, EQ, 18-Oct-2021,685.8,700.0,701.95,679.65,680.3,680.6,686.55,8574445,170647,5131456,59.85
BHARTIARTL, EQ, 19-Oct-2021,680.6,699.0,699.0,675.45,682.0,681.1,686.19,7328862,139015,2337461,31.89
BHARTIARTL, EQ, 20-Oct-2021,681.1,683.4,713.9,681.4,708.1,708.45,705.07,21217306,308695,7477479,35.24
BHARTIARTL, EQ, 21-Oct-2021,708.45,710.95,712.35,689.2,696.5,696.05,698.43,8908979,149731,3709989,41.64
BHARTIARTL, EQ, 22-Oct-2021,696.05,698.5,705.3,684.25,695.0,694.5,695.43,6587256,124367,2316920,35.17
BHARTIARTL, EQ, 25-Oct-2021,694.5,693.0,704.0,675.0,690.8,691.1,692.84,9540441,140498,4460385,46.75
BHARTIARTL, EQ, 26-Oct-2021,691.1,695.0,709.85,689.0,695.0,696.2,697.66,10953878,131088,4380098,39.99
BHARTIARTL, EQ, 27-Oct-2021,696.2,699.4,714.65,694.0,702.0,702.35,705.2,11878571,169771,5592599,47.08
BHARTIARTL, EQ, 28-Oct-2021,702.35,702.75,706.05,684.4,690.6,689.75,695.11,8884507,115076,4226002,47.57
BHARTIARTL, EQ, 29-Oct-2021,689.75,692.2,701.0,677.05,685.8,685.35,690.24,8602343,136950,4468442,51.94
BHARTIARTL, EQ, 01-Nov-2021,685.35,689.95,722.8,689.6,714.2,712.5,711.57,17121001,222155,7162759,41.84
BHARTIARTL, EQ, 02-Nov-2021,712.5,712.5,723.1,709.55,715.55,713.95,715.44,7725455,120235,2850643,36.9
BHARTIARTL, EQ, 03-Nov-2021,713.95,725.75,732.5,696.0,697.5,699.1,711.26,23261507,259851,7514026,32.3
BHARTIARTL, EQ, 08-Nov-2021,701.1,707.45,714.9,704.0,710.6,709.0,709.78,7565546,151956,4063396,53.71
BHARTIARTL, EQ, 09-Nov-2021,709.0,711.7,716.45,705.15,712.5,713.2,711.49,5278131,107717,2441591,46.26
BHARTIARTL, EQ, 10-Nov-2021,713.2,717.5,738.0,707.35,736.6,735.45,727.13,15180490,206104,7347822,48.4
BHARTIARTL, EQ, 11-Nov-2021,735.45,735.0,738.6,724.25,728.5,728.6,731.37,7421118,139820,2942159,39.65
BHARTIARTL, EQ, 12-Nov-2021,728.6,733.0,745.0,725.25,741.7,743.5,739.18,9207508,143918,4085440,44.37
