SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BIOCON, EQ, 17-Sep-2021,376.75,390.0,394.15,370.15,376.5,377.4,381.6,18497586,171741,4682799,25.32
BIOCON, EQ, 20-Sep-2021,377.4,376.0,376.0,359.0,359.85,360.4,366.91,3169722,40680,892272,28.15
BIOCON, EQ, 21-Sep-2021,360.4,364.0,369.15,356.0,366.5,367.25,363.56,2727117,36914,469544,17.22
BIOCON, EQ, 22-Sep-2021,367.25,365.2,368.5,363.25,367.65,367.55,365.83,2107108,23000,884062,41.96
BIOCON, EQ, 23-Sep-2021,367.55,369.0,371.8,366.55,367.05,368.2,369.04,1257724,18670,343253,27.29
BIOCON, EQ, 24-Sep-2021,368.2,368.5,369.85,358.0,359.75,360.15,361.95,1493295,26452,549567,36.8
BIOCON, EQ, 27-Sep-2021,360.15,355.0,361.85,352.65,358.6,358.15,357.15,4098510,43313,1783167,43.51
BIOCON, EQ, 28-Sep-2021,358.15,359.9,366.5,357.05,362.5,361.95,362.52,2068898,29381,620285,29.98
BIOCON, EQ, 29-Sep-2021,361.95,361.85,366.6,359.1,362.6,362.6,364.12,1385922,24326,441182,31.83
BIOCON, EQ, 30-Sep-2021,362.6,363.5,369.05,361.15,362.5,362.7,365.81,2147714,29434,584381,27.21
BIOCON, EQ, 01-Oct-2021,362.7,362.0,367.6,358.25,365.6,365.3,363.89,1551246,21636,439062,28.3
BIOCON, EQ, 04-Oct-2021,365.3,367.0,370.6,364.25,365.0,364.9,367.61,1734169,24635,652923,37.65
BIOCON, EQ, 05-Oct-2021,364.9,365.6,367.45,361.5,361.9,362.0,362.93,1114071,18056,352844,31.67
BIOCON, EQ, 06-Oct-2021,362.0,362.0,364.2,355.85,356.9,356.4,359.79,1197301,25212,553878,46.26
BIOCON, EQ, 07-Oct-2021,356.4,359.5,361.85,357.2,359.9,359.75,359.72,1040559,17592,343976,33.06
BIOCON, EQ, 08-Oct-2021,359.75,361.75,363.5,358.15,358.7,358.75,360.09,1179337,16636,567476,48.12
BIOCON, EQ, 11-Oct-2021,358.75,359.0,362.0,356.5,360.8,360.1,359.74,1707523,17682,947904,55.51
BIOCON, EQ, 12-Oct-2021,360.1,360.1,364.0,357.55,358.5,358.3,360.22,1703354,23035,945022,55.48
BIOCON, EQ, 13-Oct-2021,358.3,359.95,359.95,351.3,352.0,352.25,354.93,4417346,42764,2029409,45.94
BIOCON, EQ, 14-Oct-2021,352.25,353.75,354.6,347.0,347.7,347.65,350.03,2334243,39961,1189601,50.96
BIOCON, EQ, 18-Oct-2021,347.65,347.65,349.0,341.35,342.15,342.5,343.78,2870530,40261,1425820,49.67
BIOCON, EQ, 19-Oct-2021,342.5,342.0,348.75,339.2,343.75,344.4,344.63,2739563,32493,1192534,43.53
BIOCON, EQ, 20-Oct-2021,344.4,344.45,346.65,340.75,341.9,341.75,343.22,1610459,21057,739642,45.93
BIOCON, EQ, 21-Oct-2021,341.75,346.0,349.8,338.0,349.05,344.95,343.58,4144347,40916,1914004,46.18
BIOCON, EQ, 22-Oct-2021,344.95,342.0,343.0,322.5,324.2,323.8,330.22,7224929,90630,2436932,33.73
BIOCON, EQ, 25-Oct-2021,323.8,325.05,326.9,314.8,321.85,321.3,320.62,3480754,41635,1152274,33.1
BIOCON, EQ, 26-Oct-2021,321.3,323.0,334.7,320.1,334.7,333.55,329.86,3113691,46268,1147449,36.85
BIOCON, EQ, 27-Oct-2021,333.55,334.7,341.45,333.0,337.5,337.7,338.03,2813487,49560,1055328,37.51
BIOCON, EQ, 28-Oct-2021,337.7,338.0,340.95,335.0,336.0,337.85,337.61,3263752,37792,1792770,54.93
BIOCON, EQ, 29-Oct-2021,337.85,337.85,352.5,335.5,351.5,351.1,348.0,5793111,72865,2134015,36.84
BIOCON, EQ, 01-Nov-2021,351.1,351.5,353.95,346.1,348.5,348.3,348.71,1940664,38438,819210,42.21
BIOCON, EQ, 02-Nov-2021,348.3,348.3,350.95,343.1,345.5,345.55,347.15,1961079,28177,606387,30.92
BIOCON, EQ, 03-Nov-2021,345.55,345.55,350.95,343.85,348.8,348.45,347.53,2061255,26243,994210,48.23
BIOCON, EQ, 08-Nov-2021,348.65,349.5,350.95,343.55,348.5,348.75,347.73,1043298,16500,247491,23.72
BIOCON, EQ, 09-Nov-2021,348.75,349.4,352.4,345.8,347.5,347.0,348.89,1079524,17021,315430,29.22
BIOCON, EQ, 10-Nov-2021,347.0,347.0,351.15,346.2,347.5,347.9,348.79,1175287,19004,288278,24.53
BIOCON, EQ, 11-Nov-2021,347.9,347.8,348.65,342.5,347.35,346.6,345.65,873619,15442,229856,26.31
BIOCON, EQ, 12-Nov-2021,346.6,347.5,349.3,344.0,346.5,346.45,346.71,704956,10828,276572,39.23
BIOCON, EQ, 15-Nov-2021,346.45,347.5,362.4,347.1,361.5,361.75,358.01,7501814,86842,2200768,29.34
BIOCON, EQ, 16-Nov-2021,361.75,361.8,370.5,360.3,368.5,369.35,365.67,6775061,57747,4460530,65.84
BIOCON, EQ, 17-Nov-2021,369.35,371.4,377.6,367.6,375.0,376.4,373.69,6964611,75618,3168793,45.5
BIOCON, EQ, 18-Nov-2021,376.4,377.4,377.4,364.0,366.0,366.95,368.71,3134730,54797,1241165,39.59
BIOCON, EQ, 22-Nov-2021,366.95,366.45,366.9,356.15,357.45,357.85,360.72,2115434,34019,954934,45.14
BIOCON, EQ, 23-Nov-2021,357.85,356.45,372.0,351.4,366.4,365.8,364.22,3195124,49707,1010035,31.61
BIOCON, EQ, 24-Nov-2021,365.8,366.55,368.55,358.7,359.65,359.8,363.45,1154465,21835,396072,34.31
BIOCON, EQ, 25-Nov-2021,359.8,360.15,365.0,356.3,364.05,362.5,360.86,1290274,17752,475023,36.82
