SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BOMDYEING, EQ, 17-Sep-2021,96.2,96.3,96.7,91.8,93.0,93.25,93.73,2738089,16402,879295,32.11
BOMDYEING, EQ, 20-Sep-2021,93.25,92.65,93.2,89.55,89.8,90.55,91.82,1773536,10788,512514,28.9
BOMDYEING, EQ, 21-Sep-2021,90.55,90.3,92.25,88.75,90.4,90.8,90.64,2807453,16925,449254,16.0
BOMDYEING, EQ, 22-Sep-2021,90.8,90.55,95.6,90.55,93.5,93.9,93.61,3895838,22113,793878,20.38
BOMDYEING, EQ, 23-Sep-2021,93.9,94.7,98.0,94.65,95.25,95.6,96.25,4420400,24083,986792,22.32
BOMDYEING, EQ, 24-Sep-2021,95.6,95.6,95.95,92.95,93.1,93.2,94.23,2305899,14289,642795,27.88
BOMDYEING, EQ, 27-Sep-2021,93.2,93.6,95.5,93.05,93.45,93.8,93.92,2042391,13083,415386,20.34
BOMDYEING, EQ, 28-Sep-2021,93.8,94.45,95.6,93.15,93.5,93.8,94.35,2219604,13969,542515,24.44
BOMDYEING, EQ, 29-Sep-2021,93.8,93.15,95.0,92.75,93.9,93.8,93.98,2339475,13731,493259,21.08
BOMDYEING, EQ, 30-Sep-2021,93.8,94.1,95.6,93.1,93.25,93.75,94.31,2493908,15346,517263,20.74
BOMDYEING, EQ, 01-Oct-2021,93.75,93.1,93.8,92.15,92.3,92.5,92.89,1795013,9321,552492,30.78
BOMDYEING, EQ, 04-Oct-2021,92.5,93.0,94.8,92.7,93.75,93.75,93.66,2174521,12225,533649,24.54
BOMDYEING, EQ, 05-Oct-2021,93.75,93.55,96.45,93.5,94.8,95.0,95.14,3259006,16765,753832,23.13
BOMDYEING, EQ, 06-Oct-2021,95.0,95.2,98.75,94.5,94.9,95.25,96.64,7048595,36488,1778529,25.23
