SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BSOFT, EQ, 17-Sep-2021,423.05,423.5,428.65,406.0,418.9,420.45,417.17,2058273,34609,911579,44.29
BSOFT, EQ, 20-Sep-2021,420.45,412.55,429.55,409.0,412.0,411.25,418.7,1461923,30041,476408,32.59
BSOFT, EQ, 21-Sep-2021,411.25,412.35,415.15,403.0,410.05,410.3,408.39,1148123,21224,403799,35.17
BSOFT, EQ, 22-Sep-2021,410.3,412.7,442.0,411.0,436.5,434.85,430.82,4337194,66368,1585312,36.55
BSOFT, EQ, 23-Sep-2021,434.85,439.2,452.9,435.25,438.1,439.9,443.16,3689406,71031,1221857,33.12
BSOFT, EQ, 24-Sep-2021,439.9,446.25,457.8,441.3,443.3,444.8,448.63,3211002,70138,1145642,35.68
BSOFT, EQ, 27-Sep-2021,444.8,447.0,447.2,424.2,430.55,431.0,432.26,1791904,35770,660749,36.87
BSOFT, EQ, 28-Sep-2021,431.0,432.5,433.35,413.3,417.5,417.85,421.36,1318913,29458,561452,42.57
BSOFT, EQ, 29-Sep-2021,417.85,415.0,417.3,408.35,410.0,410.05,411.82,1830811,38620,979204,53.48
BSOFT, EQ, 30-Sep-2021,410.05,412.3,415.0,408.1,409.65,409.65,411.77,994915,30877,517941,52.06
BSOFT, EQ, 01-Oct-2021,409.65,407.9,413.45,395.2,397.9,397.25,402.06,2678537,73651,1617359,60.38
BSOFT, EQ, 04-Oct-2021,397.25,401.0,408.4,401.0,407.1,406.5,405.88,1136650,38864,607003,53.4
BSOFT, EQ, 05-Oct-2021,406.5,406.5,412.2,405.0,411.7,410.95,410.23,1278602,27878,713894,55.83
BSOFT, EQ, 06-Oct-2021,410.95,414.0,416.9,405.55,407.55,407.85,411.54,864326,19468,423605,49.01
BSOFT, EQ, 07-Oct-2021,407.85,423.0,428.95,420.5,426.95,425.65,424.33,2936052,62739,1178491,40.14
BSOFT, EQ, 08-Oct-2021,425.65,429.45,441.0,425.7,435.65,435.4,434.26,2693032,61216,935144,34.72
BSOFT, EQ, 11-Oct-2021,435.4,435.4,436.0,423.6,425.0,427.1,429.18,1498622,34077,834257,55.67
BSOFT, EQ, 12-Oct-2021,427.1,423.95,425.0,416.1,417.1,416.9,419.5,941204,21515,489186,51.97
BSOFT, EQ, 13-Oct-2021,416.9,419.45,426.75,418.05,424.6,423.45,421.78,1115287,30805,581606,52.15
BSOFT, EQ, 14-Oct-2021,423.45,427.8,434.7,426.2,429.2,430.2,430.81,1730276,37128,874859,50.56
BSOFT, EQ, 18-Oct-2021,430.2,433.45,445.8,428.1,430.0,430.05,435.58,1786737,41062,815417,45.64
BSOFT, EQ, 19-Oct-2021,430.05,433.7,443.0,430.0,431.85,432.7,436.74,2120702,42356,877339,41.37
BSOFT, EQ, 20-Oct-2021,432.7,432.5,434.6,414.35,417.0,415.7,423.71,1889151,45323,1115418,59.04
BSOFT, EQ, 21-Oct-2021,415.7,419.85,423.95,415.2,419.35,417.3,419.11,1141334,22898,623173,54.6
BSOFT, EQ, 22-Oct-2021,417.3,418.0,419.0,404.0,418.0,414.65,411.13,1065196,29763,452780,42.51
BSOFT, EQ, 25-Oct-2021,414.65,415.0,418.0,393.2,396.75,397.2,399.26,1640610,42999,906280,55.24
