SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CARERATING, EQ, 17-Sep-2021,726.75,731.0,732.8,693.0,714.35,710.35,710.46,208722,10475,94837,45.44
CARERATING, EQ, 20-Sep-2021,710.35,705.3,718.75,690.0,693.0,691.55,707.69,158875,8507,62929,39.61
CARERATING, EQ, 21-Sep-2021,691.55,685.1,694.75,675.75,690.05,688.7,685.33,93404,3959,48563,51.99
CARERATING, EQ, 22-Sep-2021,688.7,675.0,704.9,675.0,684.25,684.55,691.06,114857,6246,44368,38.63
CARERATING, EQ, 23-Sep-2021,684.55,699.0,699.0,686.4,693.35,691.0,692.22,54459,3984,26429,48.53
CARERATING, EQ, 24-Sep-2021,691.0,697.9,697.9,683.15,686.55,686.0,689.28,51823,4360,26902,51.91
CARERATING, EQ, 27-Sep-2021,686.0,686.55,690.8,679.0,680.45,680.1,683.3,51630,3268,30720,59.5
CARERATING, EQ, 28-Sep-2021,680.1,684.1,689.9,677.55,682.4,683.05,683.22,55809,4541,19669,35.24
CARERATING, EQ, 29-Sep-2021,683.05,689.9,689.9,678.0,679.4,679.7,682.33,46652,3677,23681,50.76
CARERATING, EQ, 30-Sep-2021,679.7,680.0,684.8,664.0,668.0,667.05,672.69,144061,9023,84311,58.52
CARERATING, EQ, 01-Oct-2021,667.05,670.3,678.0,667.05,671.0,671.55,672.02,46236,3505,25332,54.79
CARERATING, EQ, 04-Oct-2021,671.55,674.85,697.5,674.45,691.55,688.95,688.39,106652,5588,65424,61.34
CARERATING, EQ, 05-Oct-2021,688.95,685.15,699.0,684.0,684.5,684.45,689.47,67110,3742,40988,61.08
CARERATING, EQ, 06-Oct-2021,684.45,687.9,696.95,676.05,678.0,677.1,683.8,88271,4379,53214,60.28
CARERATING, EQ, 07-Oct-2021,677.1,681.15,691.15,679.0,680.9,680.65,683.97,69939,3347,40484,57.88
CARERATING, EQ, 08-Oct-2021,680.65,687.85,688.3,669.65,675.0,674.5,676.24,112657,5963,69710,61.88
CARERATING, EQ, 11-Oct-2021,674.5,675.0,698.0,675.0,681.6,681.25,686.41,140167,8208,72396,51.65
CARERATING, EQ, 12-Oct-2021,681.25,684.7,690.05,678.3,682.2,684.8,685.84,136112,6520,83424,61.29
CARERATING, EQ, 13-Oct-2021,684.8,684.8,696.7,684.0,690.0,687.4,690.16,170553,6862,78891,46.26
CARERATING, EQ, 14-Oct-2021,687.4,689.75,695.8,678.1,681.35,680.1,685.48,100010,5126,64851,64.84
CARERATING, EQ, 18-Oct-2021,680.1,689.0,712.4,685.85,703.0,701.3,701.9,336487,13598,156084,46.39
CARERATING, EQ, 19-Oct-2021,701.3,714.7,725.8,695.2,700.2,700.45,713.33,230237,11988,95851,41.63
CARERATING, EQ, 20-Oct-2021,700.45,703.0,718.0,689.0,698.1,697.55,705.18,222745,9965,87462,39.27
CARERATING, EQ, 21-Oct-2021,697.55,704.95,730.05,700.1,729.0,723.55,718.31,348968,11412,205804,58.98
CARERATING, EQ, 22-Oct-2021,723.55,730.0,733.3,693.1,698.0,697.45,711.01,179147,9397,92301,51.52
CARERATING, EQ, 25-Oct-2021,697.45,698.0,700.8,669.65,680.3,682.0,684.73,97551,5673,41645,42.69
CARERATING, EQ, 26-Oct-2021,682.0,686.5,704.8,686.5,695.0,696.5,697.92,65070,4264,30116,46.28
CARERATING, EQ, 27-Oct-2021,696.5,703.0,704.4,688.2,689.3,689.45,695.58,46663,3111,23338,50.01
CARERATING, EQ, 28-Oct-2021,689.45,692.8,694.8,674.4,676.0,680.25,685.55,56039,5316,29937,53.42
CARERATING, EQ, 29-Oct-2021,680.25,678.0,693.9,675.5,682.0,685.9,686.56,57740,5426,31187,54.01
CARERATING, EQ, 01-Nov-2021,685.9,676.8,682.0,662.0,670.0,664.6,668.68,225850,10066,155724,68.95
CARERATING, EQ, 02-Nov-2021,664.6,669.15,675.0,664.0,670.0,669.0,669.31,98723,7294,65009,65.85
CARERATING, EQ, 03-Nov-2021,669.0,675.0,675.9,667.45,670.55,669.75,670.44,102755,7359,75104,73.09
CARERATING, EQ, 08-Nov-2021,672.3,678.9,678.9,669.25,671.65,672.75,671.36,132313,7200,99588,75.27
CARERATING, EQ, 09-Nov-2021,672.75,675.0,676.8,669.75,670.8,670.1,670.85,130474,5670,94976,72.79
CARERATING, EQ, 10-Nov-2021,670.1,672.0,675.65,664.65,666.15,665.75,668.21,149245,3301,125232,83.91
CARERATING, EQ, 11-Nov-2021,665.75,663.7,677.15,659.0,660.0,661.75,662.3,264556,7958,169271,63.98
CARERATING, EQ, 12-Nov-2021,661.75,664.65,666.3,651.05,651.95,652.65,656.77,54619,4411,35180,64.41
CARERATING, EQ, 15-Nov-2021,652.65,655.0,661.8,643.0,647.0,645.0,647.95,89514,4798,37970,42.42
CARERATING, EQ, 16-Nov-2021,645.0,648.25,692.0,641.9,678.7,683.35,664.94,334691,14183,181387,54.2
