SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CDSL, EQ, 25-Oct-2021,1344.2,1375.0,1390.0,1280.0,1331.65,1328.8,1332.04,302931,25673,179182,59.15
CDSL, EQ, 26-Oct-2021,1328.8,1359.0,1395.2,1334.25,1395.2,1395.2,1372.16,421615,21177,289676,68.71
CDSL, EQ, 27-Oct-2021,1395.2,1410.0,1419.0,1375.0,1379.4,1380.35,1391.12,381104,21920,234010,61.4
CDSL, EQ, 28-Oct-2021,1380.35,1386.0,1386.0,1328.1,1345.0,1336.9,1352.51,304656,25353,208805,68.54
CDSL, EQ, 29-Oct-2021,1336.9,1325.0,1370.0,1295.0,1350.0,1353.15,1338.13,509616,27225,310543,60.94
CDSL, EQ, 01-Nov-2021,1353.15,1400.0,1400.0,1362.5,1390.3,1388.15,1381.44,594399,32174,414884,69.8
CDSL, EQ, 02-Nov-2021,1388.15,1400.0,1400.0,1368.0,1374.55,1378.25,1378.63,351543,21839,241045,68.57
CDSL, EQ, 03-Nov-2021,1378.25,1375.0,1426.1,1356.15,1425.15,1411.8,1396.85,893501,44079,470256,52.63
CDSL, EQ, 08-Nov-2021,1467.9,1470.0,1480.0,1430.0,1453.3,1450.2,1455.58,650913,54603,384181,59.02
CDSL, EQ, 09-Nov-2021,1450.2,1446.65,1470.0,1432.25,1452.0,1453.9,1453.55,404456,27180,241419,59.69
CDSL, EQ, 10-Nov-2021,1453.9,1458.0,1468.0,1437.1,1447.0,1449.5,1451.71,380489,31189,197553,51.92
CDSL, EQ, 11-Nov-2021,1449.5,1450.0,1495.0,1443.0,1459.0,1458.45,1464.36,456718,32138,217230,47.56
CDSL, EQ, 12-Nov-2021,1458.45,1460.0,1493.85,1450.6,1484.0,1485.0,1477.93,579130,39025,303214,52.36
CDSL, EQ, 15-Nov-2021,1485.0,1510.0,1624.0,1510.0,1569.0,1568.35,1578.47,1859188,100642,743668,40.0
CDSL, EQ, 16-Nov-2021,1568.35,1588.95,1609.9,1527.6,1550.0,1552.5,1574.95,882434,59046,376895,42.71
CDSL, EQ, 17-Nov-2021,1552.5,1550.0,1558.9,1511.45,1540.0,1542.1,1539.33,474485,37029,219374,46.23
CDSL, EQ, 18-Nov-2021,1542.1,1545.0,1552.15,1466.95,1508.05,1502.4,1496.05,802127,57721,340910,42.5
CDSL, EQ, 22-Nov-2021,1502.4,1505.1,1509.95,1395.0,1433.0,1432.45,1442.44,751620,67951,370940,49.35
CDSL, EQ, 23-Nov-2021,1432.45,1411.0,1465.0,1396.75,1448.0,1448.35,1442.0,459986,38856,202087,43.93
CDSL, EQ, 24-Nov-2021,1448.35,1463.45,1499.0,1452.35,1461.0,1469.8,1480.14,501832,38043,224535,44.74
CDSL, EQ, 25-Nov-2021,1469.8,1480.2,1484.4,1446.5,1470.0,1473.15,1467.94,251333,19915,109667,43.63
CDSL, EQ, 26-Nov-2021,1473.15,1449.0,1458.15,1409.05,1416.75,1414.65,1428.34,622411,55192,330576,53.11
CDSL, EQ, 29-Nov-2021,1414.65,1391.0,1399.0,1293.7,1373.0,1370.25,1358.52,866127,80615,379950,43.87
CDSL, EQ, 30-Nov-2021,1370.25,1372.0,1476.95,1372.0,1442.0,1451.05,1431.6,969825,41685,583009,60.11
CDSL, EQ, 01-Dec-2021,1451.05,1483.8,1498.0,1427.0,1445.0,1447.05,1463.93,801320,52494,301076,37.57
CDSL, EQ, 02-Dec-2021,1447.05,1445.0,1559.95,1427.0,1540.25,1542.9,1507.87,2156224,103422,612181,28.39
CDSL, EQ, 03-Dec-2021,1542.9,1558.0,1594.0,1516.45,1522.0,1522.65,1548.18,1532515,89528,522319,34.08
CDSL, EQ, 06-Dec-2021,1522.65,1522.65,1559.0,1485.5,1494.7,1494.45,1521.96,1125061,63068,370216,32.91
CDSL, EQ, 07-Dec-2021,1494.45,1510.0,1530.0,1481.0,1515.0,1502.45,1505.0,765645,39519,304571,39.78
CDSL, EQ, 08-Dec-2021,1502.45,1525.0,1590.0,1505.55,1523.65,1526.4,1544.83,2391203,106040,700177,29.28
CDSL, EQ, 09-Dec-2021,1526.4,1534.0,1543.0,1515.0,1521.5,1524.1,1526.41,664006,35876,253965,38.25
CDSL, EQ, 10-Dec-2021,1524.1,1524.0,1564.7,1519.6,1530.0,1529.45,1540.41,1045816,52172,350175,33.48
CDSL, EQ, 13-Dec-2021,1529.45,1542.25,1644.9,1538.25,1596.0,1586.25,1600.22,3216218,161428,1004610,31.24
CDSL, EQ, 14-Dec-2021,1586.25,1589.0,1679.8,1576.0,1668.0,1666.6,1641.61,3244896,140967,872247,26.88
CDSL, EQ, 15-Dec-2021,1666.6,1684.5,1734.4,1621.2,1639.4,1638.85,1694.85,3252001,166271,990770,30.47
CDSL, EQ, 16-Dec-2021,1638.85,1658.0,1680.0,1596.15,1608.9,1603.75,1623.37,1379208,84842,498959,36.18
CDSL, EQ, 17-Dec-2021,1603.75,1608.9,1625.0,1545.0,1567.0,1557.7,1574.1,1117107,72795,426439,38.17
CDSL, EQ, 20-Dec-2021,1557.7,1520.0,1527.95,1445.05,1470.0,1477.1,1489.0,1640786,105980,644378,39.27
CDSL, EQ, 21-Dec-2021,1477.1,1500.0,1530.0,1455.85,1477.55,1467.9,1496.55,925546,58946,364797,39.41
CDSL, EQ, 22-Dec-2021,1467.9,1494.8,1509.95,1468.0,1493.0,1487.3,1483.47,629944,48380,292627,46.45
CDSL, EQ, 23-Dec-2021,1487.3,1505.0,1514.0,1482.5,1492.0,1492.9,1498.01,440622,25672,212780,48.29
CDSL, EQ, 24-Dec-2021,1492.9,1499.5,1499.5,1460.0,1469.0,1463.6,1472.3,579476,39766,288991,49.87
CDSL, EQ, 27-Dec-2021,1463.6,1461.0,1480.0,1444.0,1466.95,1464.2,1463.9,496569,39178,213381,42.97
CDSL, EQ, 28-Dec-2021,1464.2,1510.0,1521.0,1483.2,1490.85,1489.45,1495.22,545814,36345,245092,44.9
CDSL, EQ, 29-Dec-2021,1489.45,1489.45,1506.95,1465.0,1472.0,1468.2,1481.42,573186,45504,294811,51.43
CDSL, EQ, 30-Dec-2021,1468.2,1469.0,1529.95,1450.0,1490.0,1486.7,1482.79,763094,46830,312829,40.99
CDSL, EQ, 31-Dec-2021,1486.7,1486.5,1528.0,1485.0,1499.5,1499.8,1507.19,642639,38661,262932,40.91
CDSL, EQ, 03-Jan-2022,1499.8,1502.0,1540.0,1501.05,1535.0,1532.85,1524.95,665708,35248,343489,51.6
CDSL, EQ, 04-Jan-2022,1532.85,1539.0,1557.9,1517.0,1537.0,1534.9,1537.85,540844,31841,227735,42.11
CDSL, EQ, 05-Jan-2022,1534.9,1536.0,1542.6,1511.25,1531.0,1527.55,1524.68,376107,23465,172409,45.84
CDSL, EQ, 06-Jan-2022,1527.55,1513.75,1565.0,1505.0,1550.0,1548.6,1544.72,699815,36147,345045,49.31
CDSL, EQ, 07-Jan-2022,1548.6,1563.0,1582.0,1541.05,1553.0,1550.05,1561.12,580983,33165,226268,38.95
CDSL, EQ, 10-Jan-2022,1550.05,1570.0,1570.0,1535.05,1549.0,1548.7,1551.21,407953,25476,206855,50.71
CDSL, EQ, 11-Jan-2022,1548.7,1551.0,1556.5,1526.8,1534.0,1534.9,1536.19,392653,25145,191777,48.84
CDSL, EQ, 12-Jan-2022,1534.9,1549.45,1549.85,1530.05,1538.0,1537.55,1537.14,279266,18910,135447,48.5
CDSL, EQ, 13-Jan-2022,1537.55,1548.0,1624.75,1540.05,1611.0,1608.6,1595.53,1618130,75617,602229,37.22
CDSL, EQ, 14-Jan-2022,1608.6,1607.0,1650.0,1595.5,1613.0,1615.5,1627.45,1119385,65781,432812,38.67
CDSL, EQ, 17-Jan-2022,1615.5,1621.9,1654.0,1620.85,1638.0,1636.1,1635.76,706733,39789,353748,50.05
CDSL, EQ, 18-Jan-2022,1636.1,1643.95,1646.6,1585.5,1598.9,1592.3,1608.4,702847,54620,350103,49.81
CDSL, EQ, 19-Jan-2022,1592.3,1588.0,1634.8,1555.0,1611.0,1613.25,1600.16,766721,50766,255688,33.35
CDSL, EQ, 20-Jan-2022,1613.25,1613.8,1644.0,1605.55,1628.0,1624.75,1626.51,670083,42662,286161,42.71
CDSL, EQ, 21-Jan-2022,1624.75,1618.9,1631.0,1570.0,1589.5,1583.1,1599.65,678554,54250,367685,54.19
CDSL, EQ, 24-Jan-2022,1583.1,1579.0,1584.0,1490.0,1501.95,1502.2,1519.54,903484,84059,506007,56.01
CDSL, EQ, 25-Jan-2022,1502.2,1478.0,1557.0,1431.4,1511.0,1510.1,1514.31,919396,70273,356510,38.78
CDSL, EQ, 27-Jan-2022,1510.1,1495.0,1537.0,1481.0,1491.0,1487.3,1498.82,612184,50886,325386,53.15
CDSL, EQ, 28-Jan-2022,1487.3,1495.0,1519.2,1495.0,1499.0,1498.8,1506.76,479666,36117,250139,52.15
CDSL, EQ, 31-Jan-2022,1498.8,1507.0,1523.4,1496.75,1508.0,1505.25,1506.2,390474,40570,229847,58.86
CDSL, EQ, 01-Feb-2022,1505.25,1519.0,1528.85,1494.05,1514.4,1512.15,1512.49,350307,23973,153708,43.88
CDSL, EQ, 02-Feb-2022,1512.15,1524.95,1544.9,1516.55,1534.0,1530.95,1529.66,448827,33258,196934,43.88
CDSL, EQ, 03-Feb-2022,1530.95,1538.65,1594.9,1532.0,1568.0,1565.85,1569.81,932210,53223,403628,43.3
CDSL, EQ, 04-Feb-2022,1565.85,1575.9,1586.0,1552.1,1580.0,1573.95,1570.94,547485,28621,301945,55.15
CDSL, EQ, 07-Feb-2022,1573.95,1525.0,1538.0,1500.0,1515.0,1514.95,1517.76,835445,64579,432137,51.73
CDSL, EQ, 08-Feb-2022,1514.95,1522.6,1533.3,1482.25,1500.0,1504.35,1504.21,432963,35140,208856,48.24
CDSL, EQ, 09-Feb-2022,1504.35,1520.05,1547.0,1506.25,1510.0,1510.85,1524.37,822933,55439,328123,39.87
CDSL, EQ, 10-Feb-2022,1510.85,1517.0,1538.0,1512.25,1521.7,1522.8,1525.47,486801,28310,238395,48.97
CDSL, EQ, 11-Feb-2022,1522.8,1516.0,1541.0,1510.0,1518.0,1519.55,1526.06,591928,35371,297921,50.33
CDSL, EQ, 14-Feb-2022,1519.55,1480.0,1503.85,1452.0,1462.2,1459.9,1477.49,615372,58126,309874,50.36
CDSL, EQ, 15-Feb-2022,1459.9,1456.0,1494.0,1456.0,1489.5,1490.15,1474.29,460049,34165,196882,42.8
CDSL, EQ, 16-Feb-2022,1490.15,1509.0,1515.0,1480.0,1481.0,1483.55,1497.21,427845,34028,170792,39.92
CDSL, EQ, 17-Feb-2022,1483.55,1495.0,1509.0,1475.0,1476.9,1478.65,1492.25,468297,27925,202200,43.18
CDSL, EQ, 18-Feb-2022,1478.65,1456.0,1486.8,1456.0,1468.5,1468.1,1474.46,227953,18134,107020,46.95
CDSL, EQ, 21-Feb-2022,1468.1,1476.0,1482.35,1400.0,1408.0,1408.45,1433.0,767645,63385,373066,48.6
