SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CHENNPETRO, EQ, 17-Sep-2021,115.85,116.7,119.55,113.5,118.7,118.25,116.58,1114699,10129,593664,53.26
CHENNPETRO, EQ, 20-Sep-2021,118.25,117.75,117.75,112.35,113.65,113.2,115.51,508102,7403,219362,43.17
CHENNPETRO, EQ, 21-Sep-2021,113.2,113.6,113.85,109.45,111.9,111.85,111.44,441965,6018,175046,39.61
CHENNPETRO, EQ, 22-Sep-2021,111.85,112.25,114.85,111.65,114.5,114.3,113.77,217064,3703,85567,39.42
CHENNPETRO, EQ, 23-Sep-2021,114.3,115.3,120.35,115.0,119.45,118.75,117.51,814905,9265,465342,57.1
CHENNPETRO, EQ, 24-Sep-2021,118.75,119.7,119.7,116.15,119.0,118.3,117.83,640523,8654,336814,52.58
CHENNPETRO, EQ, 27-Sep-2021,118.3,119.7,124.0,117.15,123.5,121.95,120.55,859793,8142,518230,60.27
CHENNPETRO, EQ, 28-Sep-2021,121.95,123.0,123.75,119.8,120.25,120.9,121.63,823734,11566,315782,38.34
CHENNPETRO, EQ, 29-Sep-2021,120.9,119.85,127.4,117.9,124.0,124.0,123.85,1194328,15799,508404,42.57
CHENNPETRO, EQ, 30-Sep-2021,124.0,124.9,125.5,121.1,122.25,122.15,123.21,430840,7189,188228,43.69
CHENNPETRO, EQ, 01-Oct-2021,122.15,126.2,129.0,123.0,123.5,123.7,125.35,1578557,19007,537428,34.05
CHENNPETRO, EQ, 04-Oct-2021,123.7,123.7,125.6,123.5,124.05,123.95,124.52,341733,4538,191727,56.1
CHENNPETRO, EQ, 05-Oct-2021,123.95,123.95,127.8,123.7,125.5,125.75,126.06,895379,9181,330056,36.86
CHENNPETRO, EQ, 06-Oct-2021,125.75,126.25,129.9,126.1,127.15,127.35,128.14,1366754,18642,560269,40.99
CHENNPETRO, EQ, 07-Oct-2021,127.35,128.55,139.15,128.55,134.0,134.6,135.3,3179091,41444,1582644,49.78
CHENNPETRO, EQ, 08-Oct-2021,134.6,135.4,138.0,133.95,135.0,134.6,135.72,1041385,18546,522416,50.17
CHENNPETRO, EQ, 11-Oct-2021,134.6,135.6,138.0,134.85,135.0,135.45,136.39,722303,16532,441423,61.11
CHENNPETRO, EQ, 12-Oct-2021,135.45,135.2,138.35,135.2,136.95,136.9,136.75,523368,9421,273129,52.19
CHENNPETRO, EQ, 13-Oct-2021,136.9,136.0,139.4,135.8,136.75,136.5,137.92,993119,12562,579528,58.35
CHENNPETRO, EQ, 14-Oct-2021,136.5,136.95,138.5,133.05,133.85,134.0,135.49,724707,14439,395342,54.55
CHENNPETRO, EQ, 18-Oct-2021,134.0,135.0,140.95,134.0,138.25,138.15,138.22,1154425,17876,676106,58.57
CHENNPETRO, EQ, 19-Oct-2021,138.15,139.6,144.8,136.05,137.5,138.35,141.3,1866927,26538,790545,42.34
CHENNPETRO, EQ, 20-Oct-2021,138.35,138.35,138.35,132.0,134.35,134.15,135.29,689444,8812,362458,52.57
CHENNPETRO, EQ, 21-Oct-2021,134.15,134.35,138.3,132.25,132.65,133.75,134.58,628969,8235,194586,30.94
CHENNPETRO, EQ, 22-Oct-2021,133.75,134.0,137.15,126.8,127.9,130.15,131.25,521254,7984,232072,44.52
CHENNPETRO, EQ, 25-Oct-2021,130.15,126.0,134.45,121.15,129.5,131.95,128.47,1987583,27376,461927,23.24
CHENNPETRO, EQ, 26-Oct-2021,131.95,130.5,134.5,128.6,133.7,133.95,132.51,719186,11319,317067,44.09
CHENNPETRO, EQ, 27-Oct-2021,133.95,135.0,135.05,130.65,132.0,132.15,132.89,638828,25998,316890,49.6
CHENNPETRO, EQ, 28-Oct-2021,132.15,130.0,131.5,125.0,125.0,126.05,127.95,284738,4307,163978,57.59
CHENNPETRO, EQ, 29-Oct-2021,126.05,125.25,126.0,122.05,122.5,122.65,124.15,345638,6256,133221,38.54
CHENNPETRO, EQ, 01-Nov-2021,122.65,126.0,126.5,122.05,123.8,124.2,123.64,258243,4011,106153,41.11
CHENNPETRO, EQ, 02-Nov-2021,124.2,125.55,125.55,120.5,121.3,121.1,122.84,311059,7291,151801,48.8
CHENNPETRO, EQ, 03-Nov-2021,121.1,121.15,124.1,120.0,120.3,120.6,122.24,315792,4829,134246,42.51
CHENNPETRO, EQ, 08-Nov-2021,122.05,122.9,123.95,121.15,121.7,121.65,122.41,473535,6685,210681,44.49
CHENNPETRO, EQ, 09-Nov-2021,121.65,121.7,123.7,121.5,121.95,121.75,122.22,267820,4445,162484,60.67
CHENNPETRO, EQ, 10-Nov-2021,121.75,121.95,123.9,119.1,119.5,119.5,121.14,648081,9244,352767,54.43
CHENNPETRO, EQ, 11-Nov-2021,119.5,119.85,120.0,115.75,116.4,116.2,117.39,451225,5402,294284,65.22
CHENNPETRO, EQ, 12-Nov-2021,116.2,114.7,119.95,114.7,119.8,119.55,118.07,337756,4874,125754,37.23
CHENNPETRO, EQ, 15-Nov-2021,119.55,120.45,120.8,115.0,115.55,115.3,116.76,345141,6510,177127,51.32
CHENNPETRO, EQ, 16-Nov-2021,115.3,115.75,117.05,113.9,113.95,114.3,115.0,250898,5305,118826,47.36
CHENNPETRO, EQ, 17-Nov-2021,114.3,114.5,114.7,113.0,113.6,113.3,113.92,225784,4507,129460,57.34
CHENNPETRO, EQ, 18-Nov-2021,113.3,114.1,114.4,112.3,113.15,113.05,113.27,198706,3451,77501,39.0
CHENNPETRO, EQ, 22-Nov-2021,113.05,113.0,113.0,108.0,109.4,108.95,109.89,281310,6290,139546,49.61
