SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
COFORGE, EQ, 17-Sep-2021,5465.45,5485.0,5525.0,5405.0,5438.1,5444.7,5464.95,300369,31892,89638,29.84
COFORGE, EQ, 20-Sep-2021,5444.7,5444.0,5544.65,5326.0,5354.0,5350.65,5441.74,313150,34715,68540,21.89
COFORGE, EQ, 21-Sep-2021,5350.65,5372.0,5557.75,5314.95,5538.0,5531.5,5452.73,395641,44614,72466,18.32
COFORGE, EQ, 22-Sep-2021,5531.5,5570.0,5649.0,5500.35,5590.0,5560.35,5579.25,348470,42093,98247,28.19
COFORGE, EQ, 23-Sep-2021,5560.35,5620.5,5674.65,5558.25,5650.0,5652.75,5618.69,220233,25453,61339,27.85
COFORGE, EQ, 24-Sep-2021,5652.75,5710.45,5832.95,5580.25,5645.2,5649.0,5700.3,468197,62453,121862,26.03
COFORGE, EQ, 27-Sep-2021,5649.0,5690.0,5695.1,5301.35,5430.65,5415.1,5413.35,622421,83050,256421,41.2
COFORGE, EQ, 28-Sep-2021,5415.1,5460.0,5460.4,5150.0,5210.2,5214.8,5253.5,522354,53668,202062,38.68
COFORGE, EQ, 29-Sep-2021,5214.8,5175.0,5299.9,5001.0,5272.5,5260.7,5173.13,580822,63322,220797,38.01
COFORGE, EQ, 30-Sep-2021,5260.7,5300.0,5321.8,5204.05,5244.95,5241.3,5253.2,355976,51242,146851,41.25
COFORGE, EQ, 01-Oct-2021,5241.3,5209.0,5325.0,5175.05,5277.0,5279.5,5263.29,264231,35242,80050,30.3
COFORGE, EQ, 04-Oct-2021,5279.5,5298.6,5368.0,5251.0,5346.0,5337.95,5315.05,189050,25439,42985,22.74
COFORGE, EQ, 05-Oct-2021,5337.95,5320.0,5411.35,5243.05,5390.0,5382.4,5320.4,256979,28025,70580,27.47
COFORGE, EQ, 06-Oct-2021,5382.4,5425.65,5459.95,5276.35,5301.0,5301.8,5336.42,306747,30418,121111,39.48
COFORGE, EQ, 07-Oct-2021,5301.8,5347.95,5499.0,5333.05,5448.0,5448.95,5441.27,232968,24822,51745,22.21
COFORGE, EQ, 08-Oct-2021,5448.95,5469.8,5730.0,5435.0,5650.15,5645.85,5626.45,568821,52823,102417,18.01
COFORGE, EQ, 11-Oct-2021,5645.85,5600.0,5600.0,5159.35,5375.0,5362.05,5401.69,500224,61691,144074,28.8
COFORGE, EQ, 12-Oct-2021,5362.05,5378.5,5413.95,5215.0,5289.0,5279.4,5280.41,379305,45341,137845,36.34
COFORGE, EQ, 13-Oct-2021,5279.4,5315.0,5350.0,5285.0,5340.0,5337.8,5317.81,180526,25735,57448,31.82
COFORGE, EQ, 14-Oct-2021,5337.8,5420.0,5790.0,5420.0,5590.0,5604.1,5586.12,814033,87951,187735,23.06
COFORGE, EQ, 18-Oct-2021,5604.1,5662.8,5691.95,5511.6,5625.0,5604.85,5615.66,312740,34266,138784,44.38
COFORGE, EQ, 19-Oct-2021,5604.85,5650.0,5990.0,5640.05,5830.0,5861.4,5888.79,930411,86710,239249,25.71
COFORGE, EQ, 20-Oct-2021,5861.4,5864.7,6030.0,5680.0,5846.0,5820.4,5874.22,550669,57975,122658,22.27
COFORGE, EQ, 21-Oct-2021,5820.4,5840.0,5849.3,5403.9,5509.0,5448.45,5532.39,566651,53505,146272,25.81
COFORGE, EQ, 22-Oct-2021,5448.45,5509.6,5565.0,5335.4,5390.0,5397.5,5442.92,417767,40322,135932,32.54
COFORGE, EQ, 25-Oct-2021,5397.5,5310.0,5345.0,4726.6,5065.65,5069.3,5006.94,1152746,128152,245218,21.27
COFORGE, EQ, 26-Oct-2021,5069.3,5118.0,5207.95,4962.05,5086.0,5088.05,5072.92,489882,61582,144292,29.45
COFORGE, EQ, 27-Oct-2021,5088.05,5113.45,5144.4,4983.15,5039.95,5042.85,5049.4,426492,42504,178109,41.76
COFORGE, EQ, 28-Oct-2021,5042.85,5064.0,5128.25,4950.1,4990.1,5033.25,5043.19,444979,36864,216784,48.72
COFORGE, EQ, 29-Oct-2021,5033.25,4976.0,5033.0,4834.1,4855.8,4870.45,4926.12,450428,46551,184964,41.06
COFORGE, EQ, 01-Nov-2021,4870.45,4930.0,5099.95,4890.0,5091.45,5077.45,5028.46,479337,45350,160424,33.47
COFORGE, EQ, 02-Nov-2021,5077.45,5121.0,5150.7,5019.45,5046.0,5043.5,5076.99,275032,22321,96414,35.06
COFORGE, EQ, 03-Nov-2021,5043.5,5054.8,5093.0,5009.0,5062.2,5064.9,5052.22,194311,16601,69130,35.58
COFORGE, EQ, 08-Nov-2021,5081.4,5100.0,5288.0,5025.0,5280.0,5251.65,5184.05,406781,41992,132305,32.52
COFORGE, EQ, 09-Nov-2021,5251.65,5270.0,5413.95,5211.1,5399.0,5381.95,5322.16,377416,32705,104603,27.72
COFORGE, EQ, 10-Nov-2021,5381.95,5375.0,5375.0,5287.9,5340.0,5354.15,5335.15,235038,25857,92782,39.48
COFORGE, EQ, 11-Nov-2021,5354.15,5335.1,5404.85,5257.65,5394.0,5376.2,5323.66,206501,21104,57297,27.75
COFORGE, EQ, 12-Nov-2021,5376.2,5431.0,5470.0,5369.85,5426.0,5418.0,5429.81,244516,21499,53151,21.74
COFORGE, EQ, 15-Nov-2021,5418.0,5410.35,5518.45,5396.15,5482.2,5496.2,5474.38,249902,29053,78065,31.24
COFORGE, EQ, 16-Nov-2021,5496.2,5600.0,5874.0,5572.0,5745.0,5721.75,5717.31,1651697,156273,244183,14.78
COFORGE, EQ, 17-Nov-2021,5721.75,5755.05,5937.55,5682.0,5826.6,5839.35,5808.82,689317,58408,121522,17.63
COFORGE, EQ, 18-Nov-2021,5839.35,5850.0,5857.6,5508.0,5574.4,5572.1,5654.06,598738,66416,188180,31.43
COFORGE, EQ, 22-Nov-2021,5572.1,5608.1,5608.1,5319.05,5410.0,5428.25,5474.51,260848,36941,42747,16.39
COFORGE, EQ, 23-Nov-2021,5428.25,5365.0,5504.65,5242.3,5450.0,5455.9,5404.6,293075,37264,47884,16.34
COFORGE, EQ, 24-Nov-2021,5455.9,5483.2,5497.7,5322.0,5400.0,5377.7,5379.94,321185,24750,126083,39.26
COFORGE, EQ, 25-Nov-2021,5377.7,5398.0,5535.0,5351.0,5518.0,5502.8,5438.01,208206,21586,48069,23.09
COFORGE, EQ, 26-Nov-2021,5502.8,5489.0,5530.0,5202.0,5311.0,5267.65,5332.49,439900,41867,190340,43.27
COFORGE, EQ, 29-Nov-2021,5267.65,5200.0,5359.15,5033.1,5269.65,5292.75,5262.54,249375,33757,49257,19.75
COFORGE, EQ, 30-Nov-2021,5292.75,5348.0,5470.0,5286.1,5365.0,5431.6,5403.26,373233,33446,129682,34.75
COFORGE, EQ, 01-Dec-2021,5431.6,5399.35,5454.3,5308.1,5401.0,5378.6,5364.05,347425,34158,153877,44.29
COFORGE, EQ, 02-Dec-2021,5378.6,5418.8,5438.0,5312.1,5418.0,5414.15,5371.01,455418,38223,248997,54.67
COFORGE, EQ, 03-Dec-2021,5414.15,5436.9,5479.45,5332.0,5332.3,5350.15,5414.91,209372,26930,84210,40.22
COFORGE, EQ, 06-Dec-2021,5350.15,5330.0,5370.0,5101.1,5123.0,5125.25,5210.12,249883,30836,73469,29.4
COFORGE, EQ, 07-Dec-2021,5125.25,5198.7,5290.0,5001.0,5275.0,5208.5,5116.35,489238,45109,159976,32.7
COFORGE, EQ, 08-Dec-2021,5208.5,5300.0,5342.5,5223.0,5254.0,5252.45,5292.38,244702,30735,40333,16.48
COFORGE, EQ, 09-Dec-2021,5252.45,5293.95,5300.5,5212.5,5259.0,5270.25,5262.31,129050,16301,27179,21.06
COFORGE, EQ, 10-Dec-2021,5270.25,5240.0,5338.75,5220.0,5314.95,5315.35,5287.11,173159,19276,42392,24.48
COFORGE, EQ, 13-Dec-2021,5315.35,5350.0,5587.0,5326.55,5471.0,5476.45,5499.84,401546,40254,81455,20.29
COFORGE, EQ, 14-Dec-2021,5476.45,5338.8,5496.25,5338.8,5443.0,5439.45,5433.37,233815,29065,73531,31.45
COFORGE, EQ, 15-Dec-2021,5439.45,5443.0,5474.0,5300.0,5306.05,5312.8,5349.75,218216,21564,73983,33.9
COFORGE, EQ, 16-Dec-2021,5312.8,5375.0,5455.0,5315.85,5364.3,5355.35,5380.88,296945,25875,83822,28.23
COFORGE, EQ, 17-Dec-2021,5355.35,5427.0,5498.5,5346.0,5379.8,5392.95,5415.94,360707,41218,81050,22.47
COFORGE, EQ, 20-Dec-2021,5392.95,5345.0,5345.0,5060.0,5175.8,5181.95,5179.62,322070,38053,102650,31.87
COFORGE, EQ, 21-Dec-2021,5181.95,5245.0,5430.0,5212.4,5400.0,5396.9,5356.24,330003,36113,93281,28.27
