SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CONFIPET, EQ, 17-Sep-2021,77.35,78.2,78.8,73.9,75.5,75.65,75.76,1385663,9121,710451,51.27
CONFIPET, EQ, 20-Sep-2021,75.65,75.0,80.7,74.5,75.9,76.15,77.93,2660012,14765,1071192,40.27
CONFIPET, EQ, 21-Sep-2021,76.15,76.2,77.65,74.0,76.6,76.45,75.99,1281444,9784,559951,43.7
CONFIPET, EQ, 22-Sep-2021,76.45,77.0,78.8,76.25,77.35,77.25,77.49,843477,5654,318614,37.77
CONFIPET, EQ, 23-Sep-2021,77.25,77.95,79.0,77.1,77.85,77.6,77.93,644606,4221,376082,58.34
CONFIPET, EQ, 24-Sep-2021,77.6,77.9,78.65,76.4,76.8,76.65,77.37,742253,4891,372983,50.25
CONFIPET, EQ, 27-Sep-2021,76.65,76.1,77.9,76.0,76.85,76.55,76.79,764244,6063,386666,50.59
CONFIPET, EQ, 28-Sep-2021,76.55,76.7,87.0,76.0,85.25,85.6,83.03,10327998,52930,2941454,28.48
CONFIPET, EQ, 29-Sep-2021,85.6,84.7,87.3,82.55,82.9,83.1,84.78,3284726,27438,1215863,37.02
CONFIPET, EQ, 30-Sep-2021,83.1,83.5,84.75,82.5,83.65,82.85,83.58,767096,7955,306937,40.01
CONFIPET, EQ, 01-Oct-2021,82.85,82.1,86.7,82.1,85.5,84.85,84.21,1826105,12073,908781,49.77
CONFIPET, EQ, 04-Oct-2021,84.85,86.4,89.3,85.4,86.8,86.55,87.65,2730871,18474,1018342,37.29
CONFIPET, EQ, 05-Oct-2021,86.55,85.95,93.35,85.0,91.3,91.25,90.9,4033127,24974,1842077,45.67
CONFIPET, EQ, 06-Oct-2021,91.25,91.7,93.1,88.05,89.5,89.0,90.75,1855976,17555,946153,50.98
CONFIPET, EQ, 07-Oct-2021,89.0,89.95,92.35,89.2,90.7,90.2,90.9,1206327,9607,556504,46.13
CONFIPET, EQ, 08-Oct-2021,90.2,90.85,92.2,89.3,89.8,89.7,90.65,1000350,8665,413304,41.32
CONFIPET, EQ, 11-Oct-2021,89.7,90.3,91.75,89.1,89.6,89.35,90.26,644012,7927,305676,47.46
CONFIPET, EQ, 12-Oct-2021,89.35,89.4,92.4,88.0,90.85,90.7,90.3,1022053,8165,475938,46.57
CONFIPET, EQ, 13-Oct-2021,90.7,90.0,91.15,88.0,88.55,88.35,89.52,991974,7722,561101,56.56
CONFIPET, EQ, 14-Oct-2021,88.35,89.0,90.4,88.0,88.45,88.5,88.92,647041,5623,339879,52.53
CONFIPET, EQ, 18-Oct-2021,88.5,88.7,91.0,87.45,90.15,90.6,89.49,1229026,9940,682848,55.56
CONFIPET, EQ, 19-Oct-2021,90.6,91.2,91.35,82.0,84.3,83.75,86.69,1139590,10628,623478,54.71
CONFIPET, EQ, 20-Oct-2021,83.75,84.0,84.85,80.15,82.0,81.25,82.45,1141292,13374,495704,43.43
CONFIPET, EQ, 21-Oct-2021,81.25,81.4,94.8,81.4,90.25,90.35,89.14,3144817,20747,1151740,36.62
CONFIPET, EQ, 22-Oct-2021,90.35,89.3,95.4,85.2,86.5,86.2,90.82,4648958,38849,1534860,33.02
CONFIPET, EQ, 25-Oct-2021,86.2,86.95,91.45,86.4,89.3,90.4,88.93,1841919,14923,715250,38.83
CONFIPET, EQ, 26-Oct-2021,90.4,90.3,91.05,88.55,89.1,89.2,89.48,642440,5450,274867,42.78
CONFIPET, EQ, 27-Oct-2021,89.2,89.5,92.5,88.1,89.6,89.75,90.39,2038331,19508,1062319,52.12
CONFIPET, EQ, 28-Oct-2021,89.75,90.15,93.65,86.4,89.4,88.95,90.98,2131980,16073,831020,38.98
CONFIPET, EQ, 29-Oct-2021,88.95,89.5,91.0,86.4,88.7,89.55,88.9,1096842,9760,466159,42.5
CONFIPET, EQ, 01-Nov-2021,89.55,92.0,92.7,82.2,84.95,84.85,86.97,4217402,35736,1883594,44.66
CONFIPET, EQ, 02-Nov-2021,84.85,87.0,89.4,86.05,87.2,87.4,87.43,1305846,13863,535693,41.02
CONFIPET, EQ, 03-Nov-2021,87.4,87.8,88.3,85.55,85.85,85.8,86.73,629561,6044,327646,52.04
CONFIPET, EQ, 08-Nov-2021,86.15,86.85,86.85,84.9,85.1,85.05,85.58,573276,4773,325471,56.77
CONFIPET, EQ, 09-Nov-2021,85.05,84.9,86.1,83.3,83.7,83.55,84.56,675005,5784,408229,60.48
CONFIPET, EQ, 10-Nov-2021,83.55,83.7,83.75,81.1,81.8,81.7,82.25,797746,8716,520111,65.2
CONFIPET, EQ, 11-Nov-2021,81.7,81.95,82.8,81.55,82.25,82.15,82.33,559521,4113,348935,62.36
CONFIPET, EQ, 12-Nov-2021,82.15,82.6,82.95,80.6,80.95,80.9,81.47,499806,4568,296923,59.41
CONFIPET, EQ, 15-Nov-2021,80.9,81.45,81.8,76.55,77.65,77.75,78.94,951953,8396,603885,63.44
CONFIPET, EQ, 16-Nov-2021,77.75,78.6,84.45,77.9,82.6,82.95,81.79,2080606,14225,941116,45.23
CONFIPET, EQ, 17-Nov-2021,82.95,82.55,83.4,81.0,81.4,81.15,82.05,479499,5354,222515,46.41
