SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CRISIL, EQ, 17-Sep-2021,2819.2,2800.2,2956.0,2800.2,2938.0,2912.2,2913.72,218143,25745,66916,30.68
CRISIL, EQ, 20-Sep-2021,2912.2,2954.9,2960.0,2801.25,2903.3,2878.45,2905.84,53637,8854,16387,30.55
CRISIL, EQ, 21-Sep-2021,2878.45,2920.0,2920.0,2808.75,2875.0,2877.2,2855.08,27604,5949,7416,26.87
CRISIL, EQ, 22-Sep-2021,2877.2,2897.25,2950.0,2840.05,2913.0,2915.75,2903.67,29755,5277,12363,41.55
CRISIL, EQ, 23-Sep-2021,2915.75,2915.8,2968.25,2875.0,2884.85,2890.95,2937.41,37739,6833,14770,39.14
CRISIL, EQ, 24-Sep-2021,2890.95,2894.9,2926.25,2841.0,2871.0,2862.4,2869.94,23162,4751,9839,42.48
CRISIL, EQ, 27-Sep-2021,2862.4,2866.0,2884.95,2780.0,2788.1,2786.85,2799.93,32453,7531,15211,46.87
CRISIL, EQ, 28-Sep-2021,2786.85,2789.4,2792.95,2706.0,2724.0,2723.1,2729.55,41083,11881,21085,51.32
CRISIL, EQ, 29-Sep-2021,2723.1,2710.0,2749.0,2703.45,2716.0,2713.05,2724.17,14328,3517,5803,40.5
CRISIL, EQ, 30-Sep-2021,2713.05,2717.9,2772.7,2687.1,2724.75,2718.3,2733.42,27193,7201,7480,27.51
CRISIL, EQ, 01-Oct-2021,2718.3,2703.25,2790.15,2702.25,2755.0,2753.1,2747.67,36550,5331,18244,49.92
CRISIL, EQ, 04-Oct-2021,2753.1,2755.0,2920.0,2755.0,2820.0,2847.2,2832.65,46095,8195,23675,51.36
CRISIL, EQ, 05-Oct-2021,2847.2,2843.0,2895.2,2811.95,2858.85,2869.85,2867.05,23626,4648,9279,39.27
CRISIL, EQ, 06-Oct-2021,2869.85,2870.0,2935.15,2822.6,2850.0,2890.0,2905.24,69227,6997,39589,57.19
CRISIL, EQ, 07-Oct-2021,2890.0,2880.05,2925.0,2830.0,2910.0,2911.2,2895.85,22524,4254,9527,42.3
CRISIL, EQ, 08-Oct-2021,2911.2,2920.0,2935.2,2862.65,2911.0,2926.45,2910.53,21662,4006,8952,41.33
CRISIL, EQ, 11-Oct-2021,2926.45,2925.0,3016.6,2883.0,2981.0,2998.6,2974.86,71403,8940,37500,52.52
CRISIL, EQ, 12-Oct-2021,2998.6,3020.9,3069.0,2962.65,3010.0,3014.25,3014.15,42670,8289,19022,44.58
CRISIL, EQ, 13-Oct-2021,3014.25,3020.0,3035.05,2930.95,2943.0,2950.1,2981.61,30719,6612,14214,46.27
CRISIL, EQ, 14-Oct-2021,2950.1,2979.55,3009.5,2921.95,2965.0,2978.9,2970.46,16782,4619,7347,43.78
CRISIL, EQ, 18-Oct-2021,2978.9,3000.0,3045.0,2960.0,2970.0,2977.0,3007.59,34198,6606,20451,59.8
CRISIL, EQ, 19-Oct-2021,2977.0,2987.7,3020.0,2910.0,2934.0,2936.55,2974.42,22937,5499,9472,41.3
CRISIL, EQ, 20-Oct-2021,2936.55,2936.55,2976.0,2801.0,2921.0,2925.05,2927.62,23980,7276,8288,34.56
CRISIL, EQ, 21-Oct-2021,2925.05,2922.4,2922.45,2736.0,2804.0,2810.3,2803.79,177247,19181,111468,62.89
CRISIL, EQ, 22-Oct-2021,2810.3,2810.3,2867.55,2782.0,2822.0,2819.55,2825.61,18032,4497,5704,31.63
CRISIL, EQ, 25-Oct-2021,2819.55,2819.6,2947.45,2760.0,2887.05,2887.4,2872.97,33517,8175,9697,28.93
CRISIL, EQ, 26-Oct-2021,2887.4,2928.0,2928.0,2820.0,2855.0,2839.75,2845.6,27287,4236,10172,37.28
CRISIL, EQ, 27-Oct-2021,2839.75,2852.0,2905.0,2799.0,2817.0,2819.2,2857.19,14009,3630,5328,38.03
CRISIL, EQ, 28-Oct-2021,2819.2,2833.3,2889.2,2772.0,2780.0,2794.3,2814.49,9467,2721,3415,36.07
CRISIL, EQ, 29-Oct-2021,2794.3,2789.0,2819.85,2743.25,2782.2,2802.0,2790.33,13560,3894,5312,39.17
CRISIL, EQ, 01-Nov-2021,2802.0,2809.0,2825.0,2790.0,2799.0,2801.85,2804.09,7061,2082,3821,54.11
CRISIL, EQ, 02-Nov-2021,2801.85,2801.85,2869.0,2801.85,2850.0,2829.5,2838.55,13969,3529,6223,44.55
CRISIL, EQ, 03-Nov-2021,2829.5,2829.5,2875.0,2793.75,2815.05,2820.8,2837.69,11733,3424,5569,47.46
CRISIL, EQ, 08-Nov-2021,2880.65,2895.1,3019.0,2881.05,2975.4,2931.35,2961.97,61472,9318,33899,55.15
CRISIL, EQ, 09-Nov-2021,2931.35,2960.0,2998.7,2931.35,2951.0,2953.6,2970.8,26452,4633,10272,38.83
CRISIL, EQ, 10-Nov-2021,2953.6,2949.0,3000.0,2861.75,2874.9,2871.4,2927.67,39366,6013,13303,33.79
CRISIL, EQ, 11-Nov-2021,2871.4,2960.0,3225.0,2928.1,3157.0,3142.65,3123.37,746882,67767,141063,18.89
CRISIL, EQ, 12-Nov-2021,3142.65,3140.0,3275.0,3100.0,3180.0,3175.35,3209.56,309193,34478,53042,17.15
