SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CROMPTON, EQ, 17-Sep-2021,490.35,490.2,496.4,480.0,487.6,486.1,487.72,1720516,28599,870716,50.61
CROMPTON, EQ, 20-Sep-2021,486.1,483.5,489.4,475.3,480.0,483.7,482.1,2078684,39280,1106992,53.25
CROMPTON, EQ, 21-Sep-2021,483.7,481.8,482.55,469.1,476.5,477.75,475.92,847249,41478,464908,54.87
CROMPTON, EQ, 22-Sep-2021,477.75,479.4,481.5,464.0,464.95,466.65,472.2,1875886,42084,1276110,68.03
CROMPTON, EQ, 23-Sep-2021,466.65,468.0,493.0,467.55,485.35,488.8,485.52,1843034,55734,958022,51.98
CROMPTON, EQ, 24-Sep-2021,488.8,488.5,488.5,476.55,478.5,478.7,481.41,873638,30501,498264,57.03
CROMPTON, EQ, 27-Sep-2021,478.7,481.5,481.7,467.5,470.1,473.1,473.72,1005900,45920,580597,57.72
CROMPTON, EQ, 28-Sep-2021,473.1,472.0,474.9,461.0,470.25,470.85,467.29,953711,41824,539325,56.55
CROMPTON, EQ, 29-Sep-2021,470.85,470.9,473.4,463.3,471.1,470.0,468.91,953160,67716,572144,60.03
CROMPTON, EQ, 30-Sep-2021,470.0,474.0,485.55,468.1,479.8,478.9,480.34,2334376,73746,1028876,44.07
CROMPTON, EQ, 01-Oct-2021,478.9,477.4,503.0,476.15,489.0,488.8,489.04,2518392,73932,1153989,45.82
CROMPTON, EQ, 04-Oct-2021,488.8,492.4,496.0,477.35,487.5,487.45,486.17,1113415,39937,612097,54.97
CROMPTON, EQ, 05-Oct-2021,487.45,485.1,488.35,481.75,487.0,486.4,484.93,663412,27448,406282,61.24
CROMPTON, EQ, 06-Oct-2021,486.4,487.85,495.4,473.0,480.0,477.05,484.56,1389867,41521,734304,52.83
CROMPTON, EQ, 07-Oct-2021,477.05,480.5,482.95,472.45,479.2,478.9,476.79,629388,23796,276118,43.87
CROMPTON, EQ, 08-Oct-2021,478.9,480.0,483.0,474.65,478.25,479.7,478.52,892137,39526,635842,71.27
CROMPTON, EQ, 11-Oct-2021,479.7,482.95,483.8,475.0,480.15,480.25,478.77,1392123,37249,944499,67.85
CROMPTON, EQ, 12-Oct-2021,480.25,480.1,490.0,478.9,480.1,481.5,483.19,1146022,34502,667197,58.22
CROMPTON, EQ, 13-Oct-2021,481.5,478.75,483.95,478.25,481.75,482.45,481.68,883507,28415,499019,56.48
CROMPTON, EQ, 14-Oct-2021,482.45,483.95,484.6,473.0,473.9,474.6,478.14,1073667,30875,656332,61.13
CROMPTON, EQ, 18-Oct-2021,474.6,476.15,477.6,470.0,471.2,473.05,473.5,1034771,34251,698298,67.48
CROMPTON, EQ, 19-Oct-2021,473.05,473.8,474.65,455.1,465.0,465.65,464.4,2486768,105758,1560199,62.74
CROMPTON, EQ, 20-Oct-2021,465.65,467.8,467.8,451.05,454.9,454.2,457.46,2265457,38962,1726180,76.2
CROMPTON, EQ, 21-Oct-2021,454.2,456.0,468.0,439.0,467.0,463.9,451.66,2499907,60453,1340062,53.6
CROMPTON, EQ, 22-Oct-2021,463.9,465.0,473.45,450.1,467.0,468.1,461.34,1862740,86249,951208,51.06
CROMPTON, EQ, 25-Oct-2021,468.1,473.6,483.1,435.1,451.9,450.7,453.63,3961863,127785,1920393,48.47
CROMPTON, EQ, 26-Oct-2021,450.7,450.1,472.0,450.0,463.95,463.9,464.82,2130926,85219,1357606,63.71
CROMPTON, EQ, 27-Oct-2021,463.9,466.1,477.5,465.95,473.0,472.9,472.44,1938102,70749,1346218,69.46
CROMPTON, EQ, 28-Oct-2021,472.9,476.0,485.0,460.05,464.4,465.75,470.98,3554246,62251,2229861,62.74
CROMPTON, EQ, 29-Oct-2021,465.75,463.0,468.95,455.0,466.0,465.6,464.45,1622790,42999,1144705,70.54
CROMPTON, EQ, 01-Nov-2021,465.6,470.6,490.0,465.0,489.0,488.05,477.68,1390000,42219,755161,54.33
CROMPTON, EQ, 02-Nov-2021,488.05,491.9,493.2,473.7,476.35,477.1,480.23,1989405,46033,1156880,58.15
CROMPTON, EQ, 03-Nov-2021,477.1,477.8,480.7,465.05,467.9,467.6,472.19,876758,27725,475750,54.26
CROMPTON, EQ, 08-Nov-2021,473.6,474.0,479.55,464.4,468.0,467.65,468.65,621332,17112,301370,48.5
CROMPTON, EQ, 09-Nov-2021,467.65,467.7,470.1,456.1,460.0,461.85,462.39,2473552,46817,1599187,64.65
CROMPTON, EQ, 10-Nov-2021,461.85,459.95,462.3,453.1,459.65,459.7,458.83,1367169,42431,824348,60.3
CROMPTON, EQ, 11-Nov-2021,459.7,459.65,463.1,452.5,458.0,459.4,457.05,2229940,38193,1731170,77.63
CROMPTON, EQ, 12-Nov-2021,459.4,463.0,468.0,457.55,465.85,466.25,460.67,1254461,20064,937545,74.74
CROMPTON, EQ, 15-Nov-2021,466.25,466.95,477.95,464.35,473.8,475.35,473.17,978856,55124,473974,48.42
CROMPTON, EQ, 16-Nov-2021,475.35,474.0,477.9,459.4,460.6,461.25,467.99,1098151,37681,564543,51.41
CROMPTON, EQ, 17-Nov-2021,461.25,460.7,465.0,455.45,459.5,458.45,458.82,2255153,28283,1789097,79.33
CROMPTON, EQ, 18-Nov-2021,458.45,459.1,460.0,447.0,453.0,451.3,452.83,644215,33990,280879,43.6
CROMPTON, EQ, 22-Nov-2021,451.3,451.7,457.6,432.5,445.0,445.85,442.19,1473804,60865,784638,53.24
CROMPTON, EQ, 23-Nov-2021,445.85,440.3,449.8,436.05,445.0,444.95,440.7,3037101,57695,1940160,63.88
CROMPTON, EQ, 24-Nov-2021,444.95,447.3,451.65,435.9,437.0,438.85,445.69,1297744,32312,728546,56.14
CROMPTON, EQ, 25-Nov-2021,438.85,438.1,448.95,437.15,446.4,446.5,443.07,998926,39730,575377,57.6
CROMPTON, EQ, 26-Nov-2021,446.5,444.0,446.55,435.1,436.9,437.4,439.52,939590,54511,462122,49.18
