SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CSBBANK, EQ, 17-Sep-2021,316.85,319.0,319.0,302.1,307.8,307.2,308.57,398440,10174,207446,52.06
CSBBANK, EQ, 20-Sep-2021,307.2,307.0,307.0,300.45,302.0,303.3,303.6,109158,4184,46909,42.97
CSBBANK, EQ, 21-Sep-2021,303.3,300.0,311.75,293.65,298.9,298.0,301.61,322535,10865,83241,25.81
CSBBANK, EQ, 22-Sep-2021,298.0,299.5,307.0,299.0,302.95,301.8,302.84,173752,6530,48505,27.92
CSBBANK, EQ, 23-Sep-2021,301.8,302.9,310.75,300.4,302.9,302.8,306.81,261834,9808,105218,40.19
CSBBANK, EQ, 24-Sep-2021,302.8,306.0,309.75,302.0,305.0,302.9,306.95,288966,8192,137021,47.42
CSBBANK, EQ, 27-Sep-2021,302.9,305.0,317.4,300.05,315.3,310.7,306.54,243997,6366,128575,52.7
CSBBANK, EQ, 28-Sep-2021,310.7,314.8,316.95,301.0,307.0,305.65,309.07,331827,9477,114217,34.42
CSBBANK, EQ, 29-Sep-2021,305.65,305.65,321.6,302.95,320.05,319.55,316.07,475442,13886,188745,39.7
CSBBANK, EQ, 30-Sep-2021,319.55,320.7,325.0,312.6,319.0,316.8,319.44,186076,7074,55445,29.8
CSBBANK, EQ, 01-Oct-2021,316.8,321.9,324.2,308.4,310.0,310.7,318.07,446730,19342,223778,50.09
CSBBANK, EQ, 04-Oct-2021,310.7,321.9,321.9,315.75,319.0,318.15,318.48,502232,11774,184592,36.75
CSBBANK, EQ, 05-Oct-2021,318.15,319.7,319.7,311.05,313.35,313.55,315.31,152908,5653,59450,38.88
CSBBANK, EQ, 06-Oct-2021,313.55,315.0,316.15,310.55,313.7,312.1,313.7,131428,4697,66437,50.55
CSBBANK, EQ, 07-Oct-2021,312.1,314.25,317.0,312.5,313.0,313.3,315.33,91069,3291,45424,49.88
CSBBANK, EQ, 08-Oct-2021,313.3,314.0,319.7,311.0,314.25,312.0,314.72,128078,4124,61516,48.03
CSBBANK, EQ, 11-Oct-2021,312.0,314.9,315.25,310.15,311.55,311.85,312.18,115842,2985,67207,58.02
CSBBANK, EQ, 12-Oct-2021,311.85,312.0,325.0,311.0,315.0,314.85,316.79,226011,8391,66671,29.5
CSBBANK, EQ, 13-Oct-2021,314.85,318.0,325.0,317.75,321.05,320.85,321.47,335985,9118,163862,48.77
CSBBANK, EQ, 14-Oct-2021,320.85,322.0,325.0,316.35,316.35,319.4,323.3,439948,6596,358530,81.49
CSBBANK, EQ, 18-Oct-2021,319.4,320.0,321.0,295.0,310.0,309.1,310.4,340574,8925,170031,49.92
CSBBANK, EQ, 19-Oct-2021,309.1,311.0,313.0,305.0,305.0,306.6,309.02,139001,3556,67286,48.41
CSBBANK, EQ, 20-Oct-2021,306.6,303.05,309.1,303.0,304.15,304.25,305.2,94615,3667,48233,50.98
CSBBANK, EQ, 21-Oct-2021,304.25,308.8,309.15,300.0,309.15,306.1,304.13,112011,3308,45679,40.78
CSBBANK, EQ, 22-Oct-2021,306.1,307.0,314.5,302.05,306.8,306.0,307.53,182335,7810,64005,35.1
CSBBANK, EQ, 25-Oct-2021,306.0,309.9,336.9,301.1,302.5,306.2,320.84,4734682,87535,572675,12.1
CSBBANK, EQ, 26-Oct-2021,306.2,302.5,314.05,302.5,304.3,303.55,306.96,659423,14883,323606,49.07
CSBBANK, EQ, 27-Oct-2021,303.55,305.7,308.0,297.35,299.15,300.3,303.89,317042,8021,133506,42.11
CSBBANK, EQ, 28-Oct-2021,300.3,301.0,301.5,294.45,295.15,296.3,297.22,168401,6262,63951,37.98
CSBBANK, EQ, 29-Oct-2021,296.3,295.0,298.0,288.55,296.0,294.15,294.57,136503,5994,44424,32.54
CSBBANK, EQ, 01-Nov-2021,294.15,295.0,297.0,289.0,292.5,291.5,292.12,169686,5669,87942,51.83
CSBBANK, EQ, 02-Nov-2021,291.5,293.75,299.9,293.75,296.2,297.45,297.03,107672,3793,40184,37.32
CSBBANK, EQ, 03-Nov-2021,297.45,299.0,300.45,293.0,296.75,297.5,297.91,130874,4131,32870,25.12
CSBBANK, EQ, 08-Nov-2021,299.65,304.0,305.0,295.05,298.85,298.4,300.95,205195,6239,50899,24.81
CSBBANK, EQ, 09-Nov-2021,298.4,299.0,302.9,296.35,299.1,298.85,299.7,112678,3278,38240,33.94
CSBBANK, EQ, 10-Nov-2021,298.85,297.0,300.1,296.0,297.1,296.9,298.22,208504,5001,33372,16.01
CSBBANK, EQ, 11-Nov-2021,296.9,298.0,299.9,295.0,297.8,296.0,297.26,71893,2437,30857,42.92
CSBBANK, EQ, 12-Nov-2021,296.0,296.0,296.95,290.0,290.0,290.05,291.13,175740,9229,106172,60.41
CSBBANK, EQ, 15-Nov-2021,290.05,291.5,294.5,282.0,286.25,286.65,290.48,118520,6186,57357,48.39
CSBBANK, EQ, 16-Nov-2021,286.65,286.3,296.0,285.35,295.0,294.45,291.57,191618,7247,105324,54.97
CSBBANK, EQ, 17-Nov-2021,294.45,295.8,297.8,291.25,296.0,295.9,295.88,117651,4227,54704,46.5
CSBBANK, EQ, 18-Nov-2021,295.9,296.0,297.3,289.5,296.0,295.05,293.92,128597,5263,94764,73.69
CSBBANK, EQ, 22-Nov-2021,295.05,294.0,295.0,277.0,284.0,282.25,289.41,309083,6221,219003,70.86
CSBBANK, EQ, 23-Nov-2021,282.25,282.0,283.0,276.5,283.0,281.25,279.71,89680,3087,39023,43.51
CSBBANK, EQ, 24-Nov-2021,281.25,282.0,286.85,281.0,281.9,282.45,284.15,57791,2554,26813,46.4
CSBBANK, EQ, 25-Nov-2021,282.45,282.0,284.7,280.0,281.0,281.05,282.74,46459,1744,20354,43.81
CSBBANK, EQ, 26-Nov-2021,281.05,281.9,288.0,275.0,283.8,280.15,278.65,96255,3428,51471,53.47
CSBBANK, EQ, 29-Nov-2021,280.15,266.0,277.9,266.0,271.0,271.0,271.65,133507,5243,56604,42.4
CSBBANK, EQ, 30-Nov-2021,271.0,272.0,280.0,272.0,277.0,276.65,274.57,101779,2958,70155,68.93
CSBBANK, EQ, 01-Dec-2021,276.65,279.85,280.55,270.7,273.7,274.05,274.21,56928,3214,18807,33.04
CSBBANK, EQ, 02-Dec-2021,274.05,275.0,275.1,262.9,267.45,266.85,269.7,138480,4131,80946,58.45
CSBBANK, EQ, 03-Dec-2021,266.85,269.0,272.55,267.55,270.1,268.3,268.72,109662,2622,66431,60.58
CSBBANK, EQ, 06-Dec-2021,268.3,271.9,271.9,263.25,266.6,266.4,266.61,138383,2369,108807,78.63
CSBBANK, EQ, 07-Dec-2021,266.4,266.4,273.95,266.0,270.0,268.9,269.85,60904,3278,22655,37.2
CSBBANK, EQ, 08-Dec-2021,268.9,272.5,274.0,270.0,273.5,272.0,272.15,42061,1786,20051,47.67
CSBBANK, EQ, 09-Dec-2021,272.0,273.0,281.55,270.5,275.0,273.5,274.21,74794,2604,35336,47.24
CSBBANK, EQ, 10-Dec-2021,273.5,274.9,279.0,273.0,274.0,274.7,274.36,62194,1467,40610,65.3
CSBBANK, EQ, 13-Dec-2021,274.7,277.0,278.85,273.0,273.3,273.7,275.41,54355,1570,34769,63.97
CSBBANK, EQ, 14-Dec-2021,273.7,275.0,275.0,267.5,270.5,270.8,269.88,62843,1986,27677,44.04
CSBBANK, EQ, 15-Dec-2021,270.8,269.05,270.8,258.1,261.0,261.25,264.01,95025,2504,54625,57.48
CSBBANK, EQ, 16-Dec-2021,261.25,261.25,265.4,258.65,261.9,261.65,261.92,70893,2408,29860,42.12
CSBBANK, EQ, 17-Dec-2021,261.65,262.0,262.95,254.05,256.5,256.6,256.62,55545,2266,25760,46.38
CSBBANK, EQ, 20-Dec-2021,256.6,257.0,257.0,235.0,235.9,236.5,242.38,199363,8044,116571,58.47
CSBBANK, EQ, 21-Dec-2021,236.5,236.5,240.0,230.1,230.9,231.55,235.77,211335,9701,90943,43.03
CSBBANK, EQ, 22-Dec-2021,231.55,230.9,236.3,230.9,231.65,232.55,233.28,139915,5705,68859,49.21
CSBBANK, EQ, 23-Dec-2021,232.55,232.55,239.75,230.75,234.0,234.2,234.01,211823,4960,93851,44.31
CSBBANK, EQ, 24-Dec-2021,234.2,237.0,238.6,228.0,229.1,229.25,231.39,139737,3995,79519,56.91
CSBBANK, EQ, 27-Dec-2021,229.25,225.0,238.35,220.0,234.0,233.15,231.62,172430,4658,58073,33.68
CSBBANK, EQ, 28-Dec-2021,233.15,234.0,236.0,231.7,233.0,233.15,233.66,84851,2551,40508,47.74
CSBBANK, EQ, 29-Dec-2021,233.15,231.0,242.9,231.0,238.0,237.65,238.43,200950,5176,96256,47.9
CSBBANK, EQ, 30-Dec-2021,237.65,236.0,240.4,234.5,238.5,236.0,238.03,107288,5963,47547,44.32
CSBBANK, EQ, 31-Dec-2021,236.0,235.0,239.2,234.35,235.15,235.3,236.0,112807,3197,69829,61.9
CSBBANK, EQ, 03-Jan-2022,235.3,233.05,239.3,233.05,237.0,237.25,236.16,230955,7307,91615,39.67
CSBBANK, EQ, 04-Jan-2022,237.25,242.0,259.9,238.85,251.6,251.75,253.69,1912902,44193,170682,8.92
CSBBANK, EQ, 05-Jan-2022,251.75,250.0,258.5,250.0,255.0,255.05,254.09,348090,7806,78526,22.56
CSBBANK, EQ, 06-Jan-2022,255.05,251.0,258.8,248.8,253.0,253.65,254.92,282514,6675,105348,37.29
CSBBANK, EQ, 07-Jan-2022,253.65,254.95,264.9,254.75,259.25,259.4,260.86,438217,9699,120084,27.4
CSBBANK, EQ, 10-Jan-2022,259.4,264.5,268.0,258.0,258.55,258.5,262.1,460455,8601,181529,39.42
CSBBANK, EQ, 11-Jan-2022,258.5,262.0,262.25,258.1,258.7,258.75,259.94,297012,2739,194241,65.4
CSBBANK, EQ, 12-Jan-2022,258.75,262.2,262.25,252.0,253.4,253.3,256.95,124069,3580,66747,53.8
CSBBANK, EQ, 13-Jan-2022,253.3,256.0,257.4,238.0,240.0,239.95,243.33,926684,20158,517766,55.87
CSBBANK, EQ, 14-Jan-2022,239.95,242.0,245.85,240.7,243.85,242.95,243.57,293393,4878,89032,30.35
CSBBANK, EQ, 17-Jan-2022,242.95,245.0,245.0,243.25,245.0,244.45,244.12,123693,2224,74370,60.12
CSBBANK, EQ, 18-Jan-2022,244.45,245.0,250.05,240.2,242.0,242.2,245.29,164570,4417,66753,40.56
CSBBANK, EQ, 19-Jan-2022,242.2,242.5,245.0,238.45,244.25,243.5,242.76,98295,3165,37297,37.94
CSBBANK, EQ, 20-Jan-2022,243.5,245.0,248.6,242.8,244.5,244.35,245.34,87343,2324,36721,42.04
CSBBANK, EQ, 21-Jan-2022,244.35,245.8,245.8,238.0,241.05,241.3,242.79,108789,3556,48528,44.61
CSBBANK, EQ, 24-Jan-2022,241.3,249.0,257.0,238.35,243.15,242.5,248.4,2254896,40247,526626,23.35
CSBBANK, EQ, 25-Jan-2022,242.5,239.95,249.25,236.55,245.0,244.8,244.83,491253,9284,245940,50.06
CSBBANK, EQ, 27-Jan-2022,244.8,249.0,249.0,240.1,243.0,243.5,245.05,512081,7648,368698,72.0
CSBBANK, EQ, 28-Jan-2022,243.5,245.0,245.75,234.85,239.2,240.15,243.38,359528,7264,236659,65.82
CSBBANK, EQ, 31-Jan-2022,240.15,242.0,254.0,242.0,252.6,251.9,249.54,377479,9160,161043,42.66
CSBBANK, EQ, 01-Feb-2022,251.9,254.9,256.35,251.3,255.95,255.3,254.61,343366,6599,177847,51.8
CSBBANK, EQ, 02-Feb-2022,255.3,258.7,264.35,255.25,261.5,262.65,261.53,344886,8640,167053,48.44
CSBBANK, EQ, 03-Feb-2022,262.65,263.0,263.6,254.15,257.4,257.0,257.83,187746,4001,84613,45.07
CSBBANK, EQ, 04-Feb-2022,257.0,257.0,262.0,256.35,260.2,260.2,260.24,119688,2939,60948,50.92
CSBBANK, EQ, 07-Feb-2022,260.2,260.2,263.6,256.75,259.3,259.0,259.66,129531,3084,62929,48.58
CSBBANK, EQ, 08-Feb-2022,259.0,259.0,260.3,247.1,249.4,250.15,253.52,103563,4172,48025,46.37
CSBBANK, EQ, 09-Feb-2022,250.15,251.8,255.0,249.45,252.5,252.0,252.36,138913,3508,36794,26.49
CSBBANK, EQ, 10-Feb-2022,252.0,253.0,260.0,253.0,258.5,258.6,257.47,183136,6651,63800,34.84
CSBBANK, EQ, 11-Feb-2022,258.6,253.0,255.6,249.1,250.15,250.1,251.88,86543,2595,40474,46.77
CSBBANK, EQ, 14-Feb-2022,250.1,244.45,245.4,233.75,236.7,237.55,240.25,147527,4219,61848,41.92
CSBBANK, EQ, 15-Feb-2022,237.55,238.0,241.1,233.15,237.55,239.05,237.19,135163,4427,51772,38.3
CSBBANK, EQ, 16-Feb-2022,239.05,239.95,245.25,238.05,238.5,241.5,242.11,106530,3834,26830,25.19
CSBBANK, EQ, 17-Feb-2022,241.5,241.1,243.3,236.25,236.55,237.55,239.5,52829,1898,20059,37.97
CSBBANK, EQ, 18-Feb-2022,237.55,238.0,252.0,231.5,233.95,232.5,240.41,642171,16962,123182,19.18
CSBBANK, EQ, 21-Feb-2022,232.5,236.9,236.9,217.05,221.05,220.4,228.28,364122,9938,154960,42.56
CSBBANK, EQ, 22-Feb-2022,220.4,215.35,233.9,212.55,228.3,229.7,227.14,679266,15783,90958,13.39
CSBBANK, EQ, 23-Feb-2022,229.7,235.0,235.0,225.85,229.5,228.95,229.85,157153,4619,47610,30.3
CSBBANK, EQ, 24-Feb-2022,228.95,216.0,225.4,208.35,210.0,210.75,215.99,371533,9353,151321,40.73
CSBBANK, EQ, 25-Feb-2022,210.75,221.5,222.0,214.4,217.15,217.15,217.51,224889,6060,79827,35.5
CSBBANK, EQ, 28-Feb-2022,217.15,213.0,219.8,211.55,219.2,218.35,216.27,132234,3582,50311,38.05
CSBBANK, EQ, 02-Mar-2022,218.35,223.0,223.0,213.0,217.0,217.0,218.37,116877,3491,39429,33.74
CSBBANK, EQ, 03-Mar-2022,217.0,220.0,223.2,217.0,218.0,217.75,219.16,143334,6560,81069,56.56
CSBBANK, EQ, 04-Mar-2022,217.75,218.0,218.35,214.45,215.0,215.9,216.17,172743,3883,120778,69.92
CSBBANK, EQ, 08-Mar-2022,207.3,206.0,216.75,202.6,209.0,206.3,207.01,517722,8353,258561,49.94
CSBBANK, EQ, 09-Mar-2022,206.3,209.8,216.6,209.0,214.0,213.9,214.39,261447,7284,84362,32.27
CSBBANK, EQ, 10-Mar-2022,213.9,217.0,220.0,212.1,213.55,213.25,214.6,961139,25170,628180,65.36
CSBBANK, EQ, 11-Mar-2022,213.25,211.05,215.05,210.0,211.95,212.1,212.48,120948,3726,59502,49.2
CSBBANK, EQ, 14-Mar-2022,212.1,210.5,214.0,208.8,213.0,212.85,212.12,235147,6241,121001,51.46
